,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.12193685058599343,0.0426790181363352,0.06828863999002802,0.006880766873748079,-0.07657235764062234,0.0402047364834166,-0.057407780940821294,0.029146289440407043,,0.08119480519480515,0.06447188720256984
Buddhist,0.00611910942876496,0.0655714841722885,0.04587015511480426,0.01374877218989436,-0.0349236362273294,0.0298550724637681,-0.09493652660928645,0.04894244149272608,,0.12814457283083872,0.15725789961084077
Catholic,0.0028765658116629593,0.04473662591059334,0.1014305407853795,0.07264551397770498,-0.09796202472283058,0.02725186874958928,-0.06725385441061667,-0.003324691990129739,,0.010838835500778481,0.05682218719699979
Christian,0.015921004802081522,0.05381677895298352,0.04065548549023586,0.08158067452329623,-0.06624261133477187,0.01574319920730752,-0.05763317557822144,0.013595202649126939,,0.048601150093687394,0.08186373078378686
Hindu,0.00398949232585598,0.08862101313320822,0.07762629468696534,0.03125318553225528,-0.055720818496890236,-0.0246987168573558,-0.061310811976926186,0.010320143271740419,,0.05344360748535322,0.0455882352941176
Jewish,0.015262424048608881,0.07874183006535944,0.05602436361586528,0.0173031293166276,-0.06335392437754636,0.06449587408542165,-0.06592148894856562,0.0064586878140276,,0.06972906403940884,0.06780942985160521
Mormon,0.020226210398753518,0.04498299319727889,0.020107080606038403,0.002462831573789259,-0.056336412256153004,0.034925310330317684,-0.012953314270383182,0.0050164151682178205,,0.050426304728386696,0.08082038180398832
Muslim,0.045335837797144604,0.0078101164191087796,0.046401732039115184,0.039707602257130506,-0.11728850348869954,0.04556008872480912,-0.07228544168205182,0.10116536043099449,,0.0838092479713481,0.029081332632357782
Orthodox,0.0024038600601643005,0.06242842565182818,0.0543420193657798,0.04481404927169093,-0.09904980420658932,0.046475635546827,-0.08581828366522028,0.002689128819483339,,0.0726369890198097,0.1088017712184963
Protestant,0.006598853944562918,0.018333817126269934,0.06868262353538793,0.07993489853980384,-0.0808048492998266,0.02752249439839204,-0.05331020072614236,-0.013127640143787016,,0.12722846938260385,0.023984601877490363
Sikh,0.002146543894532399,0.004584801503406161,0.04856717738560976,0.024494929853369058,-0.09415085013274596,0.029422849877395324,-0.08013462197443484,0.00791159879269072,,0.09375421109800072,0.13784430324752903
