,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.0625,0.16071428571428573,-0.007575757575757576,-0.02564102564102564,-0.22727272727272727,0.03571428571428571,-0.03787878787878788,0.018292682926829267,,0.1388888888888889,0.06944444444444445
Buddhist,-0.006944444444444444,0.625,0.015151515151515152,0.05128205128205128,-0.13636363636363635,0.007142857142857143,0.06060606060606061,-0.006097560975609756,,0.027777777777777776,0.013888888888888888
Catholic,-0.2222222222222222,0.08928571428571429,0.6590909090909091,0.22435897435897437,-0.19696969696969696,0.15,0.13636363636363635,-0.03048780487804878,,0.041666666666666664,0.05555555555555555
Christian,-0.2013888888888889,0.35714285714285715,0.32575757575757575,0.5,-0.3106060606060606,0.17142857142857143,0.09848484848484848,-0.036585365853658534,,0.041666666666666664,-0.05555555555555555
Hindu,-0.13194444444444445,0.17857142857142858,0.07575757575757576,0.057692307692307696,0.20454545454545456,0.1,-0.09090909090909091,0.06097560975609756,,0.125,0.125
Jewish,-0.11805555555555555,0.30357142857142855,0.3106060606060606,0.09615384615384616,-0.17424242424242425,0.32857142857142857,0.045454545454545456,0.03048780487804878,,-0.041666666666666664,0.041666666666666664
Mormon,-0.20833333333333334,0.03571428571428571,0.32575757575757575,0.0,-0.2196969696969697,0.2,0.6136363636363636,-0.04878048780487805,,0.09722222222222222,-0.06944444444444445
Muslim,-0.1875,0.07142857142857142,0.25,0.08333333333333333,-0.12121212121212122,0.09285714285714286,-0.05303030303030303,0.3902439024390244,,0.041666666666666664,0.08333333333333333
Orthodox,-0.2152777777777778,0.19642857142857142,0.17424242424242425,0.05128205128205128,-0.2878787878787879,-0.007142857142857143,0.007575757575757576,0.024390243902439025,,0.25,0.375
Protestant,-0.1875,-0.125,0.2727272727272727,0.1346153846153846,-0.2803030303030303,0.11428571428571428,0.030303030303030304,0.036585365853658534,,0.4583333333333333,0.1388888888888889
Sikh,-0.09027777777777778,0.25,0.19696969696969696,0.01282051282051282,-0.23484848484848486,-0.02857142857142857,0.007575757575757576,0.09146341463414634,,0.1111111111111111,0.6666666666666666
