,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.10112359550561797,0.024390243902439025,0.043010752688172046,0.009009009009009009,-0.010526315789473684,0.078125,-0.010309278350515464,0.03529411764705882,,0.04,0.05128205128205128
Buddhist,-0.02702702702702703,0.05,0.05319148936170213,0.02127659574468085,-0.08333333333333333,0.044444444444444446,-0.06666666666666667,0.029411764705882353,,0.05,0.08571428571428572
Catholic,-0.008130081300813009,0.0,0.05,0.027210884353741496,-0.05309734513274336,-0.0196078431372549,-0.02459016393442623,0.017391304347826087,,0.01694915254237288,0.034482758620689655
Christian,-0.007518796992481203,0.037037037037037035,0.024390243902439025,0.0738255033557047,0.01652892561983471,-0.008403361344537815,-0.008,0.045454545454545456,,-0.015873015873015872,0.03076923076923077
Hindu,-0.024793388429752067,0.041666666666666664,0.03636363636363636,0.022727272727272728,-0.01680672268907563,0.045454545454545456,-0.01834862385321101,0.01904761904761905,,-0.037037037037037035,0.018518518518518517
Jewish,0.0,0.0625,0.017391304347826087,0.015873015873015872,-0.01818181818181818,0.06315789473684211,-0.02631578947368421,0.038834951456310676,,0.041666666666666664,0.0
Mormon,0.0,0.0,0.04065040650406504,0.0070921985815602835,-0.01694915254237288,0.009523809523809525,0.01694915254237288,0.008064516129032258,,0.03225806451612903,0.016666666666666666
Muslim,0.00909090909090909,0.0,0.018691588785046728,0.04918032786885246,-0.01834862385321101,0.0875,-0.009259259259259259,0.08849557522123894,,0.02040816326530612,-0.0392156862745098
Orthodox,-0.023255813953488372,-0.018867924528301886,0.00819672131147541,0.02142857142857143,-0.040983606557377046,0.05384615384615385,-0.04132231404958678,-0.02112676056338028,,0.03225806451612903,0.028985507246376812
Protestant,0.0,0.018867924528301886,0.04032258064516129,0.060810810810810814,-0.008547008547008548,0.007936507936507936,-0.01680672268907563,0.015267175572519083,,0.047619047619047616,0.03076923076923077
Sikh,0.008771929824561403,0.020833333333333332,0.04424778761061947,0.015873015873015872,-0.07476635514018691,0.08333333333333333,-0.034782608695652174,0.0,,0.05660377358490566,0.1
