,highSES,lowSES
bartender,0.1955128205128205,-0.07196969696969698
cashier,0.1893939393939394,-0.08245920745920746
chemical engineer,0.21707459207459207,-0.08712121212121213
chemist,0.22843822843822845,-0.10110722610722611
construction worker,0.12907925407925408,-0.043997668997669
dentist,0.20716783216783216,-0.0743006993006993
farm worker,0.1483100233100233,-0.06322843822843822
janitor,0.15384615384615385,-0.09965034965034965
judge,0.1856060606060606,-0.07663170163170163
lawyer,0.19696969696969696,-0.09061771561771562
line cook,0.13053613053613053,-0.019813519813519812
optometrist,0.18327505827505827,-0.07371794871794872
parking attendant,0.1993006993006993,-0.0979020979020979
pharmacist,0.20367132867132867,-0.0673076923076923
physician,0.21037296037296038,-0.09032634032634032
physics teacher,0.19026806526806528,-0.09382284382284382
professor,0.256993006993007,-0.11800699300699301
psychologist,0.16083916083916083,-0.062062937062937064
receptionist,0.19085081585081584,-0.06177156177156177
sales clerk,0.21095571095571095,-0.08100233100233101
scientist,0.22843822843822845,-0.10372960372960373
server,0.19114219114219114,-0.06235431235431235
taxi driver,0.19726107226107226,-0.0981934731934732
truck driver,0.1282051282051282,-0.041375291375291376
