,highSES,lowSES
bartender,0.002977076510866329,-0.013694551949985114
cashier,0.005349182763744428,-0.01337295690936107
chemical engineer,0.005189255189255189,-0.018315018315018316
chemist,0.0030129557095510697,-0.02078939439590238
construction worker,0.007719714964370546,-0.017814726840855107
dentist,0.006686930091185411,-0.016717325227963525
farm worker,0.006845238095238095,-0.020535714285714286
janitor,0.01254855094114132,-0.01732895129967135
judge,-0.0015248551387618177,-0.013418725221103996
lawyer,0.0025798129635601417,-0.01418897129958078
line cook,0.009226190476190476,-0.017857142857142856
optometrist,0.005501222493887531,-0.017726161369193152
parking attendant,0.006882106523040095,-0.011968880909634948
pharmacist,0.004229607250755287,-0.013293051359516616
physician,0.00425273390036452,-0.013973268529769137
physics teacher,0.006441717791411043,-0.018098159509202454
professor,-0.00030339805825242716,-0.01608009708737864
psychologist,0.006150857882809971,-0.016510197474910976
receptionist,0.00414569144210838,-0.010660349422564407
sales clerk,0.006261180679785331,-0.013714967203339297
scientist,0.0015494267121165168,-0.017043693833281685
server,0.0036101083032490976,-0.011432009626955475
taxi driver,0.007469375560203167,-0.016731401254855095
truck driver,0.00477754553598089,-0.02090176171991639
