,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
African,0.0,0.0,,-0.0010141987829614604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
African American,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.0009442870632672333,0.0,0.0,0.0,0.0,0.0014641288433382138
Alaskan,0.0,0.0,,0.0,-0.0010309278350515464,0.0006199628022318661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arab,0.0,0.0,,0.0,-0.0010277492291880781,0.0006169031462060457,0.0,0.0,0.0,0.0,-0.0009407337723424271,0.0,-0.011111111111111112,0.0,0.0,0.0
Asian,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009689922480620155,0.0,0.0,0.0,0.0,0.0014858841010401188
Caucasian,0.0,0.0,,0.0,0.0010362694300518134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014903129657228018
European,0.011627906976744186,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009416195856873823,0.0,0.0,0.0,0.0,0.0
Hispanic,0.0,0.0,,-0.0010162601626016261,0.0,0.0,0.0,0.0,0.0,0.0,0.0009398496240601503,0.0,-0.011235955056179775,0.0,0.0,0.0
Jewish,0.0,0.0,,0.0,0.0,0.0006273525721455458,0.0,0.0,0.0,-0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0
Latino,0.0,0.0,,0.0,-0.002066115702479339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Middle Eastern,0.0,0.0,,-0.0010080645161290322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011363636363636364,0.0,0.0,0.0
Native American,0.0,0.0,,0.0,0.0,0.0006261740763932373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roma,0.0,0.0,,0.0,-0.00102880658436214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014727540500736377
South American,0.0,0.0,,0.0,0.0,0.0006176652254478073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
