,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.04,0.0,-0.00819672131147541,0.02962962962962963,0.017391304347826087,-0.02608695652173913,0.009009009009009009,0.032520325203252036,,0.031746031746031744,-0.015625
Buddhist,-0.007692307692307693,0.05555555555555555,0.0,0.034722222222222224,-0.008130081300813009,0.008620689655172414,0.024390243902439025,0.04,,0.04477611940298507,-0.015384615384615385
Catholic,0.008,0.1,0.03333333333333333,0.014925373134328358,-0.05,0.035398230088495575,0.025,0.06363636363636363,,0.04477611940298507,-0.03278688524590164
Christian,-0.008064516129032258,0.04,0.008695652173913044,0.028985507246376812,0.008849557522123894,0.018518518518518517,-0.00909090909090909,0.0625,,0.03225806451612903,-0.07142857142857142
Hindu,0.015748031496062992,0.03773584905660377,0.016666666666666666,0.022727272727272728,0.0,0.0,-0.008928571428571428,0.05263157894736842,,0.015625,0.0
Jewish,0.023809523809523808,0.058823529411764705,0.036036036036036036,0.014925373134328358,-0.009174311926605505,0.061946902654867256,-0.017391304347826087,0.0,,0.01639344262295082,-0.017241379310344827
Mormon,0.008620689655172414,-0.038461538461538464,0.03571428571428571,0.0072992700729927005,-0.05357142857142857,-0.019417475728155338,0.04424778761061947,0.056074766355140186,,0.015873015873015872,-0.01694915254237288
Muslim,-0.009433962264150943,0.08163265306122448,0.0,-0.007936507936507936,-0.009174311926605505,0.009615384615384616,0.0,0.04716981132075472,,0.017543859649122806,-0.017543859649122806
Orthodox,0.015267175572519083,0.08,0.017241379310344827,0.03571428571428571,-0.02586206896551724,0.025210084033613446,-0.009345794392523364,0.017241379310344827,,0.046153846153846156,0.0
Protestant,0.015873015873015872,0.02040816326530612,0.016260162601626018,0.022222222222222223,0.0,0.018518518518518517,0.008620689655172414,0.042735042735042736,,0.06153846153846154,-0.06896551724137931
Sikh,0.007575757575757576,0.07407407407407407,0.008264462809917356,-0.013605442176870748,-0.04201680672268908,0.01639344262295082,-0.017543859649122806,0.04132231404958678,,0.0,-0.015873015873015872
