,highSES,lowSES
bartender,0.008534432018834609,-0.008534432018834609
cashier,0.0062407132243685,-0.0062407132243685
chemical engineer,0.013235294117647059,-0.013235294117647059
chemist,0.010029498525073746,-0.010029498525073746
construction worker,0.007067137809187279,-0.007067137809187279
dentist,0.007962253022707167,-0.007962253022707167
farm worker,0.007385524372230428,-0.007385524372230428
janitor,0.016233766233766232,-0.016233766233766232
judge,0.0062724014336917565,-0.0062724014336917565
lawyer,0.005358737719559393,-0.005358737719559393
line cook,0.00823529411764706,-0.00823529411764706
optometrist,0.00971445392993818,-0.00971445392993818
parking attendant,0.009475866153390583,-0.009475866153390583
pharmacist,0.0053207212533254505,-0.0053207212533254505
physician,0.007400828892835998,-0.007400828892835998
physics teacher,0.008875739644970414,-0.008875739644970414
professor,0.0014784151389710231,-0.0014784151389710231
psychologist,0.008602788490062296,-0.008602788490062296
receptionist,0.009763313609467455,-0.009763313609467455
sales clerk,0.0005963029218843172,-0.0005963029218843172
scientist,0.008630952380952382,-0.008630952380952382
server,0.0005936479667557139,-0.0005936479667557139
taxi driver,0.011192930780559647,-0.011192930780559647
truck driver,0.017043784895680283,-0.017043784895680283
