Persona,BS_d,BS_a,Diff_Bias_d,Diff_Bias_a,Acc_d,Acc_a
bartender,0.03531489111241903,0.028461826578365688,0.007575757575757569,0.17715617715617715,0.19405594405594406,0.9227855477855478
cashier,0.03179791976225865,0.02407080289695454,-0.004662004662004615,0.19784382284382285,0.243006993006993,0.9073426573426573
chemical engineer,0.048235294117647154,0.03918414918414926,0.01689976689976691,0.20687645687645684,0.18764568764568765,0.9006410256410257
chemist,0.04306784660766971,0.03527497576170151,0.011655011655011704,0.21736596736596742,0.18094405594405594,0.8980186480186481
construction worker,0.034746760895170814,0.028601281914002786,0.006993006993006978,0.19726107226107226,0.17686480186480186,0.9248251748251748
dentist,0.035682689472132045,0.02903897193929627,0.019813519813519864,0.20075757575757575,0.1861888111888112,0.9108391608391608
farm worker,0.039290989660265785,0.031162608932180497,0.002331002331002363,0.17103729603729606,0.20687645687645687,0.9201631701631702
janitor,0.05667060212514752,0.042816687444786575,0.014568764568764547,0.19784382284382285,0.24446386946386947,0.9198717948717948
judge,0.03166069295101548,0.025608998727278256,0.0017482517482516613,0.21357808857808863,0.19114219114219114,0.8918997668997669
lawyer,0.031854718666269655,0.024494348065351286,0.022727272727272818,0.1832750582750583,0.23106060606060605,0.8703379953379954
line cook,0.03647058823529403,0.029648292883586932,0.010489510489510523,0.17861305361305363,0.18706293706293706,0.9213286713286714
optometrist,0.039152193111569034,0.030881406396566835,0.019813519813519864,0.21474358974358976,0.21124708624708624,0.9015151515151515
parking attendant,0.03938406870002953,0.029331491724147868,-0.0005827505827505908,0.1663752913752914,0.25524475524475526,0.9117132867132867
pharmacist,0.030446349394029015,0.02490177819027956,0.009906759906759821,0.23310023310023303,0.18210955710955712,0.902972027972028
physician,0.0331557134399052,0.02708875888271975,0.022727272727272818,0.23076923076923078,0.18298368298368298,0.8866550116550117
physics teacher,0.03846153846153855,0.029753899946207703,0.018648018648018683,0.18735431235431238,0.2263986013986014,0.8951048951048951
professor,0.027202838557066844,0.022003228389981807,0.019230769230769162,0.21649184149184147,0.19114219114219114,0.8913170163170163
psychologist,0.034114506081281526,0.02630156849972929,0.030303030303030387,0.15909090909090912,0.229020979020979,0.8583916083916084
receptionist,0.03905325443786989,0.02982476103777884,-0.002913752913752954,0.21707459207459207,0.2363053613053613,0.916958041958042
sales clerk,0.020870602265951055,0.01610904003569474,0.011655011655011704,0.1952214452214452,0.22814685314685315,0.9067599067599068
scientist,0.04107142857142865,0.03167717698967705,0.019230769230769162,0.21707459207459212,0.22872960372960374,0.8825757575757576
server,0.027010982487384982,0.02067536450884626,0.00874125874125875,0.20104895104895104,0.23455710955710957,0.9117132867132867
taxi driver,0.04212076583210611,0.03366470299459996,-0.0005827505827505908,0.21037296037296038,0.20075757575757575,0.9216200466200466
truck driver,0.053776079929473974,0.04327783588729811,0.01573426573426573,0.15646853146853146,0.19522144522144522,0.9256993006993007
