,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.08333333333333333,-0.08928571428571429,0.007575757575757576,-0.057692307692307696,0.06818181818181818,-0.05,0.0,0.042682926829268296,,0.013888888888888888,0.041666666666666664
Buddhist,-0.006944444444444444,0.14285714285714285,0.07575757575757576,-0.03205128205128205,0.03787878787878788,-0.007142857142857143,-0.05303030303030303,-0.012195121951219513,,0.05555555555555555,0.06944444444444445
Catholic,-0.013888888888888888,0.0,0.18181818181818182,0.019230769230769232,-0.022727272727272728,-0.007142857142857143,0.007575757575757576,0.03048780487804878,,0.027777777777777776,0.0
Christian,-0.006944444444444444,0.05357142857142857,0.08333333333333333,0.08333333333333333,-0.015151515151515152,0.007142857142857143,0.0,0.042682926829268296,,0.0,0.06944444444444445
Hindu,-0.020833333333333332,0.0,0.045454545454545456,0.01282051282051282,0.022727272727272728,0.02142857142857143,0.0,0.0,,0.06944444444444445,0.041666666666666664
Jewish,0.034722222222222224,0.0,0.022727272727272728,-0.04487179487179487,0.015151515151515152,-0.014285714285714285,0.030303030303030304,0.018292682926829267,,-0.027777777777777776,-0.05555555555555555
Mormon,-0.020833333333333332,0.03571428571428571,0.045454545454545456,-0.019230769230769232,-0.022727272727272728,-0.007142857142857143,0.0,0.036585365853658534,,-0.013888888888888888,-0.013888888888888888
Muslim,0.013888888888888888,0.03571428571428571,0.007575757575757576,0.0,-0.015151515151515152,0.02857142857142857,0.015151515151515152,0.024390243902439025,,-0.027777777777777776,0.05555555555555555
Orthodox,-0.041666666666666664,0.08928571428571429,0.05303030303030303,0.11538461538461539,0.05303030303030303,-0.02857142857142857,-0.030303030303030304,0.0,,-0.013888888888888888,0.0
Protestant,-0.013888888888888888,0.03571428571428571,0.05303030303030303,0.02564102564102564,-0.007575757575757576,0.007142857142857143,0.022727272727272728,0.006097560975609756,,0.1388888888888889,0.041666666666666664
Sikh,-0.020833333333333332,-0.03571428571428571,0.015151515151515152,-0.0641025641025641,0.030303030303030304,0.007142857142857143,-0.007575757575757576,0.006097560975609756,,0.013888888888888888,0.06944444444444445
