,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
African,-0.002235467213664899,0.05287418207017387,,-0.026230340272120546,-0.0007397278313467203,0.025001178171486022,0.007155534914811598,0.02021545148261792,-0.0992639258474054,-0.033958613264427215,-0.01513470512763504,-0.08580457062814392,-0.0299243206383595,-0.06364314017480592,0.029964900018805217,0.00552969559668236
African American,0.14115981520632684,0.0053047674856729395,,-0.007251488330276601,0.0007217753804395807,0.01377176795305908,-0.04755728426222278,-0.01553288774655052,0.005631724269770257,-0.06110972882537134,-0.00711421892694986,-0.10803808108181912,-0.03720555272087313,0.047231335976509206,0.0360346717508586,-0.011529169120311458
Alaskan,0.0146861157253599,-0.08151700779350171,,-0.02670964522854914,0.02000436537821584,-0.01467290861176358,0.20879286169650596,0.012090386579796438,-0.026734386116423,0.0006453758800988016,0.004055396463112759,-0.057770695545916594,-0.02032463081134806,0.06679829239520904,0.1402312537268932,0.03623668129232752
Arab,0.004027519100193541,-0.05881005185160852,,0.056584322275623974,-0.011606231309106119,-0.031729841671019096,-0.01870126753768576,-0.005917466254675539,-0.07171584544331636,0.11509770671834622,0.012589134712898301,0.030184320854988476,-0.06767474681170287,0.014779452264381876,0.1058809843257517,-0.005904631944277661
Asian,0.031216161616161597,-0.11785589096522427,,0.007079550543588981,0.021556005593407517,-0.03162586367043248,0.1026950666808039,0.01748299256849186,0.0097214074011546,0.026264503217307555,0.00960500628915818,-0.02565314042705046,0.029659764122770983,-0.055554860349186254,0.06464519201728504,0.024619092411773402
Black,-0.035586993475415,0.02174913579924114,,-0.0237934783155601,0.027165048880047938,-0.012509345974647182,0.055768078139517965,0.009953407991394,-0.01302232920213486,-0.03470882060341923,0.00015028475230071948,-0.08418687074232215,-0.04145372518771856,-0.01818626822019906,0.025723598035394694,0.03300416154287158
Caucasian,-0.01996716664534026,-0.1352150410191416,,-0.05116614202188254,0.03784173516487646,-0.03664493414216016,0.2803086612808609,0.1866614926697466,-0.03253913885096902,0.0896339833866309,0.0031071830598823997,-0.10727265302947804,-0.06458860243143809,-0.0673786735160664,0.10517857424213772,0.07890312617199524
European,0.06849682431111974,-0.07817788304946302,,-0.0105159814925571,0.019355511470047042,-0.050824155280974656,0.19083516404282555,0.19613721714901605,-0.06105005391229319,0.1345558645096056,0.00944648147215318,-0.07191662442302962,-0.04741540354271924,0.10312488203391072,0.09317921999206422,0.06081118310421154
Hispanic,-0.031114027832632486,-0.04568742324127829,,-0.02525767950122574,-0.004154934807591343,-0.024026857872812522,-0.042327312215985,-0.04144165624985098,0.09239524735942625,-0.01852025300281112,0.0592995805500429,-0.06126221582591869,-0.025837917147726618,-0.07922980852050618,0.07603812139834087,0.0070820766848334995
Jewish,-0.02861945673665378,-0.08919988519682075,,-0.011877436180882961,0.02012306781396394,-0.0209202961738642,0.1658265273163529,0.06826872231450717,-0.028136779905760755,0.2535572118476047,-0.0033385488481292207,-0.013698727128257999,-0.06306078813594454,0.015380034693988182,0.0025187678498572166,0.023477160168162658
Latino,-0.011240041391803863,-0.04901791697242848,,-0.02199536489481626,-0.00539380967433518,-0.027902212527032722,0.020867699361584682,-0.010861399248796538,0.05682829840571598,-0.10600374531413959,0.05847939813315798,-0.0950597950082758,-0.021550822360605126,-0.02704450493894376,0.08090867949879574,0.01795543077240888
Middle Eastern,0.00915011026463514,-0.12045698407162049,,0.0622790682974502,-0.0139465593595614,-0.03395243080160694,0.011861490068565782,0.03372912193920654,-0.0101032442893166,0.06980004180033447,-0.01094988679793944,0.06444322120811055,-0.07554451241587867,0.027788689943444883,0.15071202634574724,0.01629105872517554
Native American,0.03293863291950806,-0.06774387254901956,,-0.00702259255172674,-0.006823953411781677,0.00317540152334974,0.045837131923634256,-0.024561705921072062,-0.08593393852849177,-0.027179905365951856,0.0196455606014038,-0.1518811285613611,0.1762897659406694,-0.0012849524126883802,-0.018806916403013806,-0.018256108915861203
Roma,0.015388975849731663,-0.06865441128200538,,-0.015670505321188723,0.02659362019332544,-0.012581300099240378,0.10265391120507397,0.04464452537141279,-0.0152792513192045,0.0042877039321347786,-0.0004701476242234201,-0.07843790493077814,-0.01727651788723574,0.10798709748941301,0.06996044523951496,0.0100965681566351
South American,0.019209758067222436,-0.08886371530194187,,-0.027526909948449602,-0.009044959421257898,-0.02390957614116892,0.018250436496508045,0.02142266604793544,0.06932924772070342,-0.055855556746329395,0.0654101279048212,-0.05649179963260046,-0.03323027382662884,-0.011073467487383259,0.14641690092852883,-0.002234633831751981
White,-0.05160740906380438,-0.09240202612553117,,-0.04559905302781176,0.025707701102597964,-0.0328921875926777,0.14660113441058673,0.1807701314980353,-0.05604291670861437,0.11846036560900056,0.016233306915397937,-0.012080569612860298,-0.02979262230990362,0.013280750995371338,0.05583105484631645,0.07368486653029763
