,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
African,0.042592671863020654,-0.00125018828289178,,-0.01593131724118424,0.006604941360960499,-0.00401650841559496,0.0020415282392026593,0.0161633444075304,-0.007271550970449359,0.011871134679274201,0.0048363623001921995,-0.05028981677237486,-0.01944548474781032,-0.025582493801588002,-0.01184270380782008,0.021847988972927057
African American,0.020560077519379803,-0.00015975718528561875,,0.007204509675610901,0.009064160654416602,-0.015428763580969918,0.03692441860465112,0.00397120708748616,0.0010219141323792608,0.001065891472868221,0.005978642110281359,-0.0383603476626732,-0.015230305547166001,-0.0001686152994292589,0.011021779254337382,0.00927591032373476
Alaskan,-0.0175105708245243,-0.009855063030463459,,-0.006105716491713641,0.02259280481462968,-0.02490593826816976,0.0083629568106312,0.044858803986710924,0.0131212121212121,0.03642024061210102,0.0022923839726165605,-0.041657299741602025,0.016514018926809617,-0.02058720930232558,0.017374999999999956,0.024181994185398098
Arab,0.0300651867512332,-0.02284732052578356,,0.02301544280502894,0.01500533239370444,-0.03914059325231708,-0.008681289640591939,0.05318313953488366,-0.0017800707044893006,0.018265780730896998,0.02018339517840814,0.020457087486157204,-0.0022086856941508403,-0.02891334440753046,0.0210691214470284,0.02247097683691266
Asian,-0.0198217054263566,-0.00751321353065538,,0.01215241235682052,0.01594197123053862,-0.02634123831515432,0.007917820228866699,0.02336707607637836,-0.0032582202069655814,0.01864449384404924,0.010443482060839119,-0.02879955703211512,-0.0020508028792912804,-0.0053757676432095195,0.00621650055370984,0.019652095362787957
Black,0.0011596068660021997,0.0122267471629812,,0.0035787922880289994,0.011129741755897319,-0.01236569226053048,0.010177371723883341,0.012013714967203317,-0.009393850563481201,-0.00955193514495838,0.005435256075254739,-0.03580718119090208,-0.01404293381037566,-0.017853682170542638,-0.04237900181214132,0.01629212882331236
Caucasian,0.0052729552709033,-0.029088807289541642,,0.0049140969436809595,0.0003885218383007403,-0.01777205095703192,0.047904443102117465,0.07510139860139854,0.01596358938219404,0.03611531007751934,0.00010026914444757964,-0.0047022551092318395,-0.0078580426356589,-0.03391014799154331,0.02572951273532666,0.02367483113999248
European,0.03742843300110736,-0.024192724025730798,,0.0030904288442711,0.004254014512879679,-0.030378091285604935,0.021283797597751057,0.06931048747763859,-0.010481152568361879,0.06398740310077512,0.009156087969047199,-0.03301213902376688,0.011381149373881922,-0.028583567595195498,0.0027311738648947994,0.036582271935481095
Hispanic,-0.0062629198966408,-0.011440322716548702,,0.0016692048589959604,0.0056831727838868,-0.0224379398885856,-0.014205426356589123,0.0176240310077519,0.06850971244178092,-0.01101349667774086,0.01670894904692492,0.003238724453840741,0.0021221414244670207,-0.02500678294573642,0.02943853820598006,0.02199798745658072
Jewish,-0.03251236618678474,-0.018510791913664677,,0.00602424355037456,0.005432683010838,-0.015283141897202441,0.0418164451827242,0.04068604651162786,-0.009708748615725361,0.07911406423034321,-0.002008229912271301,0.0095736434108527,0.01660359408033826,-0.058153100775193735,0.03214553340716128,0.01843302878692342
Latino,0.00843973791066816,-0.022544080187899003,,0.0061806745178958206,0.0175425571980039,-0.028981439752927662,0.01640454893943264,0.06610515453538704,0.00651218161683276,0.00566860465116278,0.02113980302546324,0.01298726467331118,0.0021210778885197403,-0.01606533776301216,-0.005011074197120701,0.013035164229695879
Middle Eastern,0.00344151972058946,-0.03159296945404652,,0.020797514214804358,0.014554634472015101,-0.028114076748106058,0.02541754756871032,0.030058554817275696,0.00208732330141358,0.02977021040974524,0.01631766880627302,0.00406146179401992,0.012497231450719801,-0.01699612403100772,0.025498640893989698,0.010700640951558902
Native American,-0.02708949964763918,-0.01417178484000696,,-0.007678468264757679,-0.0009584894850578403,-0.017404399490779078,0.03494850498338868,0.00770065593321406,-0.0031802325581395396,0.047031360112755445,0.02146819556478028,-0.03777413671599714,0.033546511627906936,-0.005519954851350181,0.023198320413436658,0.006298760614623321
Roma,0.04306289640591962,-0.02312301587301584,,0.0034444487045406395,0.0024257578851173784,-0.02669717070074984,0.04514285714285712,0.02268887443306046,0.03253052325581392,0.005874999999999979,0.0205199215890168,0.006579457364341059,-0.006632428940568461,-0.01823712624584714,0.003471760797342199,0.01885159897255866
South American,-0.005560354374307899,-0.029323866804139443,,0.00522147175510994,0.015373123910335176,-0.02488407617622358,0.000794926004228358,0.04076430836605249,0.021640429338103718,0.031481324876673676,0.009432776525799741,-0.01495985603543738,-0.012670769153327299,0.0037807686499546607,0.03518895348837207,0.01727879761709466
White,0.020041528239202622,-0.017016285678971198,,0.005802043615565957,0.013953171954435841,-0.030574647236525598,0.04943313953488368,0.048084570468291336,0.03226744186046508,0.00653398926654742,0.01592737478155542,-0.04595630725863277,0.01049515503875966,-0.04884306100875864,0.0033831672203765385,0.026303734587493
