,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
African,0.0462737843551797,0.08788689978249958,,0.03549071901002774,0.023392078488372093,0.048056974503741544,0.0,0.04965967101531481,-0.026103160405485985,0.07540913006029284,0.0420448972084849,-0.022622739018087857,0.026103160405485985,0.056556847545219634,-0.021208817829457362,0.04212510024057738
African American,0.2349284436493739,0.08144186046511628,,0.05959637102173816,0.027134811046511626,0.043962502722454805,0.05453696013289036,0.0,0.04965967101531481,0.05265637530072173,0.04430286391042205,-0.0355124391563007,0.0,0.13278564206268959,-0.022130940343781595,0.015424594785059902
Alaskan,-0.06362645348837209,-0.009089493355481726,,0.036761950904392764,0.039011840095060264,0.03094967552963159,0.03915474060822898,0.017552125100240578,0.03915474060822898,0.11568446088794926,0.0404239380347518,-0.0462737843551797,0.1477775693923481,0.22269258720930232,0.06362645348837209,0.052072800808897875
Arab,0.07540913006029284,-0.01786005711954304,,0.11576479731912144,0.01310326962928851,-0.001190670474636203,0.0,0.09788685152057246,-0.026103160405485985,0.25450581395348837,0.0613377321398695,0.10672824456114029,-0.04771984011627907,0.05988372093023256,0.0,0.03113634957941613
Asian,0.0,-0.019831621866505587,,0.04603235591506572,0.0632211894534143,0.011568446088794926,0.04072093023255814,0.036357973421926905,0.0669752141982864,0.1696705426356589,0.037860369017874304,0.015906613372093023,-0.07020850040096231,0.07271594684385381,-0.07830948121645796,0.062198428347735306
Black,0.010830034636318655,0.09146302688953488,,0.020854801143381445,0.007237132150336162,0.008483527131782945,0.03915474060822898,0.0,0.0,-0.01641972993248312,0.004338167283298097,-0.06786821705426356,0.009980620155038759,0.05265637530072173,-0.03283945986496624,0.027543919259035536
Caucasian,0.0,-0.05502828409805154,,0.02029282237502897,0.06276663654934003,0.014558595289712258,0.19863868406125923,0.19494062345373578,0.04965967101531481,0.10716034271725826,0.03967296511627907,-0.06639282103134479,-0.03915474060822898,0.03393410852713178,0.07635174418604651,0.1093743993849702
European,-0.042417635658914724,-0.014543189368770764,,0.04977419977688149,0.054434639382171995,0.015977943476900614,0.10531275060144346,0.19087936046511628,0.0,0.1636108803986711,0.04100619068952877,-0.02313689217758985,0.015424594785059902,0.11976744186046512,0.18753059975520195,0.09991209672444636
Hispanic,0.02313689217758985,0.035104250200481156,,0.039289062188360126,0.026328187650360865,0.023476427282921358,-0.031813226744186046,-0.012725290697674418,0.16260093669250644,0.11746422182468695,0.08368261817492417,0.031813226744186046,-0.014139211886304908,0.07271594684385381,0.0,0.061128417208228154
Jewish,0.11746422182468695,-0.053022044573643415,,0.06391177390760246,0.05590974402639561,0.03680438782956312,0.12725290697674418,0.12725290697674418,0.031813226744186046,0.25450581395348837,0.0946739351686937,-0.031813226744186046,0.022130940343781595,0.1696705426356589,-0.15270348837209302,0.0793077607220502
Latino,0.07069605943152454,0.0,,0.023596565532111504,0.03704831468943185,0.025499619124434287,-0.02313689217758985,0.03470533826638478,0.12119324473975636,0.05265637530072173,0.07901862270224735,-0.025450581395348837,0.012414917753828702,0.09788685152057246,0.036357973421926905,0.04658365344684385
Middle Eastern,0.0,-0.006878535512256443,,0.08640365448504983,0.02772825988598317,0.02108332186596945,0.025450581395348837,0.07953306686046512,0.040185128518971845,0.1339504283965728,0.049072954675341805,0.13573643410852712,-0.01957737030411449,0.16195824524312896,-0.03915474060822898,0.039262604907425204
Native American,-0.1696705426356589,-0.030849189570119805,,0.09061949436222692,0.0018992971190558833,0.04879622748732296,0.1696705426356589,0.0462737843551797,0.028278423772609817,0.2036046511627907,0.08234011627906977,-0.03393410852713178,0.2485870740941049,0.2349284436493739,0.0,0.04672087405909449
Roma,0.050901162790697674,-0.05798866647041507,,0.03026555625392835,0.040185128518971845,0.029540853405315617,0.05988372093023256,0.0,0.031813226744186046,0.11568446088794926,0.03617768595041323,0.03770456503014642,0.0,0.13278564206268959,0.028278423772609817,0.044316932777970615
South American,0.01641972993248312,0.006786821705426357,,0.031455774758296313,0.031813226744186046,0.032431626400120546,0.056556847545219634,0.06498020781791192,0.1595409580006942,0.10180232558139535,0.0901297802679988,0.06786821705426356,0.06362645348837209,0.12286487570168404,0.1850951374207188,0.04799613364879682
White,0.021208817829457362,-0.008344452916507816,,0.026373659477045425,0.06214145547158782,0.0182172582619339,0.01957737030411449,0.22269258720930232,0.056556847545219634,0.13278564206268959,0.042287119856887295,0.07830948121645796,0.031813226744186046,0.05358017135862913,-0.08483527131782945,0.08333376209096523
