,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
African,0.020116279069767436,-0.005388289036544849,,-0.009429505813953486,0.016763565891472862,0.007323888010837659,0.0,0.08621262458471758,0.025145348837209293,0.025145348837209293,0.0,-0.01885901162790697,0.0,0.015087209302325578,0.0,0.009630133597229092
African American,0.012572674418604646,0.008874829001367986,,0.025863787375415274,0.01197397563676633,-0.0077370304114490135,0.01885901162790697,0.030174418604651157,0.03771802325581394,0.016763565891472862,0.02045723295230587,0.01371564482029598,0.0,-0.02321109123434704,0.0,0.01371564482029598
Alaskan,0.0,-0.04400436046511627,,-0.03131307591048705,0.013510933703575144,-0.0035086533261222273,-0.021553156146179395,0.0,0.0,0.041146934460887935,-0.008621262458471758,-0.01885901162790697,0.012572674418604646,0.07543604651162789,-0.025145348837209293,0.01978650400304994
Arab,-0.025145348837209293,-0.028288517441860457,,0.009429505813953486,0.002743128964059196,-0.02743128964059196,0.0,0.03771802325581394,-0.021553156146179395,0.0,0.005293757649938799,-0.025145348837209293,-0.030174418604651157,-0.015087209302325578,-0.050290697674418586,0.008539929793769194
Asian,0.050290697674418586,-0.04800475687103593,,0.0,0.0036798071469086773,-0.017577331226010382,0.021553156146179395,0.041146934460887935,0.01371564482029598,-0.030174418604651157,0.027939276485788103,0.0,0.016763565891472862,0.033527131782945724,-0.033527131782945724,-0.009839484327603638
Black,0.010058139534883718,0.027939276485788103,,0.015881272949816398,0.028646599941124517,0.015204164413196318,0.030174418604651157,0.058027728085867605,-0.014368770764119597,0.015087209302325578,0.030174418604651157,-0.021553156146179395,-0.010776578073089698,-0.03771802325581394,0.0,0.015881272949816398
Caucasian,-0.008874829001367986,-0.016763565891472862,,-0.004919742163801819,-0.004230058682895022,-0.025907329105003516,0.0,0.08229386892177587,-0.00685782241014799,0.015087209302325578,-0.021553156146179395,-0.02743128964059196,0.01885901162790697,0.0,0.0,0.005955477356181149
European,0.03771802325581394,-0.004714752906976743,,0.0,-0.012879325014180371,-0.023821909424724595,0.04310631229235879,0.06600654069767439,0.022630813953488364,-0.01885901162790697,-0.043335601187530916,-0.01160554561717352,0.0,0.01160554561717352,-0.04310631229235879,-0.0059165526675786576
Hispanic,-0.015087209302325578,-0.013119312436804849,,-0.011175710594315241,0.012572674418604646,0.0,0.0,0.04526162790697673,0.15087209302325577,-0.030174418604651157,0.024139534883720924,0.0,0.0,0.0,-0.050290697674418586,0.03679807146908677
Jewish,-0.030174418604651157,-0.044374145006839935,,-0.014719228587634709,-0.0030174418604651154,-0.01371564482029598,0.0,0.021553156146179395,0.015087209302325578,0.0,-0.014600525131282816,0.050290697674418586,-0.025145348837209293,-0.060348837209302314,-0.01885901162790697,0.003210044532409697
Latino,0.012572674418604646,0.007940636474908199,,-0.010776578073089698,0.027079606440071548,-0.020809943865276657,0.030174418604651157,0.050290697674418586,0.016763565891472862,0.01885901162790697,-0.012840178129638788,0.0,0.030174418604651157,0.0,-0.04310631229235879,0.028890400791687275
Middle Eastern,0.04310631229235879,-0.03771802325581394,,0.005388289036544849,0.022002180232558136,-0.010561046511627904,-0.04310631229235879,0.025145348837209293,0.0,0.050290697674418586,0.009429505813953486,-0.012572674418604646,0.03771802325581394,0.0,-0.03771802325581394,0.015881272949816398
Native American,0.0,0.0,,-0.0071843853820597985,0.0025571541190382335,-0.007776912011508029,0.0,0.09052325581395346,0.0,0.11315406976744183,0.019557493540051672,0.060348837209302314,0.01885901162790697,0.0,0.060348837209302314,-0.024002378435517963
Roma,0.0,-0.04310631229235879,,-0.00973368342085521,0.01996836525307797,0.006617197062423499,0.0,0.0,0.060348837209302314,0.0,0.0,-0.030174418604651157,0.01885901162790697,-0.03771802325581394,-0.015087209302325578,0.006420089064819394
South American,0.07543604651162789,-0.006034883720930231,,-0.024139534883720924,0.006755466851787572,-0.010587515299877597,-0.050290697674418586,0.06465946843853819,0.0,0.041146934460887935,0.004310631229235879,-0.021553156146179395,-0.01371564482029598,0.021553156146179395,0.03771802325581394,0.006034883720930231
White,0.016763565891472862,-0.019678968655207275,,0.004714752906976743,0.01160554561717352,-0.03182458212209301,0.050290697674418586,0.01371564482029598,0.032329734219269095,-0.03771802325581394,0.004249918113331148,-0.02743128964059196,-0.010058139534883718,-0.03771802325581394,-0.08621262458471758,0.012572674418604646
