,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.09688161114248066,0.05046666666666664,0.09771287878787874,0.04613364413364408,-0.038700334448160546,0.06463111398405512,-0.03017063492063492,0.07589999999999997,,0.0784809523809523,0.10108095238095231
Buddhist,0.0317708683473389,0.12012777777777779,0.09270158730158728,0.03871794871794868,-0.018367676767676738,0.07612575757575751,-0.07142948717948717,0.05333613445378148,,0.07503030303030297,0.14748571428571425
Catholic,-0.0066820119352088425,0.04902777777777778,0.11122692307692301,0.10544924291394875,-0.06933716965046885,0.04282479578392624,-0.030972077922077863,0.03308181818181812,,0.002683694083694081,0.05911111111111107
Christian,0.01954273646217382,0.05874999999999995,0.08646464646464644,0.11548376068376065,-0.0323925554627309,0.030450980392156858,-0.02045255847953216,0.06503569794050337,,0.05557651515151511,0.08694487179487176
Hindu,-0.0003638601489478588,0.06777104377104376,0.08947342657342652,0.06508431372549014,-0.04304340548340546,0.01688404344193816,-0.03710238095238094,0.03500334448160532,,0.011349145299145285,0.06659047619047614
Jewish,0.0273012345679012,0.056197619047618996,0.08030877192982452,0.08237700534759354,-0.0379146364898046,0.08793088773971122,-0.0407635087719298,0.04725641025641021,,0.06349999999999997,0.08469999999999997
Mormon,0.013217673814165021,0.0362718253968254,0.05908051948051947,0.0169179487179487,-0.028320613328813145,0.05962634952766527,0.0009603638726445589,0.03189338161838156,,0.023399999999999997,0.08931428571428565
Muslim,0.04750527831069398,-0.009583333333333322,0.06597474747474742,0.08168730158730153,-0.061093628593628546,0.08110505050505046,-0.04229758114071838,0.11780880713489406,,0.06524999999999996,0.07955930735930734
Orthodox,-0.0097867049808429,0.04599841269841268,0.08057622377622374,0.10624370015948961,-0.059576923076923013,0.05054714640198508,-0.047816317016317,0.031197360793287544,,0.05357499999999994,0.13620067340067338
Protestant,0.01105392156862742,0.006484656084656063,0.09674471639471634,0.10086316392331733,-0.045346663760851356,0.03094206790123452,-0.012933333333333302,0.026532294372294336,,0.12789810189810186,0.025183333333333325
Sikh,-0.007022843822843819,0.005516666666666642,0.08734999999999996,0.07370231729055257,-0.08985242165242162,0.051663725490196044,-0.046046822742474874,0.025682051282051244,,0.04326984126984124,0.1190242424242424
