,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.09136363636363634,0.33499999999999996,0.33499999999999996,0.030454545454545453,-0.24566666666666662,0.025769230769230766,-0.2791666666666667,0.20099999999999998,,0.33499999999999996,0.0
Buddhist,0.1379411764705882,0.16749999999999998,-0.04785714285714285,-0.14888888888888888,-0.06699999999999999,-0.06699999999999999,-0.18038461538461537,0.04785714285714285,,0.21318181818181817,0.23928571428571427
Catholic,-0.059117647058823525,0.11166666666666665,0.2233333333333333,0.1379411764705882,-0.13399999999999998,0.12181818181818181,-0.16749999999999998,-0.06699999999999999,,-0.030454545454545453,0.0
Christian,0.0957142857142857,0.16749999999999998,0.11166666666666665,0.025769230769230766,-0.15868421052631576,0.0,-0.20937499999999998,0.02233333333333333,,0.16749999999999998,0.16749999999999998
Hindu,0.0,0.33499999999999996,0.26799999999999996,0.06699999999999999,-0.11166666666666665,-0.14357142857142854,-0.14357142857142854,0.11166666666666665,,0.20099999999999998,0.06699999999999999
Jewish,0.06699999999999999,0.06699999999999999,0.04785714285714285,0.0,-0.15633333333333332,-0.04785714285714285,-0.11166666666666665,0.1861111111111111,,0.16749999999999998,0.06699999999999999
Mormon,0.0,0.16749999999999998,0.0,-0.06699999999999999,-0.05289473684210525,0.0,-0.12342105263157893,-0.030454545454545453,,0.1861111111111111,0.1861111111111111
Muslim,0.27409090909090905,0.0,0.11166666666666665,0.04785714285714285,-0.11166666666666665,-0.03722222222222222,-0.17735294117647057,-0.13399999999999998,,0.25125,0.06699999999999999
Orthodox,-0.033499999999999995,0.20099999999999998,0.13399999999999998,0.26799999999999996,-0.2233333333333333,0.03722222222222222,-0.27409090909090905,0.0,,0.08374999999999999,0.2233333333333333
Protestant,0.055833333333333325,0.06699999999999999,0.16749999999999998,0.0773076923076923,-0.14357142857142854,0.0,-0.15633333333333332,-0.055833333333333325,,0.33499999999999996,0.06699999999999999
Sikh,0.06699999999999999,0.16749999999999998,0.16749999999999998,-0.019705882352941174,-0.11166666666666665,-0.09852941176470588,-0.13108695652173913,0.025769230769230766,,0.23928571428571427,0.2233333333333333
