,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.10613333333333333,0.10613333333333333,-0.061230769230769234,-0.053066666666666665,-0.09754901960784314,-0.013006535947712419,-0.028428571428571428,0.15307692307692308,,0.0,0.2026851851851852
Buddhist,0.06471544715447154,0.36483333333333334,0.09949999999999999,0.01700854700854701,-0.027074829931972785,0.10613333333333333,-0.10798449612403102,0.23953703703703702,,0.10205128205128206,0.24438596491228068
Catholic,-0.025760517799352747,0.0737037037037037,0.09228985507246378,0.032622950819672134,-0.08442424242424242,0.0,-0.03158730158730159,0.026533333333333332,,0.03826923076923077,0.07056737588652483
Christian,-0.07056737588652483,0.0,0.07210144927536231,0.07107142857142856,-0.058529411764705885,0.0990049751243781,-0.013266666666666666,-0.027638888888888886,,0.04145833333333333,0.09949999999999999
Hindu,-0.04552287581699347,0.08291666666666667,0.020515463917525775,-0.01792792792792793,0.0245679012345679,0.09008230452674897,0.0,0.006085626911314985,,0.0,0.16244897959183674
Jewish,-0.051465517241379315,0.04627906976744186,0.0,0.022873563218390805,-0.053066666666666665,0.1365686274509804,-0.07680701754385964,0.019509803921568626,,0.10012578616352201,0.09673611111111112
Mormon,-0.03726591760299625,0.17057142857142854,0.059625468164794006,0.05360269360269361,-0.07931159420289856,0.17456140350877192,0.11663003663003664,0.05236842105263158,,-0.05414965986394557,0.16135135135135137
Muslim,-0.03316666666666667,0.09476190476190476,0.05706093189964158,-0.03553571428571428,-0.08372168284789644,0.07023529411764706,-0.039799999999999995,0.13964912280701752,,0.040612244897959185,0.13568181818181818
Orthodox,0.04643333333333334,0.16583333333333333,0.02915750915750916,0.05527777777777777,-0.15075757575757576,0.04481981981981982,-0.02915750915750916,0.06154639175257732,,-0.07713178294573643,0.1206060606060606
Protestant,-0.050062893081761005,0.13266666666666668,0.0,0.09949999999999999,-0.08844444444444444,0.015426356589147287,0.006567656765676568,-0.03719626168224299,,0.1965432098765432,0.07959999999999999
Sikh,0.02792982456140351,0.08040404040404041,0.0,-0.011951951951951952,-0.03283828382838284,0.1231904761904762,-0.08122448979591837,0.09581481481481481,,0.02822695035460993,0.31839999999999996
