,highSES,lowSES
bartender,0.07233223028816478,-0.08712327939298325
cashier,0.07400846588561384,-0.08047780045127959
chemical engineer,0.07369258897710043,-0.08217506731586369
chemist,0.06405739017821757,-0.07742719215296397
construction worker,0.04963019245202258,-0.05691491865777972
dentist,0.06759044136401156,-0.08219162741222093
farm worker,0.05727410450347418,-0.06621718648062269
janitor,0.05244786982289103,-0.057708258676083715
judge,0.05641423376147055,-0.07564127526044573
lawyer,0.04819959414091978,-0.0596612417246717
line cook,0.06037080533191328,-0.0694477954513389
optometrist,0.06362931704670122,-0.07636271233973337
parking attendant,0.08061394436670964,-0.0907650830847504
pharmacist,0.06639661816008585,-0.08498166034208118
physician,0.07517189202687063,-0.08828779542653004
physics teacher,0.06563074712592508,-0.06970918139907109
professor,0.0596269325419622,-0.06813800929180325
psychologist,0.0657513193629043,-0.07619598782168566
receptionist,0.06424294289653,-0.0824593491804531
sales clerk,0.07142522716710754,-0.09300040492160866
scientist,0.0646869024369957,-0.07997868283296722
server,0.062295910201395285,-0.08208377447144925
taxi driver,0.06996044531687759,-0.07966564313345682
truck driver,0.053720283241934244,-0.057119617469031714
