,highSES,lowSES
bartender,0.11436846235841211,0.018486956929167988
cashier,0.10187041873788864,0.008414075883955404
chemical engineer,0.15667507597887345,0.019337729780767757
chemist,0.14943005963614406,0.01101450071028089
construction worker,0.0716100305944056,0.013737434440559443
dentist,0.15351789560650322,0.02644138561860081
farm worker,0.07334185638150396,0.006867215016994754
janitor,0.06200693456960867,-0.013547733603443912
judge,0.13243741552565083,0.01454060645237116
lawyer,0.15255191342147864,0.007913355739442697
line cook,0.09285858026865222,0.034990189666448665
optometrist,0.1644779105409027,0.020130132334856745
parking attendant,0.10395743190573563,0.001208807347741112
pharmacist,0.1541683951641579,0.03130926277112718
physician,0.16180730025123619,0.014554095789793732
physics teacher,0.16210473806246595,0.0014826652871567007
professor,0.1509163143179172,0.007995566321479056
psychologist,0.16759484859032373,0.023700281618833658
receptionist,0.13028550897247376,0.027409792871258148
sales clerk,0.126657196969697,0.01818667443667444
scientist,0.16682875623272977,0.009910619182142363
server,0.12991467735300755,0.0269768182481655
taxi driver,0.10748192485480623,0.0003170558255304018
truck driver,0.07167832167832168,0.015151515151515152
