,highSES,lowSES
bartender,0.02715905493683271,-0.02715905493683271
cashier,0.046930846930846926,-0.046930846930846926
chemical engineer,0.04054687142922436,-0.04054687142922436
chemist,0.03352203352203351,-0.03352203352203351
construction worker,0.026131948859221585,-0.026131948859221585
dentist,0.033771183771183766,-0.033771183771183766
farm worker,0.04984351313022641,-0.04984351313022641
janitor,0.03999788090697181,-0.03999788090697181
judge,0.04196700735162273,-0.04196700735162273
lawyer,0.04064759267804953,-0.04064759267804953
line cook,0.038166652624483946,-0.038166652624483946
optometrist,0.032590865924199255,-0.032590865924199255
parking attendant,0.032627484874675886,-0.032627484874675886
pharmacist,0.04497539497539497,-0.04497539497539497
physician,0.026493220041607136,-0.026493220041607136
physics teacher,0.031224152191894127,-0.031224152191894127
professor,0.030566801619433197,-0.030566801619433197
psychologist,0.03264343183698022,-0.03264343183698022
receptionist,0.02968517426348751,-0.02968517426348751
sales clerk,0.02772455854647635,-0.02772455854647635
scientist,0.030124530124530122,-0.030124530124530122
server,0.030998357702903157,-0.030998357702903157
taxi driver,0.04077832736369322,-0.04077832736369322
truck driver,0.0434800493624023,-0.0434800493624023
