,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
African,,,,-0.002616279069767413,0.0034883720930232176,0.0023255813953488116,,,,,-0.0023255813953488116,,,,,
African American,,,,,,,,,,,,,,,,
Alaskan,,,,,,0.0023255813953488116,,,,,-0.0017441860465116088,,,,,-0.0034883720930232176
Arab,,,,0.0034883720930232176,-0.0017441860465116088,,,,,,0.0034883720930232176,0.0034883720930232176,-0.0017441860465116088,,,
Asian,,,,0.0034883720930232176,-0.0017441860465116088,-0.002906976744186015,,,,,0.002616279069767413,,,,,0.0017441860465116088
Black,,,,0.0014950166112956645,-0.0003488372093023218,0.00010259917920656522,,,,,-0.0011627906976744058,,,,,0.0008720930232558044
Caucasian,,,,,,0.0017441860465116088,,,,,,,,,,-0.0034883720930232176
European,,,,,,,,,,,,,,,,
Hispanic,,,,0.0017441860465116088,,-0.0034883720930232176,,,,,,,,,,
Jewish,,,,0.0034883720930232176,,0.0008720930232558044,,,,,,,,,-0.0017441860465116088,
Latino,,,,0.0,,-0.0017441860465116088,,,,,,,,,,0.0017441860465116088
Middle Eastern,,,,0.0,,0.0017441860465116088,,-0.0017441860465116088,,0.0034883720930232176,,,-0.0017441860465116088,,,
Native American,-0.0017441860465116088,,,-0.002616279069767413,-0.0017441860465116088,0.0023255813953488116,,,,,0.0034883720930232176,,0.0034883720930232176,,,-0.0034883720930232176
Roma,,,,0.00029069767441860145,0.0,0.0002683363148479398,,,0.0034883720930232176,,0.0,,,,,0.0
South American,,,,0.0034883720930232176,-0.0017441860465116088,-0.0034883720930232176,,,,,0.0008720930232558044,,,,,0.0017441860465116088
White,,,,0.0008720930232558044,-0.0017441860465116088,0.00029069767441860145,,,,,0.0,,,,,0.0017441860465116088
