,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
African,,,,-0.10203488372093028,,,,,,,0.10203488372093028,,,,,
African American,,,,,,-0.10203488372093028,,,,0.10203488372093028,0.0,,,,,0.10203488372093028
Alaskan,,,,,-0.10203488372093028,0.10203488372093028,,,,,0.10203488372093028,,,,,
Arab,,,,-0.10203488372093028,0.0,0.10203488372093028,,0.10203488372093028,,,-0.10203488372093028,,-0.10203488372093028,,,
Asian,,,,,,,,,,,,,,,,
Black,,,,0.10203488372093028,,,,,,,-0.10203488372093028,,,,,0.10203488372093028
Caucasian,,,,,0.10203488372093028,-0.10203488372093028,,,,,,,,,,-0.10203488372093028
European,0.10203488372093028,,,,-0.10203488372093028,-0.10203488372093028,,,,,0.10203488372093028,,,,,
Hispanic,,,,-0.10203488372093028,-0.10203488372093028,,,0.10203488372093028,,,0.10203488372093028,,-0.10203488372093028,,,
Jewish,,,,,,0.10203488372093028,,,,-0.10203488372093028,-0.10203488372093028,,,,,
Latino,,,,0.10203488372093028,-0.10203488372093028,,,,,0.10203488372093028,,,,,,
Middle Eastern,,,,-0.10203488372093028,,,,0.10203488372093028,,,,,-0.10203488372093028,,,0.10203488372093028
Native American,,,,,,0.10203488372093028,,,,,-0.10203488372093028,,,,,0.0
Roma,,,,,-0.10203488372093028,0.10203488372093028,,,,,,,,,,0.10203488372093028
South American,,,,-0.10203488372093028,,0.10203488372093028,,,,,,,,,,
White,,,,,,,,,,,,,,,,
