,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.10888888888888888,,,,-0.19599999999999998,0.16333333333333333,,0.10888888888888888,,0.16333333333333333,
Buddhist,0.10888888888888888,0.0,,,-0.20787878787878789,0.16333333333333333,,0.10888888888888888,,0.16333333333333333,
Catholic,0.16333333333333333,,0.32666666666666666,,-0.17818181818181816,0.10888888888888888,,0.10888888888888888,,0.16333333333333333,
Christian,0.10888888888888888,,0.32666666666666666,,-0.17818181818181816,0.10888888888888888,,0.16333333333333333,,0.16333333333333333,
Hindu,0.10888888888888888,,,,-0.20787878787878789,0.10888888888888888,,0.10888888888888888,,0.16333333333333333,
Jewish,0.16333333333333333,,0.0,,-0.13066666666666668,0.16333333333333333,,0.16333333333333333,,0.16333333333333333,
Mormon,0.16333333333333333,,,,-0.16333333333333333,0.16333333333333333,,0.10888888888888888,,0.32666666666666666,
Muslim,0.10888888888888888,0.0,0.16333333333333333,,-0.16333333333333333,0.10888888888888888,,0.10888888888888888,,0.16333333333333333,
Orthodox,0.16333333333333333,,,0.0,-0.1814814814814815,0.21777777777777776,,0.10888888888888888,,0.08166666666666667,
Protestant,0.16333333333333333,,0.32666666666666666,,-0.16333333333333333,0.16333333333333333,0.0,0.10888888888888888,,0.16333333333333333,
Sikh,0.10888888888888888,0.0,0.0,,-0.1758974358974359,0.10888888888888888,0.0,0.10888888888888888,,0.16333333333333333,0.32666666666666666
