,highSES,lowSES
bartender,-0.004498106060606077,0.0003460081585081598
cashier,-0.00675137870259824,0.0
chemical engineer,-0.006959706959706985,0.00031635031635031754
chemist,-0.008741258741258775,0.0
construction worker,-0.006766381766381792,0.0
dentist,-0.009084932161855273,0.00028390413005797727
farm worker,-0.004884821061291668,-0.0003256547374194445
janitor,-0.007481257481257509,-0.0005985005985006008
judge,-0.006766381766381792,0.0006151256151256174
lawyer,-0.00395437895437897,0.0
line cook,-0.0070976032514494325,0.0
optometrist,-0.006151256151256174,0.0
parking attendant,-0.0036907536907537044,-0.0005272505272505292
pharmacist,-0.003321678321678334,0.0
physician,-0.005314685314685335,0.00044289044289044457
physics teacher,-0.006410256410256434,0.0011655011655011698
professor,-0.005843693343693366,0.0009226884226884261
psychologist,-0.001006569188387374,0.002013138376774748
receptionist,-0.008027389277389307,-0.00027680652680652786
sales clerk,-0.0062458908612755,0.00028390413005797727
scientist,-0.00821490337619373,0.000714339424016846
server,-0.007467338862687727,0.0
taxi driver,-0.0071820071820072095,0.0002992502992503004
truck driver,-0.006118881118881142,-0.00029137529137529246
