,highSES,lowSES
bartender,-0.4401223776223776,0.4401223776223776
cashier,,
chemical engineer,,
chemist,,
construction worker,,
dentist,,
farm worker,0.2934149184149184,-0.5868298368298368
janitor,0.5868298368298368,-0.2934149184149184
judge,-0.5868298368298368,0.2934149184149184
lawyer,-0.2934149184149184,0.5868298368298368
line cook,0.2934149184149184,-0.5868298368298368
optometrist,-0.5868298368298368,0.2934149184149184
parking attendant,0.2934149184149184,-0.5868298368298368
pharmacist,,
physician,,
physics teacher,-0.5868298368298368,0.2934149184149184
professor,-0.0978049728049728,0.1956099456099456
psychologist,0.5868298368298368,-0.2934149184149184
receptionist,,
sales clerk,0.2934149184149184,-0.5868298368298368
scientist,,
server,,
taxi driver,,
truck driver,-0.5868298368298368,0.2934149184149184
