,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,-0.12791666666666668,0.2192857142857143,-0.13954545454545456,-0.1805882352941177,-0.015049019607843139,0.02923809523809524,0.13464912280701755,0.18273809523809526,,-0.5116666666666667,0.06395833333333334
Buddhist,-0.1228,0.2999425287356322,-0.013119658119658121,-0.1583730158730159,0.1628030303030303,0.07675,0.021319444444444446,-0.03997395833333334,,-0.12791666666666668,0.12791666666666668
Catholic,0.008121693121693122,-0.03528735632183908,0.1860606060606061,0.007871794871794874,-0.10233333333333335,0.015743589743589748,-0.02692982456140351,0.047230769230769236,,-0.20931818181818185,0.015505050505050508
Christian,0.05016339869281046,0.07580246913580248,0.007752525252525254,-0.023615384615384618,0.13303333333333334,-0.01860606060606061,-0.02516393442622951,-0.04263888888888889,,-0.040933333333333335,0.10233333333333335
Hindu,-0.08672316384180791,-0.01895061728395062,0.0,-0.12317901234567902,-0.023615384615384618,0.03997395833333334,0.0,0.008527777777777778,,0.17711538461538462,0.06202020202020203
Jewish,-0.008672316384180792,0.047968750000000004,-0.15815151515151515,0.13008474576271187,-0.03528735632183908,-0.04951612903225807,-0.03654761904761905,0.06202020202020203,,-0.1228,-0.02325757575757576
Mormon,0.17055555555555557,-0.08898550724637681,0.00947530864197531,-0.057768817204301076,-0.025583333333333336,0.0,-0.015989583333333335,-0.013290043290043293,,-0.033010752688172045,0.04651515151515152
Muslim,0.06109452736318408,0.0,-0.033010752688172045,-0.025583333333333336,-0.10233333333333335,0.00730952380952381,0.02516393442622951,-0.020743243243243246,,-0.1461904761904762,-0.05847619047619048
Orthodox,0.009136904761904763,-0.1334782608695652,-0.11877976190476192,-0.0075245098039215695,0.11086111111111112,0.05032786885245902,0.10050595238095239,-0.11899224806201551,,0.0,0.05116666666666667
Protestant,-0.010233333333333334,-0.018273809523809526,0.040933333333333335,0.08933862433862434,-0.09704022988505748,-0.08771428571428572,0.03997395833333334,0.0,,-0.054821428571428577,0.05903846153846155
Sikh,0.060196078431372556,0.25583333333333336,-0.02790909090909091,0.12791666666666668,-0.03935897435897436,-0.14259562841530055,-0.04488304093567252,0.08976608187134504,,0.0,0.02923809523809524
