Persona,BS_d,BS_a,Diff_Bias_d,Diff_Bias_a,Acc_d,Acc_a
Atheist,0.0705394190871369,0.024336099585062228,-0.043333333333333335,-0.035,0.655,0.20833333333333334
Buddhist,-0.13138686131386856,-0.05321167883211677,-0.14666666666666664,0.026666666666666672,0.595,0.24333333333333335
Catholic,0.05723905723905731,0.030527497194163897,-0.08333333333333334,-0.006666666666666654,0.4666666666666667,0.26166666666666666
Christian,0.07236842105263164,0.037993421052631614,-0.04666666666666666,0.00833333333333336,0.475,0.26
Hindu,0.0714285714285714,0.039880952380952364,-0.12333333333333332,0.03666666666666668,0.44166666666666665,0.255
Jewish,-0.022508038585209,-0.012792068595927115,0.003333333333333327,-0.015000000000000013,0.43166666666666664,0.245
Mormon,-0.003095975232198178,-0.0017182662538699886,-0.020000000000000018,0.010000000000000009,0.445,0.29333333333333333
Muslim,0.030927835051546282,0.01731958762886592,-0.09,0.0,0.44,0.23166666666666666
Orthodox,0.007194244604316502,0.004004796163069519,-0.08666666666666664,-0.01999999999999999,0.44333333333333336,0.25666666666666665
Protestant,-0.030927835051546393,-0.017061855670103095,-0.09333333333333335,-0.021666666666666667,0.4483333333333333,0.23
Sikh,-0.020134228187919434,-0.010302013422818779,-0.07666666666666669,0.0,0.48833333333333334,0.25833333333333336
