,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
African,-0.026275839793281654,0.034397463002114166,,0.09421615862132864,0.04229769332577047,0.052147435897435895,0.042996828752642706,-0.20269933554817277,-0.09095483005366727,-0.03378322259136213,0.03569548047389206,-0.08445805647840532,-0.14394590495449952,0.05912063953488372,0.25224806201550387,0.009273825809393526
African American,0.11824127906976745,-0.0127828409805154,,0.0413844476744186,0.013568671368661838,0.03688864416661269,-0.1289904862579281,0.19475034199726401,0.15765503875968992,0.4299682875264271,0.04712819663990731,0.09459302325581397,-0.026275839793281654,0.05912063953488372,-0.2364825581395349,0.026721193010116936
Alaskan,0.03941375968992248,0.06756644518272426,,0.0,0.04222902823920266,0.04537165359653867,-0.2364825581395349,-0.14552772808586764,0.2128343023255814,0.15765503875968992,0.04657989781536293,0.2738219094247246,0.07467870257037944,0.30097780126849893,-0.43918189368770766,-0.0026721193010116936
Arab,0.06756644518272426,-0.28597890751757704,,0.05530640472618154,0.012932639898255814,0.05081443398039593,0.19706879844961242,-0.06306201550387597,0.11416399358460305,-0.03378322259136213,0.08280870722731189,0.1379481589147287,-0.14188953488372094,0.6306201550387597,-0.08599365750528541,0.01901367301624401
Asian,0.13910738714090287,-0.13047313552526063,,0.028540998396150763,-0.02758963178294574,0.06366838103756708,0.1289904862579281,0.21020671834625324,-0.08225480283114257,0.35472383720930234,0.06327292525472505,0.0,0.02956031976744186,0.19475034199726401,0.41384447674418606,0.02515771895101435
Black,0.0,0.010510335917312662,,0.10055163889397548,0.05465374677002584,0.005226133881536682,0.031531007751937984,0.0,0.24411102775693924,0.0,0.04256686046511628,-0.0815457097032879,0.13910738714090287,-0.20269933554817277,-0.03941375968992248,0.05085646411602901
Caucasian,0.0,-0.054995943753380204,,-0.024049073709105244,0.038609397247271,0.07567441860465117,0.4729651162790698,0.2837790697674419,-0.07276386404293382,0.21498414376321354,0.03583069062720226,0.026275839793281654,-0.06449524312896406,0.07882751937984496,-0.15765503875968992,0.026571073948262348
European,-0.06756644518272426,-0.013137919896640827,,0.041427601425903925,0.0769943212547323,-0.02634903154758049,-0.05255167958656331,0.08599365750528541,0.09459302325581397,0.2627583979328166,0.055451082598235765,0.10749207188160677,0.270265780730897,-0.04729651162790698,-0.30097780126849893,0.05067483388704319
Hispanic,-0.2364825581395349,-0.19610748723766308,,0.03224762156448203,0.026275839793281654,0.03103445644875786,0.07882751937984496,0.12612403100775194,0.3869714587737844,0.2364825581395349,0.0436814916308695,0.05457289803220036,0.15765503875968992,0.540531561461794,0.2579809725158562,0.0515110522680175
Jewish,0.15765503875968992,-0.26843966059082336,,0.07504612546125461,0.023557649469838723,0.044057024530105134,0.0,0.0,0.061691102123356927,0.4299682875264271,0.10705629321181646,0.11261074197120709,-0.18190966010733453,0.21020671834625324,0.1289904862579281,0.0025428232058014506
Latino,0.0,-0.19706879844961242,,0.015535350534713973,0.013809200475301308,0.012877763067004375,0.21498414376321354,0.09957160342717258,0.2049515503875969,0.20269933554817277,0.08319256116960837,0.020563700707785643,0.2225718194254446,0.3468410852713178,-0.35472383720930234,0.02096889678084546
Middle Eastern,-0.348500611995104,0.024892900856793146,,0.053991451630030794,-0.00985343992248062,-0.015765503875968992,-0.2956031976744186,0.0,0.20692223837209303,0.18918604651162793,0.11824127906976745,0.1289904862579281,-0.05457289803220036,-0.027821477428180575,0.17198731501057082,0.019109701667841206
Native American,0.0,-0.013137919896640827,,0.05300471130713713,0.029169654748488885,0.03988862426449986,0.03638193202146691,0.31531007751937984,-0.20010062611806798,0.42041343669250647,0.05722709591988745,-0.03503445305770887,0.0,0.4729651162790698,-0.03378322259136213,0.060195560253699786
Roma,0.04504429678848283,-0.09196543927648579,,0.059895145729663854,0.004059786405828925,0.01794447595638747,0.34397463002114165,0.3468410852713178,0.2593679669917479,0.2364825581395349,0.009819344974651967,0.174250305997552,0.05255167958656331,0.027821477428180575,-0.18918604651162793,0.12092858086680762
South American,0.2225718194254446,-0.03460720363017584,,0.033088094554502824,0.006478974195603696,0.059770316892409914,0.06306201550387597,0.3468410852713178,0.014332276250880903,0.042996828752642706,0.08098717744504619,0.2467644084934277,-0.07882751937984496,0.4729651162790698,-0.03941375968992248,-0.025845088321260642
White,0.2758963178294574,-0.1397396934460888,,-0.00370953032375741,0.028957047935453253,0.030396215699169008,0.0,0.0,0.05255167958656331,0.10914579606440072,0.09326072715361938,0.05255167958656331,-0.2128343023255814,0.5589587737843552,-0.031531007751937984,-0.03473755091315202
