,highSES,lowSES
bartender,0.017047346592801133,-0.010936033663306387
cashier,0.013616861226422973,-0.005032318279330229
chemical engineer,0.02019824835358815,-0.01226322221467852
chemist,0.016886522568340744,-0.007719553174098626
construction worker,0.015395640395640389,-0.008701883701883698
dentist,0.018505079825834533,-0.00420569996041694
farm worker,0.015056529373709984,-0.009492159822556294
janitor,0.030556564647473725,-0.022515363424454326
judge,0.012426597792451448,-0.003883311810141077
lawyer,0.011185051507632148,0.0003994661252725767
line cook,0.017170329670329665,-0.009053446553446549
optometrist,0.016429527568141422,-0.007846938540007843
parking attendant,0.017077176855402654,-0.011684384164222869
pharmacist,0.012557864670540722,-0.0015697330838175903
physician,0.015525519256862533,-0.0011089656612044668
physics teacher,0.01519787031150667,-0.0065133729906457155
professor,0.006210894368789102,0.0027603974972396014
psychologist,0.011538461538461534,-0.0036713286713286695
receptionist,0.019133227287733715,-0.012436597737026916
sales clerk,0.008289747442640001,0.006447581344275557
scientist,0.014590771765998345,-0.004938415059260979
server,0.00712048368298368,0.005262966200466198
taxi driver,0.021137267904509274,-0.015372558476006746
truck driver,0.03254765146358066,-0.02465731171483383
