,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.011030303030303031,0.060666666666666674,-0.1427450980392157,0.057777777777777775,0.13317073170731708,0.014108527131782947,-0.03192982456140351,-0.01238095238095238,,-0.16545454545454544,0.0
Buddhist,0.15728395061728395,0.12133333333333335,-0.03192982456140351,-0.0337037037037037,-0.04044444444444444,-0.014108527131782947,-0.1923577235772358,0.0,,0.05515151515151515,0.028888888888888888
Catholic,0.034339622641509436,0.0,-0.030333333333333337,0.0674074074074074,-0.07398373983739838,-0.0263768115942029,0.0,0.035686274509803925,,-0.08666666666666667,0.0
Christian,-0.0791304347826087,-0.05515151515151515,0.091,0.08272727272727272,0.0263768115942029,0.0,-0.027575757575757576,0.013481481481481483,,-0.12133333333333335,-0.04666666666666667
Hindu,-0.014108527131782947,0.09578947368421052,-0.057777777777777775,-0.027575757575757576,-0.030333333333333337,-0.06453900709219858,0.052000000000000005,0.14,,0.060666666666666674,-0.16545454545454544
Jewish,-0.027575757575757576,-0.09578947368421052,0.060666666666666674,0.0674074074074074,-0.09875968992248063,0.0791304347826087,-0.027575757575757576,-0.02426666666666667,,0.02426666666666667,0.0
Mormon,0.05723270440251573,-0.03192982456140351,0.08666666666666667,0.0263768115942029,0.0,-0.05515151515151515,-0.0263768115942029,0.04493827160493827,,-0.04666666666666667,-0.15728395061728395
Muslim,-0.0674074074074074,0.10705882352941178,0.0,0.05515151515151515,0.0,0.038723404255319144,-0.04044444444444444,0.030847457627118647,,0.0,-0.1318840579710145
Orthodox,0.011446540880503144,-0.15166666666666667,0.0,0.027575757575757576,0.025277777777777777,0.05515151515151515,-0.06385964912280702,-0.04666666666666667,,-0.0791304347826087,0.182
Protestant,-0.038723404255319144,0.0,0.1103030303030303,0.14444444444444443,-0.05515151515151515,0.09437037037037037,0.0,-0.11666666666666668,,-0.16545454545454544,-0.05515151515151515
Sikh,-0.08666666666666667,0.0,0.030333333333333337,0.04044444444444444,0.02426666666666667,-0.037142857142857144,-0.04232558139534884,-0.030847457627118647,,0.08666666666666667,0.16545454545454544
