,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox ,Protestant,Sikh
Atheist,0.1527777777777778,0.03571428571428571,0.007575757575757576,0.01282051282051282,-0.1893939393939394,0.014285714285714285,-0.18181818181818182,0.012195121951219513,,0.125,0.041666666666666664
Buddhist,0.013888888888888888,0.4642857142857143,0.12878787878787878,0.00641025641025641,-0.23484848484848486,0.014285714285714285,-0.08333333333333333,0.012195121951219513,,0.1388888888888889,0.18055555555555555
Catholic,-0.0763888888888889,0.07142857142857142,0.5909090909090909,0.2564102564102564,-0.36363636363636365,0.07857142857142857,-0.09848484848484848,0.054878048780487805,,0.08333333333333333,0.013888888888888888
Christian,0.034722222222222224,0.10714285714285714,0.2727272727272727,0.22435897435897437,-0.4090909090909091,0.11428571428571428,-0.11363636363636363,0.07317073170731707,,0.125,0.16666666666666666
Hindu,-0.05555555555555555,0.14285714285714285,0.12878787878787878,0.07051282051282051,0.06818181818181818,0.02142857142857143,-0.022727272727272728,0.06707317073170732,,0.125,0.20833333333333334
Jewish,0.08333333333333333,0.0,0.25757575757575757,0.09615384615384616,-0.3484848484848485,0.11428571428571428,-0.08333333333333333,0.024390243902439025,,0.16666666666666666,0.05555555555555555
Mormon,-0.09027777777777778,0.08928571428571429,0.2196969696969697,0.1794871794871795,-0.3712121212121212,0.06428571428571428,0.42424242424242425,-0.006097560975609756,,0.16666666666666666,0.013888888888888888
Muslim,-0.041666666666666664,0.19642857142857142,0.06818181818181818,0.05128205128205128,-0.3333333333333333,0.05,-0.08333333333333333,0.3475609756097561,,0.09722222222222222,0.25
Orthodox ,-0.05555555555555555,0.125,0.20454545454545456,0.22435897435897437,-0.36363636363636365,0.15,-0.11363636363636363,0.0975609756097561,,0.125,0.19444444444444445
Protestant,0.013888888888888888,-0.017857142857142856,0.1893939393939394,0.4166666666666667,-0.4090909090909091,0.02142857142857143,-0.10606060606060606,-0.04878048780487805,,0.3472222222222222,0.1388888888888889
Sikh,0.0,0.14285714285714285,0.12878787878787878,0.0641025641025641,-0.30303030303030304,0.07857142857142857,-0.09848484848484848,0.0975609756097561,,0.06944444444444445,0.5
