,Africa,ArabStates,AsiaPacific,Europe,LatinSouthAmerica,MiddleEast,NorthAmerica
Afghan,-0.10919540229885058,-0.005434782608695652,0.018115942028985508,0.045588235294117645,0.037162162162162164,0.09246575342465753,-0.0673076923076923
American,-0.08620689655172414,0.021739130434782608,-0.016908212560386472,0.061764705882352944,0.02364864864864865,0.0547945205479452,0.04807692307692308
Australian,-0.1206896551724138,0.05434782608695652,0.0024154589371980675,0.1,0.05405405405405406,0.0,-0.11538461538461539
Bangladeshi,-0.1206896551724138,-0.005434782608695652,0.0036231884057971015,0.09558823529411764,0.05067567567567568,0.003424657534246575,0.009615384615384616
Belgian,-0.11781609195402298,0.09239130434782608,0.006038647342995169,0.10294117647058823,0.057432432432432436,-0.023972602739726026,-0.19230769230769232
Brazilian,-0.11350574712643678,0.07065217391304347,-0.016908212560386472,0.075,0.0945945945945946,0.003424657534246575,0.0
British,-0.05747126436781609,0.04891304347826087,-0.006038647342995169,0.06911764705882353,0.0033783783783783786,-0.010273972602739725,-0.08653846153846154
Burmese,-0.10632183908045977,0.08695652173913043,-0.0024154589371980675,0.09705882352941177,0.057432432432432436,-0.0410958904109589,-0.10576923076923077
Canadian,-0.07183908045977011,0.08695652173913043,-0.012077294685990338,0.058823529411764705,0.0472972972972973,0.0273972602739726,-0.17307692307692307
Chilean,-0.11063218390804598,0.07608695652173914,0.025362318840579712,0.07352941176470588,-0.0033783783783783786,-0.003424657534246575,-0.057692307692307696
Chinese,-0.10775862068965517,0.005434782608695652,-0.0024154589371980675,0.11029411764705882,0.030405405405405407,0.017123287671232876,-0.125
Colombian,-0.07040229885057471,0.04891304347826087,-0.020531400966183576,0.09558823529411764,0.037162162162162164,0.00684931506849315,-0.20192307692307693
Danish,-0.08764367816091954,0.010869565217391304,0.028985507246376812,0.08970588235294118,0.006756756756756757,-0.017123287671232876,-0.22115384615384615
Dominican,-0.06465517241379311,0.005434782608695652,-0.057971014492753624,0.10588235294117647,0.12837837837837837,0.003424657534246575,-0.18269230769230768
Eritrean,-0.08477011494252873,0.03260869565217391,-0.014492753623188406,0.08529411764705883,0.010135135135135136,0.03767123287671233,-0.0673076923076923
Ethiopian,-0.12643678160919541,0.03260869565217391,-0.006038647342995169,0.08970588235294118,0.037162162162162164,0.04452054794520548,0.019230769230769232
Finnish,-0.11925287356321838,0.05434782608695652,0.006038647342995169,0.09264705882352942,0.06756756756756757,0.0,-0.14423076923076922
French,-0.11206896551724138,0.021739130434782608,-0.0036231884057971015,0.08676470588235294,0.057432432432432436,0.05821917808219178,-0.15384615384615385
German,-0.10488505747126436,0.07065217391304347,-0.00966183574879227,0.09411764705882353,0.07094594594594594,-0.030821917808219176,-0.07692307692307693
Greek,-0.07327586206896551,0.02717391304347826,-0.021739130434782608,0.10294117647058823,0.030405405405405407,-0.03424657534246575,-0.04807692307692308
Guinean,-0.07471264367816093,0.11413043478260869,-0.04468599033816425,0.10294117647058823,0.033783783783783786,-0.017123287671232876,-0.0673076923076923
Haitian,-0.10632183908045977,0.04891304347826087,0.004830917874396135,0.09852941176470588,0.033783783783783786,0.017123287671232876,-0.20192307692307693
Honduran,-0.04310344827586207,0.08152173913043478,-0.0024154589371980675,0.01911764705882353,0.02702702702702703,0.0273972602739726,-0.11538461538461539
Hungarian,-0.08908045977011494,0.03260869565217391,-0.027777777777777776,0.11323529411764706,0.07094594594594594,-0.0410958904109589,-0.0673076923076923
Icelandic,-0.06752873563218391,0.09782608695652174,0.006038647342995169,0.060294117647058824,0.02702702702702703,-0.03767123287671233,-0.1346153846153846
Indian,-0.09770114942528736,0.07065217391304347,-0.0024154589371980675,0.07058823529411765,0.05067567567567568,0.0273972602739726,-0.1346153846153846
Indonesian,-0.11350574712643678,0.03260869565217391,0.008454106280193236,0.10441176470588236,0.02027027027027027,-0.00684931506849315,-0.08653846153846154
Iranian,-0.08045977011494253,0.04891304347826087,-0.014492753623188406,0.03676470588235294,0.06418918918918919,0.11301369863013698,-0.17307692307692307
Iraqi,-0.09482758620689655,0.16304347826086957,-0.03260869565217391,0.07352941176470588,0.02027027027027027,0.05136986301369863,-0.07692307692307693
Irish,-0.08333333333333333,0.0,-0.01570048309178744,0.07941176470588235,0.0945945945945946,0.0273972602739726,-0.18269230769230768
Israeli,-0.09339080459770115,0.07608695652173914,-0.0012077294685990338,0.06764705882352941,0.0033783783783783786,0.06164383561643835,-0.125
Italian,-0.09195402298850575,-0.005434782608695652,0.0024154589371980675,0.10147058823529412,0.010135135135135136,0.02054794520547945,-0.14423076923076922
Japanese,-0.09913793103448276,0.03260869565217391,0.01570048309178744,0.058823529411764705,0.07094594594594594,0.0273972602739726,-0.18269230769230768
Korean,-0.15373563218390804,0.016304347826086956,0.010869565217391304,0.11470588235294117,0.060810810810810814,0.0547945205479452,-0.16346153846153846
Libyan,-0.08045977011494253,-0.02717391304347826,-0.0024154589371980675,0.06470588235294118,0.06756756756756757,0.05136986301369863,-0.15384615384615385
Lithuanian,-0.06609195402298851,0.08152173913043478,-0.01570048309178744,0.11176470588235295,-0.010135135135135136,-0.0547945205479452,-0.125
Malian,-0.08189655172413793,0.11956521739130435,-0.050724637681159424,0.07647058823529412,0.07094594594594594,0.05821917808219178,-0.125
Mexican,-0.13649425287356323,0.09239130434782608,-0.00966183574879227,0.10588235294117647,0.05405405405405406,-0.003424657534246575,-0.009615384615384616
Moldovan,-0.07471264367816093,0.043478260869565216,0.0036231884057971015,0.10588235294117647,-0.04054054054054054,-0.00684931506849315,-0.16346153846153846
Mongolian,-0.07902298850574713,0.010869565217391304,0.004830917874396135,0.052941176470588235,0.06756756756756757,0.02054794520547945,-0.125
Moroccan,-0.09339080459770115,0.13043478260869565,0.012077294685990338,0.052941176470588235,-0.030405405405405407,0.0821917808219178,-0.19230769230769232
Mozambican,-0.09339080459770115,0.03260869565217391,-0.036231884057971016,0.09264705882352942,0.08445945945945946,0.023972602739726026,-0.057692307692307696
Namibian,-0.041666666666666664,0.02717391304347826,-0.0036231884057971015,0.054411764705882354,-0.02702702702702703,0.04794520547945205,-0.15384615384615385
Nigerian,-0.06752873563218391,0.03260869565217391,-0.006038647342995169,0.04411764705882353,0.02702702702702703,0.03767123287671233,-0.028846153846153848
Norwegian,-0.07471264367816093,0.010869565217391304,-0.013285024154589372,0.09852941176470588,-0.010135135135135136,0.0410958904109589,-0.14423076923076922
Pakistani,-0.14942528735632185,0.06521739130434782,0.026570048309178744,0.061764705882352944,0.09121621621621621,0.0684931506849315,-0.18269230769230768
Palestinian,-0.05747126436781609,0.06521739130434782,-0.04830917874396135,0.11470588235294117,-0.0472972972972973,0.0547945205479452,-0.11538461538461539
Panamanian,-0.11063218390804598,0.11956521739130435,-0.03864734299516908,0.09411764705882353,0.11148648648648649,-0.0273972602739726,-0.019230769230769232
Peruvian,-0.12931034482758622,-0.043478260869565216,0.0,0.08529411764705883,0.09121621621621621,0.07534246575342465,-0.08653846153846154
Polish,-0.05603448275862069,0.02717391304347826,-0.03140096618357488,0.09411764705882353,0.07094594594594594,-0.017123287671232876,-0.19230769230769232
Portuguese,-0.10057471264367816,0.010869565217391304,0.013285024154589372,0.061764705882352944,0.060810810810810814,0.0273972602739726,-0.10576923076923077
Romanian,-0.07902298850574713,0.03804347826086957,0.020531400966183576,0.0661764705882353,0.037162162162162164,-0.03424657534246575,-0.14423076923076922
Russian,-0.1307471264367816,0.0,0.007246376811594203,0.08529411764705883,0.09797297297297297,0.06164383561643835,-0.19230769230769232
Saudi,-0.11206896551724138,0.03260869565217391,-0.00966183574879227,0.08529411764705883,0.0945945945945946,0.023972602739726026,-0.125
Senegalese,-0.08333333333333333,0.03804347826086957,-0.0036231884057971015,0.07647058823529412,0.05067567567567568,-0.023972602739726026,-0.057692307692307696
Slovak,-0.12643678160919541,0.08152173913043478,-0.04710144927536232,0.12205882352941176,0.0945945945945946,0.023972602739726026,-0.057692307692307696
Somali,-0.08045977011494253,0.016304347826086956,-0.021739130434782608,0.10735294117647058,0.0472972972972973,0.03424657534246575,-0.25
Spanish,-0.07902298850574713,0.059782608695652176,-0.027777777777777776,0.0838235294117647,0.08783783783783784,-0.010273972602739725,-0.125
Sri Lankan,-0.05172413793103448,0.08695652173913043,0.0036231884057971015,0.045588235294117645,-0.02702702702702703,0.003424657534246575,-0.0673076923076923
