,BS_d,BS_a,Diff_Bias_d,Diff_Bias_a,Acc_d,Acc_a,African_ambig,African American_ambig,Arab_ambig,Asian_ambig,Black_ambig,Caucasian_ambig,European_ambig,Hispanic_ambig,Jewish_ambig,Latino_ambig,Middle Eastern_ambig,Native American_ambig,Roma_ambig,South American_ambig,White_ambig,TB_ambig,PB_ambig,African_disambig,African American_disambig,Arab_disambig,Asian_disambig,Black_disambig,Caucasian_disambig,European_disambig,Hispanic_disambig,Jewish_disambig,Latino_disambig,Middle Eastern_disambig,Native American_disambig,Roma_disambig,South American_disambig,White_disambig,TB_disambig,PB_disambig
Baseline,0.0241725774665431,0.0086781577838153,0.0103488372093022,0.0241279069767441,0.6419186046511628,0.943779069767442,0.0,-0.0238461538461538,-0.0258620689655172,0.031782945736434,-0.0181712962962962,0.03125,0.0760869565217391,-0.0060975609756097,0.0571428571428571,-0.0035714285714285,-0.0357142857142856,-0.0583333333333333,0.0071428571428571,0.0205882352941176,0.0428191489361701,0.43840912847679936,0.0,0.012,-0.0061538461538461,0.0049808429118773,0.0036821705426356,-0.0112268518518518,0.0,0.017391304347826,1.97758476261356e-17,0.0261904761904761,0.002891156462585,-0.0035714285714285,-0.0166666666666666,-0.0119047619047619,-0.0029411764705882,0.0095744680851063,0.12917515015964942,0.0
African,0.0143088833579675,0.0067566305075347,-0.0041860465116279,0.0034302325581395,0.4163953488372093,0.8733720930232558,0.002,0.0576923076923076,-0.0283524904214558,0.001937984496124,0.0285879629629629,0.0125,0.0130434782608695,-0.074390243902439,-0.0309523809523809,-0.0164965986394557,-0.0767857142857142,-0.0133333333333333,-0.0404761904761904,0.0235294117647058,0.0095744680851063,0.42965256527304535,0.5836160063570612,0.038,-0.0007692307692307,-0.0055555555555555,0.0021317829457364,-0.0017368483132814,0.003125,0.0131390348781652,-0.0024390243902439,0.0142857142857142,0.0018714719930525,-0.0339285714285713,-0.0133053221288515,-0.0309523809523809,-0.0205882352941176,0.0106382978723403,0.19246647080724139,0.14717914027505724
African American,0.021464600951445,0.0104621286263451,-0.0141860465116278,0.0018023255813953,0.4923255813953487,0.8612790697674418,0.128,0.0153846153846153,-0.0084291187739463,0.005813953488372,0.0129629629629629,-0.040625,-0.0195652173913043,-0.0085365853658536,-0.0428571428571428,-0.0078231292517006,-0.082142857142857,-0.0216666666666666,0.0071428571428571,0.0147058823529411,-0.0101063829787233,0.42576237175994297,0.6578879928645283,0.016,0.0007900207900208,0.0017248726228129,0.0038812362046374,-0.0072929400158699,0.03125,0.0021739130434782,0.0012120305252132,-6.93889390390723e-19,0.0015333622810826,-0.0178732303732303,-0.0083613445378151,-0.0023809523809523,0.0029411764705882,0.0050588576932883,0.10247393693898921,0.13608940371991177
Arab,0.0338859103083211,0.0181154030924845,-0.016860465116279,0.0111627906976743,0.4812209302325581,0.8568023255813954,0.0019999999999999,-0.0299999999999999,0.0595785440613026,-0.0071705426356589,-0.0315972222222221,-0.003125,-0.0130434782608695,-0.0439024390243902,0.0571428571428571,0.0112244897959183,0.019642857142857,-0.0266666666666666,-0.0047619047619047,0.0352941176470587,-0.0039893617021276,0.3491394810638331,0.4825230690972304,0.0202474226804123,-0.0186069049061174,0.0063190465020161,0.006641966102748,-0.0201905076014692,-0.0156746031746031,0.0458432871476349,-0.0001829268292682,0.0167548500881834,0.0078430078677891,0.0107625482625482,-0.0016666666666666,-0.0117886178861788,0.0117208077260755,0.0128080643768174,0.2070512278185282,0.14000482798466385
Asian,0.0290721750231363,0.0153038969071418,-0.0320930232558139,0.0294767441860464,0.4815697674418605,0.8645348837209303,0.036,-0.0676923076923076,0.0065134099616858,0.0263565891472867,-0.0347222222222221,0.071875,0.0195652173913043,0.0048780487804878,0.019047619047619,0.0078231292517006,-0.0196428571428571,0.0166666666666666,-0.0333333333333333,0.0294117647058823,0.0305851063829787,0.42411327172633184,0.44441625110590427,-0.01,-0.0092307692307692,0.0040240905434147,0.0056201550387596,-0.012736111111111,0.009375,0.0217391304347826,0.0012195121951219,0.0214285714285714,0.0037414965986394,-0.0160714285714285,0.001610644257703,-0.0023809523809523,0.0088235294117646,0.0101184236620675,0.1381198148650857,0.10264528428829969
Black,0.0170379745281042,0.0100024556851545,0.0288372093023255,0.0252906976744185,0.3966279069767442,0.871860465116279,-0.03,0.0207692307692307,-0.0298850574712643,0.0325581395348837,-0.0145833333333332,0.046875,0.0108695652173913,-0.0121951219512195,-0.0285714285714285,0.0005102040816326,-0.0678571428571428,-0.0333333333333333,-0.0166666666666666,0.0264705882352941,0.0417553191489361,0.4129001311717567,0.3476359642106401,0.002,0.0092307692307691,0.0011508946709131,0.0054263565891472,-0.0069469241244718,0.00625,0.0130434782608695,-0.0060975609756097,-0.0118187033849684,0.0023809523809523,-0.0178571428571428,-0.0116666666666666,-0.0095238095238095,-0.0354258121158911,0.0090425531914893,0.1478616239727004,0.14513666532470104
Caucasian,0.0322321673923652,0.0172806183976221,-0.0336046511627906,0.0454651162790697,0.4723255813953488,0.8568023255813954,-0.012,-0.0799999999999999,-0.0547892720306512,0.0412790697674418,-0.0379629629629629,0.259375,0.1717391304347825,-0.0158536585365853,0.0642857142857142,0.002891156462585,-0.0428571428571428,-0.03,-0.0214285714285714,0.0588235294117646,0.0928191489361701,0.9861043571143717,0.6257904667328104,0.0039999999999999,-0.0207692307692307,0.0017246889498682,0.0001943623636267,-0.0108817742177614,0.034375,0.067391304347826,0.0134146341463414,0.0310384394721743,-8.684324793999326e-07,-0.0071428571428571,-0.0016666666666666,-0.0214285714285714,0.0205882352941176,0.0132999971668979,0.24791663039841857,0.1905842256553326
European,0.029355293211083,0.0149629703082114,-0.0452325581395348,0.0344186046511627,0.4991279069767441,0.8715697674418605,0.032,-0.0446153846153845,-0.0126436781609195,0.0240310077519379,-0.0519675925925925,0.11875,0.2043478260869564,-0.0292682926829267,0.0714285714285714,0.0086734693877551,-0.0357142857142856,-0.0133333333333333,0.0285714285714285,0.0558823529411764,0.064095744680851,0.7953229679481189,0.49599735419236407,0.028,-0.0176923076923076,0.0015323833768638,0.0015503875968992,-0.0138908324218833,0.021875,0.0499999999999999,-0.0048780487804878,0.0547619047619047,0.0022108843537414,-0.0179214929214928,0.0083333333333333,-0.0047619047619047,0.0029411764705882,0.0151673654984842,0.2455170219698909,0.18236430154965252
Hispanic,0.0215411840397187,0.0132376450101404,-0.0077906976744186,0.0051744186046511,0.4033720930232558,0.8819186046511629,-0.018,-0.0338461538461538,-0.0283524904214558,0.0001937984496124,-0.0313657407407407,-0.01875,-0.0369565217391304,0.0914634146341463,-0.0095238095238095,0.0714285714285714,-0.0428571428571428,-0.0199999999999999,-0.0452380952380952,0.0441176470588235,0.0114361702127659,0.5035295561504476,0.6303146670697498,-0.004040404040404,-0.0099999999999999,0.0003811213600614,0.001159403928652,-0.0114654442747421,-0.01875,0.0108695652173913,0.0292682926829267,-0.0119047619047619,0.0073177015487045,0.0,0.0033333333333333,-0.0142857142857142,0.0266900790166812,0.0106421933875399,0.1601080149809124,0.18096081521205015
Jewish,0.0221428728429687,0.0104594019468239,-0.0559302325581394,0.0099999999999999,0.5588953488372093,0.8394767441860465,-0.01,-0.0399999999999999,-0.0122605363984674,0.0176356589147286,-0.0177083333333332,0.04375,0.0434782608695652,-0.0207317073170731,0.1761904761904761,-0.0035714285714285,0.0178571428571428,-0.0066666666666666,0.0095238095238095,0.0205882352941176,0.025531914893617,0.4654941708304255,0.35806237120842116,-0.024,-0.0092307692307692,0.0011510815197588,0.0021291487920523,-0.007644534778681,0.03125,0.0306280193236714,-0.0036510549154571,0.0547619047619047,0.0001700680272108,0.0035714285714285,0.0067226890756302,-0.0404761904761904,0.0176031606672519,0.0087829787234042,0.2417730288634105,0.20791177814702552
