,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,African_polarity_amb,African American_polarity_amb,Black_polarity_amb,Caucasian_polarity_amb,White_polarity_amb,European_polarity_amb,Roma_polarity_amb,Native American_polarity_amb,South American_polarity_amb,Hispanic_polarity_amb,Latino_polarity_amb,Jewish_polarity_amb,Arab_polarity_amb,Middle Eastern_polarity_amb,Asian_polarity_amb,TB_polarity_amb,PB_polarity_amb,African_polarity_dis,African American_polarity_dis,Black_polarity_dis,Caucasian_polarity_dis,White_polarity_dis,European_polarity_dis,Roma_polarity_dis,Native American_polarity_dis,South American_polarity_dis,Hispanic_polarity_dis,Latino_polarity_dis,Jewish_polarity_dis,Arab_polarity_dis,Middle Eastern_polarity_dis,Asian_polarity_dis,TB_polarity_dis,PB_polarity_dis,African_amount_amb,African American_amount_amb,Black_amount_amb,Caucasian_amount_amb,White_amount_amb,European_amount_amb,Roma_amount_amb,Native American_amount_amb,South American_amount_amb,Hispanic_amount_amb,Latino_amount_amb,Jewish_amount_amb,Arab_amount_amb,Middle Eastern_amount_amb,Asian_amount_amb,TB_amount_amb,PB_amount_amb,African_amount_dis,African American_amount_dis,Black_amount_dis,Caucasian_amount_dis,White_amount_dis,European_amount_dis,Roma_amount_dis,Native American_amount_dis,South American_amount_dis,Hispanic_amount_dis,Latino_amount_dis,Jewish_amount_dis,Arab_amount_dis,Middle Eastern_amount_dis,Asian_amount_dis,TB_amount_dis,PB_amount_dis
Baseline,0.0086781577838153,0.0241725774665431,0.0241279069767441,0.0103488372093022,0.943779069767442,0.6419186046511628,0.0,0.0,0.006,-0.0515384615384615,-0.0224537037037036,0.028125,0.0851063829787233,0.108695652173913,0.019047619047619,-0.1049999999999999,-0.0058823529411764,-0.0256097560975609,0.0141156462585033,0.1023809523809523,-0.010727969348659,-0.0803571428571428,0.0746124031007751,0.04931020282847934,0.0,0.028,-0.0107692307692307,-0.0128472222222221,-0.0125,0.0159574468085106,0.0391304347826086,-0.0166666666666666,-0.0316666666666666,0.0,0.0012195121951219,0.0059523809523809,0.0333333333333333,0.0084291187739463,-0.0035714285714285,0.0093023255813952,0.015289717821567423,0.0,0.246,0.3976923076923077,0.5849537037037036,0.403125,0.5632978723404257,0.417391304347826,0.238095238095238,0.3383333333333333,0.3705882352941176,0.2524390243902439,0.545748299319728,0.2976190476190475,0.5762452107279694,0.2767857142857142,0.6211240310077519,0.40862922147716046,0.0,0.06,0.0784615384615384,0.0427083333333333,0.06875,0.0351063829787233,0.0869565217391304,0.0404761904761904,0.0716666666666666,0.0529411764705882,0.0378048780487804,0.0226190476190475,0.0476190476190476,0.0164750957854405,0.0357142857142856,0.031782945736434,0.04860547404328041,0.0
African,0.0067566305075347,0.0143088833579675,0.0034302325581395,-0.0041860465116279,0.8733720930232558,0.4163953488372093,-0.0019215272762806,-0.0098636941085756,0.046,0.1246153846153845,0.0770833333333332,0.03125,0.0555851063829787,0.0391304347826086,-0.0071428571428571,-0.0266666666666666,0.0323529411764706,-0.1024390243902438,0.0178571428571428,0.0,0.0005747126436781,-0.0910714285714285,0.0364341085271317,0.045880209405994944,0.05358723069146194,0.058,0.0069230769230769,0.0069443104076861,-0.003125,0.0212765957446808,0.0479933110367892,-0.0333333333333333,-0.0149579831932773,-0.0205882352941176,0.0073170731707317,0.0064646113764654,0.0452380952380952,-0.0059386973180076,-0.0410714285714285,0.0091085271317829,0.021885351915964836,0.014372041252850836,0.738,1.0892307692307692,1.1083333333333334,0.61875,0.8454787234042552,0.6956521739130435,0.4738095238095238,0.5433333333333333,0.5617647058823529,0.4829268292682928,0.8243197278911565,0.5238095238095237,0.8143678160919541,0.5267857142857143,0.834108527131783,0.7120447134256689,0.30341549194850864,0.174,0.2546153846153846,0.1145913755388277,0.140625,0.0840425531914893,0.1351409460105112,0.1666666666666666,0.1386274509803921,0.1441176470588235,0.1097560975609755,0.0591906209292226,0.1642857142857142,0.0526819923371646,0.0982142857142856,0.0792635658914728,0.12772128671872868,0.07911581267544827
African American,0.0104621286263451,0.021464600951445,0.0018023255813953,-0.0141860465116278,0.8612790697674418,0.4923255813953487,0.0017839708425298004,-0.0027079765150981004,0.256,0.0492307692307692,0.0458333333333333,-0.040625,0.0175531914893616,-0.0021739130434782,0.0547619047619047,-0.015,0.0117647058823529,0.0036585365853658,0.0193877551020407,-0.0095238095238095,0.0273946360153256,-0.0999999999999999,0.0401162790697674,0.04620158893583391,0.0698864746013274,0.034,0.0061954261954262,-0.0026613668532458,0.04375,0.0119769385500183,0.0304347826086956,0.0047619047619047,-0.0166946778711484,-0.0117647058823529,0.009771060900793,0.005106817194963,0.0071428571428571,0.005367474460277,-0.0178732303732303,0.0102805342649119,0.014518785137321612,0.013611412155002257,0.784,0.8076923076923077,0.9048611111111112,0.521875,0.7303191489361702,0.6239130434782609,0.4119047619047619,0.5083333333333332,0.4529411764705882,0.3841463414634146,0.7418367346938775,0.4761904761904761,0.78639846743295,0.4642857142857142,0.7432170542635659,0.6227943114171021,0.21416508993994168,0.182,0.1847876447876447,0.1019972147161637,0.125,0.0880740572853216,0.1782608695652173,0.157142857142857,0.1201400560224089,0.1588235294117646,0.0953314379769564,0.0670263424518743,0.1121916236374067,0.0467758051303526,0.0823198198198197,0.0828187006588924,0.1188459972404453,0.07024052319716492
Black,0.0100024556851545,0.0170379745281042,0.0252906976744185,0.0288372093023255,0.871860465116279,0.3966279069767442,0.0013242979013391998,-0.0071346029384389,-0.0279999999999999,0.0592307692307692,-0.0124999999999999,0.053125,0.0691489361702127,0.0304347826086956,0.019047619047619,-0.0483333333333333,0.0411764705882352,-0.0134146341463414,-0.0008503401360543,-0.0023809523809523,-0.035823754789272,-0.0999999999999999,0.0585271317829457,0.038132914947628695,0.03802757787011478,0.024,0.0207662607662607,-0.0013906983851251,0.003125,0.0183510638297871,0.0413043478260869,-0.0095238095238095,-0.0049999999999999,-0.0384108867427568,0.0048780487804878,0.0103741496598639,0.0049053356282271,0.0065172670935225,-0.0142857142857142,0.0162790697674418,0.01460744348593889,0.013034409371222334,0.5920000000000001,0.93,1.039351851851852,0.596875,0.9079787234042552,0.7652173913043478,0.5047619047619047,0.615,0.6647058823529411,0.5402439024390244,0.928061224489796,0.569047619047619,0.9136015325670496,0.5642857142857143,0.8980620155038759,0.7352795174672254,0.3266502959900649,0.1599999999999999,0.1747549747549747,0.1102093788200475,0.121875,0.0880319148936169,0.1543478260869565,0.1476190476190475,0.1516666666666666,0.1448200175592624,0.1195121951219511,0.0681972789115645,0.1335915088927136,0.0555711677558471,0.0857142857142856,0.0879844961240309,0.12025971726139766,0.07165424321811725
Caucasian,0.0172806183976221,0.0322321673923652,0.0454651162790697,-0.0336046511627906,0.8568023255813954,0.4723255813953488,0.0086024606138068,0.008059589925822102,-0.018,-0.1099999999999999,-0.026736111111111,0.459375,0.1837765957446808,0.3065217391304348,-0.0142857142857142,-0.0533333333333333,0.0676470588235293,-0.0134146341463414,0.0375850340136054,0.1380952380952381,-0.0413793103448275,-0.0535714285714285,0.1005813953488371,0.10828683952993877,0.07518696668711218,0.0139999999999999,-0.0361538461538461,-0.0207220158056145,0.053125,0.0175563787290704,0.1065217391304347,-0.0166666666666666,0.0,0.0029411764705882,0.0207317073170731,-0.0052742799247358,0.0429432013769363,-0.0007670182166826,-0.0142857142857142,0.0011635425830269,0.02352348577735929,0.018992027874640157,0.4019999999999999,0.4884615384615384,0.8258101851851851,0.921875,1.006648936170213,0.8586956521739131,0.3285714285714285,0.3866666666666666,0.4382352941176471,0.3792682926829268,0.8113945578231292,0.4904761904761904,0.7777777777777779,0.3821428571428571,0.8994186046511627,0.6264961987933757,0.2178669773162153,0.1699999999999999,0.1407692307692307,0.1177283048103111,0.203125,0.1207903646202226,0.2021739130434782,0.1166666666666666,0.1633333333333332,0.1323529411764705,0.1451219512195121,0.0869219858156027,0.1718588640275386,0.0743441957512774,0.0999999999999999,0.105061316250498,0.13668320449894278,0.08807773045566236
White,0.016734996323022,0.031681054952443,0.0317441860465115,-0.0394186046511627,0.8730813953488372,0.483313953488372,0.0080568385392067,0.0075084774858999,-0.024,-0.0684615384615384,-0.0234953703703703,0.18125,0.1683510638297872,0.2673913043478261,0.038095238095238,-0.0216666666666666,0.0176470588235293,-0.0280487804878048,0.0585034013605441,0.1214285714285713,-0.0344827586206896,0.0178571428571428,0.0746124031007751,0.07635275323003224,0.0504522609524399,0.028,-0.0253846153846153,-0.0247712662720624,0.04375,0.0218085106382978,0.0695652173913043,-0.0666666666666666,0.0066946778711484,-0.0176470588235294,0.0170731707317073,0.0091836734693877,0.0214285714285714,-0.0019151577934267,-0.0357142857142856,0.0098837209302325,0.02663243954101569,0.01994279469883158,0.372,0.4653846153846153,0.822337962962963,0.65,0.913563829787234,0.7282608695652174,0.3809523809523809,0.4383333333333333,0.4470588235294118,0.3890243902439024,0.8231292517006803,0.4928571428571429,0.8111111111111111,0.3892857142857142,0.8474806201550388,0.5980520030579163,0.1894227815807559,0.1319999999999999,0.1438461538461538,0.0965344125973106,0.1625,0.1042553191489361,0.1739130434782608,0.1619047619047618,0.1336694677871148,0.1235294117647058,0.0999999999999999,0.0789115646258503,0.169047619047619,0.0417784316534605,0.1071428571428571,0.0757751937984495,0.12032054911969864,0.07171507507641824
European,0.0149629703082114,0.029355293211083,0.0344186046511627,-0.0452325581395348,0.8715697674418605,0.4991279069767441,0.0062848125243961,0.005182715744539899,0.052,-0.0538461538461537,-0.0489583333333333,0.18125,0.1374999999999999,0.3717391304347825,0.0761904761904761,-0.0116666666666666,0.0794117647058823,-0.0243902439024389,0.0491496598639455,0.1499999999999999,0.0235632183908045,-0.0428571428571428,0.0717054263565891,0.09161521443654767,0.06251436421639855,0.048,-0.0315384615384614,-0.0231516331038623,0.028125,0.019160268578066,0.1021739130434782,-0.0095238095238095,0.0066386554621848,-0.0176470588235294,-0.0085291036959449,-0.0011904761904762,0.0809523809523809,-0.0009598748085209,-0.0304697554697554,0.0011627906976744,0.027281545459209612,0.021998503719601343,0.344,0.4169230769230768,0.7934027777777778,0.54375,0.8401595744680851,0.9934782608695653,0.3428571428571428,0.455,0.45,0.3829268292682926,0.798469387755102,0.5071428571428571,0.8055555555555556,0.3857142857142857,0.8228682170542635,0.5921498643590669,0.18352064288190653,0.152,0.1438461538461538,0.0891328357888867,0.178125,0.0845999660027763,0.2021739130434782,0.1142857142857142,0.1435294117647058,0.1470588235294117,0.1111327248241807,0.0770408163265305,0.157142857142857,0.0492467572541629,0.102059202059202,0.0751937984496123,0.1217711982878448,0.07316572424456438
Roma,0.0128882384918395,0.0261601146380353,0.0159302325581395,-0.0196511627906976,0.8630813953488371,0.5091279069767441,0.0042100807080242,0.0019875371714922,0.034,-0.053076923076923,-0.0064814814814814,0.08125,0.0388297872340425,0.0652173913043478,0.2023809523809523,-0.0133333333333333,0.0352941176470587,1.734723475976807e-18,0.0207482993197278,0.0547619047619047,0.0101532567049808,-0.0767857142857142,0.0709302325581394,0.05088289293924039,0.04083755286058011,0.008,-0.0215592515592515,-0.0147073268921094,0.0281746031746031,0.019155660065539,0.0326086956521739,0.0071428571428571,-0.0132485875706214,-0.0029411764705882,0.023170731707317,0.0148002605297438,0.0071428571428571,0.001914055755759,-0.0017857142857142,0.0071705426356589,0.013568154705652905,0.013042373061853569,0.346,0.5253846153846153,0.8166666666666668,0.3875,0.7414893617021276,0.591304347826087,0.75,0.5066666666666666,0.4411764705882353,0.4195121951219511,0.7802721088435374,0.4214285714285714,0.789846743295019,0.4446428571428571,0.767829457364341,0.5819813374687117,0.1754354493248846,0.088,0.1324354024354024,0.0943719806763284,0.1473214285714285,0.0851818738136385,0.1413043478260869,0.1404761904761904,0.1270338983050846,0.1147058823529411,0.0939024390243902,0.079099869735128,0.1452380952380952,0.0525064010021195,0.0553571428571427,0.0835685256265521,0.10536689852936855,0.05676142448608815
Native American,0.0078926526727715,0.0215420829172726,0.0016279069767441,-0.0917441860465116,0.7992441860465116,0.6430813953488372,-0.0007855051110437997,-0.002630494549270501,0.018,-0.0284615384615384,0.0212962962962962,0.0125,0.0215425531914893,0.017391304347826,0.0166666666666666,0.2249999999999999,-0.0352941176470588,-0.0036585365853658,0.0505102040816326,0.0476190476190476,0.028735632183908,-0.0535714285714285,0.0339147286821705,0.04094413695562855,0.0554111660074129,-0.0059999999999999,-0.0069230769230769,-0.0093749999999999,0.015625,0.0077127659574467,0.0021739130434782,0.0142857142857142,0.0516666666666666,0.0058823529411764,0.0146341463414634,0.0127551020408163,0.0333333333333333,-0.0042145593869731,-0.0161196911196911,-0.0001943623636267,0.013393045626897514,0.01931457531829609,0.238,0.3392307692307691,0.6377314814814815,0.2375,0.5444148936170212,0.3608695652173913,0.2404761904761904,0.675,0.2705882352941176,0.2402439024390243,0.5416666666666666,0.2095238095238095,0.5647509578544061,0.2428571428571428,0.5544573643410853,0.3931540652666071,0.06771854245393968,0.0779999999999999,0.113076923076923,0.0910879629629629,0.109375,0.0827127659574467,0.1152173913043477,0.1333333333333333,0.1883333333333333,0.1294117647058823,0.0829268292682926,0.0705782312925169,0.0952380952380952,0.0536398467432949,0.0698841698841698,0.0738554425221242,0.09911140597484817,0.05050593193156778
South American,0.0130661709573024,0.0231387618973321,0.0119186046511627,-0.0103488372093022,0.8742441860465118,0.4083139534883721,0.004388013173487101,-0.0010338155692109982,0.042,-0.063076923076923,-0.0246527777777777,0.00625,0.0348404255319148,0.0739130434782608,0.0642857142857142,-0.0166666666666666,0.2735294117647059,0.1304878048780487,0.1615646258503401,0.0023809523809523,-0.0099616858237547,-0.0517857142857142,0.0180232558139534,0.06489460010764843,0.07060784633219387,0.006,-0.0246153846153845,-0.0140046296296295,-0.0094246031746031,0.0156907810862112,0.0543478260869565,0.0047619047619047,-0.0133333333333333,0.0647058823529411,0.0182926829268292,0.0098681430018815,0.0404761904761904,0.0022988505747126,-0.0107142857142856,0.0151217302385731,0.02024374853156242,0.013817008142918984,0.5660000000000001,0.5923076923076923,0.9524305555555556,0.55,0.8736702127659575,0.7347826086956523,0.5928571428571427,0.65,0.9676470588235292,0.7939024390243903,1.0578231292517006,0.530952380952381,0.8827586206896552,0.5624999999999999,0.8583333333333334,0.7443976782837993,0.33576845680663886,0.086,0.1476923076923076,0.0950231481481481,0.1537698412698412,0.0811460605717199,0.1152173913043477,0.1476190476190475,0.1299999999999999,0.1764705882352941,0.1182926829268291,0.0847116804168475,0.1452380952380952,0.0551724137931034,0.0714285714285714,0.0771541515349739,0.11232906534527509,0.06372359130199468
