,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,Atheist_polarity_amb,Christian_polarity_amb,Protestant_polarity_amb,Catholic_polarity_amb,Mormon_polarity_amb,Jewish_polarity_amb,Muslim_polarity_amb,Sikh_polarity_amb,Hindu_polarity_amb,Buddhist_polarity_amb,TB_polarity_amb,PB_polarity_amb,Atheist_polarity_dis,Christian_polarity_dis,Protestant_polarity_dis,Catholic_polarity_dis,Mormon_polarity_dis,Jewish_polarity_dis,Muslim_polarity_dis,Sikh_polarity_dis,Hindu_polarity_dis,Buddhist_polarity_dis,TB_polarity_dis,PB_polarity_dis,Atheist_amount_amb,Christian_amount_amb,Protestant_amount_amb,Catholic_amount_amb,Mormon_amount_amb,Jewish_amount_amb,Muslim_amount_amb,Sikh_amount_amb,Hindu_amount_amb,Buddhist_amount_amb,TB_amount_amb,PB_amount_amb,Atheist_amount_dis,Christian_amount_dis,Protestant_amount_dis,Catholic_amount_dis,Mormon_amount_dis,Jewish_amount_dis,Muslim_amount_dis,Sikh_amount_dis,Hindu_amount_dis,Buddhist_amount_dis,TB_amount_dis,PB_amount_dis
Baseline,0.027743569385404,0.0938739006946511,0.0719999999999999,0.0633333333333332,0.8416666666666666,0.7046666666666667,0.0,0.0,0.0652777777777777,0.0961538461538461,0.1249999999999999,0.0606060606060605,-0.0166666666666666,0.0485714285714285,0.0195121951219511,0.2472222222222222,-0.3196969696969697,0.1928571428571428,0.11915643096740651,0.0,0.0208333333333333,0.0051282051282051,0.0638888888888888,0.0469696969696969,-0.0515151515151514,0.0385714285714285,-1.7347234759768072e-19,0.0805555555555555,-0.0863636363636363,0.0642857142857142,0.045811161061160996,0.0,0.3569444444444444,0.3833333333333333,0.386111111111111,0.6212121212121212,0.7984848484848485,0.1657142857142856,0.2902439024390243,0.425,0.653030303030303,0.3142857142857142,0.4394360064055185,0.0,0.1430555555555555,0.082051282051282,0.1305555555555555,0.0984848484848484,0.1666666666666666,0.1585714285714285,0.0707317073170731,0.1361111111111111,0.2015151515151514,0.0999999999999999,0.1287743306828672,0.0
Atheist,0.0189234200345894,0.0967907297995578,0.0559999999999999,0.0179999999999999,0.5863333333333334,0.7926666666666666,-0.008820149350814599,0.002916829104906704,0.1430555555555555,0.0,0.0944444444444444,-0.0151515151515151,-0.1045454545454544,0.0099999999999999,0.0365853658536585,0.1249999999999999,-0.1787878787878787,0.1142857142857142,0.08218559286242207,0.07654708841294207,0.0749999999999999,0.0051282051282051,0.0555555555555554,0.0515151515151514,-0.0439393939393939,0.0185714285714285,0.0158536585365853,0.0416666666666665,-0.056060606060606,0.0324025974025973,0.039569326337618935,0.02115499067328335,0.3569444444444444,0.2666666666666666,0.3277777777777778,0.3151515151515151,0.4863636363636363,0.1528571428571428,0.2121951219512194,0.2583333333333333,0.4818181818181817,0.2214285714285714,0.3079536391792489,0.13148236722626966,0.2333333333333333,0.1128205128205127,0.1222222222222222,0.109090909090909,0.1893939393939393,0.1704110996916751,0.0865853658536585,0.1361111111111111,0.1924242424242424,0.1327922077922077,0.14851849437338113,0.023229012175362395
Christian,0.0428178223748115,0.093509330307799,0.0553333333333332,0.0346666666666666,0.7713333333333334,0.5269999999999999,0.0150742529894075,-0.0003645703868521005,-0.1069444444444444,0.3564102564102563,0.111111111111111,0.2606060606060606,-0.0393939393939394,0.1457142857142856,-0.0158536585365853,0.1388888888888889,-0.296969696969697,0.1357142857142857,0.16076066277895543,0.09898069680996506,0.0138888888888888,0.0769230769230768,0.0444444444444444,0.0378787878787878,-0.0530303030303029,0.0128571428571428,0.0097560975609756,0.0749999999999999,-0.059090909090909,0.0499999999999999,0.04328696506745278,0.019137420167907964,0.5930555555555556,0.9333333333333332,0.65,0.9666666666666666,0.9363636363636364,0.4285714285714285,0.4939024390243902,0.5222222222222223,0.8212121212121213,0.6214285714285714,0.6966755974377927,0.257239591032274,0.1777777777777777,0.1923076923076922,0.1888888888888888,0.1166666666666666,0.2136363636363635,0.2014285714285714,0.1463414634146341,0.1638888888888888,0.256060606060606,0.1071428571428571,0.1764139776212946,0.04763964693842743
Protestant,0.0468596927765231,0.0957314013659175,0.1069999999999999,0.012,0.7553333333333333,0.4986666666666666,0.019116123391119098,0.0018575006712664016,-0.0847222222222221,0.2243589743589743,0.5194444444444445,0.0999999999999999,0.0015151515151515,0.0642857142857142,-0.0463414634146341,0.1527777777777777,-0.2939393939393939,0.075,0.1562385141958312,0.10498524375353642,0.0055555555555555,0.0743589743589742,0.1138888888888888,0.0639627039627039,-0.0484848484848484,0.0201233299075025,-0.0097560975609756,0.0221830985915492,-0.0742424242424242,0.0178571428571428,0.045041306441056514,0.029965829377054824,0.6513888888888889,0.9884615384615384,0.9472222222222224,0.8242424242424242,0.9742424242424242,0.4642857142857142,0.5560975609756098,0.5972222222222222,0.8606060606060606,0.6107142857142857,0.7474483341861392,0.3080123277806205,0.1944444444444444,0.2153846153846153,0.2416666666666666,0.158088578088578,0.2242424242424242,0.26896197327852,0.1463414634146341,0.1560641627543035,0.2348484848484848,0.1535714285714285,0.19936142416940994,0.07058709348654275
Catholic,0.0424038612592761,0.0894847115559809,0.0459999999999999,-0.0366666666666666,0.7323333333333334,0.52,0.014660291873872102,-0.004389189138670202,-0.1430555555555555,0.2205128205128204,0.0749999999999999,0.5575757575757575,-0.0318181818181818,0.1142857142857142,0.0439024390243902,0.0666666666666666,-0.3,0.0821428571428571,0.1634959992581943,0.12958848603970557,0.0042735042735043,0.0666666666666666,0.0111111111111111,0.0924242424242424,-0.062121212121212,0.0185714285714285,-0.0024390243902439,0.05,-0.0850566736062918,0.0392857142857142,0.04319495774504148,0.02662382171398182,0.6013888888888889,0.823076923076923,0.6805555555555556,1.1727272727272726,0.8984848484848487,0.4342857142857143,0.5195121951219512,0.5166666666666667,0.806060606060606,0.6607142857142857,0.7113472956582713,0.27191128925275276,0.1961344211344211,0.1923076923076922,0.1999999999999999,0.1863636363636363,0.2196969696969696,0.2242857142857142,0.1365853658536585,0.1777777777777777,0.2427480916030533,0.1321428571428571,0.190804252616578,0.0620299219337108
Mormon,0.045111469188345,0.1022954777047478,0.0223333333333333,-0.0433333333333333,0.7176666666666667,0.5613333333333334,0.017367899802941,0.0084215770100967,-0.1374999999999999,0.1102564102564102,0.0666666666666666,0.2545454545454545,0.4,0.1442857142857142,0.0219512195121951,0.0333333333333333,-0.2984848484848484,0.0928571428571428,0.1559880789941765,0.1319074056025276,0.0180555555555555,0.0025641025641025,0.0416666666666666,0.0181818181818181,-0.0106060606060606,0.0242857142857142,0.0036585365853658,0.0666666666666666,-0.0499999999999999,0.0392857142857142,0.027497083539766397,0.01904578483846776,0.5736111111111112,0.6641025641025641,0.6055555555555555,0.7393939393939394,1.2121212121212122,0.3785714285714285,0.4439024390243903,0.4833333333333334,0.8045454545454547,0.5785714285714285,0.6483708466330417,0.2089348402275232,0.2041666666666666,0.1512820512820512,0.1916666666666666,0.1484848484848484,0.2772727272727273,0.2185714285714285,0.1621951219512195,0.1499999999999999,0.2590909090909091,0.1892857142857142,0.19520161342722314,0.06642728274435593
Jewish,0.0294815470019331,0.0775959826653009,0.0703333333333332,-0.036,0.7146666666666667,0.6003333333333334,0.0017379776165291003,-0.01627791802935019,-0.0472222222222222,0.064102564102564,0.1638888888888889,0.1954545454545454,-0.1015151515151514,0.2914285714285713,0.0158536585365853,0.1388888888888888,-0.2333333333333333,0.1964285714285713,0.1448116395799322,0.08479212183480478,0.0124999999999999,0.0154177005789908,0.0527777777777777,0.0501387925052046,-0.0560259079343048,0.047235354573484,-8.229836899597935e-05,0.055829420970266,-0.0545454545454544,0.0683766233766233,0.041292933063110146,0.01067952417153233,0.525,0.4717948717948717,0.5361111111111111,0.7227272727272727,0.8166666666666667,0.6285714285714286,0.4304878048780488,0.4888888888888888,0.7454545454545454,0.5821428571428571,0.594784544723569,0.15534853831805054,0.1571386946386946,0.1129032258064515,0.1527777777777777,0.1289960675456858,0.2323386537126995,0.2246248715313463,0.1124569803980247,0.1338419405320813,0.2212121212121212,0.1901948051948051,0.16664851383496876,0.03832801726790753
Muslim,0.0296259008519865,0.0815052285317208,0.0396666666666666,-0.0493333333333332,0.6839999999999999,0.5996666666666667,0.0018823314665824993,-0.012368672162930291,-0.075,-0.0102564102564102,0.0805555555555555,0.1575757575757575,-0.0833333333333333,0.0899999999999999,0.325609756097561,0.2527777777777777,-0.2469696969696969,0.1535714285714285,0.14756497161375207,0.09198635172415662,0.0389858771901025,0.0320595533498759,0.0638888888888888,0.040943789035392,-0.0606638908165625,0.0257245632065775,0.0747344007182402,0.0251173708920187,-0.103030303030303,0.0072077922077921,0.04723564293357533,0.02770225788053728,0.4805555555555555,0.4846153846153845,0.4805555555555555,0.6606060606060606,0.762121212121212,0.3757142857142856,0.7304878048780488,0.5305555555555556,0.85,0.5035714285714286,0.5858782843173087,0.1537150051845174,0.1701471650415312,0.1399338296112489,0.1583333333333333,0.1168632893823733,0.2063034929447142,0.1573175745118191,0.1848795451144695,0.1696400625978091,0.2636363636363636,0.1575974025974025,0.1724652058771065,0.043941646006161156
Sikh,0.0394082959654406,0.1115607466401033,0.0806666666666666,-0.0753333333333333,0.7036666666666667,0.635,0.011664726580036599,0.01768684594545221,-0.0277777777777777,0.0179487179487179,0.0999999999999999,0.0893939393939393,-0.0969696969696969,0.0714285714285713,0.1170731707317072,0.6611111111111111,-0.2424242424242423,0.2392857142857142,0.16634129420714777,0.09633598989086792,0.00127151799687,0.0205045492142266,0.0749999999999999,0.0424242424242424,-0.0696969696969696,0.0201233299075025,0.0060975609756097,0.1166666666666666,-0.0803030303030302,0.0035714285714285,0.0435659295756546,0.01962082057864072,0.4638888888888889,0.423076923076923,0.4777777777777777,0.6257575757575757,0.7818181818181819,0.3,0.4195121951219511,0.8444444444444444,0.7484848484848485,0.5464285714285715,0.5631189406799163,0.12701626760773105,0.1713419405320813,0.1206203473945408,0.175,0.115267175572519,0.2333333333333333,0.1947995889003082,0.1280487804878048,0.1833333333333333,0.2439393939393938,0.1392857142857142,0.17049696077790286,0.04172263009503567
Hindu,0.0422680753104064,0.0945198941703227,0.0749999999999999,-0.0286666666666666,0.7089999999999999,0.5613333333333334,0.014524505925002398,0.0006459934756715968,-0.1263888888888888,0.0282051282051281,0.0944444444444444,0.1136363636363636,-0.0575757575757575,0.0828571428571428,0.023170731707317,0.2638888888888889,0.1499999999999999,0.1857142857142856,0.11258816319182166,0.09155610784879077,0.0041666666666666,0.0283549783549783,0.0416666666666666,0.0667129308350682,-0.0515151515151514,-0.0185817060637204,0.004870567110579,0.0388888888888888,-0.0501156604210039,0.0749999999999999,0.03798732165227231,0.023251152605034613,0.5625,0.517948717948718,0.5277777777777778,0.7227272727272727,0.8303030303030303,0.3885714285714285,0.5231707317073171,0.5638888888888889,1.2560606060606063,0.6714285714285715,0.656437702541361,0.21700169613584258,0.1736111111111111,0.1417082917082916,0.1638888888888888,0.1153365718251214,0.1939393939393939,0.1930524152106885,0.1249513691455932,0.1444444444444444,0.3049849641452695,0.1678571428571428,0.17237745932759452,0.043603128644727325
Buddhist,0.0223540092552325,0.124672320518179,0.0633333333333332,-0.1219999999999999,0.5543333333333333,0.812,-0.0053895601301715,0.030798419823527906,0.0277777777777777,0.0064102564102563,0.0972222222222222,0.059090909090909,-0.0681818181818181,0.0099999999999999,0.0268292682926829,0.1527777777777777,-0.1439393939393938,0.5321428571428571,0.11243722808356948,0.08634279067815656,0.0083333333333333,0.0076923076923076,0.0833333333333333,0.0333333333333333,-0.0712121212121211,0.0142857142857142,0.023170731707317,0.0944444444444444,-0.0242424242424242,0.0571428571428571,0.04171906007271855,0.019845128448786966,0.2333333333333333,0.2038461538461538,0.2638888888888889,0.3166666666666666,0.4469696969696969,0.1071428571428571,0.173170731707317,0.236111111111111,0.4378787878787878,0.625,0.30440082275448127,0.19717804079389448,0.1499999999999999,0.1333333333333333,0.1499999999999999,0.106060606060606,0.1681818181818181,0.1342857142857142,0.0768292682926829,0.1333333333333333,0.1606060606060605,0.1642857142857142,0.1376915848379262,0.02251177074957563
