,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,highSES_polarity_amb,lowSES_polarity_amb,TB_polarity_amb,PB_polarity_amb,highSES_polarity_dis,lowSES_polarity_dis,TB_polarity_dis,PB_polarity_dis,highSES_amount_amb,lowSES_amount_amb,TB_amount_amb,PB_amount_amb,highSES_amount_dis,lowSES_amount_dis,TB_amount_dis,PB_amount_dis
Baseline,0.020399384160259,0.0654133249732209,0.0977855477855477,0.007109557109557,0.9434149184149184,0.688053613053613,0.0,0.0,0.0991841491841491,0.0013986013986013,0.0502913752913752,0.0,0.0045454545454545,-0.011130536130536,0.00783799533799525,0.0,0.1777389277389277,0.134032634032634,0.15588578088578084,0.0,0.0186480186480186,0.016142191142191,0.017395104895104797,0.0
chemical engineer,0.0315787937590793,0.10108483727044,0.0963286713286712,0.0058275058275058,0.8272727272727274,0.6740093240093239,0.0111794095988203,0.0356715122972191,0.0923659673659673,-0.0039627039627039,0.0481643356643356,0.006089743589743496,0.0099650349650349,-0.0152097902097901,0.0125874125874125,0.00474941724941725,0.2125291375291374,0.1128205128205127,0.16267482517482507,0.028001165501165506,0.0423659673659673,0.0249999999999999,0.0336829836829836,0.016287878787878803
chemist,0.0329819059366757,0.0906372830434255,0.1189976689976689,0.0073426573426573,0.8539044289044287,0.6194055944055943,0.012582521776416701,0.025223958070204597,0.0980186480186479,-0.0209790209790209,0.059498834498834405,0.011771561771561698,0.0074018835531513,-0.0141623338286118,0.01078210869088155,0.0029441133528862995,0.2409090909090909,0.1382284382284381,0.1895687645687645,0.03368298368298367,0.0402724133924949,0.0227881294844278,0.03153027143846135,0.01413516654335655
dentist,0.0349107900908054,0.0928074132514727,0.1099650349650349,0.0045454545454545,0.866958041958042,0.6114801864801865,0.014511405930546402,0.027394088278251794,0.1050116550116549,-0.0049533799533799,0.054982517482517396,0.006089743589743499,0.0081600711519697,-0.014920470403521,0.011540270777745349,0.0037022754397500997,0.2424242424242423,0.14504662004662,0.19373543123543113,0.03784965034965031,0.0409166678308475,0.0235470817882383,0.0322318748095429,0.0148367699144381
judge,0.028814924910419,0.088536328570922,0.0869463869463869,0.03006993006993,0.8251748251748252,0.6656759906759906,0.00841554075016,0.0231230035977011,0.0703962703962703,-0.0165501165501165,0.0434731934731934,0.023368298368298297,0.0064114458856424,-0.0153314223672107,0.010871434126426549,0.0030334387884312997,0.1921911421911421,0.1398601398601398,0.16602564102564094,0.01013986013986011,0.0406878208794516,0.027921894488976,0.034304857684213805,0.016909752789109
lawyer,0.0247956843120638,0.0976307378992964,0.0761655011655011,0.0174825174825174,0.7756410256410258,0.7365384615384615,0.0043963001518048,0.032217412926075495,0.0745920745920745,-0.0015734265734265,0.0380827505827505,0.013782051282051202,0.0061786339987197,-0.0124151014295197,0.009296867714119701,0.0014588723761244501,0.1627039627039626,0.0977272727272726,0.1302156177156176,0.025670163170163247,0.0416179554320691,0.0271041534181036,0.03436105442508635,0.016965949529981553
optometrist,0.0259081465667503,0.0947026576514473,0.0917832167832167,-0.0118881118881118,0.8255244755244755,0.7,0.005508762406491299,0.029289332678226393,0.0835081585081584,-0.0082750582750582,0.0458916083916083,0.012674825174825098,0.0075194538315893,-0.0141054364467036,0.01081244513914645,0.0029744498011511997,0.1882867132867132,0.1095571095571095,0.14892191142191136,0.017511655011655004,0.0388798312938819,0.0245981081419055,0.0317389697178937,0.014343864822788903
pharmacist,0.0294746023202518,0.0893290646735456,0.1067599067599067,-0.0136363636363635,0.8597319347319348,0.6506993006993007,0.0090752181599928,0.023915739700324692,0.1017482517482517,-0.005011655011655,0.05337995337995335,0.004487179487179449,0.0066437133254387,-0.0149191792371622,0.01078144628130045,0.0029434509433052002,0.2182983682983682,0.1291375291375291,0.17371794871794866,0.022727272727272707,0.0367158853970278,0.0234281869883734,0.030072036192700602,0.012676931297595803
physician,0.032124428482884,0.1039462197172522,0.1064102564102563,-0.0124708624708624,0.8241841491841491,0.6745920745920746,0.011725044322625,0.03853289474403129,0.100058275058275,-0.0063519813519813,0.05320512820512815,0.004312354312354249,0.008919039628537,-0.0158555381571815,0.01238728889285925,0.004549293554864,0.2114801864801864,0.1127622377622377,0.16212121212121205,0.0275058275058275,0.0428445000594489,0.0247160648898703,0.0337802824746596,0.0163851775795548
physics teacher,0.0306278898811443,0.0932094276038277,0.1053613053613053,0.0017482517482517,0.8474941724941726,0.6673659673659673,0.010228505720885298,0.027796102630606792,0.0877039627039626,-0.0176573426573426,0.052680652680652605,0.015268065268065196,0.0089760243228963,-0.0123565211589638,0.010666272740930051,0.0028282774029348,0.2062354312354312,0.1239510489510489,0.16509324009324006,0.0192890442890443,0.0423163245995596,0.0233144411570847,0.03281538287832215,0.015420277983217351
professor,0.033496750354576,0.082570018049928,0.1349067599067598,0.0129370629370629,0.8577505827505828,0.5867715617715618,0.013097366194317,0.0171566930767071,0.1185897435897435,-0.0163170163170163,0.0674533799533799,0.018560606060606,0.0076364983134752,-0.0125322833960125,0.01008439085474385,0.0022463955167486,0.269055944055944,0.1425407925407925,0.20579836829836826,0.04991258741258742,0.0436625576543872,0.023141234798661,0.0334018962265241,0.0160067913314193
psychologist,0.0214635671037335,0.1055995909747899,0.0531468531468531,-0.0048951048951049,0.7692307692307692,0.7900932400932402,0.0010641829434745002,0.04018626600156899,0.056118881118881,0.0029720279720279,0.029545454545454448,0.02231934731934735,0.0086277685760405,-0.0148637607083816,0.01174576464221105,0.003907769304215799,0.1293123543123542,0.0776806526806526,0.1034965034965034,0.05238927738927744,0.0408058001851506,0.0290882808712527,0.03494704052820165,0.01755193563309685
scientist,0.0278680941665886,0.1020663521599451,0.0889860139860139,0.0116550116550116,0.8057109557109557,0.7202214452214453,0.0074687100063296,0.036653027186724196,0.082109557109557,-0.0068764568764568,0.0444930069930069,0.012674825174825098,0.0069937203571712,-0.0153855495519733,0.01118963495457225,0.003351639616577,0.1835081585081584,0.0949883449883449,0.13924825174825164,0.02240675990675991,0.0418448208742582,0.0242441057436685,0.03304446330896335,0.01564935841385855
