,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,Atheist_polarity_amb,Christian_polarity_amb,Protestant_polarity_amb,Catholic_polarity_amb,Mormon_polarity_amb,Jewish_polarity_amb,Muslim_polarity_amb,Sikh_polarity_amb,Hindu_polarity_amb,Buddhist_polarity_amb,TB_polarity_amb,PB_polarity_amb,diff_TB_polarity_amb,Atheist_amount_amb,Christian_amount_amb,Protestant_amount_amb,Catholic_amount_amb,Mormon_amount_amb,Jewish_amount_amb,Muslim_amount_amb,Sikh_amount_amb,Hindu_amount_amb,Buddhist_amount_amb,TB_amount_amb,PB_amount_amb,diff_TB_amount_amb,Atheist_polarity_dis,Christian_polarity_dis,Protestant_polarity_dis,Catholic_polarity_dis,Mormon_polarity_dis,Jewish_polarity_dis,Muslim_polarity_dis,Sikh_polarity_dis,Hindu_polarity_dis,Buddhist_polarity_dis,TB_polarity_dis,PB_polarity_dis,diff_TB_polarity_dis,Atheist_amount_dis,Christian_amount_dis,Protestant_amount_dis,Catholic_amount_dis,Mormon_amount_dis,Jewish_amount_dis,Muslim_amount_dis,Sikh_amount_dis,Hindu_amount_dis,Buddhist_amount_dis,TB_amount_dis,PB_amount_dis,diff_TB_amount_dis
Baseline,0.0033744010951403,0.0595482546201231,0.05,-0.0533333333333332,0.7933333333333333,0.9433333333333334,0.0,0.0,0.0277777777777777,0.0,0.0416666666666666,0.0227272727272727,0.0075757575757575,0.0142857142857142,0.0060975609756097,0.0,-0.1363636363636363,0.0,0.2564943863724347,0.0,0.0,0.0277777777777777,0.0,0.0416666666666666,0.0227272727272727,0.0075757575757575,0.0142857142857142,0.0182926829268292,0.0,0.1363636363636363,0.0,0.26868950832365424,0.0,0.0,0.0069444444444444,0.0,0.0138888888888888,0.0,0.0,0.0071428571428571,0.0060975609756097,0.0,-0.053030303030303,0.0,0.087104054482103,0.0,0.0,0.0069444444444444,0.0,0.0138888888888888,0.0,0.0,0.0071428571428571,0.0060975609756097,0.0,0.053030303030303,0.0,0.087104054482103,0.0,0.0
Atheist,0.0032779097387173,0.0546318289786222,0.0566666666666666,-0.1366666666666666,0.685,0.94,-9.649135642300025e-05,-0.004916425641500903,0.0277777777777777,0.0,0.0555555555555555,0.0151515151515151,0.0075757575757575,0.0142857142857142,0.0121951219512195,0.0,-0.1439393939393939,0.0,0.2764808362369334,0.03513796501601389,0.019986449864498712,0.0277777777777777,0.0,0.0555555555555555,0.0151515151515151,0.0075757575757575,0.0142857142857142,0.0121951219512195,0.0,0.1590909090909091,0.0,0.29163235138844856,0.05028948016752899,0.022942843064794327,0.0069444444444444,0.0,0.0138888888888888,0.0,0.0,0.0071428571428571,0.0060975609756097,0.0,-0.0454545454545454,0.0,0.0795282969063454,0.007575757575757597,-0.007575757575757597,0.0069444444444444,0.0,0.0138888888888888,0.0,0.0,0.0071428571428571,0.0060975609756097,0.0,0.0454545454545454,0.0,0.0795282969063454,0.007575757575757597,-0.007575757575757597
Christian,0.005037037037037,0.0755555555555556,0.0533333333333333,-0.1433333333333333,0.7316666666666667,0.9333333333333332,0.0016626359418966995,0.016007300935432497,0.0277777777777777,0.0128205128205128,0.0555555555555555,0.0227272727272727,0.0075757575757575,0.0142857142857142,0.0121951219512195,0.0,-0.1515151515151515,0.0,0.3044528642089614,0.04795847783652669,0.04795847783652668,0.0277777777777777,0.0128205128205128,0.0555555555555555,0.0227272727272727,0.0227272727272727,0.0142857142857142,0.0121951219512195,0.0,0.1515151515151515,0.0,0.3196043793604766,0.06310999298804179,0.05091487103682235,0.0069444444444444,0.0,0.0138888888888888,0.0075757575757575,0.0,0.0071428571428571,0.0060975609756097,0.0,-0.0454545454545454,0.0,0.0871040544821029,0.015151515151515096,-9.71445146547012e-17,0.0069444444444444,0.0,0.0138888888888888,0.0075757575757575,0.0,0.0071428571428571,0.0060975609756097,0.0,0.0454545454545454,0.0,0.0871040544821029,0.015151515151515096,-9.71445146547012e-17
Protestant,0.0050150489089541,0.0699774266365689,0.065,-0.14,0.72,0.9283333333333332,0.0016406478138137996,0.010429172016445803,0.0277777777777777,0.0128205128205128,0.0555555555555555,0.0227272727272727,0.0151515151515151,0.0142857142857142,0.0121951219512195,0.0,-0.1363636363636363,0.0,0.29687710663320377,0.0403827202607691,0.040382720260769056,0.0277777777777777,0.0128205128205128,0.0555555555555555,0.0227272727272727,0.0151515151515151,0.0142857142857142,0.024390243902439,0.0,0.1666666666666666,0.0,0.33937525888745357,0.0706857505637994,0.07068575056379933,0.0069444444444444,0.0,0.0138888888888888,0.0151515151515151,0.0,0.0071428571428571,0.0060975609756097,0.0,-0.0378787878787878,0.0,0.0871040544821029,0.0303030303030303,-9.71445146547012e-17,0.0069444444444444,0.0,0.0138888888888888,0.0151515151515151,0.0,0.0071428571428571,0.0060975609756097,0.0,0.0378787878787878,0.0,0.0871040544821029,0.0303030303030303,-9.71445146547012e-17
Catholic,0.0043209876543209,0.0648148148148148,0.0566666666666666,-0.1833333333333333,0.7016666666666667,0.9333333333333332,0.0009465865591805995,0.005266560194691697,0.0277777777777777,0.0064102564102564,0.0555555555555555,0.0303030303030303,0.0151515151515151,0.0142857142857142,0.0060975609756097,0.0,-0.1212121212121212,0.0,0.2767935316715801,0.05060217560217559,0.020299145299145394,0.0277777777777777,0.0064102564102564,0.0555555555555555,0.0303030303030303,0.0151515151515151,0.0142857142857142,0.0182926829268292,0.0,0.1515151515151515,0.0,0.3192916839258299,0.05060217560217569,0.05060217560217567,0.0069444444444444,0.0,0.0138888888888888,0.0075757575757575,0.0,0.0071428571428571,0.0060975609756097,0.0,-0.0454545454545454,0.0,0.0871040544821029,0.015151515151515096,-9.71445146547012e-17,0.0069444444444444,0.0,0.0138888888888888,0.0075757575757575,0.0,0.0071428571428571,0.0060975609756097,0.0,0.0454545454545454,0.0,0.0871040544821029,0.015151515151515096,-9.71445146547012e-17
Mormon,0.0019905213270142,0.028436018957346,0.0433333333333333,-0.18,0.69,0.93,-0.0013838797681261002,-0.0311122356627771,0.0277777777777777,0.0064102564102564,0.0555555555555555,0.0151515151515151,0.053030303030303,0.0142857142857142,0.0060975609756097,0.0,-0.1439393939393939,0.0,0.32224807712612547,0.08090520590520599,0.06575369075369075,0.0277777777777777,0.0064102564102564,0.0555555555555555,0.0151515151515151,0.053030303030303,0.0142857142857142,0.0182926829268292,0.0,0.1439393939393939,0.0,0.334443199077345,0.08090520590520599,0.06575369075369075,0.0069444444444444,0.0,0.0138888888888888,0.0,0.0,0.0071428571428571,0.0060975609756097,0.0,-0.0303030303030303,0.0,0.0643767817548303,0.022727272727272697,-0.022727272727272693,0.0069444444444444,0.0,0.0138888888888888,0.0,0.0,0.0071428571428571,0.0060975609756097,0.0,0.0303030303030303,0.0,0.0643767817548303,0.022727272727272697,-0.022727272727272693
Jewish,0.003301737756714,0.0521327014218009,0.0566666666666666,-0.1566666666666666,0.685,0.9366666666666666,-7.266333842630016e-05,-0.007415553198322197,0.0277777777777777,0.0,0.0416666666666666,0.0227272727272727,0.0075757575757575,0.0142857142857142,0.0060975609756097,0.0,-0.1363636363636363,0.0,0.2564943863724347,0.0,0.0,0.0277777777777777,0.0,0.0416666666666666,0.0227272727272727,0.0075757575757575,0.0142857142857142,0.0182926829268292,0.0,0.1666666666666666,0.0,0.2989925386266845,0.030303030303030304,0.030303030303030276,0.0069444444444444,0.0,0.0138888888888888,0.0,0.0,0.0142857142857142,0.0060975609756097,0.0,-0.0303030303030303,0.0,0.0715196388976874,0.029870129870129797,-0.015584415584415603,0.0069444444444444,0.0,0.0138888888888888,0.0,0.0,0.0142857142857142,0.0060975609756097,0.0,0.0454545454545454,0.0,0.0866711540492025,0.014718614718614697,-0.0004329004329004932
Muslim,0.0032081377151799,0.0469483568075117,0.055,-0.14,0.6866666666666666,0.9316666666666666,-0.0001662633799604002,-0.0125998978126114,0.0277777777777777,0.0064102564102564,0.0416666666666666,0.0151515151515151,0.0075757575757575,0.0142857142857142,0.0060975609756097,0.0,-0.1439393939393939,0.0,0.2629046427826911,0.021561771561771595,0.0064102564102563875,0.0277777777777777,0.0064102564102564,0.0416666666666666,0.0303030303030303,0.0227272727272727,0.0142857142857142,0.0182926829268292,0.0,0.1590909090909091,0.0,0.3205543101884562,0.05186480186480199,0.05186480186480197,0.0069444444444444,0.0,0.0138888888888888,0.0075757575757575,0.0,0.0071428571428571,0.0060975609756097,0.0,-0.053030303030303,0.0,0.0946798120578605,0.0075757575757575,0.0075757575757575,0.0069444444444444,0.0,0.0138888888888888,0.0075757575757575,0.0,0.0071428571428571,0.0060975609756097,0.0,0.0681818181818181,0.0,0.10983132720937559,0.022727272727272596,0.022727272727272596
Sikh,0.0055582137161084,0.0813397129186603,0.065,-0.1733333333333333,0.6733333333333333,0.9316666666666666,0.0021838126209681,0.021791458298537195,0.0277777777777777,0.0064102564102564,0.0555555555555555,0.0303030303030303,0.0075757575757575,0.0142857142857142,0.0121951219512195,0.0138888888888888,-0.1363636363636363,0.0,0.3043557391118362,0.047861352739401494,0.04786135273940151,0.0277777777777777,0.0064102564102564,0.0555555555555555,0.0303030303030303,0.0075757575757575,0.0142857142857142,0.0121951219512195,0.0138888888888888,0.1666666666666666,0.0,0.3346587694148665,0.0781643830424317,0.06596926109121226,0.0069444444444444,0.0,0.0138888888888888,0.0,0.0,0.0071428571428571,0.0060975609756097,0.0138888888888888,-0.053030303030303,0.0,0.1009929433709918,0.0138888888888888,0.013888888888888798,0.0069444444444444,0.0,0.0138888888888888,0.0,0.0,0.0071428571428571,0.0060975609756097,0.0138888888888888,0.0681818181818181,0.0,0.11614445852250689,0.029040404040403894,0.029040404040403894
Hindu,0.0037320574162679,0.0574162679425838,0.0583333333333333,-0.1766666666666667,0.6783333333333333,0.935,0.0003576563211275998,-0.002131986677539298,0.0277777777777777,0.0064102564102564,0.0555555555555555,0.0227272727272727,0.0,0.0142857142857142,0.0,0.0,-0.1287878787878787,0.0,0.2555444555444552,0.04154822142627009,-0.000949930827979506,0.0277777777777777,0.0064102564102564,0.0555555555555555,0.0227272727272727,0.0,0.0142857142857142,0.024390243902439,0.0,0.1590909090909091,0.0,0.3102377297499246,0.05669973657778539,0.04154822142627035,0.0069444444444444,0.0,0.0138888888888888,0.0,0.0,0.0071428571428571,0.0060975609756097,0.0,-0.053030303030303,0.0,0.087104054482103,0.0,0.0,0.0069444444444444,0.0,0.0138888888888888,0.0,0.0,0.0071428571428571,0.0060975609756097,0.0,0.053030303030303,0.0,0.087104054482103,0.0,0.0
