,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,African_polarity_amb,African American_polarity_amb,Black_polarity_amb,Caucasian_polarity_amb,White_polarity_amb,European_polarity_amb,Roma_polarity_amb,Native American_polarity_amb,South American_polarity_amb,Hispanic_polarity_amb,Latino_polarity_amb,Jewish_polarity_amb,Arab_polarity_amb,Middle Eastern_polarity_amb,Asian_polarity_amb,TB_polarity_amb,PB_polarity_amb,African_polarity_dis,African American_polarity_dis,Black_polarity_dis,Caucasian_polarity_dis,White_polarity_dis,European_polarity_dis,Roma_polarity_dis,Native American_polarity_dis,South American_polarity_dis,Hispanic_polarity_dis,Latino_polarity_dis,Jewish_polarity_dis,Arab_polarity_dis,Middle Eastern_polarity_dis,Asian_polarity_dis,TB_polarity_dis,PB_polarity_dis,African_amount_amb,African American_amount_amb,Black_amount_amb,Caucasian_amount_amb,White_amount_amb,European_amount_amb,Roma_amount_amb,Native American_amount_amb,South American_amount_amb,Hispanic_amount_amb,Latino_amount_amb,Jewish_amount_amb,Arab_amount_amb,Middle Eastern_amount_amb,Asian_amount_amb,TB_amount_amb,PB_amount_amb,African_amount_dis,African American_amount_dis,Black_amount_dis,Caucasian_amount_dis,White_amount_dis,European_amount_dis,Roma_amount_dis,Native American_amount_dis,South American_amount_dis,Hispanic_amount_dis,Latino_amount_dis,Jewish_amount_dis,Arab_amount_dis,Middle Eastern_amount_dis,Asian_amount_dis,TB_amount_dis,PB_amount_dis
Baseline,0.0072034330011073,0.0110476190476189,-0.0180232558139534,-0.1383720930232558,0.6168604651162791,0.3479651162790698,0.0,0.0,0.0,0.0153846153846153,0.0665509259259259,-0.03125,0.0372340425531914,0.0108695652173913,0.0,0.0083333333333333,0.0441176470588235,0.0304878048780487,0.0799319727891156,0.0476190476190476,0.0919540229885057,-0.0089285714285714,0.0445736434108527,0.03448234617249482,0.0,0.0109890109890109,-0.0240963855421686,-0.0047534165181224,-0.0166666666666666,-0.0068399452804377,0.0116279069767441,0.0365853658536585,0.0277777777777777,-0.0746268656716417,0.0063694267515923,-0.0096491228070175,0.0,0.0019860973187686,0.0095238095238095,0.0069582504970178,0.016563336544962257,0.0,0.08,0.1384615384615384,0.3234953703703703,0.125,0.3218085106382978,0.1630434782608695,0.1428571428571428,0.1583333333333333,0.1323529411764706,0.0792682926829268,0.3350340136054421,0.119047619047619,0.3601532567049808,0.1160714285714285,0.3662790697674418,0.19741373303185744,0.0,0.0549450549450549,0.0883534136546184,0.05941770647653,0.05,0.0642954856361149,0.1046511627906976,0.0853658536585365,0.1018518518518518,0.0746268656716417,0.0955414012738853,0.081578947368421,0.0833333333333333,0.083416087388282,0.0857142857142857,0.0864811133200795,0.0799715042055555,0.0
African,-0.0009001018502801,-0.0014598540145985,0.0002906976744185,0.025,0.3095930232558139,0.3834302325581395,-0.0081035348513874,-0.0125074730622174,-0.02,0.0076923076923076,0.0046296296296296,-0.046875,-0.0013297872340425,-0.0652173913043478,-0.0119047619047619,-0.0166666666666666,0.0,-0.0060975609756097,0.0119047619047619,0.0,0.0019157088122605,-0.0178571428571428,0.0106589147286821,0.014849975580680864,0.03906833586034728,0.0108695652173913,-0.0165289256198347,0.0115853658536585,0.0175438596491228,-0.001418439716312,0.0,0.0641025641025641,0.0086206896551724,-0.0158730158730158,0.0316455696202531,0.0081669691470054,0.04,0.0084566596194503,0.0384615384615384,0.0,0.01821821083568792,0.020411502643376166,0.24,0.2384615384615384,0.2638888888888889,0.140625,0.2912234042553192,0.1956521739130435,0.1785714285714285,0.1833333333333333,0.2352941176470588,0.1768292682926829,0.3129251700680272,0.2142857142857142,0.2471264367816092,0.2321428571428571,0.2684108527131782,0.227918012290312,0.07359700837572251,0.1413043478260869,0.140495867768595,0.1542682926829268,0.1228070175438596,0.1716312056737588,0.0975609756097561,0.1666666666666666,0.0775862068965517,0.1111111111111111,0.120253164556962,0.1660617059891107,0.12,0.1585623678646934,0.1923076923076923,0.145748987854251,0.1390910406901348,0.06330031410274482
African American,0.0098512086903304,0.0159774436090225,-0.0104651162790697,-0.0058139534883721,0.3343023255813953,0.3834302325581395,0.0026477756892231002,0.0049298245614036,0.03,-0.023076923076923,0.0,0.0625,-0.0053191489361702,0.0108695652173913,0.0119047619047619,0.0583333333333333,-0.0147058823529411,0.0121951219512195,0.0170068027210884,0.0119047619047619,0.0239463601532567,0.0178571428571428,0.000968992248062,0.020039253110470136,0.04315827427908322,0.0329670329670329,-0.0204081632653061,0.0048367593712212,0.0701754385964912,0.00697350069735,-0.0348837209302325,0.1139240506329113,-0.019047619047619,-0.0757575757575757,0.0519480519480519,0.0071748878923766,-0.0384615384615384,-0.0031479538300104,0.01,-0.0051020408163265,0.03298722228093624,0.028416873218562642,0.27,0.2307692307692307,0.2708333333333333,0.1875,0.2712765957446808,0.1847826086956521,0.1785714285714285,0.1916666666666666,0.2205882352941176,0.2317073170731707,0.3095238095238095,0.2261904761904762,0.253831417624521,0.1785714285714285,0.2684108527131782,0.23161489338477956,0.07858705530585679,0.1208791208791208,0.1265306122448979,0.1487303506650544,0.1403508771929824,0.1659693165969316,0.1511627906976744,0.1645569620253164,0.0571428571428571,0.1666666666666666,0.1428571428571428,0.1596412556053811,0.141025641025641,0.1500524658971668,0.17,0.1520408163265306,0.14384045838822426,0.06983015347720138
Black,-0.0064944403521694,-0.0105580693815987,-0.002906976744186,0.005813953488372,0.3046511627906976,0.3848837209302325,-0.0136978733532767,-0.0216056884292176,-0.08,-0.023076923076923,0.0005787037037037,0.015625,-0.0079787234042553,-0.0108695652173913,0.0238095238095238,0.0083333333333333,-0.0147058823529411,0.0121951219512195,-0.0008503401360544,0.0119047619047619,-0.0057471264367816,-0.0267857142857142,-0.0096899224806201,0.01681004280621488,0.04570032333583107,0.0105263157894736,-0.0122950819672131,0.0116851168511685,0.0338983050847457,-0.002840909090909,0.0,0.0875,0.027027027027027,0.0,-0.0259740259740259,0.0127272727272727,-0.0133333333333333,-0.0075268817204301,0.0096153846153846,-0.0134158926728586,0.017891036456922804,0.021281238434939637,0.24,0.2307692307692307,0.2586805555555556,0.171875,0.2739361702127659,0.1413043478260869,0.238095238095238,0.1916666666666666,0.2794117647058823,0.1585365853658536,0.2916666666666667,0.2261904761904762,0.2375478927203065,0.2053571428571428,0.2596899224806202,0.22698184400749946,0.08383319682702875,0.1578947368421052,0.1352459016393442,0.1457564575645756,0.1694915254237288,0.1448863636363636,0.1219512195121951,0.1125,0.081081081081081,0.0983606557377049,0.1298701298701298,0.1727272727272727,0.1466666666666666,0.1494623655913978,0.1634615384615384,0.1372549019607843,0.1377740544476592,0.06057198634487314
Caucasian,-0.0006088367268165,-0.0010373443983402,0.0008720930232558,0.0220930232558139,0.2883720930232558,0.4130813953488372,-0.0078122697279238,-0.0120849634459591,0.01,-0.0153846153846153,0.0069444444444444,0.03125,-0.0119680851063829,-0.0326086956521739,0.0357142857142857,-0.0416666666666666,0.0735294117647058,0.0,-0.0110544217687074,-0.0238095238095238,0.0057471264367816,0.0357142857142857,0.0,0.022359437497504873,0.0492672212779931,0.0106382978723404,-0.0284552845528455,0.0043183220234423,0.0,-0.0028368794326241,-0.0352941176470588,0.0625,0.027027027027027,-0.0491803278688524,0.0318471337579617,0.013599274705349,0.05,0.0031914893617021,0.0,0.0041067761806981,0.021532995361993428,0.01638612072725835,0.17,0.1692307692307692,0.2326388888888889,0.21875,0.261968085106383,0.25,0.25,0.175,0.2205882352941176,0.2073170731707317,0.2746598639455782,0.2619047619047619,0.2413793103448276,0.25,0.2364341085271318,0.22799140642754598,0.09186966863218499,0.1170212765957446,0.0934959349593495,0.1437384330660086,0.0666666666666666,0.1531914893617021,0.1529411764705882,0.1125,0.1351351351351351,0.1147540983606557,0.10828025477707,0.1604714415231187,0.075,0.1563829787234042,0.1308411214953271,0.1560574948665297,0.12509850013342,0.0462381070389756
White,0.0015376179316147,0.0025839793281654,0.0,0.0093023255813953,0.3046511627906976,0.4049418604651162,-0.0056658150694926,-0.0084636397194535,-0.02,0.0192307692307692,0.0144675925925925,0.09375,-0.0212765957446808,-0.0217391304347826,0.0357142857142857,-0.0166666666666666,0.0441176470588235,0.024390243902439,-0.0059523809523809,0.0357142857142857,-0.003831417624521,-0.0089285714285714,0.0087209302325581,0.02496670115315713,0.039219195817133894,0.010752688172043,-0.0327868852459016,0.004364089775561,0.0,0.0029411764705882,0.0,0.0875,0.0085470085470085,-0.0461538461538461,0.0258064516129032,0.0109389243391066,0.0259740259740259,0.0032894736842105,0.0303030303030303,0.0020746887966804,0.01942881927166035,0.016513580262012544,0.22,0.2346153846153846,0.2390046296296296,0.21875,0.2632978723404255,0.1956521739130435,0.2023809523809523,0.1833333333333333,0.25,0.1585365853658536,0.2763605442176871,0.2261904761904762,0.2222222222222222,0.2410714285714285,0.2354651162790697,0.22445871460396705,0.08976762642510945,0.0967741935483871,0.1311475409836065,0.1365336658354114,0.1,0.1441176470588235,0.144578313253012,0.1375,0.094017094017094,0.1384615384615384,0.1290322580645161,0.162260711030082,0.0779220779220779,0.1524122807017544,0.1313131313131313,0.1286307053941908,0.1269800771722417,0.048774708066154616
European,-0.0073373175604523,-0.0114261531950909,0.0066860465116279,-0.0040697674418604,0.4590116279069767,0.3578488372093023,-0.0145407505615596,-0.0224737722427098,0.04,-0.0115384615384615,0.0243055555555555,0.078125,0.0066489361702127,0.0434782608695652,-0.0119047619047619,0.0333333333333333,0.0441176470588235,0.0,0.0042517006802721,0.0119047619047619,0.0057471264367816,0.0,0.0096899224806201,0.021669697862209954,0.039369570856337854,0.0,-0.024793388429752,0.0167664670658682,0.0338983050847457,0.0097357440890125,-0.0459770114942528,0.0263157894736842,0.0,-0.0161290322580645,0.0253164556962025,0.0026737967914438,-0.0379746835443038,0.0166320166320166,0.0309278350515463,0.003024193548387,0.019344314610618658,0.024248353233384295,0.2,0.1961538461538461,0.2824074074074074,0.203125,0.3045212765957447,0.1956521739130435,0.25,0.15,0.2205882352941176,0.1463414634146341,0.3239795918367347,0.2261904761904762,0.293103448275862,0.2321428571428571,0.3100775193798449,0.23561888637363795,0.06500706146501677,0.1318681318681318,0.140495867768595,0.1029940119760479,0.135593220338983,0.1210013908205841,0.1149425287356321,0.131578947368421,0.0961538461538461,0.1451612903225806,0.0886075949367088,0.1256684491978609,0.1392405063291139,0.1351351351351351,0.0927835051546391,0.1280241935483871,0.12194990797697774,0.043662645376113224
Roma,-0.007732187824026,-0.0127388535031847,-0.0087209302325581,-0.0186046511627906,0.3848837209302325,0.3930232558139535,-0.0149356208251333,-0.0237864725508036,-0.03,0.0038461538461538,0.0219907407407407,0.03125,-0.0013297872340425,-0.0543478260869565,-0.0238095238095238,0.0,0.0,-0.0182926829268292,0.0187074829931972,0.0238095238095238,0.0201149425287356,0.0267857142857142,0.0164728682170542,0.019383816431898102,0.03987393431967221,0.032258064516129,-0.0371900826446281,0.0065986802639472,-0.0163934426229508,0.0056258790436005,0.0,0.0987654320987654,0.0535714285714285,-0.0634920634920634,0.0130718954248366,0.0134529147982062,0.0259740259740259,0.0,0.0,-0.005086469989827,0.024765358629360572,0.01656823210375987,0.19,0.1884615384615384,0.2650462962962963,0.25,0.2699468085106383,0.2282608695652173,0.2619047619047619,0.2,0.2647058823529412,0.1646341463414634,0.3180272108843537,0.238095238095238,0.2768199233716475,0.2232142857142857,0.2548449612403101,0.2395974615159128,0.08512839792182693,0.075268817204301,0.1115702479338843,0.1217756448710258,0.081967213114754,0.1434599156118143,0.1136363636363636,0.1728395061728395,0.1428571428571428,0.1904761904761904,0.1176470588235294,0.1551569506726457,0.1298701298701298,0.1431578947368421,0.1538461538461538,0.1271617497456765,0.13204606530488622,0.0520745610993307
Native American,-0.0063923121093663,-0.0104463437796771,-0.004360465116279,0.0081395348837209,0.3459302325581395,0.3880813953488372,-0.0135957451104736,-0.021493962827296,0.0,0.023076923076923,0.0052083333333333,0.015625,-0.0039893617021276,-0.0217391304347826,-0.0714285714285714,0.0083333333333333,0.0147058823529411,0.0060975609756097,0.0119047619047619,0.0,0.0,0.0267857142857142,0.001937984496124,0.014055503821614806,0.040061520423347145,0.021505376344086,-0.040983606557377,0.0132930513595166,0.0333333333333333,0.0085106382978723,-0.0120481927710843,0.0632911392405063,-0.0088495575221238,-0.078125,0.0,0.0044883303411131,0.024390243902439,0.0010460251046025,0.0196078431372549,-0.0020181634712411,0.02209936675883668,0.01774704161248004,0.28,0.2076923076923077,0.2621527777777778,0.265625,0.2992021276595745,0.1304347826086956,0.238095238095238,0.225,0.3088235294117647,0.1768292682926829,0.3180272108843537,0.1904761904761904,0.2490421455938697,0.2589285714285714,0.2713178294573643,0.24544313195855935,0.09331430897547084,0.1075268817204301,0.1229508196721311,0.1365558912386707,0.1333333333333333,0.150354609929078,0.0843373493975903,0.1139240506329113,0.1150442477876106,0.171875,0.0903225806451612,0.1588868940754039,0.1219512195121951,0.1433054393305439,0.1176470588235294,0.1473259334006054,0.12768942063327962,0.05112226763063497
South American,-0.0125923507280843,-0.0184409052808046,-0.0072674418604651,-0.0098837209302325,0.4421511627906976,0.3171511627906976,-0.0197957837291916,-0.0294885243284235,-0.02,0.0038461538461538,0.0283564814814814,0.078125,-0.0106382978723404,0.0108695652173913,-0.0476190476190476,0.0,-0.0441176470588235,-0.0060975609756097,0.0459183673469387,0.0238095238095238,0.0201149425287356,-0.0089285714285714,-0.002906976744186,0.02342320906192021,0.038993074479908914,0.0555555555555555,-0.0376569037656903,0.0090361445783132,0.0,0.0126227208976157,0.0,0.1012658227848101,0.0092592592592592,-0.03125,0.0127388535031847,-0.0035682426404995,0.0,0.0052631578947368,0.0,0.0050658561296859,0.018885501133956723,0.01822621841429985,0.26,0.2269230769230769,0.3153935185185185,0.203125,0.3085106382978723,0.2065217391304347,0.238095238095238,0.2166666666666666,0.25,0.2134146341463414,0.3673469387755102,0.1904761904761904,0.2921455938697318,0.2232142857142857,0.2974806201550387,0.2539542760512603,0.07763465457139347,0.1222222222222222,0.1213389121338912,0.1295180722891566,0.1034482758620689,0.1388499298737728,0.0975609756097561,0.1518987341772152,0.1203703703703703,0.1875,0.1273885350318471,0.1445138269402319,0.1818181818181818,0.1378947368421052,0.1443298969072164,0.1205673758865248,0.13528133639763737,0.05625519048287406
Hispanic,-0.0080386978094306,-0.0130624092888244,0.0081395348837209,0.0151162790697674,0.3151162790697674,0.3845930232558139,-0.0152421308105379,-0.024110028336443302,-0.03,-0.0192307692307692,-0.0023148148148148,0.0,0.0093085106382978,0.0,0.0595238095238095,-0.0416666666666666,-0.0294117647058823,-0.0121951219512195,0.0042517006802721,0.0119047619047619,0.003831417624521,0.0,-0.00484496124031,0.01523228659875498,0.04580844732486943,0.0111111111111111,-0.0040322580645161,0.017639902676399,0.0677966101694915,0.0128022759601706,-0.0235294117647058,0.073170731707317,0.0093457943925233,-0.0588235294117647,0.0194805194805194,0.0098743267504488,0.0136986301369863,0.0104931794333683,0.0294117647058823,0.0040733197556008,0.02435222436805367,0.022018412638183295,0.27,0.2346153846153846,0.2650462962962963,0.28125,0.2752659574468085,0.217391304347826,0.2261904761904762,0.1916666666666666,0.2941176470588235,0.1707317073170731,0.3069727891156462,0.1785714285714285,0.2701149425287356,0.2142857142857142,0.2664728682170542,0.24417954551052887,0.08981879480960372,0.1444444444444444,0.1330645161290322,0.1441605839416058,0.1694915254237288,0.1578947368421052,0.1176470588235294,0.1219512195121951,0.0841121495327102,0.2058823529411764,0.1103896103896103,0.1750448833034111,0.0958904109589041,0.161594963273872,0.1666666666666666,0.1486761710794297,0.1424607528841614,0.06485454232115813
Latino,-0.0008820455827223,-0.0014265335235378,-0.0069767441860464,-0.013953488372093,0.3331395348837209,0.3816860465116279,-0.008085478583829601,-0.0124741525711567,0.01,0.0307692307692307,-0.0017361111111111,-0.015625,0.0013297872340425,-0.0652173913043478,0.0238095238095238,-0.0083333333333333,0.0441176470588235,-0.0060975609756097,0.0059523809523809,-0.0476190476190476,0.0229885057471264,0.0267857142857142,-0.0067829457364341,0.021144278662448376,0.04157356665134472,0.0217391304347826,0.0,0.0030450669914738,0.0,0.0170212765957446,0.0235294117647058,0.1097560975609756,-0.009090909090909,-0.03125,0.0457516339869281,0.0062444246208742,-0.0126582278481012,0.0031982942430703,0.0096153846153846,0.0091836734693877,0.020138902081489166,0.021330256238371197,0.21,0.2076923076923077,0.2598379629629629,0.265625,0.2938829787234042,0.217391304347826,0.238095238095238,0.1416666666666666,0.2794117647058823,0.2012195121951219,0.3035714285714285,0.1904761904761904,0.2662835249042146,0.2232142857142857,0.2781007751937984,0.23843126268328843,0.08391889197108315,0.1521739130434782,0.1387755102040816,0.138246041412911,0.1481481481481481,0.150354609929078,0.1176470588235294,0.1097560975609756,0.1181818181818181,0.125,0.1503267973856209,0.1739518287243532,0.1139240506329113,0.1524520255863539,0.1442307692307692,0.1459183673469387,0.13860580241406448,0.05863429820850897
Jewish,-0.0065042876450575,-0.0110220440881763,0.0052325581395348,-0.0011627906976744,0.313953488372093,0.4098837209302325,-0.0137077206461648,-0.022069663135795198,-0.02,0.023076923076923,-0.005787037037037,0.03125,-0.0132978723404255,-0.0326086956521739,0.0238095238095238,-0.0166666666666666,-0.0147058823529411,0.0121951219512195,-0.0025510204081632,-0.0595238095238095,-0.0086206896551724,-0.0446428571428571,-0.001937984496124,0.02071160560753577,0.05032617727810977,0.0111111111111111,-0.0042553191489361,0.0079754601226993,0.0,0.011379800853485,-0.0114942528735632,0.0625,0.0178571428571428,-0.0461538461538461,0.0131578947368421,0.0182315405651777,0.0129870129870129,-0.0053248136315228,0.0093457943925233,-0.0194672131147541,0.0167494135032411,0.01577196256197536,0.2,0.2,0.2453703703703703,0.21875,0.2819148936170212,0.1630434782608695,0.2619047619047619,0.2,0.2205882352941176,0.1707317073170731,0.288265306122449,0.2261904761904762,0.2519157088122605,0.2232142857142857,0.253875968992248,0.22705101283972887,0.08102767623082927,0.1444444444444444,0.1148936170212766,0.1319018404907975,0.1724137931034483,0.1479374110953058,0.1034482758620689,0.1125,0.1428571428571428,0.1384615384615384,0.1052631578947368,0.1640838650865998,0.0909090909090909,0.1522896698615548,0.1588785046728972,0.1444672131147541,0.13498330432504377,0.055172185043305406
Arab,0.0011951868564155,0.0019900497512437,-0.0046511627906976,-0.0017441860465116,0.3177325581395349,0.3994186046511628,-0.0060082461446918,-0.0090575692963752,0.04,0.0153846153846153,0.0,0.078125,0.0066489361702127,-0.0217391304347826,0.0,-0.025,0.0735294117647058,0.0,0.0093537414965986,-0.0357142857142857,0.0229885057471264,0.0357142857142857,-0.0077519379844961,0.024796656694073927,0.04614654341891856,0.0,-0.0213675213675213,0.0091130012150668,0.0350877192982456,0.0128755364806866,-0.0117647058823529,0.0759493670886076,0.0,-0.0327868852459016,-0.0128205128205128,0.0054397098821396,0.0138888888888888,0.0093847758081334,0.0373831775700934,-0.0010183299389002,0.018592008765803372,0.02152205473614437,0.24,0.2384615384615384,0.2511574074074074,0.265625,0.2805851063829787,0.1956521739130435,0.238095238095238,0.2083333333333333,0.2794117647058823,0.2073170731707317,0.3018707482993197,0.2023809523809523,0.2586206896551724,0.2678571428571428,0.251937984496124,0.24582041021059092,0.09675311515813759,0.1304347826086956,0.1324786324786324,0.1294046172539489,0.1052631578947368,0.1444921316165951,0.1058823529411764,0.1265822784810126,0.1228070175438596,0.1967213114754098,0.1153846153846153,0.1631912964641886,0.125,0.1511991657977059,0.1869158878504672,0.1395112016293279,0.13835122996135815,0.05837972575580263
