,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,African_polarity_amb,African American_polarity_amb,Black_polarity_amb,Caucasian_polarity_amb,White_polarity_amb,European_polarity_amb,Roma_polarity_amb,Native American_polarity_amb,South American_polarity_amb,Hispanic_polarity_amb,Latino_polarity_amb,Jewish_polarity_amb,Arab_polarity_amb,Middle Eastern_polarity_amb,Asian_polarity_amb,TB_polarity_amb,PB_polarity_amb,diff_TB_polarity_amb,African_polarity_dis,African American_polarity_dis,Black_polarity_dis,Caucasian_polarity_dis,White_polarity_dis,European_polarity_dis,Roma_polarity_dis,Native American_polarity_dis,South American_polarity_dis,Hispanic_polarity_dis,Latino_polarity_dis,Jewish_polarity_dis,Arab_polarity_dis,Middle Eastern_polarity_dis,Asian_polarity_dis,TB_polarity_dis,PB_polarity_dis,diff_TB_polarity_dis,African_amount_amb,African American_amount_amb,Black_amount_amb,Caucasian_amount_amb,White_amount_amb,European_amount_amb,Roma_amount_amb,Native American_amount_amb,South American_amount_amb,Hispanic_amount_amb,Latino_amount_amb,Jewish_amount_amb,Arab_amount_amb,Middle Eastern_amount_amb,Asian_amount_amb,TB_amount_amb,PB_amount_amb,diff_TB_amount_amb,African_amount_dis,African American_amount_dis,Black_amount_dis,Caucasian_amount_dis,White_amount_dis,European_amount_dis,Roma_amount_dis,Native American_amount_dis,South American_amount_dis,Hispanic_amount_dis,Latino_amount_dis,Jewish_amount_dis,Arab_amount_dis,Middle Eastern_amount_dis,Asian_amount_dis,TB_amount_dis,PB_amount_dis,diff_TB_amount_dis
Baseline,0.0072034330011073,0.0110476190476189,-0.0180232558139534,-0.1383720930232558,0.6168604651162791,0.3479651162790698,0.0,0.0,-0.04,0.0192307692307692,0.0827546296296296,-0.09375,-0.0319148936170212,0.0543478260869565,0.0,0.0083333333333333,0.0735294117647058,0.0365853658536585,0.1020408163265306,0.0833333333333333,0.1139846743295019,-0.0535714285714285,0.0222868217054263,0.8156633037822946,0.0,0.0,0.0329670329670329,-0.036144578313253,-0.0005941770647653,-0.0333333333333333,-0.0123119015047879,0.0232558139534883,0.024390243902439,0.037037037037037,-0.1194029850746268,-0.019108280254777,-0.0175438596491228,0.0416666666666666,0.0049652432969215,0.0666666666666666,0.0089463220675944,0.4783341417525124,0.0,0.0,0.24,0.45,1.009837962962963,0.34375,1.00531914893617,0.4891304347826087,0.4285714285714285,0.4916666666666666,0.3970588235294117,0.2804878048780488,0.9965986394557824,0.3452380952380952,1.0162835249042146,0.375,1.061046511627907,8.929989041553295,0.0,0.0,0.1868131868131868,0.2690763052208835,0.1942959001782531,0.1333333333333333,0.2120383036935704,0.3023255813953488,0.2682926829268293,0.2962962962962963,0.2388059701492537,0.2611464968152866,0.2298245614035087,0.2083333333333333,0.2333664349553128,0.3142857142857143,0.2514910536779324,3.5997251544780435,0.0,0.0
African,-0.0009001018502801,-0.0014598540145985,0.0002906976744185,0.025,0.3095930232558139,0.3834302325581395,-0.0081035348513874,-0.0125074730622174,-0.05,0.0461538461538461,-0.0011574074074074,-0.046875,-0.0039893617021276,-0.1521739130434782,-0.0595238095238095,-0.0333333333333333,0.0147058823529411,0.024390243902439,0.0306122448979591,-0.0119047619047619,-0.0009578544061302,-0.0267857142857142,0.0067829457364341,0.5093463186503818,0.8982652982159078,-0.30631698513191274,0.0760869565217391,-0.0330578512396694,0.0298780487804878,0.0,-0.025531914893617,-0.0121951219512195,0.0641025641025641,-0.0258620689655172,-0.0158730158730158,0.0759493670886076,-0.013611615245009,0.08,-0.0052854122621564,0.048076923076923,0.0172064777327935,0.5227173377333194,0.5392483343995559,0.04438319598080703,0.65,0.7,0.8182870370370371,0.515625,0.8656914893617021,0.5869565217391305,0.6309523809523809,0.6,0.6323529411764706,0.5365853658536586,0.8690476190476191,0.6547619047619048,0.7729885057471264,0.6875,0.8091085271317829,10.329857292808814,3.307793470379055,1.3998682512555192,0.4239130434782608,0.4380165289256198,0.4676829268292683,0.4210526315789473,0.5106382978723404,0.3048780487804878,0.4487179487179487,0.3017241379310345,0.3333333333333333,0.3670886075949367,0.4782214156079855,0.3733333333333333,0.4682875264270613,0.5480769230769231,0.4504048582995951,6.3353695617870756,2.7356444073090325,2.735644407309032
African American,0.0098512086903304,0.0159774436090225,-0.0104651162790697,-0.0058139534883721,0.3343023255813953,0.3834302325581395,0.0026477756892231002,0.0049298245614036,0.05,-0.0769230769230769,-0.0075231481481481,0.09375,-0.0279255319148936,0.0543478260869565,0.0119047619047619,0.1666666666666666,-0.0588235294117647,0.0060975609756097,0.0297619047619047,0.0476190476190476,0.0335249042145593,0.0625,-0.00484496124031,0.7322129198676995,1.132656005837385,-0.08345038391459503,0.0659340659340659,-0.0530612244897959,0.0211608222490931,0.087719298245614,0.00697350069735,-0.0813953488372093,0.1139240506329113,-0.0380952380952381,-0.1515151515151515,0.1233766233766233,0.0017937219730941,-0.1025641025641025,-0.0167890870933892,-0.02,-0.0010204081632653,0.8853226438669036,0.9378471051047125,0.40698850211439125,0.71,0.7076923076923077,0.8234953703703703,0.59375,0.8470744680851063,0.6195652173913043,0.5833333333333334,0.6,0.6176470588235294,0.7134146341463414,0.8562925170068028,0.7142857142857143,0.7768199233716475,0.5982142857142857,0.811046511627907,10.57263134184865,3.5913562951457596,1.6426423002953552,0.3736263736263736,0.4122448979591837,0.4528415961305925,0.4035087719298245,0.497907949790795,0.4302325581395348,0.4430379746835443,0.2666666666666666,0.4242424242424242,0.3831168831168831,0.4609865470852018,0.3846153846153846,0.4575026232948583,0.58,0.4540816326530612,6.424612283934329,2.8841463887155436,2.8248871294562856
Black,-0.0064944403521694,-0.0105580693815987,-0.002906976744186,0.005813953488372,0.3046511627906976,0.3848837209302325,-0.0136978733532767,-0.0216056884292176,-0.17,-0.0307692307692307,0.0104166666666666,0.046875,0.0,-0.0434782608695652,0.119047619047619,0.05,-0.0294117647058823,0.0365853658536585,0.0051020408163265,0.0476190476190476,-0.0239463601532567,0.0178571428571428,-0.0319767441860465,0.6630852435444423,1.1826356387486723,-0.15257806023785225,0.031578947368421,-0.0327868852459016,0.033210332103321,0.0,-0.0113636363636363,0.0,0.075,0.018018018018018,0.0,-0.0584415584415584,0.0145454545454545,-0.0133333333333333,-0.0225806451612903,0.0,-0.0175438596491228,0.32840267023005726,0.5322447896761838,-0.14993147152245512,0.65,0.7076923076923077,0.7824074074074074,0.546875,0.824468085106383,0.5217391304347826,0.7380952380952381,0.5833333333333334,0.7058823529411765,0.573170731707317,0.814625850340136,0.6428571428571429,0.7519157088122606,0.6428571428571429,0.7781007751937985,10.264020206778426,3.6091670872792334,1.3340311652251309,0.431578947368421,0.4262295081967213,0.4415744157441574,0.5084745762711864,0.4460227272727273,0.3414634146341463,0.35,0.2882882882882883,0.2295081967213114,0.3831168831168831,0.4854545454545454,0.44,0.4548387096774193,0.5,0.4262125902992776,6.152762803045086,2.5876492114389413,2.553037648567042
Caucasian,-0.0006088367268165,-0.0010373443983402,0.0008720930232558,0.0220930232558139,0.2883720930232558,0.4130813953488372,-0.0078122697279238,-0.0120849634459591,0.0,-0.0307692307692307,0.0162037037037037,0.078125,-0.014627659574468,-0.0434782608695652,0.0833333333333333,-0.0916666666666666,0.1764705882352941,-0.0182926829268292,-0.0144557823129251,-0.0357142857142857,0.0076628352490421,0.0714285714285714,-0.0135658914728682,0.6957944922567834,1.287410575455239,-0.11986881152551121,0.0212765957446808,-0.065040650406504,0.0191239975323874,-0.0333333333333333,-0.026950354609929,-0.1294117647058823,0.0375,0.054054054054054,-0.0491803278688524,0.0318471337579617,0.013599274705349,0.1125,0.001063829787234,-0.02803738317757,0.0143737166324435,0.6372924163161813,0.584924885616937,0.1589582745636689,0.52,0.6,0.7210648148148148,0.609375,0.7593085106382979,0.717391304347826,0.6785714285714286,0.5583333333333333,0.6176470588235294,0.6646341463414634,0.7848639455782312,0.7023809523809523,0.7260536398467433,0.7321428571428571,0.7209302325581395,10.112697224377618,3.9364374717259416,1.1827081828243227,0.3404255319148936,0.3008130081300813,0.446020974706971,0.2666666666666666,0.4496453900709219,0.4117647058823529,0.3375,0.3963963963963964,0.3114754098360656,0.3248407643312102,0.4632819582955575,0.3125,0.4691489361702127,0.4205607476635514,0.459958932238193,5.7109994223030744,2.111274267825031,2.111274267825031
White,0.0015376179316147,0.0025839793281654,0.0,0.0093023255813953,0.3046511627906976,0.4049418604651162,-0.0056658150694926,-0.0084636397194535,-0.05,0.0269230769230769,0.0219907407407407,0.25,-0.0345744680851063,-0.0869565217391304,0.0714285714285714,-0.025,0.1617647058823529,0.0426829268292682,-0.0136054421768707,0.0476190476190476,-0.0153256704980842,-0.0357142857142857,0.0125968992248062,0.8961823568613412,1.0734828331135662,0.08051905307904661,0.043010752688172,-0.081967213114754,0.0124688279301745,-0.0666666666666666,-0.0102941176470588,0.0120481927710843,0.1,-0.017094017094017,-0.0307692307692307,0.0451612903225806,0.0082041932543299,0.0779220779220779,-0.0087719298245614,0.0707070707070707,0.0145228215767634,0.599608402288542,0.48348977383233505,0.12127426053602958,0.63,0.6961538461538461,0.7303240740740741,0.5625,0.7845744680851063,0.5652173913043478,0.6666666666666666,0.5916666666666667,0.6617647058823529,0.5792682926829268,0.7738095238095238,0.6428571428571429,0.6915708812260536,0.6964285714285714,0.7238372093023255,9.996639440139607,3.8365896613662156,1.0666503985863116,0.3225806451612903,0.4016393442622951,0.4226932668329177,0.3333333333333333,0.4485294117647059,0.3493975903614458,0.45,0.3076923076923077,0.4,0.3548387096774194,0.4512306289881495,0.2597402597402597,0.4517543859649123,0.4343434343434343,0.3921161825726141,5.779889500695085,2.1801643462170417,2.1801643462170417
European,-0.0073373175604523,-0.0114261531950909,0.0066860465116279,-0.0040697674418604,0.4590116279069767,0.3578488372093023,-0.0145407505615596,-0.0224737722427098,0.09,-0.0076923076923076,0.0341435185185185,0.1875,-0.0159574468085106,0.1195652173913043,-0.0833333333333333,0.0833333333333333,0.1323529411764706,0.0,-0.0059523809523809,-0.0119047619047619,0.0019157088122605,0.0,0.001937984496124,0.7755889344193054,1.2109217785607818,-0.04007436936298914,0.0439560439560439,-0.0619834710743801,0.0359281437125748,0.0169491525423728,-0.0027816411682892,-0.0919540229885057,0.0,-0.0192307692307692,-0.0161290322580645,0.0822784810126582,-0.0089126559714795,-0.0886075949367088,0.0197505197505197,0.0515463917525773,-0.003024193548387,0.5430321139033307,0.7144731042006072,0.06469797215081835,0.57,0.6384615384615384,0.8848379629629629,0.625,0.922872340425532,0.5978260869565217,0.75,0.4833333333333333,0.5735294117647058,0.524390243902439,0.9277210884353742,0.6785714285714286,0.8467432950191571,0.6964285714285714,0.9205426356589148,10.640257936920479,2.899672492804041,1.710268895367184,0.3956043956043956,0.4338842975206611,0.3233532934131736,0.423728813559322,0.3588317107093185,0.3448275862068966,0.4210526315789473,0.3461538461538461,0.3709677419354839,0.310126582278481,0.3636363636363636,0.3924050632911392,0.3877338877338877,0.3608247422680412,0.3739919354838709,5.6071228913738285,2.007397736895785,2.007397736895785
Roma,-0.007732187824026,-0.0127388535031847,-0.0087209302325581,-0.0186046511627906,0.3848837209302325,0.3930232558139535,-0.0149356208251333,-0.0237864725508036,-0.05,-0.0076923076923076,0.0289351851851851,0.109375,-0.0359042553191489,-0.108695652173913,-0.0595238095238095,-0.0166666666666666,0.0147058823529411,-0.0365853658536585,0.0374149659863945,0.0833333333333333,0.0114942528735632,0.0535714285714285,0.0213178294573643,0.6752159349897141,0.9526465531604035,-0.14044736879258046,0.043010752688172,-0.0950413223140495,0.0245950809838032,-0.0983606557377049,-0.0098452883263009,0.0113636363636363,0.1728395061728395,0.1160714285714285,-0.0952380952380952,0.0130718954248366,0.0170403587443946,0.0,0.0010526315789473,-0.0192307692307692,-0.0193285859613428,0.7360900073363205,0.6516803949686831,0.2577558655838081,0.57,0.6307692307692307,0.8252314814814815,0.671875,0.8550531914893617,0.6086956521739131,0.7738095238095238,0.5833333333333334,0.6911764705882353,0.524390243902439,0.8775510204081632,0.7261904761904762,0.7950191570881227,0.7321428571428571,0.7965116279069767,10.661749266284113,3.61119884375668,1.7317602247308184,0.3010752688172043,0.3677685950413223,0.382123575284943,0.2950819672131147,0.4120956399437412,0.3295454545454545,0.4444444444444444,0.4017857142857143,0.4761904761904761,0.3529411764705882,0.4349775784753363,0.3636363636363636,0.4263157894736842,0.4615384615384615,0.4038657171922685,5.853386222553118,2.2536610680750737,2.253661068075074
Native American,-0.0063923121093663,-0.0104463437796771,-0.004360465116279,0.0081395348837209,0.3459302325581395,0.3880813953488372,-0.0135957451104736,-0.021493962827296,0.04,0.0346153846153846,-0.0023148148148148,0.078125,-0.0026595744680851,-0.0326086956521739,-0.2142857142857142,0.0333333333333333,0.0,0.0,0.0289115646258503,0.0,-0.0162835249042145,0.0625,0.0077519379844961,0.5533895446840669,1.2352784891812936,-0.2622737590982277,0.086021505376344,-0.081967213114754,0.0314199395770392,0.05,0.001418439716312,0.0,0.1139240506329113,-0.0353982300884955,-0.140625,-0.0193548387096774,-0.0080789946140035,0.0365853658536585,-0.0146443514644351,0.0392156862745098,0.007063572149344,0.6657171875714842,0.4981378505167076,0.18738304581897186,0.78,0.7038461538461539,0.8217592592592593,0.734375,0.8696808510638298,0.4891304347826087,0.7380952380952381,0.6666666666666666,0.7647058823529411,0.5975609756097561,0.8809523809523809,0.5952380952380952,0.7691570881226054,0.7946428571428571,0.812015503875969,11.017826387008363,3.9588787546810504,2.0878373454550676,0.3225806451612903,0.4016393442622951,0.4132930513595166,0.3833333333333333,0.4496453900709219,0.2891566265060241,0.3417721518987341,0.336283185840708,0.453125,0.2903225806451613,0.4587073608617594,0.3536585365853658,0.4351464435146444,0.392156862745098,0.4409687184661958,5.761789231251048,2.188401986551654,2.1620640767730044
South American,-0.0125923507280843,-0.0184409052808046,-0.0072674418604651,-0.0098837209302325,0.4421511627906976,0.3171511627906976,-0.0197957837291916,-0.0294885243284235,-0.05,0.0115384615384615,0.0434027777777777,0.109375,-0.0438829787234042,0.0434782608695652,-0.1428571428571428,-0.0166666666666666,-0.1617647058823529,-0.0121951219512195,0.0841836734693877,0.1071428571428571,0.0191570881226053,-0.0357142857142857,-0.0358527131782945,0.9172117338940208,0.9474294887914402,0.1015484301117262,0.1222222222222222,-0.100418410041841,0.0283132530120481,-0.0172413793103448,-0.002805049088359,-0.0121951219512195,0.1518987341772152,0.0,0.0,0.0127388535031847,-0.0267618198037466,0.0,0.0073684210526315,0.0103092783505154,0.0131712259371833,0.5054437684505114,0.673151936311858,0.027109626697999045,0.73,0.7192307692307692,0.9716435185185184,0.578125,0.9401595744680852,0.6739130434782609,0.7619047619047619,0.6166666666666667,0.6911764705882353,0.6219512195121951,1.0008503401360545,0.6309523809523809,0.8697318007662835,0.7857142857142857,0.9428294573643412,11.53484928930084,3.341105842375594,2.6048602477475455,0.3888888888888889,0.401673640167364,0.3837349397590361,0.3275862068965517,0.4151472650771388,0.3048780487804878,0.4556962025316455,0.3888888888888889,0.4375,0.3821656050955414,0.4174843889384478,0.5194805194805194,0.4094736842105263,0.4432989690721649,0.3860182370820669,6.061915484869269,2.4621903303912247,2.4621903303912256
