,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Atheist_ambig,Christian_ambig,Protestant_ambig,Catholic_ambig,Mormon_ambig,Jewish_ambig,Muslim_ambig,Sikh_ambig,Hindu_ambig,Buddhist_ambig,TB_ambig,PB_ambig,Atheist_disambig,Christian_disambig,Protestant_disambig,Catholic_disambig,Mormon_disambig,Jewish_disambig,Muslim_disambig,Sikh_disambig,Hindu_disambig,Buddhist_disambig,TB_disambig,PB_disambig
Baseline,0.0600862745098039,0.1105882352941176,0.0466666666666666,-0.1266666666666666,0.4833333333333333,0.4566666666666666,0.1458333333333333,-0.0128205128205128,0.0972222222222222,0.1212121212121212,0.0151515151515151,-0.0071428571428571,0.0914634146341463,0.1111111111111111,0.0681818181818181,0.125,0.7951389058096372,0.0,-0.0428571428571428,0.0205479452054794,0.1714285714285714,0.08130081300813,-0.1721311475409836,0.0610687022900763,0.0136054421768707,-0.044776119402985,-0.0333333333333333,0.2222222222222222,0.8632714394657947,0.0
Atheist,0.0243360995850622,0.0705394190871369,-0.035,-0.0433333333333333,0.2083333333333333,0.655,-0.0763888888888889,-0.0769230769230769,-0.1666666666666666,-0.0681818181818181,0.0757575757575757,0.0142857142857142,0.0914634146341463,0.0416666666666666,-0.0075757575757575,0.1071428571428571,0.7260524367231678,0.9847014097014092,0.0,0.0839160839160839,0.0,0.0916666666666666,-0.1229508196721311,0.0310077519379844,-0.0675675675675675,-0.1323529411764706,0.1048387096774193,-0.1538461538461538,0.7881466944604771,1.0502512354728522
Christian,0.0379934210526316,0.0723684210526316,0.0083333333333333,-0.0466666666666666,0.26,0.475,0.0347222222222222,-0.0192307692307692,-0.0277777777777777,0.0075757575757575,-0.0227272727272727,-0.0142857142857142,-0.0365853658536585,0.0833333333333333,0.0984848484848484,0.0714285714285714,0.41615163291992513,0.6408803933194175,0.0,0.0948905109489051,-0.0303030303030303,-0.0083333333333333,-0.0330578512396694,-0.0387596899224806,-0.0625,0.0151515151515151,0.0672268907563025,0.0909090909090909,0.44113191256432716,1.0153735773216426
Protestant,-0.017061855670103,-0.0309278350515463,-0.0216666666666666,-0.0933333333333333,0.23,0.4483333333333333,-0.0069444444444444,0.0705128205128205,-0.0416666666666666,0.0303030303030303,0.0378787878787878,-0.0857142857142857,0.0,0.0416666666666666,-0.0833333333333333,-0.0178571428571428,0.415877178377178,1.022487945658677,-0.0148148148148148,0.0735294117647058,-0.0434782608695652,0.0082644628099173,-0.0508474576271186,0.08,0.0466666666666666,-0.106060606060606,-0.0341880341880341,-0.1320754716981132,0.5899251864995416,0.9586800706441455
Catholic,0.0305274971941638,0.0572390572390573,-0.0066666666666666,-0.0833333333333333,0.2616666666666666,0.4666666666666667,0.0069444444444444,0.0064102564102564,-0.125,0.1818181818181818,-0.0227272727272727,0.0142857142857142,0.0365853658536585,0.0138888888888888,-0.0833333333333333,-0.0357142857142857,0.5267077434760358,0.9645850084874473,-0.0895522388059701,0.1205673758865248,-0.1538461538461538,0.024390243902439,-0.0964912280701754,0.0,0.0689655172413793,-0.0149253731343283,-0.0666666666666666,-0.0377358490566037,0.6731406466102409,1.044110668716498
Mormon,-0.0017182662538699,-0.0030959752321981,0.01,-0.02,0.2933333333333333,0.445,0.1388888888888889,-0.0448717948717948,-0.0277777777777777,0.0075757575757575,-0.0151515151515151,0.0,-0.0121951219512195,0.0416666666666666,-0.0227272727272727,-0.0714285714285714,0.3822833670394642,0.7755186209454499,0.0735294117647058,0.1027397260273972,-0.0441176470588235,-0.0476190476190476,0.0427350427350427,-0.0161290322580645,-0.0472972972972973,-0.1641791044776119,-0.008695652173913,-0.0980392156862745,0.645081177098178,1.3603131829992179
Jewish,-0.0127920685959271,-0.022508038585209,-0.015,0.0033333333333333,0.245,0.4316666666666666,-0.0069444444444444,0.0961538461538461,-0.0833333333333333,-0.1287878787878787,-0.0303030303030303,-0.0428571428571428,0.048780487804878,-0.0138888888888888,-0.0303030303030303,0.0535714285714285,0.5349235114479012,1.1110728702192114,0.0955882352941176,0.0955882352941176,-0.0153846153846153,-0.0168067226890756,-0.0762711864406779,0.0158730158730158,0.0571428571428571,-0.2058823529411764,0.0252100840336134,-0.2653061224489796,0.8690534275422463,1.3901774488099834
Muslim,0.0173195876288659,0.0309278350515462,0.0,-0.09,0.2316666666666666,0.44,0.0555555555555555,-0.0192307692307692,-0.1111111111111111,-0.0303030303030303,0.0227272727272727,0.0071428571428571,-0.0182926829268292,-0.0555555555555555,-0.0757575757575757,0.0,0.3956764103105562,1.0237601490650268,-0.0381679389312977,0.0661764705882353,-0.0166666666666666,-0.0608695652173913,-0.1061946902654867,0.032,-0.0633802816901408,0.0307692307692307,0.0338983050847457,-0.0588235294117647,0.5069466786249596,0.9763969692862267
Sikh,-0.0103020134228187,-0.0201342281879194,0.0,-0.0766666666666666,0.2583333333333333,0.4883333333333333,0.0416666666666666,0.0961538461538461,0.0,-0.0227272727272727,-0.0378787878787878,-0.1214285714285714,0.0609756097560975,0.0277777777777777,-0.0303030303030303,0.1785714285714285,0.6174829912634785,0.887496074386318,0.0384615384615384,0.0895522388059701,-0.1129032258064516,-0.0256410256410256,-0.0512820512820512,-0.0476190476190476,0.0273972602739726,-0.1911764705882352,0.0423728813559322,-0.0434782608695652,0.6698840007037897,1.2727323240348118
Hindu,0.0398809523809523,0.0714285714285714,0.0366666666666666,-0.1233333333333333,0.255,0.4416666666666666,-0.0694444444444444,-0.0833333333333333,0.125,0.0,0.0,0.0357142857142857,0.0060975609756097,0.0555555555555555,-0.0227272727272727,-0.0178571428571428,0.4157295956076441,0.8674767982694809,-0.0518518518518518,0.0592592592592592,0.0454545454545454,-0.056910569105691,-0.0695652173913043,-0.0775193798449612,0.047945205479452,0.0,-0.0080645161290322,-0.125,0.5415705445160972,1.004652365553142
