,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,highSES_polarity_amb,lowSES_polarity_amb,TB_polarity_amb,PB_polarity_amb,diff_TB_polarity_amb,highSES_polarity_dis,lowSES_polarity_dis,TB_polarity_dis,PB_polarity_dis,diff_TB_polarity_dis,highSES_amount_amb,lowSES_amount_amb,TB_amount_amb,PB_amount_amb,diff_TB_amount_amb,highSES_amount_dis,lowSES_amount_dis,TB_amount_dis,PB_amount_dis,diff_TB_amount_dis
Baseline,0.0198561512882653,0.0247985120892746,0.0751748251748251,-0.1008158508158507,0.793997668997669,0.1993006993006993,0.0,0.0,0.0751748251748251,-0.0751748251748251,0.1503496503496502,0.0,0.0,0.0032276995305164,-0.0032276995305164,0.0064553990610328,0.0,0.0,0.7948717948717948,0.7948717948717948,1.5897435897435896,0.0,0.0,0.1470070422535211,0.1470070422535211,0.2940140845070422,0.0,0.0
chemical engineer,0.0164545454545454,0.024,0.0888694638694638,-0.1311188811188811,0.5894522144522144,0.3143939393939394,-0.0034016058337199007,-0.0007985120892745994,0.0888694638694638,-0.0888694638694638,0.1777389277389276,0.027389277389277406,0.027389277389277406,0.0040840140023337,-0.0040840140023337,0.0081680280046674,0.0017126289436345992,0.0017126289436345992,0.6844405594405595,0.6844405594405595,1.368881118881119,0.22086247086247068,-0.22086247086247068,0.2485414235705951,0.2485414235705951,0.4970828471411902,0.20306876263414803,0.20306876263414803
chemist,0.0233859001501908,0.0345800988002822,0.0585664335664335,-0.113053613053613,0.5862470862470862,0.3237179487179487,0.003529748861925499,0.009781586711007598,0.0585664335664335,-0.0585664335664335,0.117132867132867,0.0332167832167832,-0.0332167832167832,0.0058479532163742,-0.0058479532163742,0.0116959064327484,0.0052405073717156,0.0052405073717156,0.6756993006993007,0.6756993006993007,1.3513986013986015,0.23834498834498818,-0.23834498834498818,0.2403508771929824,0.2403508771929824,0.4807017543859648,0.1866876698789226,0.1866876698789226
dentist,0.0215518323687085,0.0333931777378815,0.069055944055944,-0.1293706293706293,0.5844988344988346,0.3546037296037296,0.0016956810804432017,0.008594665648606902,0.069055944055944,-0.069055944055944,0.138111888111888,0.012237762237762212,-0.012237762237762212,0.0067192521180251,-0.0067192521180251,0.0134385042360502,0.006983105175017401,0.006983105175017401,0.6442307692307693,0.6442307692307693,1.2884615384615385,0.3012820512820511,-0.3012820512820511,0.2275781478235466,0.2275781478235466,0.4551562956470932,0.161142211140051,0.161142211140051
judge,0.0197382241356182,0.0307636626854868,0.0801282051282051,-0.1585081585081585,0.5926573426573427,0.3583916083916084,-0.00011792715264710013,0.0059651505962122,0.0801282051282051,-0.0801282051282051,0.1602564102564102,0.009906759906759988,0.009906759906759988,0.0102369113775957,-0.0102369113775957,0.0204738227551914,0.0140184236941586,0.0140184236941586,0.6378205128205128,0.6378205128205128,1.2756410256410255,0.3141025641025641,-0.3141025641025641,0.2132202398362094,0.2132202398362094,0.4264404796724188,0.13242639516537663,0.13242639516537663
lawyer,0.0097881718975469,0.0171130952380953,0.0474941724941724,-0.1130536130536131,0.5425407925407926,0.428030303030303,-0.0100679793907184,-0.007685416851179301,0.0474941724941724,-0.0474941724941724,0.0949883449883448,0.0553613053613054,-0.0553613053613054,0.0023364485981308,-0.0023364485981308,0.0046728971962616,0.0017825018647711997,-0.0017825018647711997,0.5708041958041958,0.5708041958041958,1.1416083916083917,0.448135198135198,-0.448135198135198,0.2412383177570093,0.2412383177570093,0.4824766355140186,0.1884625510069764,0.1884625510069764
optometrist,0.0216802634842764,0.0333213901827302,0.0798368298368298,-0.1573426573426574,0.6019813519813519,0.3493589743589743,0.001824112196011099,0.008522878093455599,0.0798368298368298,-0.0798368298368298,0.1596736596736596,0.009324009324009397,0.009324009324009397,0.0055539315989476,-0.0055539315989476,0.0111078631978952,0.004652464136862399,0.004652464136862399,0.6486013986013986,0.6486013986013986,1.2972027972027973,0.29254079254079235,-0.29254079254079235,0.2119263373282666,0.2119263373282666,0.4238526746565332,0.129838590149491,0.129838590149491
pharmacist,0.0198605579771499,0.0298953662182361,0.0856643356643356,-0.1445221445221445,0.5559440559440559,0.3356643356643357,4.406688884600607e-06,0.005096854128961499,0.0856643356643356,-0.0856643356643356,0.1713286713286712,0.02097902097902099,0.02097902097902099,0.0105048147067405,-0.0105048147067405,0.021009629413481,0.0145542303524482,0.0145542303524482,0.6608391608391608,0.6608391608391608,1.3216783216783217,0.268065268065268,-0.268065268065268,0.2241027137437992,0.2241027137437992,0.4482054274875984,0.1541913429805562,0.1541913429805562
physician,0.0379201039000593,0.058648849294729,0.0641025641025641,-0.1258741258741259,0.5524475524475524,0.3534382284382284,0.018063952611794002,0.0338503372054544,0.0641025641025641,-0.0641025641025641,0.1282051282051282,0.022144522144522005,-0.022144522144522005,0.0175182481751824,-0.0175182481751824,0.0350364963503648,0.028581097289332,0.028581097289332,0.6456876456876457,0.6456876456876457,1.2913752913752914,0.29836829836829826,-0.29836829836829826,0.232992700729927,0.232992700729927,0.465985401459854,0.17197131695281181,0.17197131695281181
physics teacher,0.0170087035966119,0.024322446143155,0.0533216783216783,-0.1235431235431235,0.6153846153846154,0.3006993006993007,-0.0028474476916534007,-0.00047606594611960054,0.0533216783216783,-0.0533216783216783,0.1066433566433566,0.0437062937062936,-0.0437062937062936,0.0046701692936368,-0.0046701692936368,0.0093403385872736,0.0028849395262407996,0.0028849395262407996,0.6978438228438228,0.6978438228438228,1.3956876456876457,0.19405594405594395,-0.19405594405594395,0.2235843549328663,0.2235843549328663,0.4471687098657326,0.1531546253586904,0.1531546253586904
professor,0.0161772616523747,0.0226244343891401,0.0888694638694638,-0.1526806526806526,0.6066433566433567,0.2849650349650349,-0.0036788896358905983,-0.002174077700134499,0.0888694638694638,-0.0888694638694638,0.1777389277389276,0.027389277389277406,0.027389277389277406,0.0014619883040935,-0.0014619883040935,0.002923976608187,0.0035314224528458,-0.0035314224528458,0.712995337995338,0.712995337995338,1.425990675990676,0.16375291375291368,-0.16375291375291368,0.2312865497076023,0.2312865497076023,0.4625730994152046,0.16855901490816239,0.16855901490816239
psychologist,0.0185123966942149,0.0305454545454546,0.0457459207459207,-0.1672494172494172,0.5772144522144522,0.3939393939393939,-0.0013437545940503982,0.0057469424561800014,0.0457459207459207,-0.0457459207459207,0.0914918414918414,0.058857808857808794,-0.058857808857808794,0.006713368359603,-0.006713368359603,0.013426736719206,0.0069713376581732,0.0069713376581732,0.6046037296037297,0.6046037296037297,1.2092074592074593,0.38053613053613033,-0.38053613053613033,0.2244600116754232,0.2244600116754232,0.4489200233508464,0.15490593884380421,0.15490593884380421
