,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,African_ambig,African American_ambig,Black_ambig,Caucasian_ambig,White_ambig,European_ambig,Roma_ambig,Native American_ambig,South American_ambig,Hispanic_ambig,Latino_ambig,Jewish_ambig,Arab_ambig,Middle Eastern_ambig,Asian_ambig,TB_ambig,PB_ambig,African_disambig,African American_disambig,Black_disambig,Caucasian_disambig,White_disambig,European_disambig,Roma_disambig,Native American_disambig,South American_disambig,Hispanic_disambig,Latino_disambig,Jewish_disambig,Arab_disambig,Middle Eastern_disambig,Asian_disambig,TB_disambig,PB_disambig
Baseline,0.0085765405058523,0.0125974805038993,0.0066860465116279,0.0401162790697674,0.751453488372093,0.3191860465116279,0.01,-0.0038461538461538,0.0248842592592592,0.0,0.0492021276595744,-0.0108695652173913,-0.0238095238095238,0.05,0.0441176470588235,-0.0121951219512195,0.032312925170068,0.0476190476190476,0.0325670498084291,0.0089285714285714,0.0368217054263565,0.3871736982544181,0.0,0.0,-0.00390625,0.004062681369704,-0.0158730158730158,0.0226969292389853,0.0108695652173913,0.05,0.0084033613445378,-0.0441176470588235,0.0248447204968944,0.0273504273504273,0.0121951219512195,0.0193423597678916,0.036036036036036,0.0184645286686103,0.2981626443735368,0.0
African,-0.0060625853858087,-0.0102887487553933,0.0,0.0005813953488371,0.6380813953488372,0.4107558139534883,0.1,0.0961538461538461,0.0763888888888889,0.046875,0.0465425531914893,0.0108695652173913,0.0595238095238095,0.05,0.0147058823529411,-0.0060975609756097,0.0331632653061224,0.0476190476190476,0.0526819923371647,0.0267857142857142,0.0251937984496124,0.6926009243016371,0.4820713260459997,-0.0108695652173913,0.0197628458498023,0.0183976261127596,0.032258064516129,0.011049723756906,-0.0439560439560439,0.0481927710843373,-0.0172413793103448,0.0151515151515151,-0.0064935064935064,0.0280701754385964,0.0129870129870129,0.0312185297079556,0.02803738317757,0.0198216055500495,0.3435077483099201,0.3042803984301249
African American,0.0062086622573074,0.0104849279161205,-0.0017441860465116,-0.0063953488372092,0.6712209302325581,0.4078488372093023,0.14,0.073076923076923,0.0515046296296296,0.03125,0.0465425531914893,-0.0326086956521739,0.0595238095238095,0.0583333333333333,0.0294117647058823,0.0121951219512195,0.042517006802721,0.0476190476190476,0.0613026819923371,0.0178571428571428,0.0465116279069767,0.7502543382426855,0.47751315284411433,0.0,0.0,0.0171091445427728,0.0,0.0209205020920502,0.0674157303370786,0.0246913580246913,0.0087719298245614,-0.0298507462686567,0.0519480519480519,0.0221434898139946,0.0384615384615384,0.0171198388721047,0.0373831775700934,0.0108803165182987,0.3466958242738927,0.2008229926362711
Black,0.0005711574354815,0.0010159160176093,-0.0122093023255814,0.0267441860465116,0.6360465116279069,0.4377906976744186,0.04,0.0653846153846153,0.0561342592592592,0.0625,0.0452127659574468,-0.0108695652173913,0.0595238095238095,0.0416666666666666,0.0588235294117647,-0.0182926829268292,0.0518707482993197,0.0119047619047619,0.0354406130268199,0.0446428571428571,0.0348837209302325,0.6371505956517736,0.4052381832004522,-0.0104166666666666,0.0160642570281124,0.0095124851367419,0.0317460317460317,0.0304287690179806,0.0120481927710843,0.0,0.0350877192982456,-0.0149253731343283,0.0460526315789473,0.0293333333333333,0.0133333333333333,0.0339660339660339,0.0377358490566037,0.0187376725838264,0.3393883486512693,0.23916878387275453
Caucasian,0.0025213141097174,0.0049904030710172,0.0174418604651162,-0.0145348837209302,0.5427325581395349,0.4947674418604651,-0.01,-0.0076923076923076,0.0086805555555555,0.09375,0.0611702127659574,-0.0217391304347826,0.0238095238095238,0.0083333333333333,-0.0147058823529411,0.024390243902439,0.0246598639455782,0.0238095238095238,0.0296934865900383,0.0178571428571428,0.0251937984496124,0.3954850054987357,0.3962247440824891,0.0,0.00836820083682,0.0227552275522755,0.0754716981132075,0.0168539325842696,0.050632911392405,0.054054054054054,0.0093457943925233,-0.0333333333333333,0.0136986301369863,0.016589861751152,0.056338028169014,0.0,0.0326086956521739,0.0175257731958762,0.4075761411640906,0.2734568724643396
White,-0.0096193684362221,-0.0185902401239349,0.0055232558139534,-0.0470930232558139,0.5270348837209302,0.4825581395348837,0.03,-0.0076923076923076,0.0231481481481481,0.015625,0.0345744680851063,0.0108695652173913,-0.0119047619047619,0.0166666666666666,0.0147058823529411,0.0,0.0127551020408163,-0.0119047619047619,0.0402298850574712,-0.0089285714285714,0.0436046511627907,0.2826097716617344,0.2758035933573931,0.0344827586206896,-0.0135746606334841,0.0097323600973236,0.0172413793103448,0.0056497175141242,0.0,0.0857142857142857,-0.0098039215686274,0.0,0.0397350993377483,0.0331186752529898,0.028169014084507,0.0095541401273885,0.0219780219780219,0.0061664953751284,0.31492052961466327,0.2816680216623837
European,0.0126456771501685,0.0209745079057761,0.0090116279069767,0.0290697674418605,0.6755813953488372,0.3970930232558139,0.02,-0.0115384615384615,0.0381944444444444,0.046875,0.0545212765957446,0.1195652173913043,0.0119047619047619,-0.0166666666666666,0.0735294117647058,0.0121951219512195,0.0544217687074829,0.0,0.0526819923371647,0.0089285714285714,0.0436046511627907,0.5646273458933183,0.4664401648332645,0.0,0.0124481327800829,0.0017699115044247,0.0327868852459016,0.0286493860845839,0.0119047619047619,0.0120481927710843,0.0434782608695652,-0.0606060606060606,0.0254777070063694,0.0279475982532751,0.0266666666666666,0.0216962524654832,0.0471698113207547,0.0215897939156035,0.37423942139461763,0.19612446295550237
Roma,0.014336447306494,0.0240925152585929,0.0122093023255813,0.0267441860465116,0.688953488372093,0.4049418604651162,0.05,-0.0115384615384615,0.0347222222222222,0.078125,0.0398936170212766,0.0217391304347826,0.119047619047619,0.0416666666666666,-0.0147058823529411,0.0060975609756097,0.0493197278911564,0.0833333333333333,0.0488505747126436,0.0446428571428571,0.0436046511627907,0.6872873045023604,0.517381010265121,0.0104166666666666,0.004,0.0146028037383177,0.0833333333333333,0.036986301369863,0.0689655172413793,0.048780487804878,0.0,-0.0298507462686567,0.050632911392405,0.0183406113537117,0.05,0.0196850393700787,0.0560747663551401,0.0127326150832517,0.5044017999776818,0.3230606951739782
Native American,0.0136588849707628,0.0217530390275111,0.0061046511627906,0.0290697674418605,0.7034883720930233,0.3720930232558139,0.07,0.0346153846153846,0.0607638888888888,-0.03125,0.0611702127659574,0.0434782608695652,0.0238095238095238,0.125,0.0,-0.0121951219512195,0.0552721088435374,0.0357142857142857,0.0325670498084291,0.0625,0.0290697674418604,0.6774056047086519,0.4948310860965346,0.0,0.0039370078740157,0.0140679953106682,0.0327868852459016,0.0246913580246913,0.0337078651685393,0.0714285714285714,0.0169491525423728,-0.0149253731343283,-0.01875,0.0323709536307961,0.037037037037037,0.0220883534136546,0.027027027027027,0.0167487684729064,0.3665163483105097,0.23743576293520954
South American,0.000609120056218,0.0009442870632672,-0.0162790697674418,0.0459302325581395,0.7061046511627908,0.3549418604651163,0.06,0.0076923076923076,0.068287037037037,0.015625,0.0345744680851063,-0.0652173913043478,0.0238095238095238,0.0,0.1176470588235294,0.0365853658536585,0.0688775510204081,0.0,0.0344827586206896,0.0357142857142857,0.0329457364341085,0.6014584843950023,0.5262317377259057,0.0306122448979591,0.0157480314960629,0.0176056338028169,0.0476190476190476,0.0094722598105548,0.0681818181818181,0.073170731707317,0.0086206896551724,-0.0147058823529411,0.0127388535031847,0.0347222222222222,0.024390243902439,0.0196270853778213,0.0636363636363636,0.0137524557956778,0.45460356396139856,0.31490819933580355
Hispanic,0.0030651795601961,0.0048590864917394,-0.0052325581395348,0.0151162790697674,0.6651162790697674,0.3691860465116279,0.06,0.0192307692307692,0.0532407407407407,0.078125,0.0412234042553191,0.0,0.0833333333333333,0.0333333333333333,0.0147058823529411,0.0914634146341463,0.096938775510204,0.0714285714285714,0.0565134099616858,-0.0089285714285714,0.0251937984496124,0.7336590046592282,0.5971533024176265,-0.0208333333333333,-0.0158730158730158,0.0177830468286899,0.0,0.0380434782608695,0.0337078651685393,0.0975609756097561,0.0172413793103448,0.0149253731343283,0.0641025641025641,0.0271216097987751,0.0625,0.0139720558882235,0.0654205607476635,0.0138339920948616,0.5029192501509648,0.34519724765124454
Latino,0.0019382970742685,0.0032258064516128,-0.0229651162790697,0.0081395348837209,0.6604651162790698,0.3991279069767441,0.0,0.0307692307692307,0.0572916666666666,0.046875,0.0452127659574468,-0.0108695652173913,0.0714285714285714,0.0666666666666666,0.1176470588235294,0.0426829268292682,0.1045918367346938,0.0357142857142857,0.0450191570881226,0.0267857142857142,0.0242248062015503,0.7257792523831376,0.49528919900590507,-0.010204081632653,-0.0116279069767441,0.0112094395280235,0.0634920634920634,0.0164158686730506,0.0113636363636363,0.0714285714285714,0.0085470085470085,-0.088235294117647,0.0445859872611464,0.0361871138570167,0.050632911392405,0.0129740518962075,0.018018018018018,0.0119284294234592,0.4668503826076505,0.2748407413817212
Jewish,-0.0062995582991857,-0.0114416475972539,0.001453488372093,0.0215116279069766,0.665406976744186,0.4494186046511628,0.04,0.0346153846153846,0.0289351851851851,0.03125,0.0518617021276595,0.0217391304347826,0.0476190476190476,-0.025,0.0441176470588235,0.0426829268292682,0.0399659863945578,0.1547619047619047,0.0584291187739463,0.0178571428571428,0.0358527131782945,0.6746878898359973,0.49089290572627986,0.0210526315789473,-0.0237154150197628,0.0218031820860341,0.0,0.0178082191780821,0.0113636363636363,0.0379746835443038,-0.0169491525423728,0.0,0.0125786163522012,0.040976460331299,0.0649350649350649,0.0357497517378351,0.0185185185185185,0.0217821782178217,0.3452075104058796,0.2772282109427172
Arab,-0.0006008595386208,-0.0010043521928355,0.0037790697674418,0.0122093023255813,0.6409883720930233,0.4017441860465116,0.02,0.0038461538461538,0.0405092592592592,0.046875,0.0638297872340425,-0.0434782608695652,0.0238095238095238,-0.0333333333333333,0.0147058823529411,-0.0121951219512195,0.0331632653061224,0.0357142857142857,0.0459770114942528,0.0803571428571428,0.0455426356589147,0.5433366636867569,0.3941073739649826,0.0210526315789473,-0.0200803212851405,0.0192192192192192,0.0491803278688524,0.0206611570247933,0.0112359550561797,0.1012658227848101,-0.0169491525423728,-0.0151515151515151,0.0377358490566037,0.0366726296958855,0.0129870129870129,0.021761658031088,0.0471698113207547,0.0090817356205852,0.44020479922376027,0.2713643036243818
