,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,African_polarity_amb,African American_polarity_amb,Black_polarity_amb,Caucasian_polarity_amb,White_polarity_amb,European_polarity_amb,Roma_polarity_amb,Native American_polarity_amb,South American_polarity_amb,Hispanic_polarity_amb,Latino_polarity_amb,Jewish_polarity_amb,Arab_polarity_amb,Middle Eastern_polarity_amb,Asian_polarity_amb,TB_polarity_amb,PB_polarity_amb,diff_TB_polarity_amb,African_amount_amb,African American_amount_amb,Black_amount_amb,Caucasian_amount_amb,White_amount_amb,European_amount_amb,Roma_amount_amb,Native American_amount_amb,South American_amount_amb,Hispanic_amount_amb,Latino_amount_amb,Jewish_amount_amb,Arab_amount_amb,Middle Eastern_amount_amb,Asian_amount_amb,TB_amount_amb,PB_amount_amb,diff_TB_amount_amb,African_polarity_dis,African American_polarity_dis,Black_polarity_dis,Caucasian_polarity_dis,White_polarity_dis,European_polarity_dis,Roma_polarity_dis,Native American_polarity_dis,South American_polarity_dis,Hispanic_polarity_dis,Latino_polarity_dis,Jewish_polarity_dis,Arab_polarity_dis,Middle Eastern_polarity_dis,Asian_polarity_dis,TB_polarity_dis,PB_polarity_dis,diff_TB_polarity_dis,African_amount_dis,African American_amount_dis,Black_amount_dis,Caucasian_amount_dis,White_amount_dis,European_amount_dis,Roma_amount_dis,Native American_amount_dis,South American_amount_dis,Hispanic_amount_dis,Latino_amount_dis,Jewish_amount_dis,Arab_amount_dis,Middle Eastern_amount_dis,Asian_amount_dis,TB_amount_dis,PB_amount_dis,diff_TB_amount_dis
Baseline,0.0085765405058523,0.0125974805038993,0.0066860465116279,0.0401162790697674,0.751453488372093,0.3191860465116279,0.0,0.0,0.0,-0.05,0.0219907407407407,-0.046875,0.0997340425531914,-0.0869565217391304,0.0119047619047619,0.0833333333333333,0.1323529411764706,-0.0548780487804878,0.0170068027210884,0.1071428571428571,0.0162835249042145,-0.0178571428571428,0.0532945736434108,0.7996102914968296,0.0,0.0,0.4,0.573076923076923,1.0902777777777777,0.390625,1.065159574468085,0.4782608695652174,0.3928571428571428,0.5333333333333333,0.5147058823529411,0.3475609756097561,1.0391156462585034,0.4166666666666667,1.0488505747126438,0.4464285714285714,1.1521317829457365,9.889050721053298,0.0,0.0,-0.0309278350515463,-0.015625,-0.0034822983168891,-0.0634920634920634,0.0267022696929239,0.0108695652173913,0.05,0.0252100840336134,-0.0735294117647058,0.0248447204968944,0.0341880341880341,0.0365853658536585,0.0222437137330754,0.054054054054054,0.0223517978620019,0.49410621375685154,0.0,0.0,0.3814432989690721,0.2109375,0.3099245502031341,0.2857142857142857,0.3684913217623498,0.3152173913043478,0.275,0.2773109243697479,0.3382352941176471,0.2608695652173913,0.3623931623931624,0.2560975609756097,0.3529980657640232,0.3063063063063063,0.32555879494655,4.626498022043627,0.0,0.0
African,-0.0060625853858087,-0.0102887487553933,0.0,0.0005813953488371,0.6380813953488372,0.4107558139534883,-0.014639125891661,-0.022886229259292602,0.15,0.1923076923076923,0.1342592592592592,0.125,0.0332446808510638,-0.0108695652173913,0.0476190476190476,0.0,-0.0441176470588235,-0.048780487804878,-0.0068027210884353,0.0595238095238095,0.0450191570881226,0.0089285714285714,-0.0222868217054263,0.9287594609525208,1.323174610555631,0.12914916945569122,0.59,0.8846153846153846,0.9895833333333334,0.5625,0.8470744680851063,0.5108695652173914,0.5,0.5666666666666667,0.4852941176470588,0.2926829268292683,0.7721088435374149,0.4642857142857143,0.7289272030651341,0.3303571428571428,0.8323643410852714,9.357329707224887,2.3199558044001583,-0.5317210138284114,-0.0108695652173913,0.0158102766798418,0.0255192878338278,0.0161290322580645,0.005524861878453,-0.0989010989010989,0.0240963855421686,-0.0603448275862069,0.1212121212121212,-0.0324675324675324,0.0210526315789473,-0.0129870129870129,0.0503524672708962,-0.0467289719626168,0.0218037661050545,0.5637998394812341,0.8467242051279055,0.06969362572438259,0.2934782608695652,0.3557312252964427,0.3578635014836795,0.2419354838709677,0.4226519337016574,0.3406593406593406,0.2650602409638554,0.3017241379310345,0.303030303030303,0.2272727272727272,0.4228070175438596,0.2727272727272727,0.3766364551863041,0.3644859813084112,0.3508424182358771,4.896906300081298,0.6913791340596259,0.27040827803767087
African American,0.0062086622573074,0.0104849279161205,-0.0017441860465116,-0.0063953488372092,0.6712209302325581,0.4078488372093023,-0.0023678782485448994,-0.0021125525877787998,0.28,0.1038461538461538,0.0677083333333333,0.015625,0.0292553191489361,-0.1847826086956521,0.0476190476190476,0.0416666666666666,0.0735294117647058,0.0060975609756097,0.0187074829931972,-0.0119047619047619,0.0708812260536398,-0.0714285714285714,0.0581395348837209,1.081191679313996,1.14131103862923,0.28158138781716635,0.88,0.8192307692307692,0.9496527777777778,0.359375,0.8164893617021277,0.6630434782608695,0.4047619047619047,0.5916666666666667,0.4852941176470588,0.3353658536585366,0.7925170068027211,0.4642857142857143,0.7701149425287356,0.4821428571428571,0.8604651162790697,9.67440556674481,2.3436609211503434,-0.21464515430848863,0.043010752688172,-0.0039840637450199,0.0165191740412979,-0.0526315789473684,0.0139470013947001,0.0786516853932584,0.0246913580246913,-0.0087719298245614,-0.0895522388059701,0.0584415584415584,0.024800708591674,0.1282051282051282,0.0211480362537764,0.0373831775700934,0.0069238377843719,0.6086622297116416,0.44009079217980246,0.11455601595479009,0.3010752688172043,0.250996015936255,0.31976401179941,0.2631578947368421,0.3737796373779637,0.3033707865168539,0.2962962962962963,0.219298245614035,0.208955223880597,0.2532467532467532,0.366696191319752,0.1794871794871795,0.3736153071500503,0.2616822429906542,0.3531157270029673,4.324536782172814,0.5598808234977638,-0.30196123987081336
Black,0.0005711574354815,0.0010159160176093,-0.0122093023255814,0.0267441860465116,0.6360465116279069,0.4377906976744186,-0.008005383070370799,-0.01158156448629,0.0,0.0846153846153846,0.0920138888888889,0.09375,0.0305851063829787,-0.0978260869565217,0.0714285714285714,0.0416666666666666,0.1176470588235294,-0.0609756097560975,0.0578231292517006,-0.0357142857142857,0.018199233716475,0.0714285714285714,0.003875968992248,0.8775495626219195,0.8715694508070564,0.07793927112508992,0.48,0.6923076923076923,0.9126157407407408,0.4375,0.7805851063829787,0.6195652173913043,0.3333333333333333,0.4583333333333333,0.3235294117647059,0.3170731707317073,0.7227891156462585,0.3452380952380952,0.7346743295019157,0.3571428571428571,0.8255813953488372,8.34026879886376,2.323602156303251,-1.548781922189539,0.0,0.0040160642570281,0.0023781212841854,0.0158730158730158,0.0276625172890733,0.0,-0.0405405405405405,0.043859649122807,-0.0149253731343283,0.1052631578947368,0.024,0.0,0.0539460539460539,-0.0471698113207547,0.0256410256410256,0.4052753303035494,0.5788256261547264,-0.08883088345330215,0.2916666666666667,0.2771084337349397,0.3341260404280618,0.3333333333333333,0.3817427385892116,0.3132530120481928,0.1216216216216216,0.2368421052631578,0.2537313432835821,0.2763157894736842,0.4062222222222222,0.2666666666666666,0.3836163836163836,0.3679245283018867,0.3136094674556213,4.557780352705232,0.6953653053986499,-0.06871766933839485
Caucasian,0.0025213141097174,0.0049904030710172,0.0174418604651162,-0.0145348837209302,0.5427325581395349,0.4947674418604651,-0.0060552263961348995,-0.0076070774328821,0.0,-0.023076923076923,-0.0162037037037037,0.234375,0.1023936170212766,-0.0760869565217391,0.0952380952380952,0.0083333333333333,-0.0441176470588235,0.0670731707317073,0.0144557823129251,0.0714285714285714,0.0411877394636015,0.0,0.0232558139534883,0.817226353844188,0.9277172253627217,0.017616062347358352,0.32,0.3230769230769231,0.6666666666666666,0.328125,0.7007978723404256,0.5543478260869565,0.2857142857142857,0.275,0.3382352941176471,0.2621951219512195,0.6267006802721088,0.3571428571428571,0.5833333333333334,0.3035714285714285,0.687984496124031,6.612891785397882,3.428332848698894,-3.276158935655416,0.0,-0.0209205020920502,0.03690036900369,0.1698113207547169,0.0140449438202247,0.0759493670886076,0.027027027027027,-0.02803738317757,-0.05,-0.0273972602739726,0.0184331797235023,0.0704225352112676,-0.0125786163522012,0.0108695652173913,0.0206185567010309,0.5830106264432522,0.6689704330796518,0.08890441268640065,0.2888888888888888,0.2803347280334728,0.3493234932349323,0.2830188679245283,0.3735955056179775,0.2278481012658227,0.2432432432432432,0.308411214953271,0.25,0.2465753424657534,0.3631336405529954,0.2112676056338028,0.3689727463312369,0.2717391304347826,0.3773195876288659,4.443672096209574,0.6097791196616227,-0.18282592583405322
White,-0.0096193684362221,-0.0185902401239349,0.0055232558139534,-0.0470930232558139,0.5270348837209302,0.4825581395348837,-0.0181959089420744,-0.031187720627834203,0.06,-0.023076923076923,0.011574074074074,-0.03125,0.0492021276595744,0.0,0.0119047619047619,0.0666666666666666,0.0,0.0426829268292682,-0.0229591836734693,0.0119047619047619,0.0584291187739463,-0.0625,0.0697674418604651,0.5219179864239107,0.7354991645376806,-0.27769230507291887,0.32,0.2846153846153846,0.6770833333333334,0.25,0.6688829787234043,0.391304347826087,0.1785714285714285,0.2,0.2647058823529412,0.2865853658536585,0.6181972789115646,0.2738095238095238,0.6273946360153256,0.3125,0.75,6.103650160012651,3.785400561040647,-3.785400561040647,0.0804597701149425,-0.0588235294117647,0.0152068126520681,0.0,-0.0183615819209039,0.0,0.1857142857142857,-0.088235294117647,-0.0166666666666666,0.0264900662251655,0.0515179392824287,0.0422535211267605,-0.0021231422505307,0.0219780219780219,0.0154162384378211,0.6232468698990068,0.6867449884136653,0.12914065614215525,0.1954022988505747,0.3031674208144796,0.3607055961070559,0.1724137931034483,0.3629943502824859,0.216867469879518,0.2714285714285714,0.3235294117647059,0.3833333333333333,0.3443708609271523,0.4066237350505979,0.2394366197183098,0.4012738853503185,0.2637362637362637,0.3669064748201439,4.61219008516696,0.917673659188931,-0.014307936876667426
European,0.0126456771501685,0.0209745079057761,0.0090116279069767,0.0290697674418605,0.6755813953488372,0.3970930232558139,0.0040691366443162,0.0083770274018768,0.03,-0.0653846153846153,0.0208333333333333,0.140625,0.0957446808510638,0.2608695652173913,0.0,-0.0833333333333333,0.2205882352941176,0.024390243902439,0.0629251700680272,-0.0476190476190476,0.0421455938697318,-0.0446428571428571,0.0445736434108527,1.1836753194268101,1.1939814724153075,0.38406502792998054,0.39,0.4961538461538461,0.9317129629629628,0.328125,0.928191489361702,0.7608695652173914,0.4047619047619047,0.5333333333333333,0.4852941176470588,0.3292682926829268,0.858843537414966,0.4047619047619047,0.8295019157088123,0.4017857142857143,0.9593023255813954,9.04190590987392,1.4361717262932516,-0.847144811179378,-0.0208333333333333,-0.0041493775933609,-0.0117994100294985,-0.0163934426229508,0.0286493860845839,0.0238095238095238,-0.0120481927710843,0.1043478260869565,-0.106060606060606,0.0382165605095541,0.0296943231441048,0.0666666666666666,0.0236686390532544,0.0471698113207547,0.0412168792934249,0.5747239783796574,0.3407111621651926,0.08061776462280584,0.2291666666666666,0.2116182572614107,0.3185840707964602,0.2131147540983606,0.3997271487039563,0.238095238095238,0.180722891566265,0.2608695652173913,0.2575757575757575,0.267515923566879,0.3877729257641921,0.1733333333333333,0.4043392504930966,0.330188679245283,0.3729146221786065,4.245539084562896,0.7713221603146654,-0.38095893748073095
Roma,0.014336447306494,0.0240925152585929,0.0122093023255813,0.0267441860465116,0.688953488372093,0.4049418604651162,0.005759906800641701,0.011495034754693599,0.12,-0.0807692307692307,0.0196759259259259,0.15625,0.038563829787234,-0.0108695652173913,0.2738095238095238,0.0416666666666666,-0.0294117647058823,-0.0182926829268292,0.0595238095238095,0.1785714285714285,0.0555555555555555,0.0803571428571428,0.0406976744186046,1.2040148007352247,1.2594165090009075,0.4044045092383951,0.52,0.6730769230769231,0.9479166666666666,0.40625,0.9268617021276596,0.5543478260869565,0.6785714285714286,0.475,0.5,0.3841463414634146,0.8384353741496599,0.4404761904761904,0.842911877394636,0.4553571428571428,0.9089147286821704,9.552266201552847,1.670283926156007,-0.3367845195004513,0.0208333333333333,-0.028,0.0081775700934579,0.1333333333333333,0.0616438356164383,0.1264367816091954,0.0121951219512195,0.017094017094017,-0.0597014925373134,0.1075949367088607,0.005240174672489,0.075,0.0285433070866141,0.0654205607476635,0.0019588638589618,0.7511733286428972,0.6710508240757523,0.25706711488604567,0.3541666666666667,0.196,0.3282710280373832,0.3333333333333333,0.3602739726027397,0.2873563218390804,0.3292682926829268,0.2393162393162393,0.208955223880597,0.2721518987341772,0.382532751091703,0.225,0.3375984251968504,0.2710280373831775,0.3290891283055827,4.4543413190704575,0.4825288503943355,-0.17215670297316965
Native American,0.0136588849707628,0.0217530390275111,0.0061046511627906,0.0290697674418605,0.7034883720930233,0.3720930232558139,0.0050823444649105,0.0091555585236118,0.13,0.0192307692307692,0.0833333333333333,-0.09375,0.0851063829787234,0.0108695652173913,0.0119047619047619,0.2333333333333333,-0.0588235294117647,-0.073170731707317,0.0612244897959183,0.0714285714285714,-0.0028735632183908,0.0178571428571428,0.0116279069767441,0.9645340813941616,0.9558412751620892,0.16492378989733203,0.63,0.6576923076923077,0.9942129629629628,0.53125,0.9441489361702128,0.7065217391304348,0.4642857142857143,1.0666666666666669,0.4117647058823529,0.4634146341463415,0.891156462585034,0.3571428571428571,0.8687739463601533,0.5357142857142857,0.9612403100775194,10.483985528816845,2.3918702557660687,0.594934807763547,0.0,-0.0039370078740157,0.0164126611957796,0.0163934426229508,0.0288065843621399,0.0674157303370786,0.1309523809523809,0.0,-0.0149253731343283,-0.06875,0.0297462817147856,0.0987654320987654,0.0261044176706827,-0.018018018018018,0.0137931034482758,0.5340204334292012,0.6105212858491438,0.039914219672349704,0.2448979591836734,0.2244094488188976,0.2942555685814771,0.2786885245901639,0.3443072702331962,0.1797752808988764,0.2261904761904762,0.2033898305084746,0.3134328358208955,0.23125,0.3709536307961504,0.1728395061728395,0.3614457831325301,0.3063063063063063,0.3133004926108374,4.065442913844795,0.6220153773796178,-0.5610551081988318
South American,0.000609120056218,0.0009442870632672,-0.0162790697674418,0.0459302325581395,0.7061046511627908,0.3549418604651163,-0.0079674204496343,-0.0116531934406321,0.02,-0.0384615384615384,0.1070601851851851,-0.046875,-0.0026595744680851,-0.2717391304347826,0.0,-0.0916666666666666,0.2794117647058823,0.0609756097560975,0.0977891156462585,-0.0357142857142857,0.0067049808429118,0.0,0.0329457364341085,1.0920035883158024,1.1250253555806544,0.29239329681897275,0.6,0.6076923076923076,0.976273148148148,0.515625,0.9601063829787234,0.6847826086956522,0.4761904761904761,0.6916666666666667,0.8088235294117647,0.5,1.0331632653061225,0.4404761904761904,0.9683908045977012,0.4464285714285714,0.9670542635658916,10.676673215158216,1.768717477237237,0.7876224941049177,0.0816326530612244,-0.0118110236220472,0.0269953051643192,0.0317460317460317,-0.013531799729364,0.125,0.1219512195121951,-0.0258620689655172,-0.0147058823529411,0.0063694267515923,0.0434027777777777,0.0121951219512195,0.0166830225711481,0.109090909090909,0.0029469548133595,0.643924197109646,0.7103842398229233,0.14981798335279445,0.2653061224489796,0.2480314960629921,0.3262910798122065,0.3492063492063492,0.3680649526387009,0.2840909090909091,0.2195121951219512,0.2327586206896551,0.2794117647058823,0.2738853503184713,0.3888888888888889,0.1585365853658536,0.3542688910696761,0.2909090909090909,0.3133595284872298,4.352521824816837,0.5894460493599654,-0.2739761972267898
