,BS_d,BS_a,Diff_Bias_d,Diff_Bias_a,Acc_d,Acc_a,Atheist_ambig,Buddhist_ambig,Catholic_ambig,Christian_ambig,Hindu_ambig,Jewish_ambig,Mormon_ambig,Muslim_ambig,Orthodox_ambig,Protestant_ambig,Sikh_ambig,TB_ambig,PB_ambig,Atheist_disambig,Buddhist_disambig,Catholic_disambig,Christian_disambig,Hindu_disambig,Jewish_disambig,Mormon_disambig,Muslim_disambig,Orthodox_disambig,Protestant_disambig,Sikh_disambig,TB_disambig,PB_disambig
Baseline,0.0491803278688525,0.0247540983606557,-0.0766666666666666,0.07,0.4966666666666666,0.7616666666666667,0.1527777777777778,-0.0178571428571428,-0.106060606060606,0.1153846153846153,-0.1439393939393939,0.0214285714285714,-0.0606060606060606,0.0,,0.1111111111111111,0.2083333333333333,0.937498612498612,0.0,-0.0070422535211267,0.0892857142857142,0.0305343511450381,0.0193548387096774,-0.123076923076923,0.0072463768115942,-0.0384615384615384,0.0186335403726708,,0.0555555555555555,0.028169014084507,0.41736010602434526,0.0
Atheist,0.0703125,0.032109375,-0.0433333333333333,0.1199999999999999,0.5433333333333333,0.6983333333333334,0.4097222222222222,0.125,-0.106060606060606,-0.0833333333333333,-0.2045454545454545,-0.0714285714285714,-0.0833333333333333,-0.0182926829268292,,0.1944444444444444,0.3333333333333333,1.6294939816281275,1.0013360284701744,0.0559440559440559,0.0181818181818181,-0.0075757575757575,0.0584415584415584,0.0,-0.0431654676258992,-0.0396825396825396,0.0185185185185185,,0.0422535211267605,0.0138888888888888,0.2976521259857965,0.41369398423573844
Buddhist,0.0,0.0,-0.01,0.1183333333333333,0.5366666666666666,0.755,0.0972222222222222,0.6428571428571429,-0.0378787878787878,-0.0384615384615384,-0.2727272727272727,0.0142857142857142,-0.0454545454545454,0.024390243902439,,0.1666666666666666,0.1944444444444444,1.5343885789007736,1.1832147527269479,-0.0486111111111111,0.1071428571428571,0.0227272727272727,0.0516129032258064,-0.0534351145038167,0.014388489208633,-0.0151515151515151,0.0617283950617283,,0.0972222222222222,-0.0422535211267605,0.5142734014817231,0.3547691442281818
Catholic,0.0431372549019608,0.0225751633986928,-0.1099999999999999,0.1033333333333333,0.4766666666666667,0.6916666666666667,0.0555555555555555,0.1607142857142857,0.4545454545454545,0.0192307692307692,-0.3636363636363636,0.1428571428571428,-0.0757575757575757,0.0,,0.1388888888888889,0.25,1.6611860361860358,1.3582750582750582,-0.0070422535211267,0.1851851851851851,0.0916030534351145,0.0129870129870129,-0.1526717557251908,0.0588235294117647,0.015267175572519,0.0443037974683544,,0.0694444444444444,-0.056338028169014,0.6936662359197265,0.42230288643280095
Christian,0.0283400809716598,0.0151147098515519,-0.1633333333333333,0.06,0.4666666666666667,0.6383333333333333,0.0625,0.0714285714285714,0.106060606060606,0.282051282051282,-0.3333333333333333,0.0214285714285714,0.0606060606060606,0.0121951219512195,,0.1111111111111111,0.25,1.3107146579707554,0.9228192200753176,0.0070422535211267,0.0377358490566037,0.0153846153846153,0.0466666666666666,-0.015625,0.0583941605839416,-0.0625,0.0641025641025641,,0.0140845070422535,-0.1194029850746268,0.44093860143239827,0.525246175778837
Hindu,0.0869565217391303,0.0463768115942028,-0.0366666666666666,0.1033333333333333,0.4666666666666667,0.6816666666666666,0.1111111111111111,0.2142857142857142,-0.0606060606060606,-0.0705128205128205,0.1893939393939394,0.0428571428571428,-0.2954545454545454,0.1097560975609756,,0.0277777777777777,0.2916666666666667,1.413421876226754,1.3711946589995367,0.0138888888888888,0.0892857142857142,0.0615384615384615,0.0066666666666666,-0.015625,0.0073529411764705,-0.0703125,0.0445859872611464,,0.0422535211267605,-0.0142857142857142,0.3657953952298227,0.2857420835142024
Jewish,0.0701402805611222,0.0384602538410153,-0.0899999999999999,0.055,0.4516666666666666,0.6516666666666666,0.0902777777777777,-0.0714285714285714,0.0303030303030303,0.0128205128205128,-0.3106060606060606,0.6071428571428571,-0.2196969696969697,0.0548780487804878,,0.2638888888888889,0.2083333333333333,1.8693760507784896,1.4741268555292946,0.0142857142857142,0.0943396226415094,0.064,0.0264900662251655,-0.0866141732283464,0.1068702290076335,-0.0396825396825396,-0.0129032258064516,,0.0428571428571428,-0.0303030303030303,0.5183457440375333,0.30699757906377556
Mormon,-0.0225872689938397,-0.0115947980835044,-0.1266666666666666,0.0433333333333333,0.4866666666666667,0.6566666666666666,0.0486111111111111,0.25,-0.1212121212121212,0.2115384615384615,-0.3106060606060606,0.0571428571428571,0.3787878787878788,-0.0548780487804878,,0.2638888888888889,0.125,1.821665428067867,1.4160932224956617,0.0141843971631205,-0.0714285714285714,0.0775193798449612,0.0264900662251655,-0.1782945736434108,-0.0472440944881889,0.0769230769230769,0.0974025974025974,,0.0289855072463768,-0.0428571428571428,0.6613294072226122,0.6375191921455853
Muslim,0.0646551724137931,0.0320043103448276,-0.15,0.0133333333333333,0.505,0.585,0.125,0.1964285714285714,-0.0227272727272727,0.0448717948717948,-0.1666666666666666,-0.0357142857142857,-0.1212121212121212,0.3597560975609756,,0.0,0.0416666666666666,1.1140434768483547,1.1739197117245896,0.0145985401459854,0.1272727272727272,0.0387596899224806,-0.0743243243243243,-0.040983606557377,-0.0078125,0.0,0.0671140939597315,,0.0434782608695652,-0.0454545454545454,0.4597982885067366,0.4313274480703513
Orthodox,0.0489236790606653,0.0251956947162426,-0.0999999999999999,0.0516666666666666,0.485,0.6866666666666666,0.0486111111111111,-0.0357142857142857,0.1212121212121212,0.2628205128205128,-0.3787878787878788,0.3357142857142857,-0.1136363636363636,-0.0182926829268292,,0.0138888888888888,0.1527777777777778,1.4814559085900547,1.2699673971015437,0.0139860139860139,0.1785714285714285,0.0076335877862595,0.0451612903225806,-0.0859375,0.0431654676258992,-0.0390625,0.01875,,0.0416666666666666,0.0142857142857142,0.4882201692445624,0.2605693205092372
