,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,highSES_polarity_amb,lowSES_polarity_amb,TB_polarity_amb,PB_polarity_amb,diff_TB_polarity_amb,highSES_amount_amb,lowSES_amount_amb,TB_amount_amb,PB_amount_amb,diff_TB_amount_amb,highSES_polarity_dis,lowSES_polarity_dis,TB_polarity_dis,PB_polarity_dis,diff_TB_polarity_dis,highSES_amount_dis,lowSES_amount_dis,TB_amount_dis,PB_amount_dis,diff_TB_amount_dis
Baseline,0.0220558204370099,0.0266627600351596,0.2319347319347319,0.0052447552447552,0.9227855477855478,0.1727855477855477,0.0,0.0,0.3814102564102564,-0.3143939393939394,0.6958041958041958,0.0,0.0,1.2613636363636365,1.2194055944055944,2.480769230769231,0.0,0.0,0.0072907553222513,-0.0014581510644502,0.0087489063867015,0.0,0.0,0.1081948089822105,0.1070282881306503,0.2152230971128608,0.0,0.0
chemical engineer,0.0391841491841492,0.0482352941176471,0.2068764568764568,0.0168997668997669,0.9006410256410257,0.1876456876456876,0.017128328747139297,0.021572534082487497,0.3452797202797202,-0.2753496503496503,0.6206293706293705,0.07517482517482527,-0.07517482517482532,1.2747668997668995,1.1622960372960374,2.4370629370629366,0.07051282051282004,-0.0437062937062942,0.0244755244755244,-0.0148601398601398,0.0393356643356642,0.0305867579489627,0.0305867579489627,0.1328671328671328,0.1372377622377622,0.270104895104895,0.05488179799203423,0.05488179799203419
chemist,0.0352749757617015,0.0430678466076697,0.2173659673659674,0.0116550116550117,0.8980186480186481,0.1809440559440559,0.0132191553246916,0.016405086572510098,0.3607226107226107,-0.2913752913752914,0.6520979020979021,0.0437062937062937,-0.04370629370629375,1.2972027972027973,1.1590909090909092,2.4562937062937067,0.09615384615384603,-0.024475524475524146,0.0204141149023038,-0.0093321668124817,0.0297462817147855,0.020997375328084003,0.020997375328084003,0.1341498979294255,0.1353164187809857,0.2694663167104112,0.05424321959755039,0.05424321959755041
dentist,0.0290389719392962,0.035682689472132,0.2007575757575757,0.0198135198135198,0.9108391608391608,0.1861888111888112,0.006983151502286299,0.009019929436972395,0.3301282051282051,-0.2721445221445221,0.6022727272727273,0.09353146853146854,-0.09353146853146854,1.263111888111888,1.176573426573427,2.439685314685315,0.04458041958041892,-0.04108391608391582,0.0192419825072886,-0.0043731778425655,0.0236151603498541,0.014866253963152602,0.0148662539631526,0.1177842565597667,0.1139941690962099,0.2317784256559766,0.016555328543115796,0.016555328543115783
judge,0.0256089987272782,0.0316606929510154,0.2135780885780886,0.0017482517482516,0.8918997668997669,0.1911421911421911,0.0035531782902682996,0.004997932915855801,0.3508158508158508,-0.2899184149184149,0.6407342657342657,0.05506993006993005,-0.055069930069930106,1.2546620046620047,1.171037296037296,2.425699300699301,0.05506993006993022,-0.055069930069929995,0.014002333722287,-0.0043757292882147,0.0183780630105017,0.009629156623800199,0.0096291566238002,0.1266044340723454,0.1245624270711785,0.2511668611435239,0.0359437640306631,0.03594376403066307
lawyer,0.0244943480653512,0.0318547186662696,0.1832750582750583,0.0227272727272728,0.8703379953379954,0.231060606060606,0.0024385276283412985,0.005191958631109998,0.3047785547785547,-0.24504662004662,0.5498251748251747,0.14597902097902107,-0.14597902097902116,1.1946386946386949,1.1121794871794872,2.306818181818182,0.17395104895104874,-0.17395104895104874,0.0163265306122449,0.0005830903790087,0.0169096209912536,0.011077016733452499,0.0081607146045521,0.1638483965014577,0.1615160349854227,0.3253644314868804,0.11014133437401959,0.11014133437401957
optometrist,0.0308814063965668,0.039152193111569,0.2147435897435897,0.0198135198135198,0.9015151515151516,0.2112470862470862,0.0088255859595569,0.012489433076409397,0.3554778554778555,-0.2887529137529137,0.6442307692307692,0.05157342657342662,-0.05157342657342667,1.231351981351981,1.13490675990676,2.366258741258741,0.11451048951048981,-0.11451048951049003,0.0195449241540256,-0.0093348891481913,0.0288798133022169,0.0201309069155154,0.020130906915515404,0.1344807467911318,0.1306884480746791,0.2651691948658109,0.04994609775295013,0.049946097752950114
pharmacist,0.0249017781902795,0.030446349394029,0.233100233100233,0.0099067599067598,0.902972027972028,0.1821095571095571,0.002845957753269599,0.0037835893588694,0.3817016317016317,-0.3175990675990676,0.6993006993006993,0.003496503496503489,0.0034965034965034336,1.2593240093240092,1.1934731934731937,2.452797202797203,0.027972027972027913,-0.027972027972027913,0.014002333722287,-0.0017502917152858,0.0157526254375728,0.0070037190508713005,0.0070037190508713005,0.1248541423570595,0.1236872812135355,0.248541423570595,0.03331832645773421,0.03331832645773419
physician,0.0270887588827197,0.0331557134399052,0.2307692307692307,0.0227272727272728,0.8866550116550117,0.1829836829836829,0.0050329384457098,0.006492953404745597,0.3793706293706294,-0.3129370629370629,0.6923076923076923,0.003496503496503489,-0.0034965034965035446,1.2727272727272727,1.1783216783216783,2.451048951048951,0.05244755244755228,-0.02972027972028002,0.0204379562043795,-0.0014598540145985,0.021897810218978,0.0131489038322765,0.0131489038322765,0.1500729927007299,0.1433576642335766,0.2934306569343065,0.07820755982144571,0.07820755982144567
physics teacher,0.0297538999462077,0.0384615384615385,0.1873543123543123,0.0186480186480186,0.8951048951048951,0.2263986013986014,0.0076980795091977985,0.011798778426378897,0.319055944055944,-0.243006993006993,0.562062937062937,0.13374125874125878,-0.13374125874125886,1.2042540792540792,1.1165501165501166,2.320804195804196,0.159965034965035,-0.159965034965035,0.0183727034120734,-0.0078740157480314,0.0262467191601048,0.0174978127734033,0.0174978127734033,0.1332750072907553,0.1361913094196558,0.2694663167104111,0.05424321959755031,0.054243219597550296
professor,0.0220032283899818,0.0272028385570668,0.2164918414918414,0.0192307692307691,0.8913170163170163,0.1911421911421911,-5.2592047028100775e-05,0.0005400785219071974,0.3505244755244755,-0.2989510489510489,0.6494755244755244,0.046328671328671356,-0.04632867132867147,1.2654428904428905,1.1602564102564104,2.425699300699301,0.06322843822843804,-0.055069930069929995,0.007871720116618,0.0034985422740524,0.011370262390670401,0.005537658132869301,0.0026213560039689016,0.1431486880466472,0.1393586005830903,0.2825072886297375,0.06728419151687672,0.0672841915168767
psychologist,0.0263015684997292,0.0341145060812815,0.1590909090909091,0.0303030303030303,0.8583916083916084,0.229020979020979,0.004245748062719299,0.007451746046121897,0.2671911421911422,-0.2100815850815851,0.4772727272727273,0.2185314685314685,-0.21853146853146854,1.1733682983682985,1.1395687645687649,2.3129370629370634,0.16783216783216748,-0.16783216783216748,0.0192363742349169,-0.0061206645292917,0.025357038764208598,0.0166081323775071,0.0166081323775071,0.1894491401923637,0.1821626348003497,0.37161177499271336,0.1563886778798526,0.15638867787985256
scientist,0.031677176989677,0.0410714285714286,0.2170745920745921,0.0192307692307691,0.8825757575757576,0.2287296037296037,0.0096213565526671,0.014408668536268997,0.3726689976689977,-0.2785547785547785,0.6512237762237763,0.044580419580419584,-0.044580419580419584,1.222902097902098,1.0891608391608392,2.312062937062937,0.16870629370629375,-0.16870629370629375,0.0189670265538371,-0.0064196089874525,0.0253866355412896,0.0166377291545881,0.016637729154588103,0.1467756054858476,0.1429822001750802,0.2897578056609278,0.074534708548067,0.07453470854806699
bartender,0.0284618265783656,0.035314891112419,0.1771561771561771,0.0075757575757575,0.9227855477855478,0.194055944055944,0.0064060061413557,0.008652131077259397,0.2992424242424242,-0.2322261072261072,0.5314685314685315,0.16433566433566438,-0.16433566433566438,1.1861888111888113,1.231643356643357,2.4178321678321684,0.08741258741258773,-0.06293706293706247,0.0154564012831729,-0.0099154272382618,0.0253718285214347,0.016622922134733202,0.016622922134733202,0.1029454651501895,0.0991542723826188,0.2020997375328083,0.013123359580052493,-0.013123359580052507
cashier,0.0240708028969545,0.0317979197622586,0.1978438228438228,-0.0046620046620046,0.9073426573426572,0.243006993006993,0.0020149824599445983,0.005135159727098996,0.3365384615384615,-0.256993006993007,0.5935314685314685,0.10227272727272729,-0.10227272727272729,1.10518648018648,1.1631701631701632,2.2683566433566433,0.21241258741258773,-0.2124125874125875,0.0134385042360502,-0.0049664037394098,0.018404907975460003,0.009656001588758501,0.009656001588758503,0.1092608822670172,0.1107215892491966,0.2199824715162138,0.004759374403353014,0.0047593744033530005
construction worker,0.0286012819140027,0.0347467608951708,0.1972610722610722,0.0069930069930069,0.9248251748251748,0.1768648018648018,0.006545461476992798,0.008084000860011199,0.3196386946386946,-0.2721445221445221,0.5917832167832167,0.10402097902097907,-0.10402097902097918,1.1943473193473193,1.275058275058275,2.469405594405594,0.12266899766899786,-0.011363636363636687,0.013418903150525,-0.0075845974329054,0.0210035005834304,0.012254594196728901,0.0122545941967289,0.0968494749124854,0.0974329054842473,0.19428238039673268,0.0209407167161281,-0.020940716716128127
farm worker,0.0311626089321804,0.0392909896602657,0.171037296037296,0.0023310023310023,0.9201631701631702,0.2068764568764568,0.0091067884951705,0.0126282296251061,0.2843822843822843,-0.2287296037296037,0.513111888111888,0.1826923076923078,-0.18269230769230782,1.1486013986013983,1.2263986013986017,2.375,0.11975524475524546,-0.10576923076923084,0.0134071699213057,-0.0084523462547362,0.0218595161760419,0.0131106097893404,0.013110609789340399,0.0990964733313902,0.0993879335470708,0.198484406878461,0.016738690234399792,-0.016738690234399806
janitor,0.0428166874447865,0.0566706021251475,0.1978438228438228,0.0145687645687645,0.9198717948717948,0.2444638694638694,0.020760867007776598,0.030007842089987895,0.3298368298368298,-0.2636946386946387,0.5935314685314685,0.10227272727272724,-0.10227272727272729,1.094988344988345,1.1716200466200466,2.2666083916083917,0.21416083916083917,-0.21416083916083917,0.0276887204896531,-0.0204022150976391,0.0480909355872922,0.0393420292005907,0.039342029200590704,0.0988050131157097,0.1031769163509181,0.2019819294666278,0.013241167646232996,-0.01324116764623301
line cook,0.0296482928835869,0.036470588235294,0.1786130536130536,0.0104895104895105,0.9213286713286714,0.187062937062937,0.0075924724465770005,0.009807828200134396,0.2995337995337995,-0.2363053613053613,0.5358391608391608,0.15996503496503497,-0.159965034965035,1.1864801864801864,1.2514568764568763,2.4379370629370625,0.10693473193473202,-0.042832167832168366,0.0160443407234539,-0.0084597432905484,0.0245040840140023,0.015755177627300804,0.015755177627300804,0.1041423570595099,0.1041423570595099,0.2082847141190198,0.0069383829938409886,-0.006938382993841002
parking attendant,0.0293314917241478,0.0393840687000295,0.1663752913752914,-0.0005827505827505,0.9117132867132868,0.2552447552447552,0.007275671287137898,0.0127213086648699,0.291958041958042,-0.2071678321678321,0.49912587412587406,0.1966783216783217,-0.19667832167832178,1.0996503496503496,1.1337412587412588,2.2333916083916083,0.2473776223776225,-0.2473776223776225,0.0166326232856726,-0.0113802159323023,0.0280128392179749,0.019263932831273402,0.019263932831273402,0.1100087540122556,0.1070907499270499,0.2170995039393055,0.0018764068264447015,0.0018764068264446876
receptionist,0.0298247610377788,0.0390532544378698,0.217074592074592,-0.0029137529137529,0.916958041958042,0.2363053613053613,0.007768940600768898,0.012390494402710197,0.3715034965034965,-0.2797202797202797,0.6512237762237763,0.044580419580419584,-0.044580419580419584,1.1477272727272727,1.1416083916083917,2.289335664335664,0.19143356643356646,-0.19143356643356668,0.0175284837861524,-0.0113935144609991,0.0289219982471515,0.02017309186045,0.02017309186045,0.1045866199240432,0.0996202161846333,0.20420683610867651,0.011016261004184291,-0.011016261004184291
sales clerk,0.0161090400356947,0.020870602265951,0.1952214452214452,0.0116550116550117,0.9067599067599068,0.2281468531468531,-0.005946780401315202,-0.005792157769208602,0.3333333333333333,-0.2523310023310023,0.5856643356643356,0.11013986013986016,-0.11013986013986021,1.150932400932401,1.162004662004662,2.312937062937063,0.16783216783216792,-0.16783216783216792,0.0078947368421052,0.0061403508771929,0.014035087719298098,0.008202483461497,0.005286181332596599,0.1096491228070175,0.1026315789473684,0.2122807017543859,0.005851023008088901,-0.002942395358474903
server,0.0206753645088462,0.0270109824873849,0.201048951048951,0.0087412587412587,0.9117132867132868,0.2345571095571095,-0.0013804559281637013,0.0003482224522252976,0.347027972027972,-0.2561188811188811,0.6031468531468531,0.09265734265734271,-0.09265734265734271,1.143648018648019,1.150058275058275,2.293706293706294,0.18706293706293686,-0.18706293706293664,0.0067114093959731,0.0049606069448497,0.011672016340822801,0.0069981039355781005,0.002923109954121301,0.1047563466588853,0.1053399474759264,0.21009629413481168,0.0051268029780491,-0.0051268029780491275
taxi driver,0.0336647029945999,0.0421207658321061,0.2103729603729603,-0.0005827505827505,0.9216200466200466,0.2007575757575757,0.01160888255759,0.015458005796946495,0.3499417249417249,-0.2811771561771561,0.631118881118881,0.0646853146853148,-0.0646853146853148,1.1908508158508158,1.2042540792540792,2.395104895104895,0.08566433566433584,-0.08566433566433584,0.0192419825072886,-0.0139941690962099,0.0332361516034985,0.024487245216797,0.024487245216797,0.1026239067055393,0.1002915451895043,0.2029154518950436,0.0123076452178172,-0.012307645217817215
truck driver,0.0432778358872981,0.0537760799294739,0.1564685314685314,0.0157342657342657,0.9256993006993008,0.1952214452214452,0.021222015450288196,0.027113319894314297,0.2642773892773892,-0.2051282051282051,0.46940559440559426,0.2263986013986015,-0.22639860139860157,1.169871794871795,1.2435897435897436,2.4134615384615383,0.11567599067599077,-0.06730769230769251,0.0288545613523754,-0.0218595161760419,0.0507140775284173,0.0419651711417158,0.0419651711417158,0.0993879335470708,0.0982220926843485,0.19761002623141932,0.017613070881441484,-0.017613070881441484
