,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,Atheist_polarity_amb,Christian_polarity_amb,Protestant_polarity_amb,Catholic_polarity_amb,Mormon_polarity_amb,Jewish_polarity_amb,Muslim_polarity_amb,Sikh_polarity_amb,Hindu_polarity_amb,Buddhist_polarity_amb,TB_polarity_amb,PB_polarity_amb,diff_TB_polarity_amb,Atheist_polarity_dis,Christian_polarity_dis,Protestant_polarity_dis,Catholic_polarity_dis,Mormon_polarity_dis,Jewish_polarity_dis,Muslim_polarity_dis,Sikh_polarity_dis,Hindu_polarity_dis,Buddhist_polarity_dis,TB_polarity_dis,PB_polarity_dis,diff_TB_polarity_dis,Atheist_amount_amb,Christian_amount_amb,Protestant_amount_amb,Catholic_amount_amb,Mormon_amount_amb,Jewish_amount_amb,Muslim_amount_amb,Sikh_amount_amb,Hindu_amount_amb,Buddhist_amount_amb,TB_amount_amb,PB_amount_amb,diff_TB_amount_amb,Atheist_amount_dis,Christian_amount_dis,Protestant_amount_dis,Catholic_amount_dis,Mormon_amount_dis,Jewish_amount_dis,Muslim_amount_dis,Sikh_amount_dis,Hindu_amount_dis,Buddhist_amount_dis,TB_amount_dis,PB_amount_dis,diff_TB_amount_dis
Baseline,0.0869183829138062,0.1212814645308923,0.0016666666666666,0.0099999999999999,0.405,0.2833333333333333,0.0,0.0,0.0138888888888888,-0.0192307692307692,-0.0972222222222222,0.0303030303030303,-0.0757575757575757,0.0142857142857142,0.0121951219512195,0.1388888888888889,0.0075757575757575,-0.0178571428571428,0.42720511196120914,0.0,0.0,-0.0072992700729927,0.0,0.032258064516129,-0.0155038759689922,-0.008130081300813,-0.0087719298245614,-0.0294117647058823,0.0158730158730158,0.03125,0.0363636363636363,0.1848616386260227,0.0,0.0,0.5555555555555556,0.6730769230769231,0.5694444444444444,0.6363636363636364,0.6212121212121212,0.4142857142857143,0.4878048780487805,0.4444444444444444,0.6287878787878788,0.5892857142857143,5.620261310505213,0.0,0.0,0.3722627737226277,0.3537414965986394,0.3870967741935484,0.3255813953488372,0.3333333333333333,0.3947368421052631,0.3529411764705882,0.2698412698412698,0.40625,0.2909090909090909,3.486694152523198,0.0,0.0
Atheist,0.0127884615384614,0.0192307692307691,-0.02,-0.0433333333333333,0.3883333333333333,0.335,-0.0741299213753448,-0.1020506953001232,0.1388888888888889,-0.1217948717948717,-0.0277777777777777,-0.0303030303030303,0.0,-0.0857142857142857,0.0304878048780487,0.0833333333333333,0.0984848484848484,-0.125,0.7417848411750846,0.8052723699065162,0.31457972921387545,0.0070422535211267,0.0264900662251655,-0.0845070422535211,-0.064516129032258,-0.0155038759689922,0.0078740157480314,-0.0066666666666666,0.0,0.0714285714285714,0.0377358490566037,0.3217644699009366,0.31079758792674306,0.1369028312749139,0.6666666666666666,0.6089743589743589,0.5555555555555556,0.6363636363636364,0.6666666666666666,0.6142857142857143,0.5914634146341463,0.6111111111111112,0.6287878787878788,0.5535714285714286,6.133446431617164,0.7405965985234279,0.5131851211119516,0.3873239436619718,0.2781456953642384,0.3098591549295774,0.2741935483870967,0.2945736434108527,0.3385826771653543,0.3266666666666666,0.3283582089552239,0.3253968253968254,0.3773584905660377,3.240458854503845,0.5662903154398431,-0.24623529801935318
Christian,0.0341407407407408,0.0488888888888889,0.0216666666666666,-0.0566666666666667,0.4383333333333333,0.3016666666666667,-0.0527776421730654,-0.0723925756420034,-0.0694444444444444,0.1217948717948717,-0.0555555555555555,0.053030303030303,-0.0681818181818181,0.0285714285714285,0.0,0.0138888888888888,-0.0833333333333333,0.0535714285714285,0.5473720723720719,0.6101471699032671,0.12016696041086272,-0.0428571428571428,0.0397350993377483,-0.0428571428571428,0.046875,-0.0153846153846153,0.0,0.006578947368421,-0.0289855072463768,0.0157480314960629,-0.0357142857142857,0.2747357722617956,0.39724264514808105,0.08987413363577287,0.5833333333333334,0.6602564102564102,0.5277777777777778,0.6287878787878788,0.7954545454545454,0.6428571428571429,0.6341463414634146,0.6805555555555556,0.6287878787878788,0.7678571428571429,6.54981400713108,1.0536785707517415,0.9295526966258674,0.3285714285714285,0.2913907284768212,0.2142857142857142,0.3125,0.3384615384615385,0.3565891472868217,0.2960526315789473,0.3768115942028985,0.3622047244094488,0.3928571428571428,3.269724650130761,0.6450626652682081,-0.21696950239243717
Protestant,-0.0260393873085339,-0.037199124726477,0.0433333333333333,-0.0433333333333333,0.4516666666666666,0.3,-0.1129577702223401,-0.1584805892573693,-0.0416666666666666,-0.0256410256410256,0.125,0.0227272727272727,0.0151515151515151,0.05,-0.0365853658536585,0.0138888888888888,-0.0378787878787878,-0.0178571428571428,0.3863966656649579,0.6376222016465917,-0.040808446296251244,-0.0208333333333333,0.0649350649350649,-0.0845070422535211,0.0629921259842519,0.0,0.053030303030303,-0.064516129032258,-0.0285714285714285,-0.0310077519379844,0.0,0.4103931790781451,0.5218327481464178,0.2255315404521224,0.6527777777777778,0.717948717948718,0.7638888888888888,0.6893939393939394,0.7272727272727273,0.65,0.5975609756097561,0.6527777777777778,0.6136363636363636,0.6964285714285714,6.76168573973452,1.1717274595323377,1.141424429229307,0.3263888888888889,0.2727272727272727,0.3098591549295774,0.3464566929133858,0.2945736434108527,0.3409090909090909,0.3354838709677419,0.3142857142857143,0.3410852713178294,0.2909090909090909,3.1726786912594447,0.4446549452817394,-0.31401546126375335
Catholic,0.0215935672514619,0.0307017543859648,-0.025,-0.1099999999999999,0.435,0.2966666666666667,-0.0653248156623443,-0.0905797101449275,-0.1111111111111111,-0.0128205128205128,-0.1111111111111111,0.2727272727272727,-0.0378787878787878,0.0285714285714285,0.0121951219512195,0.0138888888888888,-0.0909090909090909,0.0,0.6912133259694233,0.6812298812298812,0.26400821400821417,0.0212765957446808,0.0387096774193548,-0.0416666666666666,-0.015625,0.0,-0.0150375939849624,0.0186335403726708,0.0,-0.0387596899224806,0.0,0.18970876411081602,0.32601879114973153,0.004847125484793324,0.6527777777777778,0.7051282051282052,0.7222222222222222,0.7424242424242424,0.7348484848484849,0.6142857142857143,0.6341463414634146,0.625,0.6212121212121212,0.6785714285714286,6.730616537933611,1.1255067425799132,1.110355227428398,0.375886524822695,0.3483870967741935,0.2916666666666667,0.3125,0.3384615384615385,0.3458646616541353,0.3167701863354037,0.3188405797101449,0.3178294573643411,0.3333333333333333,3.2995400451224524,0.3875051244435259,-0.18715410740074567
Mormon,0.0306567957479119,0.0432801822323463,0.0033333333333333,-0.0666666666666667,0.3933333333333333,0.2916666666666667,-0.0562615871658943,-0.078001282298546,-0.0416666666666666,-0.0192307692307692,-0.0416666666666666,0.0757575757575757,0.0075757575757575,-0.0071428571428571,0.0304878048780487,0.0,-0.0454545454545454,0.0535714285714285,0.3225540719443153,0.5429680076021532,-0.10465104001689385,0.0352112676056338,0.0130718954248366,-0.028169014084507,0.0458015267175572,-0.015267175572519,-0.037037037037037,0.0256410256410256,-0.1014492753623188,0.0,-0.0181818181818181,0.3198300356272531,0.470887652002527,0.1349683970012304,0.625,0.7115384615384616,0.6527777777777778,0.696969696969697,0.7954545454545454,0.6928571428571428,0.6402439024390244,0.7222222222222222,0.696969696969697,0.7321428571428571,6.966176303371426,1.3459149928662124,1.3459149928662129,0.3732394366197183,0.3006535947712418,0.3661971830985915,0.3206106870229007,0.3511450381679389,0.4074074074074074,0.3461538461538461,0.391304347826087,0.2900763358778626,0.3454545454545454,3.4922424224001394,0.4093866612512826,0.0055482698769413474
Jewish,0.03125,0.0441176470588235,0.0066666666666666,-0.0333333333333333,0.36,0.2916666666666667,-0.0556683829138062,-0.0771638174720688,0.0902777777777777,-0.0769230769230769,-0.0416666666666666,0.0378787878787878,0.0151515151515151,-0.0071428571428571,-0.0060975609756097,-0.0555555555555555,0.0075757575757575,0.0,0.3382695556476039,0.5401444422785882,-0.08893555631360522,-0.0147058823529411,0.0333333333333333,0.0147058823529411,0.032258064516129,-0.0161290322580645,0.0465116279069767,-0.0134228187919463,0.0,-0.056910569105691,-0.0535714285714285,0.2815486391894515,0.379294172778088,0.0966870005634288,0.6597222222222222,0.6282051282051282,0.5694444444444444,0.6742424242424242,0.6666666666666666,0.7071428571428572,0.6158536585365854,0.6944444444444444,0.6287878787878788,0.6428571428571429,6.487366867549795,0.9568491467881711,0.8671055570445825,0.3235294117647059,0.3,0.3676470588235294,0.3225806451612903,0.3548387096774194,0.3565891472868217,0.3355704697986577,0.4057971014492754,0.3495934959349593,0.3392857142857143,3.4554317541823734,0.4429380609982548,-0.03126239834082467
Muslim,0.026863711001642,0.0394088669950738,0.0116666666666666,0.0166666666666666,0.3616666666666667,0.3183333333333333,-0.060054671912164195,-0.08187259753581849,0.0138888888888888,-0.0192307692307692,-0.0694444444444444,-0.0151515151515151,0.0,0.0571428571428571,0.0121951219512195,0.0138888888888888,-0.0454545454545454,0.0535714285714285,0.2999684597245568,0.4413059163059161,-0.12723665223665231,-0.0373134328358208,0.0266666666666666,0.0,0.0,-0.0234375,0.0238095238095238,0.02,-0.0757575757575757,0.0,0.0555555555555555,0.2625402546251424,0.34381591777628107,0.07767861599911971,0.6111111111111112,0.6217948717948718,0.5138888888888888,0.5606060606060606,0.7121212121212122,0.6714285714285714,0.6219512195121951,0.5972222222222222,0.6666666666666666,0.7321428571428571,6.308933681494657,1.0538627361798094,0.688672370989444,0.3358208955223881,0.2933333333333333,0.1739130434782608,0.2903225806451613,0.3515625,0.373015873015873,0.3933333333333333,0.3484848484848485,0.4065040650406504,0.3148148148148148,3.2811052876686633,0.528438247093264,-0.20558886485453476
Sikh,0.0247094801223241,0.036697247706422,0.0166666666666666,-0.1,0.3933333333333333,0.3266666666666666,-0.0622089027914821,-0.08458421682447029,-0.0208333333333333,-0.0961538461538461,0.0,0.0,-0.0227272727272727,0.05,-0.0365853658536585,0.1666666666666666,0.0757575757575757,-0.0357142857142857,0.5044383462066386,0.49051236703675716,0.0772332342454295,-0.0496453900709219,0.0197368421052631,0.0422535211267605,0.0158730158730158,-0.0229007633587786,-0.0222222222222222,-0.0194805194805194,0.088235294117647,0.0155038759689922,0.0,0.29585144432412075,0.2660795688760964,0.11098980569809805,0.6180555555555556,0.6474358974358975,0.6666666666666666,0.6363636363636364,0.7045454545454546,0.6785714285714286,0.6097560975609756,0.6666666666666666,0.6060606060606061,0.75,6.5841220094268875,1.0605972956582712,0.9638606989216747,0.3475177304964539,0.2960526315789473,0.2957746478873239,0.3174603174603174,0.3282442748091603,0.362962962962963,0.3831168831168831,0.3235294117647059,0.3875968992248062,0.4,3.442255759301561,0.4303479085429172,-0.04443839322163701
Hindu,0.0063862928348908,0.0093457943925232,0.035,-0.0666666666666667,0.41,0.3166666666666666,-0.0805320900789154,-0.1119356701383691,-0.0763888888888889,-0.0064102564102564,0.0833333333333333,-0.0075757575757575,-0.0151515151515151,0.0285714285714285,-0.024390243902439,0.0555555555555555,0.053030303030303,-0.0357142857142857,0.38612156813376286,0.579654796423089,-0.04108354382744628,-0.0072463768115942,-0.0129870129870129,0.028169014084507,-0.0310077519379844,0.024,-0.037593984962406,0.0769230769230769,-0.0857142857142857,-0.0153846153846153,0.0555555555555555,0.37458167436103784,0.3673336468804784,0.18972003573501514,0.6319444444444444,0.6346153846153846,0.5277777777777778,0.7045454545454546,0.6515151515151515,0.6714285714285714,0.5975609756097561,0.6111111111111112,0.6893939393939394,0.7142857142857143,6.434178524727305,0.9741736244785026,0.8139172142220925,0.3115942028985507,0.2857142857142857,0.2816901408450704,0.3255813953488372,0.28,0.3533834586466165,0.3333333333333333,0.3142857142857143,0.3076923076923077,0.3518518518518518,3.1451266906165674,0.5523418726810412,-0.3415674619066307
