,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,highSES_polarity_amb,lowSES_polarity_amb,TB_polarity_amb,PB_polarity_amb,highSES_polarity_dis,lowSES_polarity_dis,TB_polarity_dis,PB_polarity_dis,highSES_amount_amb,lowSES_amount_amb,TB_amount_amb,PB_amount_amb,highSES_amount_dis,lowSES_amount_dis,TB_amount_dis,PB_amount_dis
Baseline,0.0149761129959149,0.0178217821782178,0.0294289044289044,-0.0233100233100232,0.5303030303030303,0.1596736596736596,0.0,0.0,0.0294289044289044,-0.0294289044289044,0.0294289044289044,0.0,0.0023571007660577,-0.0023571007660577,0.0023571007660577,0.0,0.8283799533799534,0.8283799533799534,0.8283799533799534,0.0,0.3565114908662345,0.3565114908662345,0.3565114908662345,0.0
chemical engineer,0.0600537711614251,0.0684505289359054,0.1043123543123543,0.0058275058275059,0.6130536130536131,0.1226689976689976,0.0450776581655102,0.05062874675768761,0.1043123543123543,-0.1043123543123543,0.1043123543123543,0.0748834498834499,0.0262543757292882,-0.0262543757292882,0.0262543757292882,0.0238972749632305,0.877039627039627,0.877039627039627,0.877039627039627,0.04865967365967361,0.3238039673278879,0.3238039673278879,0.3238039673278879,0.032707523538346606
chemist,0.061452898662201,0.0703959773727216,0.1162587412587412,0.0104895104895104,0.5961538461538461,0.127039627039627,0.0464767856662861,0.052574195194503806,0.1162587412587412,-0.1162587412587412,0.1162587412587412,0.08682983682983679,0.0244897959183673,-0.0244897959183673,0.0244897959183673,0.0221326951523096,0.872086247086247,0.872086247086247,0.872086247086247,0.04370629370629364,0.3311953352769679,0.3311953352769679,0.3311953352769679,0.025316155589266642
dentist,0.0449773927163279,0.0519563822963438,0.0952797202797203,-0.0262237762237762,0.5935314685314685,0.1343240093240093,0.030001279720413,0.034134600118125996,0.0952797202797202,-0.0952797202797202,0.0952797202797202,0.0658508158508158,0.0171911421911421,-0.0171911421911421,0.0171911421911421,0.014834041425084401,0.8656759906759907,0.8656759906759907,0.8656759906759907,0.037296037296037254,0.31497668997669,0.31497668997669,0.31497668997669,0.04153480088954453
judge,0.0417203608247423,0.0496134020618557,0.0708041958041957,-0.0034965034965034,0.5833333333333334,0.1590909090909091,0.0267442478288274,0.031791619883637906,0.0708041958041958,-0.0708041958041958,0.0708041958041958,0.04137529137529139,0.0110884155237817,-0.0110884155237817,0.0110884155237817,0.008731314757723999,0.840034965034965,0.840034965034965,0.840034965034965,0.011655011655011593,0.3215640501896702,0.3215640501896702,0.3215640501896702,0.0349474406765643
lawyer,0.0387457332982625,0.0460440985732815,0.083041958041958,0.0052447552447553,0.571969696969697,0.1585081585081585,0.023769620302347604,0.028222316395063698,0.083041958041958,-0.083041958041958,0.083041958041958,0.0536130536130536,0.0090405365995917,-0.0090405365995917,0.0090405365995917,0.006683435833533999,0.8412004662004662,0.8412004662004662,0.8412004662004662,0.012820512820512775,0.3269174686497521,0.3269174686497521,0.3269174686497521,0.02959402221648244
optometrist,0.0351701386801673,0.0410697230181471,0.0993589743589743,-0.0064102564102563,0.5946969696969697,0.1436480186480186,0.020194025684252402,0.023247940839929298,0.0993589743589743,-0.0993589743589743,0.0993589743589743,0.0699300699300699,0.0116550116550116,-0.0116550116550116,0.0116550116550116,0.0092979108889539,0.8563519813519813,0.8563519813519813,0.8563519813519813,0.027972027972027913,0.3205128205128205,0.3205128205128205,0.3205128205128205,0.03599867035341403
pharmacist,0.0828053428053427,0.0946031746031745,0.1092657342657342,0.0244755244755243,0.5885780885780886,0.1247086247086247,0.0678292298094278,0.0767813924249567,0.1092657342657342,-0.1092657342657342,0.1092657342657342,0.0798368298368298,0.0326340326340326,-0.0326340326340326,0.0326340326340326,0.030276931867974897,0.875,0.875,0.875,0.046620046620046596,0.3292540792540792,0.3292540792540792,0.3292540792540792,0.027257411612155336
physician,0.0393571186522727,0.0453115166771553,0.1171328671328671,-0.0104895104895105,0.5990675990675991,0.1314102564102564,0.0243810056563578,0.0274897344989375,0.1171328671328671,-0.1171328671328671,0.1171328671328671,0.08770396270396269,0.0075823855351414,-0.0075823855351414,0.0075823855351414,0.0052252847690837,0.8682983682983683,0.8682983682983683,0.8682983682983683,0.03991841491841486,0.3272090988626421,0.3272090988626421,0.3272090988626421,0.029302392003592415
physics teacher,0.0655451348356005,0.0744377573645866,0.1171328671328671,-0.0005827505827505,0.6092657342657343,0.1194638694638694,0.0505690218396856,0.05661597518636881,0.1171328671328671,-0.1171328671328671,0.1171328671328671,0.08770396270396269,0.0221574344023323,-0.0221574344023323,0.0221574344023323,0.0198003336362746,0.87995337995338,0.87995337995338,0.87995337995338,0.05157342657342656,0.3107871720116618,0.3107871720116618,0.3107871720116618,0.04572431885457273
