,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,African_polarity_amb,African American_polarity_amb,Black_polarity_amb,Caucasian_polarity_amb,White_polarity_amb,European_polarity_amb,Roma_polarity_amb,Native American_polarity_amb,South American_polarity_amb,Hispanic_polarity_amb,Latino_polarity_amb,Jewish_polarity_amb,Arab_polarity_amb,Middle Eastern_polarity_amb,Asian_polarity_amb,TB_polarity_amb,PB_polarity_amb,African_polarity_dis,African American_polarity_dis,Black_polarity_dis,Caucasian_polarity_dis,White_polarity_dis,European_polarity_dis,Roma_polarity_dis,Native American_polarity_dis,South American_polarity_dis,Hispanic_polarity_dis,Latino_polarity_dis,Jewish_polarity_dis,Arab_polarity_dis,Middle Eastern_polarity_dis,Asian_polarity_dis,TB_polarity_dis,PB_polarity_dis,African_amount_amb,African American_amount_amb,Black_amount_amb,Caucasian_amount_amb,White_amount_amb,European_amount_amb,Roma_amount_amb,Native American_amount_amb,South American_amount_amb,Hispanic_amount_amb,Latino_amount_amb,Jewish_amount_amb,Arab_amount_amb,Middle Eastern_amount_amb,Asian_amount_amb,TB_amount_amb,PB_amount_amb,African_amount_dis,African American_amount_dis,Black_amount_dis,Caucasian_amount_dis,White_amount_dis,European_amount_dis,Roma_amount_dis,Native American_amount_dis,South American_amount_dis,Hispanic_amount_dis,Latino_amount_dis,Jewish_amount_dis,Arab_amount_dis,Middle Eastern_amount_dis,Asian_amount_dis,TB_amount_dis,PB_amount_dis
Baseline,0.0086750768309841,0.0241725774665431,0.0241279069767441,0.0103488372093022,0.6420348837209302,0.943779069767442,0.0,0.0,0.006,-0.0276923076923076,-0.0042824074074073,-0.003125,0.0422872340425531,0.0326086956521739,0.0119047619047619,-0.0466666666666666,-0.026470588235294,-0.0195121951219511,0.0176870748299319,0.0452380952380952,0.0151340996168581,-0.0446428571428571,0.042829457364341,0.025738762727679918,0.0,0.016,-0.0046153846153846,-0.0016203703703703,-0.0125,0.0063829787234042,0.0217391304347826,-0.0047619047619047,-0.015,0.0029411764705882,0.0012195121951219,0.0030612244897958,0.0071428571428571,0.0034482758620689,0.0,0.0056201550387596,0.007070198007002527,0.0,0.07,0.1599999999999999,0.2003472222222221,0.115625,0.1726063829787233,0.1282608695652173,0.0595238095238095,0.1266666666666666,0.1088235294117646,0.0756097560975609,0.191156462585034,0.0785714285714285,0.189463601532567,0.0732142857142856,0.2036821705426356,0.13023674569412766,0.0,0.016,0.0338461538461538,0.0150462962962962,0.01875,0.0095744680851063,0.0304347826086956,0.0047619047619047,0.0283333333333333,0.0088235294117646,0.0109756097560975,0.0081632653061224,0.0119047619047619,0.0053639846743294,0.0035714285714285,0.0110465116279069,0.014439735345593405,0.0
African,0.0067470177215481,0.0143088833579675,0.0034302325581395,-0.0041860465116279,0.4169186046511627,0.8733720930232558,-0.0019280591094359995,-0.0098636941085756,0.044,0.0669230769230768,0.0484953703703703,0.01875,0.0460106382978722,0.0260869565217391,0.0333333333333333,-0.0133333333333333,0.0088235294117646,-0.0280487804878048,0.0343537414965986,0.0309523809523809,0.028927203065134,-0.0142857142857142,0.0344961240310077,0.031788012167341985,0.026636124942991068,0.0199999999999999,0.0076923076923076,0.0086805555555555,-0.00625,0.0106382978723403,0.0347826086956521,-0.0023809523809523,-0.0016666666666666,0.0,0.0097560975609756,0.0045918367346938,0.0309523809523809,-0.000383141762452,-0.0071428571428571,0.0069767441860464,0.010126296480192006,0.007668030877549186,0.2199999999999999,0.5099999999999999,0.4670138888888888,0.1,0.2327127659574467,0.1521739130434782,0.0809523809523809,0.1466666666666666,0.0911764705882352,0.1329268292682926,0.2585034013605441,0.088095238095238,0.2342911877394635,0.0642857142857142,0.2259689922480619,0.20031782993962738,0.07570783494577982,0.056,0.1169230769230769,0.0475694444444444,0.01875,0.0228723404255318,0.0391304347826086,0.0309523809523809,0.0416666666666666,0.0235294117647058,0.0317073170731707,0.0185374149659863,0.0452380952380952,0.01455938697318,0.0071428571428571,0.0217054263565891,0.03575228358061956,0.021312548235026152
African American,0.0104534253390102,0.021464600951445,0.0018023255813953,-0.0141860465116278,0.4928488372093023,0.8612790697674418,0.0017783485080261011,-0.0027079765150981004,0.128,0.0338461538461538,0.0328703703703703,0.0,0.027659574468085,0.017391304347826,0.0476190476190476,0.0066666666666666,-0.0029411764705882,0.0121951219512194,0.0272108843537414,0.0333333333333333,0.0358237547892719,-0.0178571428571428,0.0343023255813953,0.03051445711032278,0.031691780716679684,0.018,0.0053846153846153,0.0046296296296296,0.0125,0.0069148936170212,0.0282608695652173,0.0071428571428571,-0.0083333333333333,-0.0147058823529411,0.0085365853658536,0.0035714285714285,0.0071428571428571,0.0036398467432949,0.0,0.0063953488372092,0.00901054317908388,0.006354412223403287,0.3359999999999999,0.3569230769230769,0.35,0.075,0.1946808510638297,0.1347826086956521,0.1095238095238095,0.1499999999999999,0.0911764705882352,0.0902439024390243,0.2465986394557822,0.0952380952380952,0.2729885057471263,0.0964285714285714,0.2013565891472868,0.1867294080166993,0.06457234768508872,0.082,0.0807692307692307,0.0391203703703703,0.0125,0.0244680851063829,0.0456521739130434,0.0452380952380952,0.0349999999999999,0.038235294117647,0.023170731707317,0.0229591836734693,0.0214285714285714,0.0147509578544061,0.0142857142857142,0.0249999999999999,0.034971893897616485,0.02136549188535641
Black,0.009991500199195,0.0170379745281042,0.0252906976744185,0.0288372093023255,0.3971511627906976,0.871860465116279,0.0013164233682108999,-0.0071346029384389,0.0019999999999999,0.0384615384615384,0.0020833333333333,0.00625,0.0273936170212765,0.0195652173913043,0.0357142857142857,-0.0149999999999999,0.0147058823529411,-0.0012195121951219,-0.001360544217687,0.0261904761904761,-0.0059386973180076,-0.0321428571428571,0.0259689922480619,0.016932996905792714,0.021153701754291366,0.022,0.0115384615384615,0.0055555555555555,-0.003125,0.0093085106382978,0.0282608695652173,0.0,0.0066666666666666,-0.0029411764705882,0.0109756097560975,0.0079931972789115,0.0166666666666666,0.0053639846743294,0.0035714285714285,0.0108527131782945,0.009654656037367659,0.0076929695261315064,0.178,0.4153846153846153,0.3983796296296296,0.1125,0.2757978723404255,0.1891304347826086,0.1166666666666666,0.1649999999999999,0.1558823529411764,0.1329268292682926,0.3044217687074829,0.1166666666666666,0.2936781609195402,0.1285714285714285,0.2682170542635659,0.21674823200947327,0.08692815298201226,0.05,0.0761538461538461,0.042361111111111,0.021875,0.0242021276595744,0.0499999999999999,0.0476190476190476,0.0533333333333333,0.026470588235294,0.0329268292682926,0.021938775510204,0.0309523809523809,0.0160919540229884,0.0142857142857142,0.0290697674418604,0.03581869837290979,0.021378963027316376
Caucasian,0.017240948385229,0.0322321673923652,0.0454651162790697,-0.0336046511627906,0.4734883720930232,0.8568023255813954,0.008565871554244901,0.008059589925822102,-0.006,-0.0299999999999999,0.0112268518518518,0.2,0.0909574468085106,0.1347826086956521,0.0071428571428571,-0.0233333333333333,0.0088235294117646,0.0024390243902439,0.0346938775510203,0.0738095238095238,0.0134099616858237,-0.0107142857142856,0.0593023255813953,0.04710904173175079,0.03778869743333708,0.01,-0.0153846153846153,-0.0098379629629629,0.01875,0.0042553191489361,0.0391304347826086,0.0047619047619047,0.0016666666666666,-0.0176470588235293,0.0073170731707317,-0.0052721088435373,0.0119047619047619,-0.0024904214559386,-0.0071428571428571,0.000968992248062,0.010435345153140803,0.01063066767274139,0.118,0.1653846153846153,0.2684027777777777,0.4125,0.3930851063829786,0.3652173913043477,0.0833333333333333,0.1166666666666666,0.1147058823529411,0.0999999999999999,0.2622448979591836,0.1833333333333333,0.2164750957854405,0.0964285714285713,0.3209302325581394,0.2144471936178219,0.08554378125702758,0.046,0.0446153846153845,0.0394675925925925,0.09375,0.0473404255319148,0.0826086956521738,0.0285714285714285,0.0583333333333333,0.0235294117647058,0.0414634146341463,0.0277210884353741,0.0642857142857142,0.0212643678160919,0.0285714285714285,0.0358527131782945,0.04555833326550551,0.031118597919912103
White,0.0167244600810144,0.031681054952443,0.0317441860465115,-0.0394186046511627,0.4837209302325581,0.8730813953488372,0.0080493832500303,0.0075084774858999,0.008,-0.0107692307692307,0.011574074074074,0.075,0.0853723404255318,0.1152173913043477,0.038095238095238,-0.0049999999999999,-0.0147058823529411,0.0036585365853658,0.0418367346938775,0.0666666666666666,0.0153256704980842,0.0232142857142856,0.0465116279069767,0.03739651193910798,0.030580003764002987,0.0139999999999999,-0.0123076923076922,-0.0100694444444444,0.015625,0.0082446808510637,0.0304347826086956,-0.0214285714285714,0.0016666666666666,-0.0205882352941175,0.0024390243902438,0.0023809523809523,0.0119047619047619,-0.0022988505747126,-0.0071428571428571,0.0036821705426356,0.01094757936916097,0.00901174255384174,0.108,0.1553846153846153,0.2696759259259259,0.25,0.3311170212765957,0.2934782608695652,0.1238095238095237,0.1483333333333333,0.1323529411764705,0.1036585365853658,0.2789115646258503,0.1666666666666666,0.2517241379310345,0.1089285714285714,0.2864341085271317,0.20056501383604328,0.07094365275730027,0.0419999999999999,0.0476923076923076,0.0327546296296295,0.065625,0.0359042553191489,0.0739130434782608,0.0452380952380952,0.0449999999999999,0.038235294117647,0.0268292682926828,0.0258503401360543,0.069047619047619,0.0122605363984673,0.0285714285714285,0.0253875968992247,0.040953960988037684,0.026514225642444288
European,0.0149461739782256,0.029355293211083,0.0344186046511627,-0.0452325581395348,0.4996511627906977,0.8715697674418605,0.0062710971472415,0.005182715744539899,0.0199999999999999,-0.0092307692307692,0.0030092592592592,0.0625,0.0734042553191488,0.167391304347826,0.0476190476190476,0.0016666666666666,0.0235294117647058,0.0048780487804877,0.0404761904761904,0.0785714285714285,0.0362068965517241,-0.0071428571428571,0.0476744186046511,0.041553370288984134,0.03661706034701854,0.02,-0.0138461538461538,-0.0092592592592592,0.00625,0.0039893617021276,0.0521739130434782,-0.0047619047619047,-0.0016666666666666,-0.0205882352941175,-0.0036585365853658,-0.0034013605442176,0.0261904761904761,-0.0024904214559386,-0.0124999999999999,-0.0003875968992248,0.012077592416595362,0.010943033664385421,0.108,0.1261538461538461,0.2550925925925925,0.2,0.2893617021276595,0.441304347826087,0.1142857142857142,0.1583333333333333,0.1352941176470587,0.1097560975609756,0.2687074829931973,0.188095238095238,0.2653256704980843,0.1285714285714285,0.277906976744186,0.2044125698952934,0.07868864471398626,0.052,0.0476923076923076,0.0291666666666666,0.0625,0.0289893617021275,0.0956521739130434,0.0333333333333333,0.0483333333333333,0.0441176470588235,0.0329268292682926,0.0251700680272108,0.0547619047619047,0.0178160919540229,0.0303571428571428,0.0232558139534883,0.04173817830144648,0.02729844295585308
Roma,0.0128776428605086,0.0261601146380353,0.0159302325581395,-0.0196511627906976,0.5095348837209303,0.8630813953488371,0.0042025660295245005,0.0019875371714922,0.018,-0.0146153846153845,0.0085648148148147,0.025,0.0289893617021275,0.0347826086956521,0.1142857142857142,-0.0083333333333333,0.0058823529411764,0.0048780487804878,0.0204081632653061,0.038095238095238,0.025478927203065,-0.0357142857142856,0.0405038759689922,0.028235473961038492,0.02069608849764016,-0.002,-0.0099999999999999,-0.0016203703703703,0.0,0.0082446808510638,0.017391304347826,0.0071428571428571,-0.0083333333333333,-0.0088235294117646,0.0060975609756097,0.007142857142857,-6.93889390390723e-19,0.0021072796934865,-0.0017857142857142,0.0060077519379844,0.005779815966191121,0.006136474932196019,0.094,0.1853846153846153,0.2863425925925925,0.08125,0.2199468085106382,0.1782608695652173,0.3238095238095237,0.1883333333333333,0.1176470588235293,0.124390243902439,0.2748299319727891,0.1428571428571428,0.2660919540229884,0.1464285714285713,0.232751937984496,0.1908216389458584,0.06516822658506409,0.026,0.0453846153846153,0.0319444444444444,0.0375,0.0231382978723403,0.0478260869565217,0.0595238095238095,0.0516666666666666,0.0323529411764705,0.0304878048780487,0.0289115646258503,0.0476190476190476,0.0178160919540229,0.0089285714285714,0.0277131782945736,0.03445420805499885,0.020014472709405446
Native American,0.0078742241851234,0.0215420829172726,0.0016279069767441,-0.0917441860465116,0.6439534883720931,0.7992441860465116,-0.0008008526458606995,-0.002630494549270501,0.0039999999999999,-0.003076923076923,0.0219907407407406,0.0125,0.0308510638297872,0.0152173913043478,0.019047619047619,0.1066666666666666,-0.0235294117647058,0.0109756097560975,0.0403061224489795,0.0333333333333333,0.0375478927203064,-0.0017857142857142,0.02984496124031,0.026044896681035386,0.026935028050492235,0.0039999999999999,-0.0007692307692307,-0.0018518518518518,0.00625,0.0045212765957446,0.0065217391304347,0.0119047619047618,0.0199999999999999,-0.0088235294117647,0.0060975609756097,0.0051020408163264,0.0142857142857142,-0.0028735632183907,0.0017857142857142,0.0003875968992248,0.006344972009651207,0.009515995670949759,0.072,0.1199999999999999,0.2337962962962962,0.05,0.1494680851063829,0.0891304347826086,0.0714285714285714,0.3066666666666667,0.0705882352941176,0.0621951219512194,0.1875850340136054,0.0523809523809523,0.1911877394636015,0.0589285714285713,0.1643410852713178,0.12531311960559405,0.035467355943183,0.0199999999999999,0.0453846153846153,0.0337962962962962,0.025,0.0236702127659574,0.0282608695652173,0.0404761904761904,0.0866666666666666,0.0323529411764705,0.0256097560975609,0.0241496598639455,0.0238095238095238,0.0174329501915708,0.0160714285714285,0.021705426356589,0.030959102481468815,0.016809222208339178
South American,0.0130522729658378,0.0231387618973321,0.0119186046511627,-0.0103488372093022,0.4090116279069767,0.8742441860465118,0.004377196134853701,-0.0010338155692109982,0.026,-0.0069230769230769,0.0063657407407407,0.00625,0.0356382978723403,0.0478260869565217,0.0571428571428571,0.0066666666666666,0.126470588235294,0.0695121951219511,0.0795918367346938,0.0309523809523809,0.0218390804597701,-2.0122792321330962e-17,0.0257751937984495,0.036463600106982845,0.03785255196133298,0.004,-0.0069230769230768,-0.0015046296296296,-0.003125,0.0085106382978723,0.0304347826086956,0.0023809523809523,-0.005,0.0176470588235293,0.0060975609756097,0.0061224489795918,0.0166666666666666,0.0007662835249041,-0.0035714285714285,0.0081395348837209,0.008059337484378502,0.006180424522684,0.178,0.1884615384615384,0.3332175925925926,0.10625,0.2468085106382978,0.1608695652173912,0.1999999999999999,0.21,0.4088235294117647,0.3182926829268293,0.4122448979591836,0.1357142857142856,0.2850574712643677,0.1678571428571428,0.240891472868217,0.23949924599410738,0.1105125002999797,0.0279999999999999,0.053076923076923,0.0315972222222221,0.034375,0.0218085106382978,0.0347826086956521,0.0547619047619047,0.0483333333333332,0.0647058823529411,0.0402439024390243,0.0340136054421768,0.0404761904761904,0.0187739463601532,0.0178571428571428,0.0228682170542635,0.03637829264734833,0.02193855730175492
