,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,Atheist_polarity_amb,Christian_polarity_amb,Protestant_polarity_amb,Catholic_polarity_amb,Mormon_polarity_amb,Jewish_polarity_amb,Muslim_polarity_amb,Sikh_polarity_amb,Hindu_polarity_amb,Buddhist_polarity_amb,TB_polarity_amb,PB_polarity_amb,Atheist_polarity_dis,Christian_polarity_dis,Protestant_polarity_dis,Catholic_polarity_dis,Mormon_polarity_dis,Jewish_polarity_dis,Muslim_polarity_dis,Sikh_polarity_dis,Hindu_polarity_dis,Buddhist_polarity_dis,TB_polarity_dis,PB_polarity_dis,Atheist_amount_amb,Christian_amount_amb,Protestant_amount_amb,Catholic_amount_amb,Mormon_amount_amb,Jewish_amount_amb,Muslim_amount_amb,Sikh_amount_amb,Hindu_amount_amb,Buddhist_amount_amb,TB_amount_amb,PB_amount_amb,Atheist_amount_dis,Christian_amount_dis,Protestant_amount_dis,Catholic_amount_dis,Mormon_amount_dis,Jewish_amount_dis,Muslim_amount_dis,Sikh_amount_dis,Hindu_amount_dis,Buddhist_amount_dis,TB_amount_dis,PB_amount_dis
Baseline,0.027743569385404,0.0938739006946511,0.0719999999999999,0.0633333333333332,0.7046666666666667,0.8416666666666666,0.0,0.0,0.0305555555555555,0.0384615384615384,0.0777777777777777,0.0227272727272727,-0.0363636363636363,0.0228571428571428,-0.0256097560975609,0.111111111111111,-0.206060606060606,0.107142857142857,0.06786672541550583,0.0,0.0083333333333333,-0.0038461538461538,0.036111111111111,0.0257575757575757,-0.0424242424242423,0.0185714285714285,-0.0048780487804877,0.0416666666666666,-0.062121212121212,0.0428571428571428,0.02865669154693537,0.0,0.2583333333333333,0.2589743589743589,0.3222222222222222,0.3954545454545454,0.4636363636363637,0.1114285714285713,0.2158536585365852,0.2833333333333333,0.4242424242424242,0.2285714285714285,0.2962050239733166,0.0,0.0944444444444444,0.055128205128205,0.0916666666666666,0.0712121212121211,0.106060606060606,0.1042857142857142,0.0536585365853658,0.0805555555555555,0.1287878787878787,0.0714285714285713,0.08572283001551285,0.0
Atheist,0.0189234200345894,0.0967907297995578,0.0559999999999999,0.0179999999999999,0.7926666666666666,0.5863333333333334,-0.008820149350814599,0.002916829104906704,0.086111111111111,-0.0089743589743589,0.061111111111111,-0.0196969696969696,-0.0681818181818181,0.0014285714285713,0.0073170731707316,0.0694444444444443,-0.109090909090909,0.0749999999999999,0.050635636721002464,0.04190351653766283,0.0333333333333333,-0.0076923076923076,0.0333333333333332,0.0272727272727272,-0.0363636363636363,-0.0042857142857142,-0.0012195121951219,0.0138888888888888,-0.0439393939393939,0.0142857142857142,0.02156145615901706,0.01402463931732221,0.2166666666666666,0.1807692307692307,0.25,0.2227272727272727,0.2924242424242423,0.1099999999999999,0.1536585365853658,0.1805555555555555,0.309090909090909,0.1607142857142856,0.2076606699533528,0.0885443540199638,0.1305555555555555,0.0794871794871794,0.0944444444444444,0.0757575757575757,0.1151515151515151,0.1214285714285714,0.0646341463414633,0.0972222222222222,0.1257575757575757,0.0999999999999999,0.10044387861461028,0.015327109205158002
Christian,0.0427685357340852,0.093509330307799,0.0553333333333332,0.0346666666666666,0.5273333333333333,0.7713333333333334,0.0150249663486812,-0.0003645703868521005,-0.1152777777777777,0.1769230769230768,0.0361111111111111,0.1196969696969696,-0.059090909090909,0.0657142857142856,-0.0573170731707316,0.0472222222222222,-0.2045454545454545,0.0392857142857142,0.09211845945382521,0.06534841513500042,0.0041666666666666,0.0333333333333333,0.0222222222222222,0.0151515151515151,-0.0454545454545454,-0.0014285714285714,-0.0134146341463414,0.0416666666666666,-0.0454545454545454,0.0357142857142856,0.0258006986238693,0.01212175155467837,0.4736111111111111,0.5256410256410257,0.486111111111111,0.5803030303030303,0.5742424242424243,0.2742857142857142,0.3621951219512194,0.3861111111111111,0.5742424242424242,0.5035714285714286,0.47403145025706,0.17782642628374337,0.1347222222222222,0.1076923076923076,0.1277777777777777,0.0757575757575757,0.1363636363636363,0.1271428571428571,0.1109756097560975,0.1138888888888888,0.1666666666666666,0.0857142857142856,0.11867018279823152,0.03294735278271865
Protestant,0.0467748333460154,0.0957314013659175,0.1069999999999999,0.012,0.4996666666666666,0.7553333333333333,0.0190312639606114,0.0018575006712664016,-0.0777777777777777,0.1166666666666666,0.2861111111111111,0.0242424242424242,-0.0212121212121211,0.0114285714285714,-0.0646341463414633,0.0638888888888888,-0.1878787878787878,0.0214285714285714,0.08752690669763834,0.06131097493292613,-2.0816681711721685e-17,0.032051282051282,0.061111111111111,0.0318181818181818,-0.0439393939393939,0.0028571428571428,-0.0219512195121951,0.0138888888888888,-0.0499999999999999,0.0178571428571428,0.027547436303533818,0.017449297315150984,0.5138888888888888,0.5628205128205128,0.5416666666666667,0.5242424242424242,0.5969696969696969,0.3142857142857142,0.4182926829268292,0.4472222222222222,0.593939393939394,0.5071428571428571,0.5020471060105205,0.205842082037204,0.1499999999999999,0.1192307692307691,0.1388888888888888,0.0984848484848484,0.1409090909090908,0.1742857142857142,0.1195121951219511,0.1027777777777777,0.159090909090909,0.1249999999999999,0.1328180193789949,0.04709518936348204
Catholic,0.0424038612592761,0.0894847115559809,0.0459999999999999,-0.0366666666666666,0.52,0.7323333333333334,0.014660291873872102,-0.004389189138670202,-0.1430555555555555,0.1012820512820512,0.0027777777777777,0.2939393939393939,-0.0606060606060606,0.0428571428571428,-0.0256097560975609,-0.0055555555555555,-0.2136363636363635,0.0107142857142857,0.09000339430217473,0.08475571650571645,0.0041666666666666,0.0282051282051281,0.0055555555555555,0.0515151515151514,-0.0469696969696969,6.93889390390723e-19,-0.0146341463414633,0.0249999999999999,-0.0515151515151515,0.0249999999999999,0.025256149676881313,0.01705339308388086,0.5013888888888889,0.4935897435897436,0.5027777777777778,0.6333333333333333,0.5636363636363637,0.2799999999999999,0.3719512195121951,0.4,0.5621212121212121,0.525,0.4833798538859515,0.18717482991263484,0.1597222222222221,0.1102564102564102,0.1333333333333333,0.109090909090909,0.1409090909090909,0.1399999999999999,0.1073170731707316,0.1194444444444444,0.1545454545454544,0.1035714285714285,0.12781903665440242,0.04209620663888956
Mormon,0.0449294292536811,0.1022954777047478,0.0223333333333333,-0.0433333333333333,0.5630000000000001,0.7176666666666667,0.017185859868277097,0.0084215770100967,-0.1402777777777777,0.0282051282051282,0.0194444444444444,0.1136363636363636,0.2045454545454545,0.0614285714285714,-0.0353658536585365,-0.0388888888888888,-0.2136363636363636,0.0107142857142857,0.08661431319358144,0.08735731138779912,0.0097222222222222,-0.0038461538461538,0.0305555555555555,0.003030303030303,-0.0121212121212121,-0.0014285714285714,-0.0085365853658536,0.0388888888888888,-0.0333333333333333,0.0249999999999999,0.01664628257920936,0.01330560834829125,0.4763888888888889,0.4256410256410256,0.4472222222222222,0.4712121212121212,0.6439393939393939,0.2471428571428571,0.3256097560975609,0.3611111111111111,0.543939393939394,0.4321428571428571,0.4374349627337432,0.14122993876042658,0.1624999999999999,0.0961538461538461,0.136111111111111,0.0969696969696969,0.1515151515151514,0.1442857142857142,0.1182926829268292,0.0999999999999999,0.1696969696969696,0.1249999999999999,0.13005251726593184,0.044329687250418956
Jewish,0.0293171682795497,0.0775959826653009,0.0703333333333332,-0.036,0.6023333333333334,0.7146666666666667,0.001573598894145701,-0.01627791802935019,-0.0694444444444444,0.0115384615384615,0.0916666666666666,0.0893939393939393,-0.0954545454545454,0.1399999999999999,-0.0292682926829267,0.0416666666666666,-0.162121212121212,0.1071428571428571,0.08376970861117196,0.05007547736816028,0.0027777777777777,-0.0051282051282051,0.036111111111111,0.0257575757575757,-0.0409090909090908,0.01,-0.0060975609756097,0.0277777777777777,-0.0378787878787878,0.0428571428571428,0.02352950301730783,0.005627501225062201,0.4111111111111111,0.3217948717948717,0.3916666666666667,0.4469696969696969,0.4924242424242424,0.3628571428571428,0.3073170731707317,0.3527777777777777,0.4984848484848484,0.4142857142857142,0.39996891455428035,0.10376389058096377,0.125,0.0794871794871794,0.0972222222222222,0.0833333333333332,0.1348484848484848,0.1385714285714285,0.0792682926829268,0.0888888888888888,0.1499999999999999,0.1285714285714285,0.1105191258605892,0.02479629584507635
Muslim,0.0294924516669434,0.0815052285317208,0.0396666666666666,-0.0493333333333332,0.601,0.6839999999999999,0.0017488822815393996,-0.012368672162930291,-0.0902777777777777,-0.0384615384615384,0.0277777777777777,0.0666666666666666,-0.0803030303030302,0.0299999999999999,0.1499999999999999,0.111111111111111,-0.1651515151515151,0.0678571428571428,0.08276065601065594,0.05985826165704209,0.0194444444444444,0.0089743589743589,0.0416666666666666,0.0227272727272727,-0.0454545454545453,3.95516952522712e-17,0.0256097560975609,0.0055555555555555,-0.0696969696969696,0.0071428571428571,0.024627242676023106,0.016400817339841688,0.3930555555555555,0.3487179487179487,0.3888888888888889,0.4151515151515151,0.4772727272727273,0.2585714285714285,0.4134146341463414,0.35,0.546969696969697,0.3678571428571428,0.3959899538131245,0.09978492983980793,0.1388888888888889,0.0884615384615384,0.1138888888888888,0.0833333333333333,0.1333333333333332,0.1057142857142856,0.1158536585365853,0.0999999999999999,0.1606060606060605,0.107142857142857,0.11472228449057706,0.02899945447506423
Sikh,0.0392057916581638,0.1115607466401033,0.0806666666666666,-0.0753333333333333,0.6366666666666667,0.7036666666666667,0.011462222272759798,0.01768684594545221,-0.0624999999999999,-0.0205128205128204,0.0444444444444443,0.0196969696969697,-0.0924242424242423,0.0228571428571428,0.0329268292682926,0.3444444444444444,-0.162121212121212,0.1178571428571428,0.09197852486267112,0.059097775530702334,0.0055555555555555,0.0025641025641025,0.0583333333333332,0.0212121212121211,-0.0515151515151514,-0.0028571428571428,-0.0036585365853658,0.0694444444444443,-0.0424242424242423,0.0035714285714285,0.02611360590628874,0.015445516543077489,0.3819444444444445,0.2999999999999999,0.3444444444444444,0.4287878787878788,0.4712121212121213,0.2085714285714285,0.2841463414634146,0.4611111111111111,0.4681818181818181,0.3535714285714285,0.37019710167880904,0.07399207770549236,0.1305555555555555,0.0846153846153845,0.1249999999999999,0.0757575757575757,0.1424242424242424,0.1314285714285714,0.0939024390243902,0.1138888888888888,0.1424242424242424,0.0892857142857142,0.11292826144045649,0.027205431424943638
Hindu,0.0422482171543781,0.0945198941703227,0.0749999999999999,-0.0286666666666666,0.5616666666666666,0.7089999999999999,0.014504647768974099,0.0006459934756715968,-0.1305555555555555,-0.0025641025641025,0.0416666666666666,0.0287878787878787,-0.0651515151515151,0.0285714285714285,-0.0317073170731707,0.1305555555555555,0.0651515151515151,0.0749999999999999,0.05997115350773881,0.06077076175856662,0.0027777777777777,0.0064102564102563,0.036111111111111,0.0424242424242424,-0.0378787878787878,-0.027142857142857,-0.0060975609756097,0.0222222222222221,-0.0303030303030302,0.0464285714285713,0.02577964176744655,0.01387919397675492,0.4527777777777778,0.3692307692307692,0.4027777777777778,0.4893939393939394,0.5227272727272727,0.2771428571428571,0.373170731707317,0.3361111111111111,0.6833333333333333,0.4678571428571428,0.4374522713059298,0.14124724733261323,0.1388888888888888,0.0935897435897435,0.1249999999999999,0.0848484848484848,0.1227272727272727,0.1328571428571428,0.0914634146341463,0.0833333333333333,0.1606060606060605,0.1107142857142856,0.1144028627199358,0.02868003270442296
