,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,highSES_polarity_amb,lowSES_polarity_amb,TB_polarity_amb,PB_polarity_amb,highSES_polarity_dis,lowSES_polarity_dis,TB_polarity_dis,PB_polarity_dis,highSES_amount_amb,lowSES_amount_amb,TB_amount_amb,PB_amount_amb,highSES_amount_dis,lowSES_amount_dis,TB_amount_dis,PB_amount_dis
Baseline,0.0203884564973474,0.0654133249732209,0.0977855477855477,0.007109557109557,0.6882284382284383,0.9434149184149184,0.0,0.0,0.0991841491841491,0.0013986013986013,0.0502913752913752,0.0,0.0045454545454545,-0.011130536130536,0.00783799533799525,0.0,0.1777389277389277,0.134032634032634,0.15588578088578084,0.0,0.0186480186480186,0.016142191142191,0.017395104895104797,0.0
chemical engineer,0.0315105080508075,0.10108483727044,0.0963286713286712,0.0058275058275058,0.6746503496503495,0.8272727272727274,0.011122051553460098,0.0356715122972191,0.0923659673659673,-0.0039627039627039,0.0481643356643356,0.006089743589743496,0.0099650349650349,-0.0152097902097901,0.0125874125874125,0.00474941724941725,0.2125291375291374,0.1128205128205127,0.16267482517482507,0.028001165501165506,0.0423659673659673,0.0249999999999999,0.0336829836829836,0.016287878787878803
chemist,0.0328367088807077,0.0906372830434255,0.1189976689976689,0.0073426573426573,0.6208624708624708,0.8539044289044287,0.012448252383360302,0.025223958070204597,0.0980186480186479,-0.0209790209790209,0.059498834498834405,0.011771561771561698,0.0074009324009323,-0.0141608391608391,0.0107808857808857,0.00294289044289045,0.2409090909090909,0.1382284382284381,0.1895687645687645,0.03368298368298367,0.0402680652680652,0.0227855477855477,0.03152680652680645,0.014131701631701651
dentist,0.0348081247223928,0.0928074132514727,0.1099650349650349,0.0045454545454545,0.6125291375291375,0.866958041958042,0.014419668225045403,0.027394088278251794,0.1050116550116549,-0.0049533799533799,0.054982517482517396,0.006089743589743499,0.0081585081585081,-0.0149184149184148,0.01153846153846145,0.0037004662004662004,0.2424242424242423,0.14504662004662,0.19373543123543113,0.03784965034965031,0.0409090909090908,0.0235431235431235,0.03222610722610715,0.01483100233100235
judge,0.028601179585409,0.088536328570922,0.0869463869463869,0.03006993006993,0.667948717948718,0.8251748251748252,0.008212723088061601,0.0231230035977011,0.0703962703962703,-0.0165501165501165,0.0434731934731934,0.023368298368298297,0.0064102564102563,-0.0153263403263402,0.01086829836829825,0.003030303030303,0.1921911421911421,0.1398601398601398,0.16602564102564094,0.01013986013986011,0.0406759906759906,0.0279137529137528,0.0342948717948717,0.0168997668997669
lawyer,0.0244707084769237,0.0976307378992964,0.0761655011655011,0.0174825174825174,0.7395687645687645,0.7756410256410258,0.0040822519795763006,0.032217412926075495,0.0745920745920745,-0.0015734265734265,0.0380827505827505,0.013782051282051202,0.0061771561771561,-0.0124125874125873,0.0092948717948717,0.00145687645687645,0.1627039627039626,0.0977272727272726,0.1302156177156176,0.025670163170163247,0.0416083916083915,0.027097902097902,0.03435314685314675,0.01695804195804195
optometrist,0.0256696155980764,0.0947026576514473,0.0917832167832167,-0.0118881118881118,0.7021561771561771,0.8255244755244755,0.005281159100729002,0.029289332678226393,0.0835081585081584,-0.0082750582750582,0.0458916083916083,0.012674825174825098,0.0075174825174824,-0.014102564102564,0.0108100233100232,0.00297202797202795,0.1882867132867132,0.1095571095571095,0.14892191142191136,0.017511655011655004,0.0388694638694638,0.0245920745920745,0.031730769230769146,0.01433566433566435
pharmacist,0.0293043176212996,0.0893290646735456,0.1067599067599067,-0.0136363636363635,0.6525641025641026,0.8597319347319348,0.0089158611239522,0.023915739700324692,0.1017482517482517,-0.005011655011655,0.05337995337995335,0.004487179487179449,0.0066433566433565,-0.0149184149184148,0.01078088578088565,0.0029428904428904,0.2182983682983682,0.1291375291375291,0.17371794871794866,0.022727272727272707,0.0367132867132866,0.0234265734265733,0.030069930069929952,0.012674825174825152
physician,0.0319790022196717,0.1039462197172522,0.1064102564102563,-0.0124708624708624,0.6757575757575757,0.8241841491841491,0.011590545722324298,0.03853289474403129,0.100058275058275,-0.0063519813519813,0.05320512820512815,0.004312354312354249,0.0089160839160838,-0.0158508158508158,0.0123834498834498,0.0045454545454545504,0.2114801864801864,0.1127622377622377,0.16212121212121205,0.0275058275058275,0.0428321678321678,0.0247086247086246,0.0337703962703962,0.0163752913752914
physics teacher,0.030402790198269,0.0932094276038277,0.1053613053613053,0.0017482517482517,0.6698135198135198,0.8474941724941726,0.010014333700921602,0.027796102630606792,0.0877039627039626,-0.0176573426573426,0.052680652680652605,0.015268065268065196,0.0089743589743589,-0.0123543123543123,0.010664335664335601,0.00282634032634035,0.2062354312354312,0.1239510489510489,0.16509324009324006,0.0192890442890443,0.0423076923076922,0.0233100233100232,0.0328088578088577,0.0154137529137529
