,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,Atheist_polarity_amb,Christian_polarity_amb,Protestant_polarity_amb,Catholic_polarity_amb,Mormon_polarity_amb,Jewish_polarity_amb,Muslim_polarity_amb,Sikh_polarity_amb,Hindu_polarity_amb,Buddhist_polarity_amb,TB_polarity_amb,PB_polarity_amb,Atheist_polarity_dis,Christian_polarity_dis,Protestant_polarity_dis,Catholic_polarity_dis,Mormon_polarity_dis,Jewish_polarity_dis,Muslim_polarity_dis,Sikh_polarity_dis,Hindu_polarity_dis,Buddhist_polarity_dis,TB_polarity_dis,PB_polarity_dis,Atheist_amount_amb,Christian_amount_amb,Protestant_amount_amb,Catholic_amount_amb,Mormon_amount_amb,Jewish_amount_amb,Muslim_amount_amb,Sikh_amount_amb,Hindu_amount_amb,Buddhist_amount_amb,TB_amount_amb,PB_amount_amb,Atheist_amount_dis,Christian_amount_dis,Protestant_amount_dis,Catholic_amount_dis,Mormon_amount_dis,Jewish_amount_dis,Muslim_amount_dis,Sikh_amount_dis,Hindu_amount_dis,Buddhist_amount_dis,TB_amount_dis,PB_amount_dis
Baseline,0.0033744010951403,0.0595482546201231,0.05,-0.0533333333333332,0.9433333333333334,0.7933333333333333,0.0,0.0,0.0486111111111111,0.0,0.0694444444444444,0.053030303030303,-0.0151515151515151,0.0428571428571428,0.0121951219512195,0.0,-0.1969696969696969,0.0178571428571428,0.04561164783725756,0.0,0.0138888888888888,0.0064102564102564,0.0277777777777777,0.0,0.0,0.0142857142857142,0.0182926829268292,0.0,-0.0833333333333333,0.0178571428571428,0.01818457964799424,0.0,0.0486111111111111,0.0,0.0694444444444444,0.053030303030303,0.0303030303030303,0.0428571428571428,0.0609756097560975,0.0,0.2121212121212121,0.0178571428571428,0.0535199996480484,0.0,0.0138888888888888,0.0064102564102564,0.0277777777777777,0.0,0.0,0.0142857142857142,0.0182926829268292,0.0,0.0833333333333333,0.0178571428571428,0.01818457964799424,0.0
Atheist,0.0032779097387173,0.0546318289786222,0.0566666666666666,-0.1366666666666666,0.94,0.685,-9.649135642300025e-05,-0.004916425641500903,0.0555555555555555,0.0,0.0833333333333333,0.0454545454545454,-0.0227272727272727,0.0428571428571428,0.024390243902439,0.0,-0.2196969696969697,0.0357142857142857,0.05297293492415441,0.00887643860204837,0.0208333333333333,0.0,0.0277777777777777,0.0,0.0,0.0142857142857142,0.0182926829268292,0.0,-0.0757575757575757,0.0,0.01569470840812301,0.0038787601287601295,0.0555555555555555,0.0,0.0833333333333333,0.0454545454545454,0.0378787878787878,0.0428571428571428,0.048780487804878,0.0,0.2348484848484848,0.0357142857142857,0.058442262344701325,0.008876438602048347,0.0208333333333333,0.0,0.0277777777777777,0.0,0.0,0.0142857142857142,0.0182926829268292,0.0,0.0757575757575757,0.0,0.01569470840812301,0.0038787601287601295
Christian,0.005037037037037,0.0755555555555556,0.0533333333333333,-0.1433333333333333,0.9333333333333332,0.7316666666666667,0.0016626359418966995,0.016007300935432497,0.0555555555555555,0.0128205128205128,0.0694444444444444,0.053030303030303,-0.0303030303030303,0.0428571428571428,0.0182926829268292,0.0,-0.2196969696969697,0.0357142857142857,0.05377149273490735,0.008159844897649779,0.0208333333333333,0.0,0.0277777777777777,0.0075757575757575,0.0,0.0214285714285714,0.0121951219512195,0.0,-0.0833333333333333,0.0,0.01731438953999927,0.00520280194060681,0.0555555555555555,0.0128205128205128,0.0972222222222222,0.053030303030303,0.0606060606060606,0.0428571428571428,0.0548780487804878,0.0,0.2348484848484848,0.0357142857142857,0.06475326164350552,0.012452774190579061,0.0208333333333333,0.0,0.0277777777777777,0.0075757575757575,0.0,0.0214285714285714,0.0121951219512195,0.0,0.0833333333333333,0.0,0.01731438953999927,0.00520280194060681
Protestant,0.0050150489089541,0.0699774266365689,0.065,-0.14,0.9283333333333332,0.72,0.0016406478138137996,0.010429172016445803,0.0555555555555555,0.0064102564102564,0.0833333333333333,0.053030303030303,-0.053030303030303,0.0428571428571428,0.0182926829268292,0.0,-0.1969696969696969,0.0357142857142857,0.05451935598277058,0.008907708145513022,0.0138888888888888,0.0,0.0277777777777777,0.0151515151515151,-0.0075757575757575,0.0142857142857142,0.0182926829268292,0.0,-0.0757575757575757,0.0,0.01727299123640582,0.005457042957042939,0.0555555555555555,0.0192307692307692,0.0833333333333333,0.053030303030303,0.0833333333333333,0.0428571428571428,0.0670731707317073,0.0,0.2424242424242424,0.0357142857142857,0.06825521362106726,0.014735213973018848,0.0138888888888888,0.0,0.0277777777777777,0.0151515151515151,0.0075757575757575,0.0142857142857142,0.0182926829268292,0.0,0.0757575757575757,0.0,0.01727299123640582,0.005457042957042939
Catholic,0.0043209876543209,0.0648148148148148,0.0566666666666666,-0.1833333333333333,0.9333333333333332,0.7016666666666667,0.0009465865591805995,0.005266560194691697,0.0555555555555555,0.0064102564102564,0.0694444444444444,0.053030303030303,-0.0378787878787878,0.0428571428571428,0.0060975609756097,0.0,-0.1893939393939394,0.0357142857142857,0.04963822762603247,0.0067612434990483705,0.0138888888888888,0.0,0.0277777777777777,0.0075757575757575,0.0,0.0214285714285714,0.0182926829268292,0.0,-0.0833333333333333,0.0,0.01722970119311579,0.0038986013986013904,0.0555555555555555,0.0064102564102564,0.0694444444444444,0.053030303030303,0.0681818181818181,0.0428571428571428,0.0670731707317073,0.0,0.2348484848484848,0.0357142857142857,0.06331154617739979,0.0097915465293514,0.0138888888888888,0.0,0.0277777777777777,0.0075757575757575,0.0,0.0214285714285714,0.0182926829268292,0.0,0.0833333333333333,0.0,0.01722970119311579,0.0038986013986013904
Mormon,0.0019905213270142,0.028436018957346,0.0433333333333333,-0.18,0.93,0.69,-0.0013838797681261002,-0.0311122356627771,0.0486111111111111,0.0064102564102564,0.0833333333333333,0.0378787878787878,0.0227272727272727,0.0428571428571428,0.0060975609756097,0.0,-0.2348484848484848,0.0357142857142857,0.05184782358562843,0.01351629400409889,0.0138888888888888,0.0,0.0138888888888888,0.0,0.0,0.0142857142857142,0.0182926829268292,0.0,-0.0606060606060606,0.0,0.012096223559638162,0.006088356088356081,0.0625,0.0064102564102564,0.0833333333333333,0.0378787878787878,0.0984848484848484,0.0428571428571428,0.0670731707317073,0.0,0.2348484848484848,0.0357142857142857,0.06691003102588465,0.016420334408139288,0.0138888888888888,0.0,0.0138888888888888,0.0,0.0,0.0142857142857142,0.0182926829268292,0.0,0.0606060606060606,0.0,0.012096223559638162,0.006088356088356081
Jewish,0.003301737756714,0.0521327014218009,0.0566666666666666,-0.1566666666666666,0.9366666666666666,0.685,-7.266333842630016e-05,-0.007415553198322197,0.0555555555555555,0.0,0.0694444444444444,0.053030303030303,-0.0303030303030303,0.0428571428571428,0.0121951219512195,0.0,-0.1969696969696969,0.0357142857142857,0.04960695808256781,0.00399531024531025,0.0138888888888888,0.0,0.0277777777777777,-0.0151515151515151,0.0,0.0285714285714285,0.0121951219512195,0.0,-0.0606060606060606,0.0,0.01581907929468902,0.0082529462407511,0.0555555555555555,0.0,0.0694444444444444,0.053030303030303,0.0454545454545454,0.0428571428571428,0.0609756097560975,0.0,0.2424242424242424,0.0357142857142857,0.060545612923661674,0.007025613275613271,0.0138888888888888,0.0,0.0277777777777777,0.0151515151515151,0.0,0.0285714285714285,0.0121951219512195,0.0,0.0757575757575757,0.0,0.017334230809840527,0.00673779472559959
Muslim,0.0032081377151799,0.0469483568075117,0.055,-0.14,0.9316666666666666,0.6866666666666666,-0.0001662633799604002,-0.0125998978126114,0.0625,0.0064102564102564,0.0694444444444444,0.0454545454545454,-0.0227272727272727,0.0428571428571428,0.0121951219512195,0.0,-0.2121212121212121,0.0357142857142857,0.050942428168037915,0.0068459318459318606,0.0208333333333333,0.0,0.0277777777777777,0.0,0.0,0.0214285714285714,0.0182926829268292,0.0,-0.0909090909090909,0.0178571428571428,0.01970985992327453,0.00280733155733157,0.0625,0.0064102564102564,0.0694444444444444,0.0606060606060606,0.0681818181818181,0.0428571428571428,0.0609756097560975,0.0,0.2424242424242424,0.0357142857142857,0.06491138603943479,0.01139138639138639,0.0208333333333333,0.0,0.0277777777777777,0.0151515151515151,0.0,0.0214285714285714,0.0182926829268292,0.0,0.106060606060606,0.0178571428571428,0.02274016295357755,0.00583763458763459
Sikh,0.0055582137161084,0.0813397129186603,0.065,-0.1733333333333333,0.9316666666666666,0.6733333333333333,0.0021838126209681,0.021791458298537195,0.0555555555555555,0.0,0.0833333333333333,0.0606060606060606,-0.0454545454545454,0.0428571428571428,0.0182926829268292,0.0138888888888888,-0.2121212121212121,0.0357142857142857,0.056782370745785335,0.01117072290852778,0.0208333333333333,0.0,0.0277777777777777,-0.0075757575757575,-0.0075757575757575,0.0214285714285714,0.0182926829268292,0.0138888888888888,-0.0833333333333333,0.0178571428571428,0.021856324569739148,0.00495379620379619,0.0555555555555555,0.0128205128205128,0.0833333333333333,0.0606060606060606,0.0606060606060606,0.0428571428571428,0.0548780487804878,0.0138888888888888,0.2424242424242424,0.0357142857142857,0.06626841315865703,0.013967925705730569,0.0208333333333333,0.0,0.0277777777777777,0.0075757575757575,0.0075757575757575,0.0214285714285714,0.0182926829268292,0.0138888888888888,0.0984848484848484,0.0178571428571428,0.02337147608489066,0.0064689477189477
Hindu,0.0037320574162679,0.0574162679425838,0.0583333333333333,-0.1766666666666667,0.935,0.6783333333333333,0.0003576563211275998,-0.002131986677539298,0.0486111111111111,0.0064102564102564,0.0833333333333333,0.053030303030303,-0.053030303030303,0.0428571428571428,0.0121951219512195,0.0,-0.1818181818181818,0.0357142857142857,0.051700003925613656,0.00911865911865912,0.0208333333333333,0.0,0.0277777777777777,0.0,0.0,0.0214285714285714,0.0182926829268292,0.0,-0.0833333333333333,0.0,0.017166569879984488,0.00383547008547009,0.0486111111111111,0.0064102564102564,0.0833333333333333,0.053030303030303,0.053030303030303,0.0428571428571428,0.0609756097560975,0.0,0.2424242424242424,0.0357142857142857,0.06263865876670752,0.00911865911865912,0.0208333333333333,0.0,0.0277777777777777,0.0,0.0,0.0214285714285714,0.0182926829268292,0.0,0.0833333333333333,0.0,0.017166569879984488,0.00383547008547009
