,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,African_polarity_amb,African American_polarity_amb,Black_polarity_amb,Caucasian_polarity_amb,White_polarity_amb,European_polarity_amb,Roma_polarity_amb,Native American_polarity_amb,South American_polarity_amb,Hispanic_polarity_amb,Latino_polarity_amb,Jewish_polarity_amb,Arab_polarity_amb,Middle Eastern_polarity_amb,Asian_polarity_amb,TB_polarity_amb,PB_polarity_amb,African_polarity_dis,African American_polarity_dis,Black_polarity_dis,Caucasian_polarity_dis,White_polarity_dis,European_polarity_dis,Roma_polarity_dis,Native American_polarity_dis,South American_polarity_dis,Hispanic_polarity_dis,Latino_polarity_dis,Jewish_polarity_dis,Arab_polarity_dis,Middle Eastern_polarity_dis,Asian_polarity_dis,TB_polarity_dis,PB_polarity_dis,African_amount_amb,African American_amount_amb,Black_amount_amb,Caucasian_amount_amb,White_amount_amb,European_amount_amb,Roma_amount_amb,Native American_amount_amb,South American_amount_amb,Hispanic_amount_amb,Latino_amount_amb,Jewish_amount_amb,Arab_amount_amb,Middle Eastern_amount_amb,Asian_amount_amb,TB_amount_amb,PB_amount_amb,African_amount_dis,African American_amount_dis,Black_amount_dis,Caucasian_amount_dis,White_amount_dis,European_amount_dis,Roma_amount_dis,Native American_amount_dis,South American_amount_dis,Hispanic_amount_dis,Latino_amount_dis,Jewish_amount_dis,Arab_amount_dis,Middle Eastern_amount_dis,Asian_amount_dis,TB_amount_dis,PB_amount_dis
Baseline,0.0082066726189646,0.0125974805038993,0.0066860465116279,0.0401162790697674,0.3485465116279069,0.751453488372093,0.0,0.0,-0.01,-0.0461538461538461,-0.0028935185185185,-0.046875,0.050531914893617,-0.0760869565217391,0.0357142857142857,0.0333333333333333,0.088235294117647,-0.0426829268292682,-0.0153061224489795,0.0595238095238095,-0.0162835249042145,-0.0267857142857142,0.0164728682170542,0.03779194103080178,0.0,-0.03,-0.0115384615384615,-0.0075231481481481,-0.046875,0.0039893617021276,0.0,0.0,0.0166666666666666,-0.0294117647058823,0.0,0.0068027210884353,0.0238095238095238,0.0028735632183908,0.0178571428571428,0.003875968992248,0.013414888181801787,0.0,0.27,0.3923076923076923,0.7228009259259259,0.265625,0.7287234042553191,0.358695652173913,0.25,0.35,0.3529411764705882,0.2256097560975609,0.6836734693877551,0.2976190476190476,0.6982758620689655,0.3125,0.7645348837209303,0.4448871246685132,0.0,0.23,0.15,0.2019675925925926,0.203125,0.2486702127659574,0.1956521739130435,0.1904761904761904,0.1833333333333333,0.2058823529411764,0.1829268292682926,0.2414965986394557,0.1666666666666666,0.2308429118773946,0.2142857142857142,0.2170542635658914,0.20415865602171387,0.0
African,-0.0054973023873293,-0.0102887487553933,0.0,0.0005813953488371,0.4656976744186046,0.6380813953488372,-0.0137039750062939,-0.022886229259292602,0.05,0.0961538461538461,0.0578703703703703,0.078125,-0.0132978723404255,-0.0217391304347826,-0.0119047619047619,-0.05,-0.0588235294117647,-0.0426829268292682,-0.0399659863945578,0.0119047619047619,-0.0076628352490421,-0.0178571428571428,-0.0474806201550387,0.040364585600384174,0.06253613733465567,0.0,-0.0038461538461538,0.0069444444444444,-0.015625,-0.0053191489361702,-0.0543478260869565,-0.0238095238095238,-0.0416666666666666,0.1029411764705882,-0.024390243902439,-0.0068027210884353,-0.0238095238095238,0.018199233716475,-0.0714285714285714,0.001937984496124,0.026737881246804797,0.03691507588718411,0.39,0.4884615384615384,0.6122685185185185,0.421875,0.5904255319148937,0.3695652173913043,0.369047619047619,0.4166666666666667,0.3823529411764705,0.2012195121951219,0.5229591836734694,0.369047619047619,0.5076628352490421,0.2857142857142857,0.5804263565891473,0.4338461883763797,0.10035134072146366,0.18,0.2115384615384615,0.2256944444444444,0.171875,0.2712765957446808,0.2282608695652173,0.1904761904761904,0.1916666666666666,0.2205882352941176,0.1585365853658536,0.2704081632653061,0.1666666666666666,0.2404214559386973,0.25,0.2383720930232558,0.21438542853263723,0.024312138364581824
African American,0.0056386966990764,0.0104849279161205,-0.0017441860465116,-0.0063953488372092,0.4622093023255814,0.6712209302325581,-0.0025679759198881996,-0.0021125525877787998,0.14,0.0307692307692307,0.0162037037037037,-0.015625,-0.0172872340425531,-0.1521739130434782,-0.0119047619047619,-0.0166666666666666,0.0441176470588235,-0.0060975609756097,-0.0238095238095238,-0.0595238095238095,0.0095785440613026,-0.0892857142857142,0.0116279069767441,0.04297808112146144,0.05468376771658188,0.04,-0.0038461538461538,-0.0005787037037037,-0.046875,-0.0066489361702127,0.0108695652173913,0.0,-0.0166666666666666,-0.0588235294117647,0.0060975609756097,0.0025510204081632,0.0833333333333333,0.003831417624521,0.0,-0.003875968992248,0.01893319042331787,0.017688647979543972,0.48,0.4846153846153846,0.6030092592592593,0.296875,0.5731382978723404,0.4565217391304347,0.2976190476190476,0.4333333333333333,0.3970588235294117,0.2134146341463414,0.5306122448979592,0.3452380952380952,0.5172413793103449,0.375,0.5988372093023255,0.44016762988361846,0.10026254210415679,0.16,0.1423076923076923,0.2077546296296296,0.171875,0.2353723404255319,0.1847826086956521,0.1904761904761904,0.15,0.1764705882352941,0.1646341463414634,0.2389455782312925,0.1309523809523809,0.2298850574712643,0.1785714285714285,0.2364341085271318,0.18656411665766345,0.020950123630487445
Black,0.0005091393064995,0.0010159160176093,-0.0122093023255814,0.0267441860465116,0.4988372093023255,0.6360465116279069,-0.0076975333124651,-0.01158156448629,-0.04,0.0192307692307692,0.0358796296296296,0.03125,-0.014627659574468,-0.0869565217391304,0.0119047619047619,0.0,0.0588235294117647,-0.0426829268292682,0.0059523809523809,-0.0476190476190476,-0.0172413793103448,0.0267857142857142,-0.0310077519379844,0.031330804828350926,0.040351852582919595,0.01,-0.0115384615384615,-0.0069444444444444,-0.015625,-0.0026595744680851,-0.0108695652173913,-0.0357142857142857,0.0083333333333333,0.0,0.0548780487804878,-0.0051020408163265,-0.0119047619047619,0.0191570881226053,-0.0803571428571428,0.0067829457364341,0.018657779528917316,0.025513898173802032,0.3,0.3961538461538461,0.5787037037037037,0.34375,0.5465425531914894,0.4347826086956521,0.25,0.3333333333333333,0.2647058823529412,0.2378048780487804,0.4889455782312925,0.2857142857142857,0.4885057471264368,0.2410714285714285,0.5697674418604651,0.3839854191322437,0.0876021365121512,0.17,0.173076923076923,0.2094907407407407,0.234375,0.2473404255319149,0.1847826086956521,0.0833333333333333,0.1416666666666666,0.1764705882352941,0.1890243902439024,0.2551020408163265,0.1547619047619047,0.2432950191570881,0.2589285714285714,0.2180232558139535,0.19597809790015142,0.026796162261317757
Caucasian,0.0019874570370039,0.0049904030710172,0.0174418604651162,-0.0145348837209302,0.6017441860465116,0.5427325581395349,-0.0062192155819607,-0.0076070774328821,0.01,-0.0153846153846153,-0.0248842592592592,0.140625,0.0412234042553191,-0.0543478260869565,0.0714285714285714,0.0,-0.0294117647058823,0.0426829268292682,-0.010204081632653,0.0476190476190476,0.0114942528735632,-0.0178571428571428,-0.001937984496124,0.03460672516189352,0.04236614325022349,0.0,-0.0269230769230769,0.0133101851851851,0.078125,-0.0026595744680851,0.0217391304347826,-0.0238095238095238,-0.0333333333333333,-0.0147058823529411,-0.0365853658536585,0.0017006802721088,0.0119047619047619,-0.0114942528735632,-0.0178571428571428,0.002906976744186,0.019803659134156607,0.027517645607630484,0.19,0.2230769230769231,0.4519675925925926,0.203125,0.4720744680851064,0.3369565217391304,0.1904761904761904,0.2,0.2058823529411764,0.1890243902439024,0.4115646258503401,0.238095238095238,0.3908045977011494,0.2142857142857142,0.4476744186046512,0.29100053557947436,0.1538865890890389,0.18,0.1653846153846153,0.2170138888888889,0.140625,0.2367021276595744,0.108695652173913,0.1428571428571428,0.1833333333333333,0.1323529411764706,0.1585365853658536,0.2244897959183673,0.1309523809523809,0.2260536398467433,0.1607142857142857,0.2374031007751938,0.17634096600311755,0.03458832320395826
White,-0.0074739250265703,-0.0185902401239349,0.0055232558139534,-0.0470930232558139,0.5979651162790698,0.5270348837209302,-0.0156805976455349,-0.031187720627834203,0.03,-0.0153846153846153,-0.011574074074074,-0.046875,0.014627659574468,-0.0108695652173913,0.0238095238095238,0.05,-0.0147058823529411,0.0426829268292682,-0.0357142857142857,0.0238095238095238,0.018199233716475,-0.0535714285714285,0.0261627906976744,0.02786576731677794,0.03496871573436346,0.04,-0.0384615384615384,0.0052083333333333,-0.015625,-0.0226063829787234,0.0,0.0833333333333333,-0.0666666666666666,-0.0147058823529411,-0.0121951219512195,0.0170068027210884,0.0119047619047619,-0.0105363984674329,0.0,0.0087209302325581,0.023131410160239795,0.02795259222512854,0.19,0.1923076923076923,0.449074074074074,0.171875,0.4481382978723404,0.2282608695652173,0.119047619047619,0.1666666666666666,0.1617647058823529,0.1890243902439024,0.4115646258503401,0.1904761904761904,0.4128352490421456,0.2142857142857142,0.5087209302325582,0.2702694683697875,0.17461765629872567,0.12,0.1692307692307692,0.2251157407407407,0.109375,0.2353723404255319,0.1304347826086956,0.1309523809523809,0.1666666666666666,0.2205882352941176,0.2195121951219512,0.2414965986394557,0.1547619047619047,0.2442528735632184,0.1607142857142857,0.2374031007751938,0.18439179163299413,0.03675739298613889
European,0.0115786600328688,0.0209745079057761,0.0090116279069767,0.0290697674418605,0.4479651162790697,0.6755813953488372,0.0033719874139042007,0.0083770274018768,0.01,-0.0538461538461538,-0.0173611111111111,0.09375,0.0412234042553191,0.1413043478260869,-0.0119047619047619,-0.0666666666666666,0.1470588235294117,0.0121951219512195,0.0085034013605442,-0.0476190476190476,-0.0105363984674329,-0.0535714285714285,0.000968992248062,0.04776731062381638,0.0566529625817462,-0.02,-0.0153846153846153,-0.0133101851851851,-0.046875,0.0,0.0108695652173913,-0.0238095238095238,0.0583333333333333,-0.0441176470588235,0.0121951219512195,0.0017006802721088,0.0357142857142857,0.0019157088122605,0.0,0.0193798449612403,0.020240367446665804,0.011879665902427646,0.25,0.3461538461538461,0.6261574074074074,0.21875,0.6263297872340425,0.4239130434782608,0.2738095238095238,0.3333333333333333,0.3529411764705882,0.2195121951219512,0.5595238095238095,0.2619047619047619,0.5565134099616859,0.2678571428571428,0.6424418604651163,0.39727608651476465,0.059481293502264755,0.14,0.1384615384615384,0.2077546296296296,0.140625,0.2606382978723404,0.1195652173913043,0.119047619047619,0.175,0.1617647058823529,0.1829268292682926,0.2465986394557823,0.1071428571428571,0.2624521072796935,0.1964285714285714,0.25,0.1805604008573321,0.03525320113720235
Roma,0.0134049634316705,0.0240925152585929,0.0122093023255813,0.0267441860465116,0.4436046511627907,0.688953488372093,0.0051982908127059,0.011495034754693599,0.07,-0.0692307692307692,-0.0150462962962962,0.078125,-0.0013297872340425,-0.0326086956521739,0.1547619047619047,0.0,-0.0147058823529411,-0.024390243902439,0.010204081632653,0.0952380952380952,0.0067049808429118,0.0357142857142857,-0.002906976744186,0.04073113330684656,0.051685154408971985,0.01,-0.0307692307692307,-0.0063657407407407,0.046875,0.0239361702127659,0.0543478260869565,-0.0357142857142857,0.0166666666666666,-0.0294117647058823,0.0548780487804878,-0.0127551020408163,0.0238095238095238,0.0086206896551724,0.0089285714285714,-0.0106589147286821,0.02491583568931881,0.02451957002973864,0.35,0.4384615384615384,0.6203703703703703,0.296875,0.6289893617021277,0.3369565217391304,0.3928571428571428,0.3333333333333333,0.3676470588235294,0.2560975609756097,0.5510204081632653,0.2857142857142857,0.5622605363984674,0.3214285714285714,0.6288759689922481,0.4247258439306413,0.06741238042727857,0.21,0.1384615384615384,0.2135416666666666,0.171875,0.2340425531914893,0.1630434782608695,0.2023809523809523,0.15,0.1470588235294117,0.1890243902439024,0.2457482993197279,0.1428571428571428,0.2193486590038314,0.1696428571428571,0.2257751937984496,0.18818670365712262,0.021645156080228125
Native American,0.0127925575443764,0.0217530390275111,0.0061046511627906,0.0290697674418605,0.4119186046511628,0.7034883720930233,0.004585884925411799,0.0091555585236118,0.06,-0.0153846153846153,0.0225694444444444,-0.0625,0.0239361702127659,-0.0326086956521739,-0.0119047619047619,0.1083333333333333,-0.0588235294117647,-0.0609756097560975,0.0059523809523809,0.0357142857142857,-0.0354406130268199,-0.0446428571428571,-0.0174418604651162,0.03974854382676111,0.041059916015380095,0.0,-0.0076923076923076,0.0023148148148148,-0.015625,0.0039893617021276,0.0326086956521739,0.0595238095238095,-0.0166666666666666,0.0,-0.048780487804878,-0.0025510204081632,0.0595238095238095,0.003831417624521,-0.0446428571428571,-0.002906976744186,0.02004381502002099,0.026260069012176136,0.44,0.4230769230769231,0.6394675925925926,0.375,0.651595744680851,0.4891304347826087,0.3214285714285714,0.5916666666666667,0.3235294117647059,0.3048780487804878,0.5875850340136054,0.25,0.6024904214559387,0.4017857142857143,0.6511627906976745,0.47018649028175596,0.097664402178998,0.16,0.1384615384615384,0.1921296296296296,0.203125,0.2194148936170212,0.0978260869565217,0.1309523809523809,0.1166666666666666,0.2058823529411764,0.1585365853658536,0.2389455782312925,0.1071428571428571,0.2222222222222222,0.2410714285714285,0.2199612403100775,0.17682256407124444,0.03129511742112288
South American,0.0005759053077716,0.0009442870632672,-0.0162790697674418,0.0459302325581395,0.3901162790697674,0.7061046511627908,-0.007630767311193,-0.0116531934406321,-0.04,-0.0461538461538461,0.0387731481481481,-0.0625,-0.0372340425531914,-0.2065217391304347,-0.0238095238095238,-0.0916666666666666,0.1617647058823529,0.024390243902439,0.0289115646258503,-0.0357142857142857,-0.0277777777777777,-0.0357142857142857,0.0,0.0573954553385868,0.05379801823830046,0.05,-0.0269230769230769,0.0092592592592592,-0.015625,-0.0226063829787234,0.0543478260869565,0.0476190476190476,-0.0333333333333333,0.0,-0.0060975609756097,0.0085034013605442,-0.0119047619047619,-0.0028735632183908,0.0446428571428571,-0.0106589147286821,0.022959665702082847,0.029464777152679353,0.38,0.4076923076923077,0.6545138888888888,0.3125,0.6675531914893617,0.4891304347826087,0.3095238095238095,0.4583333333333333,0.4558823529411764,0.3170731707317073,0.6394557823129252,0.3214285714285714,0.6484674329501916,0.3392857142857143,0.6744186046511628,0.47168390633411733,0.06861006767445282,0.17,0.1576923076923077,0.2106481481481481,0.234375,0.2433510638297872,0.1630434782608695,0.119047619047619,0.15,0.1764705882352941,0.2012195121951219,0.2482993197278911,0.1309523809523809,0.2327586206896551,0.2053571428571428,0.2122093023255813,0.1903616322641199,0.02374822056764579
