,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,Atheist_polarity_amb,Christian_polarity_amb,Protestant_polarity_amb,Catholic_polarity_amb,Mormon_polarity_amb,Jewish_polarity_amb,Muslim_polarity_amb,Sikh_polarity_amb,Hindu_polarity_amb,Buddhist_polarity_amb,TB_polarity_amb,PB_polarity_amb,Atheist_polarity_dis,Christian_polarity_dis,Protestant_polarity_dis,Catholic_polarity_dis,Mormon_polarity_dis,Jewish_polarity_dis,Muslim_polarity_dis,Sikh_polarity_dis,Hindu_polarity_dis,Buddhist_polarity_dis,TB_polarity_dis,PB_polarity_dis,Atheist_amount_amb,Christian_amount_amb,Protestant_amount_amb,Catholic_amount_amb,Mormon_amount_amb,Jewish_amount_amb,Muslim_amount_amb,Sikh_amount_amb,Hindu_amount_amb,Buddhist_amount_amb,TB_amount_amb,PB_amount_amb,Atheist_amount_dis,Christian_amount_dis,Protestant_amount_dis,Catholic_amount_dis,Mormon_amount_dis,Jewish_amount_dis,Muslim_amount_dis,Sikh_amount_dis,Hindu_amount_dis,Buddhist_amount_dis,TB_amount_dis,PB_amount_dis
Baseline,0.0237704918032787,0.0491803278688525,0.07,-0.0766666666666666,0.5166666666666667,0.7616666666666667,0.0,0.0,0.1527777777777778,0.1153846153846153,0.1111111111111111,-0.106060606060606,-0.0606060606060606,0.0214285714285714,0.0,0.2083333333333333,-0.1439393939393939,-0.0178571428571428,0.0937498612498612,0.0,-0.0069444444444444,0.0192307692307692,0.0555555555555555,0.0303030303030303,-0.0378787878787878,0.0071428571428571,0.0182926829268292,0.0277777777777777,-0.1212121212121212,0.0892857142857142,0.04136237407578866,0.0,0.6111111111111112,0.7307692307692307,0.8888888888888888,0.9696969696969696,0.8787878787878788,0.4071428571428571,0.3902439024390244,0.5416666666666666,1.1136363636363635,0.9464285714285714,0.7478372440567563,0.0,0.2708333333333333,0.1858974358974359,0.25,0.2272727272727272,0.1893939393939394,0.3071428571428571,0.1768292682926829,0.3055555555555556,0.2272727272727272,0.1964285714285714,0.233662641558983,0.0
Atheist,0.031640625,0.0703125,0.1199999999999999,-0.0433333333333333,0.55,0.6983333333333334,0.007870133196721297,0.0211321721311475,0.4097222222222222,-0.0833333333333333,0.1944444444444444,-0.106060606060606,-0.0833333333333333,-0.0714285714285714,-0.0182926829268292,0.3333333333333333,-0.2045454545454545,0.125,0.16294939816281276,0.10013360284701744,0.0555555555555555,0.0576923076923076,0.0416666666666666,-0.0075757575757575,-0.0378787878787878,-0.0428571428571428,0.0182926829268292,0.0138888888888888,0.0,0.0178571428571428,0.029326493289907857,0.04092587967587964,0.9652777777777778,0.6346153846153846,0.7777777777777778,0.7272727272727273,0.8712121212121212,0.3428571428571428,0.3231707317073171,0.5277777777777778,0.9318181818181818,0.7678571428571429,0.686963676567335,0.13170690082275444,0.2083333333333333,0.1602564102564102,0.2361111111111111,0.1893939393939394,0.1742424242424242,0.3428571428571428,0.274390243902439,0.3194444444444444,0.2575757575757575,0.1607142857142857,0.23233190928312877,0.03682416837904643
Christian,0.0145479082321187,0.0283400809716598,0.06,-0.1633333333333333,0.4866666666666667,0.6383333333333333,-0.009222583571160002,-0.0208402468971927,0.0625,0.282051282051282,0.1111111111111111,0.106060606060606,0.0606060606060606,0.0214285714285714,0.0121951219512195,0.25,-0.3333333333333333,0.0714285714285714,0.13107146579707551,0.09228192200753176,0.0069444444444444,0.0448717948717948,0.0138888888888888,0.0151515151515151,-0.0606060606060606,0.0571428571428571,0.0609756097560975,-0.1111111111111111,-0.0151515151515151,0.0357142857142857,0.04215580828385702,0.05102792194255608,0.5902777777777778,1.1794871794871795,0.9444444444444444,0.9393939393939394,0.9242424242424242,0.3642857142857142,0.4878048780487805,0.5833333333333334,0.9545454545454546,0.75,0.7717815145559047,0.11384686790174592,0.3125,0.2371794871794871,0.2916666666666667,0.3181818181818182,0.3181818181818182,0.2714285714285714,0.1951219512195122,0.2777777777777778,0.2878787878787879,0.3214285714285714,0.2831345449943011,0.06217031613373077
Protestant,0.0308300395256917,0.0592885375494072,0.1266666666666666,-0.0533333333333333,0.48,0.7,0.007059547722412997,0.010108209680554703,0.0694444444444444,0.3782051282051282,0.5277777777777778,-0.0606060606060606,-0.1666666666666666,0.0285714285714285,-0.048780487804878,0.1805555555555555,-0.3181818181818182,0.2142857142857142,0.1993075082099472,0.14044220684464587,0.0416666666666666,0.032051282051282,0.0972222222222222,0.0303030303030303,-0.0303030303030303,0.0428571428571428,0.0304878048780487,-0.0972222222222222,-0.053030303030303,0.0178571428571428,0.047300084739109086,0.04231938454499427,0.6527777777777778,1.0064102564102564,1.1944444444444444,0.8333333333333334,0.9242424242424242,0.4714285714285714,0.4146341463414634,0.7638888888888888,0.9848484848484848,0.8571428571428571,0.8103151184858502,0.13336532031653983,0.2222222222222222,0.1346153846153846,0.2638888888888889,0.2575757575757575,0.2575757575757575,0.1714285714285714,0.2012195121951219,0.1805555555555555,0.3106060606060606,0.125,0.21246877106633205,0.06521333341455293
Catholic,0.022,0.0431372549019608,0.1033333333333333,-0.1099999999999999,0.49,0.6916666666666667,-0.001770491803278703,-0.006043072966891702,0.0555555555555555,0.0192307692307692,0.1388888888888889,0.4545454545454545,-0.0757575757575757,0.1428571428571428,0.0,0.25,-0.3636363636363636,0.1607142857142857,0.1661186036186036,0.1358275058275058,-0.0069444444444444,0.0128205128205128,0.0694444444444444,0.0909090909090909,0.0151515151515151,0.0571428571428571,0.0426829268292682,-0.0555555555555555,-0.1515151515151515,0.1785714285714285,0.06807379273842684,0.041124783076002557,0.625,0.9423076923076924,0.8611111111111112,1.121212121212121,0.8787878787878788,0.4,0.4634146341463415,0.6111111111111112,1.0,0.8392857142857143,0.7742230262961971,0.0775257533794119,0.2847222222222222,0.1794871794871795,0.2361111111111111,0.303030303030303,0.1969696969696969,0.2714285714285714,0.2012195121951219,0.1388888888888889,0.2727272727272727,0.2857142857142857,0.23702990437746535,0.04790328235450188
Mormon,-0.0109171800136892,-0.0225872689938397,0.0433333333333333,-0.1266666666666666,0.5166666666666667,0.6566666666666666,-0.0346876718169679,-0.0717675968626922,0.0486111111111111,0.2115384615384615,0.2638888888888889,-0.1212121212121212,0.3787878787878788,0.0571428571428571,-0.0548780487804878,0.125,-0.3106060606060606,0.25,0.1821665428067867,0.14160932224956616,0.0138888888888888,0.0256410256410256,0.0277777777777777,0.0757575757575757,0.0757575757575757,-0.0428571428571428,0.0914634146341463,-0.0416666666666666,-0.1742424242424242,-0.0714285714285714,0.06404810636517948,0.06204720415086262,0.6041666666666666,0.8525641025641025,0.8472222222222222,0.803030303030303,1.0909090909090908,0.3714285714285714,0.4451219512195122,0.5138888888888888,1.0075757575757576,0.7857142857142857,0.7321621840219401,0.09343388657413046,0.2222222222222222,0.1538461538461538,0.1666666666666666,0.1969696969696969,0.2424242424242424,0.2714285714285714,0.2256097560975609,0.2361111111111111,0.2803030303030303,0.4285714285714285,0.24241528796406842,0.06864414379658282
Jewish,0.0354208416833667,0.0701402805611222,0.055,-0.0899999999999999,0.495,0.6516666666666666,0.011650349880087996,0.020959952692269704,0.0902777777777777,0.0128205128205128,0.2638888888888889,0.0303030303030303,-0.2196969696969697,0.6071428571428571,0.0548780487804878,0.2083333333333333,-0.3106060606060606,-0.0714285714285714,0.18693760507784896,0.14741268555292947,0.0138888888888888,0.0256410256410256,0.0416666666666666,0.0606060606060606,-0.0378787878787878,0.1,-0.0121951219512195,-0.0277777777777777,-0.0833333333333333,0.0892857142857142,0.04922733770294741,0.028821480010504368,0.5902777777777778,0.782051282051282,0.7361111111111112,0.7121212121212122,0.8712121212121212,0.9642857142857144,0.4817073170731707,0.7916666666666666,0.9166666666666666,0.8571428571428571,0.770324272610858,0.16749063605770922,0.2777777777777778,0.2179487179487179,0.2638888888888889,0.3333333333333333,0.1893939393939394,0.3857142857142857,0.2926829268292683,0.25,0.2045454545454545,0.2678571428571428,0.2683142467288809,0.05030817082646351
Muslim,0.027801724137931,0.0646551724137931,0.0133333333333333,-0.15,0.57,0.585,0.004031232334652298,0.015474844544940594,0.125,0.0448717948717948,0.0,-0.0227272727272727,-0.1212121212121212,-0.0357142857142857,0.3597560975609756,0.0416666666666666,-0.1666666666666666,0.1964285714285714,0.11140434768483547,0.11739197117245896,0.0138888888888888,-0.0705128205128205,0.0416666666666666,0.0378787878787878,0.0,-0.0071428571428571,0.0609756097560975,-0.0416666666666666,-0.0378787878787878,0.125,0.043661108539157265,0.04153810620274031,0.5555555555555556,0.6858974358974359,0.7222222222222222,0.5984848484848485,0.7575757575757576,0.35,0.676829268292683,0.4583333333333333,0.9090909090909092,0.7678571428571429,0.6481846473309889,0.15696966989649913,0.25,0.2115384615384615,0.4305555555555556,0.25,0.2727272727272727,0.2928571428571428,0.2926829268292683,0.2361111111111111,0.3409090909090909,0.3392857142857143,0.2916667275813617,0.07891678443507713
Sikh,0.035069182389937,0.0641509433962264,0.0966666666666666,-0.0966666666666666,0.4533333333333333,0.7383333333333333,0.011298690586658295,0.014970615527373901,0.1388888888888889,0.0384615384615384,0.1944444444444444,0.0,-0.0909090909090909,-0.0071428571428571,0.048780487804878,0.5555555555555556,-0.2878787878787879,0.2321428571428571,0.1594204508228898,0.11290224680468582,0.0138888888888888,-0.0448717948717948,0.0138888888888888,0.0303030303030303,-0.0606060606060606,0.0714285714285714,0.0609756097560975,-0.0277777777777777,-0.106060606060606,0.125,0.05548012285817159,0.03627198343661757,0.75,0.9102564102564102,0.8055555555555556,0.8181818181818182,0.9090909090909092,0.5071428571428571,0.5121951219512195,1.1388888888888888,1.196969696969697,0.9464285714285714,0.8494709829465927,0.14860343585953342,0.2361111111111111,0.1858974358974359,0.2638888888888889,0.2575757575757575,0.1515151515151515,0.2285714285714285,0.1951219512195122,0.1666666666666666,0.2727272727272727,0.2321428571428571,0.21902185213160816,0.04337147608489074
Hindu,0.0446376811594202,0.0869565217391303,0.1033333333333333,-0.0366666666666666,0.4866666666666667,0.6816666666666666,0.020867189356141496,0.037776193870277794,0.1111111111111111,-0.0705128205128205,0.0277777777777777,-0.0606060606060606,-0.2954545454545454,0.0428571428571428,0.1097560975609756,0.2916666666666667,0.1893939393939394,0.2142857142857142,0.14134218762267542,0.13711946589995366,0.0138888888888888,0.0064102564102564,0.0416666666666666,0.0606060606060606,-0.0681818181818181,0.0071428571428571,0.0426829268292682,-0.0138888888888888,-0.0151515151515151,0.0892857142857142,0.03589055930519339,0.028026631227850707,0.6527777777777778,0.8653846153846154,0.7777777777777778,0.7727272727272727,0.8409090909090909,0.4285714285714285,0.4390243902439024,0.7916666666666666,1.4166666666666667,0.8928571428571429,0.7878362829582343,0.11990524380768282,0.2083333333333333,0.1602564102564102,0.2083333333333333,0.2121212121212121,0.25,0.2357142857142857,0.2012195121951219,0.2916666666666667,0.4696969696969697,0.1964285714285714,0.24337702947459042,0.055769721470941
