,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,highSES_polarity_amb,lowSES_polarity_amb,TB_polarity_amb,PB_polarity_amb,highSES_polarity_dis,lowSES_polarity_dis,TB_polarity_dis,PB_polarity_dis,highSES_amount_amb,lowSES_amount_amb,TB_amount_amb,PB_amount_amb,highSES_amount_dis,lowSES_amount_dis,TB_amount_dis,PB_amount_dis
Baseline,0.0147632070899397,0.0178217821782178,0.0294289044289044,-0.0233100233100232,0.1716200466200466,0.5303030303030303,0.0,0.0,0.0294289044289044,-0.0294289044289044,0.0294289044289044,0.0,0.0023310023310023,-0.0023310023310023,0.0023310023310023,0.0,0.8283799533799534,0.8283799533799534,0.8283799533799534,0.0,0.3525641025641026,0.3525641025641026,0.3525641025641026,0.0
chemical engineer,0.0600338263686116,0.0684505289359054,0.1043123543123543,0.0058275058275059,0.1229603729603729,0.6130536130536131,0.045270619278671896,0.05062874675768761,0.1043123543123543,-0.1043123543123543,0.1043123543123543,0.0748834498834499,0.0262237762237762,-0.0262237762237762,0.0262237762237762,0.0238927738927739,0.877039627039627,0.877039627039627,0.877039627039627,0.04865967365967361,0.3234265734265734,0.3234265734265734,0.3234265734265734,0.029137529137529206
chemist,0.0613913637169451,0.0703959773727216,0.1162587412587412,0.0104895104895104,0.1279137529137529,0.5961538461538461,0.046628156627005396,0.052574195194503806,0.1162587412587412,-0.1162587412587412,0.1162587412587412,0.08682983682983679,0.0244755244755244,-0.0244755244755244,0.0244755244755244,0.0221445221445221,0.872086247086247,0.872086247086247,0.872086247086247,0.04370629370629364,0.331002331002331,0.331002331002331,0.331002331002331,0.02156177156177158
dentist,0.0449773927163279,0.0519563822963438,0.0952797202797203,-0.0262237762237762,0.1343240093240093,0.5935314685314685,0.030214185626388196,0.034134600118125996,0.0952797202797202,-0.0952797202797202,0.0952797202797202,0.0658508158508158,0.0171911421911421,-0.0171911421911421,0.0171911421911421,0.014860139860139801,0.8656759906759907,0.8656759906759907,0.8656759906759907,0.037296037296037254,0.31497668997669,0.31497668997669,0.31497668997669,0.037587412587412605
judge,0.0416769924662966,0.0496134020618557,0.0708041958041957,-0.0034965034965034,0.1599650349650349,0.5833333333333334,0.0269137853763569,0.031791619883637906,0.0708041958041958,-0.0708041958041958,0.0708041958041958,0.04137529137529139,0.011072261072261,-0.011072261072261,0.011072261072261,0.008741258741258699,0.840034965034965,0.840034965034965,0.840034965034965,0.011655011655011593,0.3210955710955711,0.3210955710955711,0.3210955710955711,0.03146853146853151
lawyer,0.0387323171856246,0.0460440985732815,0.083041958041958,0.0052447552447553,0.1587995337995338,0.571969696969697,0.0239691100956849,0.028222316395063698,0.083041958041958,-0.083041958041958,0.083041958041958,0.0536130536130536,0.009032634032634,-0.009032634032634,0.009032634032634,0.0067016317016317,0.8412004662004662,0.8412004662004662,0.8412004662004662,0.012820512820512775,0.3266317016317016,0.3266317016317016,0.3266317016317016,0.025932400932401012
optometrist,0.0351701386801673,0.0410697230181471,0.0993589743589743,-0.0064102564102563,0.1436480186480186,0.5946969696969697,0.0204069315902276,0.023247940839929298,0.0993589743589743,-0.0993589743589743,0.0993589743589743,0.0699300699300699,0.0116550116550116,-0.0116550116550116,0.0116550116550116,0.0093240093240093,0.8563519813519813,0.8563519813519813,0.8563519813519813,0.027972027972027913,0.3205128205128205,0.3205128205128205,0.3205128205128205,0.032051282051282104
pharmacist,0.0827777777777777,0.0946031746031745,0.1092657342657342,0.0244755244755243,0.125,0.5885780885780886,0.068014570687838,0.0767813924249567,0.1092657342657342,-0.1092657342657342,0.1092657342657342,0.0798368298368298,0.0326340326340326,-0.0326340326340326,0.0326340326340326,0.030303030303030297,0.875,0.875,0.875,0.046620046620046596,0.3292540792540792,0.3292540792540792,0.3292540792540792,0.02331002331002341
physician,0.0393439159958983,0.0453115166771553,0.1171328671328671,-0.0104895104895105,0.1317016317016317,0.5990675990675991,0.0245807089059586,0.0274897344989375,0.1171328671328671,-0.1171328671328671,0.1171328671328671,0.08770396270396269,0.0075757575757575,-0.0075757575757575,0.0075757575757575,0.005244755244755199,0.8682983682983683,0.8682983682983683,0.8682983682983683,0.03991841491841486,0.3269230769230769,0.3269230769230769,0.3269230769230769,0.02564102564102566
physics teacher,0.0655017561891176,0.0744377573645866,0.1171328671328671,-0.0005827505827505,0.12004662004662,0.6092657342657343,0.0507385490991779,0.05661597518636881,0.1171328671328671,-0.1171328671328671,0.1171328671328671,0.08770396270396269,0.0221445221445221,-0.0221445221445221,0.0221445221445221,0.0198135198135198,0.87995337995338,0.87995337995338,0.87995337995338,0.05157342657342656,0.3106060606060606,0.3106060606060606,0.3106060606060606,0.04195804195804198
