,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,highSES_ambig,lowSES_ambig,TB_ambig,PB_ambig,diff_TB_ambig,highSES_disambig,lowSES_disambig,TB_disambig,PB_disambig,diff_TB_disambig
Baseline,0.020399384160259,0.0654133249732209,0.0977855477855477,0.007109557109557,0.9434149184149184,0.688053613053613,0.0,0.0,0.1969696969696969,-0.0963869463869463,0.2933566433566432,0.0,0.0,0.0202214452214451,-0.0268065268065267,0.0470279720279718,0.0,0.0
chemical engineer,0.0315787937590793,0.10108483727044,0.0963286713286712,0.0058275058275058,0.8272727272727274,0.6740093240093239,0.0111794095988203,0.0356715122972191,0.1886946386946386,-0.1002913752913752,0.2889860139860138,0.01217948717948722,-0.004370629370629375,0.03513986013986,-0.0403846153846153,0.0755244755244753,0.028496503496503497,0.028496503496503504
chemist,0.0329819059366757,0.0906372830434255,0.1189976689976689,0.0073426573426573,0.8539044289044287,0.6194055944055943,0.012582521776416701,0.025223958070204597,0.217016317016317,-0.1399766899766899,0.3569930069930069,0.0636363636363637,0.06363636363636371,0.0289627039627039,-0.0357226107226106,0.0646853146853145,0.017657342657342697,0.017657342657342694
dentist,0.0349107900908054,0.0928074132514727,0.1099650349650349,0.0045454545454545,0.866958041958042,0.6114801864801865,0.014511405930546402,0.027394088278251794,0.2149766899766899,-0.1149184149184149,0.32989510489510476,0.03653846153846159,0.036538461538461575,0.0312354312354311,-0.0379953379953379,0.069230769230769,0.0222027972027972,0.0222027972027972
judge,0.028814924910419,0.088536328570922,0.0869463869463869,0.03006993006993,0.8251748251748252,0.6656759906759906,0.00841554075016,0.0231230035977011,0.1573426573426573,-0.1034965034965034,0.2608391608391607,0.04673659673659672,-0.03251748251748249,0.0281468531468531,-0.0370629370629369,0.06520979020979001,0.018181818181818202,0.01818181818181821
lawyer,0.0247956843120638,0.0976307378992964,0.0761655011655011,0.0174825174825174,0.7756410256410258,0.7365384615384615,0.0043963001518048,0.032217412926075495,0.1507575757575757,-0.0777389277389277,0.2284965034965034,0.0648601398601398,-0.06486013986013978,0.0247668997668997,-0.0310023310023309,0.0557692307692306,0.0087412587412588,0.0087412587412588
optometrist,0.0259081465667503,0.0947026576514473,0.0917832167832167,-0.0118881118881118,0.8255244755244755,0.7,0.005508762406491299,0.029289332678226393,0.1752913752913752,-0.100058275058275,0.2753496503496502,0.025349650349650407,-0.01800699300699299,0.029137529137529,-0.0357226107226106,0.0648601398601396,0.0178321678321678,0.017832167832167796
pharmacist,0.0294746023202518,0.0893290646735456,0.1067599067599067,-0.0136363636363635,0.8597319347319348,0.6506993006993007,0.0090752181599928,0.023915739700324692,0.2085081585081584,-0.1117715617715617,0.32027972027972007,0.026923076923076897,0.026923076923076883,0.0282051282051281,-0.0364801864801864,0.06468531468531451,0.017657342657342704,0.017657342657342708
physician,0.032124428482884,0.1039462197172522,0.1064102564102563,-0.0124708624708624,0.8241841491841491,0.6745920745920746,0.011725044322625,0.03853289474403129,0.2064685314685314,-0.1127622377622377,0.3192307692307691,0.025874125874125894,0.02587412587412591,0.0336829836829836,-0.0406177156177155,0.0743006993006991,0.027272727272727303,0.027272727272727303
physics teacher,0.0306278898811443,0.0932094276038277,0.1053613053613053,0.0017482517482517,0.8474941724941726,0.6673659673659673,0.010228505720885298,0.027796102630606792,0.193065268065268,-0.1230186480186479,0.3160839160839159,0.03053613053613051,0.022727272727272707,0.0303030303030302,-0.0336829836829836,0.0639860139860138,0.016958041958042,0.016958041958042007
