,BS_d,BS_a,Diff_Bias_d,Diff_Bias_a,Acc_d,Acc_a,highSES_ambig,lowSES_ambig,TB_ambig,PB_ambig,highSES_disambig,lowSES_disambig,TB_disambig,PB_disambig
Baseline,-0.0015637216575449,-1.8680823997477253e-05,0.0862470862470862,-0.0096153846153846,0.9880536130536132,0.7453379953379954,-0.0192307692307692,0.0096153846153846,0.0288461538461538,0.0,0.0,0.0,0.0,0.0
bartender,-0.011864406779661,-0.0001106238394373,0.0582750582750583,-0.004079254079254,0.9906759906759908,0.6870629370629371,-0.0078671328671328,0.0043706293706293,0.012237762237762101,0.0166083916083917,-0.0008741258741258,0.0008741258741258,0.0017482517482516,0.0017482517482516
cashier,-0.0101584721657862,-0.0001213570392765,0.0821678321678321,-0.0072843822843822,0.9880536130536132,0.7170745920745921,-0.0145687645687645,0.0072843822843822,0.0218531468531467,0.0069930069930071006,0.0,0.0,0.0,0.0
chemical engineer,-0.0070796460176991,-7.219918724343542e-05,0.0291375291375292,-0.0067016317016317,0.9898018648018648,0.6585081585081585,-0.0131118881118881,0.0069930069930069,0.020104895104895,0.008741258741258801,0.0,0.0,0.0,0.0
chemist,-0.0084859312192943,-9.395844590127764e-05,0.0145687645687645,-0.0087412587412587,0.9889277389277388,0.6523892773892774,-0.0174825174825174,0.0087412587412587,0.0262237762237761,0.0026223776223777,0.0,0.0,0.0,0.0
construction worker,-0.0020652622883106,-2.166359043682465e-05,0.0763403263403263,-0.0064102564102564,0.9895104895104896,0.7054195804195804,-0.0128205128205128,0.0064102564102564,0.019230769230769197,0.009615384615384602,0.0,0.0,0.0,0.0
dentist,-0.0049129075480125,-5.582849486377888e-05,0.0168997668997669,-0.0096153846153846,0.9886363636363636,0.6523892773892774,-0.0189393939393939,0.0099067599067599,0.0288461538461538,0.0005827505827506012,0.0,0.0,0.0,0.0
farm worker,-0.0107172300082439,-0.0001092957605735,0.0623543123543124,-0.004079254079254,0.9898018648018648,0.7065850815850816,-0.0084498834498834,0.0037878787878787,0.0122377622377621,0.0166083916083917,0.0002913752913752,-0.0005827505827505,0.0008741258741257,0.0008741258741257
janitor,-0.0073891625615764,-7.966171759275244e-05,0.0833333333333333,-0.0067016317016317,0.9892191142191142,0.7094988344988346,-0.0139860139860139,0.0061188811188811,0.020104895104895,0.008741258741258803,0.0005827505827505,-0.0002913752913752,0.0008741258741257,0.0008741258741257
judge,-0.0116009280742459,-6.084402836142937e-05,-0.020979020979021,-0.0034965034965034,0.9947552447552448,0.6276223776223776,-0.0067016317016317,0.0037878787878787,0.0104895104895104,0.0183566433566434,-0.0005827505827505,0.0002913752913752,0.0008741258741257,0.0008741258741257
lawyer,-0.0083333333333333,-6.798756798756776e-05,-0.0064102564102564,-0.0029137529137529,0.9918414918414918,0.629079254079254,-0.0058275058275058,0.0029137529137529,0.0087412587412587,0.0201048951048951,-0.0002913752913752,0.0005827505827505,0.0008741258741257,0.0008741258741257
line cook,-0.0063532401524777,-7.219591082361055e-05,0.0477855477855477,-0.0072843822843822,0.9886363636363636,0.6876456876456877,-0.0145687645687645,0.0072843822843822,0.0218531468531467,0.0069930069930071006,0.0002913752913752,-0.0005827505827505,0.0008741258741257,0.0008741258741257
optometrist,-0.0108108108108108,-0.0001134001134001,-0.0040792540792541,-0.0058275058275058,0.9895104895104896,0.6465617715617715,-0.0116550116550116,0.0058275058275058,0.0174825174825174,0.0113636363636364,-0.0005827505827505,0.0002913752913752,0.0008741258741257,0.0008741258741257
parking attendant,0.0029106029106029,3.5619266388497685e-05,0.0571095571095571,-0.0034965034965034,0.9877622377622378,0.6998834498834499,-0.0075757575757575,0.0029137529137529,0.0104895104895104,0.0183566433566434,0.0008741258741258,-0.0017482517482517,0.0026223776223774998,0.0026223776223774998
pharmacist,-0.0089126559714795,-5.193855461235112e-05,0.020979020979021,-0.0017482517482517,0.9941724941724942,0.6538461538461539,-0.0034965034965034,0.0017482517482517,0.0052447552447551,0.023601398601398704,0.0,0.0,0.0,0.0
physician,-0.0054054054054053,-3.9375039375039214e-05,0.0128205128205127,-0.0037878787878787,0.9927156177156176,0.6468531468531469,-0.0072843822843822,0.004079254079254,0.011363636363636201,0.0174825174825176,0.0,0.0,0.0,0.0
physics teacher,-0.0077307867212369,-8.559728887150499e-05,0.0046620046620046,-0.0075757575757575,0.9889277389277388,0.6404428904428905,-0.0139860139860139,0.0087412587412587,0.0227272727272726,0.006118881118881201,-0.0005827505827505,0.0002913752913752,0.0008741258741257,0.0008741258741257
