,BS_d,BS_a,Diff_Bias_d,Diff_Bias_a,Acc_d,Acc_a,Atheist_ambig,Buddhist_ambig,Catholic_ambig,Christian_ambig,Hindu_ambig,Jewish_ambig,Mormon_ambig,Muslim_ambig,Protestant_ambig,Sikh_ambig,TB_ambig,PB_ambig,Atheist_disambig,Buddhist_disambig,Catholic_disambig,Christian_disambig,Hindu_disambig,Jewish_disambig,Mormon_disambig,Muslim_disambig,Protestant_disambig,Sikh_disambig,TB_disambig,PB_disambig
Baseline,0.1105882352941176,0.0600862745098039,-0.1266666666666666,0.0466666666666666,0.4566666666666666,0.4833333333333333,0.1458333333333333,0.125,0.1212121212121212,-0.0128205128205128,0.0681818181818181,-0.0071428571428571,0.0151515151515151,0.0914634146341463,0.0972222222222222,0.1111111111111111,0.7951389058096372,0.0,-0.0416666666666666,0.2142857142857142,0.0757575757575757,0.0192307692307692,-0.0303030303030303,0.0571428571428571,-0.1590909090909091,0.0121951219512195,0.1666666666666666,-0.0416666666666666,0.818005977762075,0.0
Atheist,0.0705394190871369,0.0243360995850622,-0.0433333333333333,-0.035,0.655,0.2083333333333333,-0.0763888888888889,0.1071428571428571,-0.0681818181818181,-0.0769230769230769,-0.0075757575757575,0.0142857142857142,0.0757575757575757,0.0914634146341463,-0.1666666666666666,0.0416666666666666,0.7260524367231679,0.9847014097014094,0.0,-0.1428571428571428,0.0833333333333333,0.0769230769230769,0.0984848484848484,0.0285714285714285,-0.1136363636363636,-0.0609756097560975,0.0,-0.125,0.729781803562291,0.9900621735987587
Buddhist,-0.1313868613138685,-0.0532116788321167,-0.1466666666666666,0.0266666666666666,0.595,0.2433333333333333,-0.0833333333333333,0.3035714285714285,-0.0075757575757575,-0.0833333333333333,0.106060606060606,0.0428571428571428,0.0151515151515151,-0.0304878048780487,-0.0833333333333333,0.0833333333333333,0.8390375884278318,1.0252021352631104,-0.0069444444444444,0.0,0.0227272727272727,0.0128205128205128,-0.0151515151515151,0.0071428571428571,0.0151515151515151,0.0,-0.1944444444444444,-0.0694444444444444,0.343827006327006,0.9489264461825434
Catholic,0.0572390572390573,0.0305274971941638,-0.0833333333333333,-0.0066666666666666,0.4666666666666667,0.2616666666666666,0.0069444444444444,-0.0357142857142857,0.1818181818181818,0.0064102564102564,-0.0833333333333333,0.0142857142857142,-0.0227272727272727,0.0365853658536585,-0.125,0.0138888888888888,0.5267077434760359,0.9645850084874473,-0.0833333333333333,-0.0357142857142857,0.0227272727272727,0.1089743589743589,-0.0606060606060606,0.0,-0.0833333333333333,0.0609756097560975,-0.1388888888888889,-0.0138888888888888,0.6084420322225197,0.9797578437822336
Christian,0.0723684210526316,0.0379934210526316,-0.0466666666666666,0.0083333333333333,0.475,0.26,0.0347222222222222,0.0714285714285714,0.0075757575757575,-0.0192307692307692,0.0984848484848484,-0.0142857142857142,-0.0227272727272727,-0.0365853658536585,-0.0277777777777777,0.0833333333333333,0.41615163291992513,0.6408803933194175,0.0,0.0892857142857142,-0.0075757575757575,0.0833333333333333,0.0606060606060606,-0.0357142857142857,-0.0303030303030303,-0.0548780487804878,-0.0277777777777777,0.0138888888888888,0.40336289726533586,0.9437298473883833
Hindu,0.0714285714285714,0.0398809523809523,-0.1233333333333333,0.0366666666666666,0.4416666666666666,0.255,-0.0694444444444444,-0.0178571428571428,0.0,-0.0833333333333333,-0.0227272727272727,0.0357142857142857,0.0,0.0060975609756097,0.125,0.0555555555555555,0.4157295956076441,0.8674767982694809,-0.0486111111111111,-0.1071428571428571,-0.053030303030303,0.0512820512820512,-0.0075757575757575,-0.0714285714285714,-0.0606060606060606,0.0426829268292682,0.0416666666666666,0.0,0.4840263056726467,0.9361501980404415
Jewish,-0.022508038585209,-0.0127920685959271,0.0033333333333333,-0.015,0.4316666666666666,0.245,-0.0069444444444444,0.0535714285714285,-0.1287878787878787,0.0961538461538461,-0.0303030303030303,-0.0428571428571428,-0.0303030303030303,0.048780487804878,-0.0833333333333333,-0.0138888888888888,0.5349235114479012,1.1110728702192112,0.0902777777777777,-0.2321428571428571,-0.0151515151515151,0.0833333333333333,0.0227272727272727,0.0142857142857142,-0.0681818181818181,0.048780487804878,-0.0138888888888888,-0.1944444444444444,0.7832141097384994,1.2900999068681993
Mormon,-0.0030959752321981,-0.0017182662538699,-0.02,0.01,0.445,0.2933333333333333,0.1388888888888889,-0.0714285714285714,0.0075757575757575,-0.0448717948717948,-0.0227272727272727,0.0,-0.0151515151515151,-0.0121951219512195,-0.0277777777777777,0.0416666666666666,0.3822833670394642,0.7755186209454498,0.0694444444444444,-0.0892857142857142,-0.0454545454545454,0.0961538461538461,-0.0075757575757575,-0.0142857142857142,0.0378787878787878,-0.0426829268292682,-0.0416666666666666,-0.1527777777777778,0.5972061813525222,1.2782657721682105
Muslim,0.0309278350515462,0.0173195876288659,-0.09,0.0,0.44,0.2316666666666666,0.0555555555555555,0.0,-0.0303030303030303,-0.0192307692307692,-0.0757575757575757,0.0071428571428571,0.0227272727272727,-0.0182926829268292,-0.1111111111111111,-0.0555555555555555,0.39567641031055634,1.0237601490650265,-0.0347222222222222,-0.0535714285714285,-0.053030303030303,0.0576923076923076,0.0303030303030303,0.0285714285714285,-0.0909090909090909,-0.0548780487804878,-0.0138888888888888,0.0277777777777777,0.44534452674696523,0.9164834826420186
Protestant,-0.0309278350515463,-0.017061855670103,-0.0933333333333333,-0.0216666666666666,0.4483333333333333,0.23,-0.0069444444444444,-0.0178571428571428,0.0303030303030303,0.0705128205128205,-0.0833333333333333,-0.0857142857142857,0.0378787878787878,0.0,-0.0416666666666666,0.0416666666666666,0.41587717837717797,1.0224879456586768,-0.0138888888888888,-0.125,0.0075757575757575,0.0641025641025641,-0.0303030303030303,0.0714285714285714,-0.0454545454545454,0.0426829268292682,-0.0416666666666666,-0.0972222222222222,0.5393251734715145,0.9024158768061206
Sikh,-0.0201342281879194,-0.0103020134228187,-0.0766666666666666,0.0,0.4883333333333333,0.2583333333333333,0.0416666666666666,0.1785714285714285,-0.0227272727272727,0.0961538461538461,-0.0303030303030303,-0.1214285714285714,-0.0378787878787878,0.0609756097560975,0.0,0.0277777777777777,0.6174829912634786,0.887496074386318,0.0347222222222222,-0.0357142857142857,-0.0227272727272727,0.0769230769230769,0.0378787878787878,-0.0428571428571428,-0.0454545454545454,0.024390243902439,-0.0972222222222222,-0.1805555555555555,0.5984453554575502,1.1793571266132237
