,BS_d,BS_a,Diff_Bias_d,Diff_Bias_a,Acc_d,Acc_a,African_ambig,African American_ambig,Arab_ambig,Asian_ambig,Black_ambig,Caucasian_ambig,European_ambig,Hispanic_ambig,Jewish_ambig,Latino_ambig,Middle Eastern_ambig,Native American_ambig,Roma_ambig,South American_ambig,White_ambig,TB_ambig,PB_ambig,African_disambig,African American_disambig,Arab_disambig,Asian_disambig,Black_disambig,Caucasian_disambig,European_disambig,Hispanic_disambig,Jewish_disambig,Latino_disambig,Middle Eastern_disambig,Native American_disambig,Roma_disambig,South American_disambig,White_disambig,TB_disambig,PB_disambig
Baseline,0.0125974805038993,0.0085765405058523,0.0401162790697674,0.0066860465116279,0.3191860465116279,0.751453488372093,0.01,-0.0038461538461538,0.0325670498084291,0.0368217054263565,0.0248842592592592,0.0,-0.0108695652173913,-0.0121951219512195,0.0476190476190476,0.032312925170068,0.0089285714285714,0.05,-0.0238095238095238,0.0441176470588235,0.0492021276595744,0.38717369825441805,0.0,0.0,-0.0038461538461538,0.0191570881226053,0.0184108527131782,0.0040509259259259,-0.015625,0.0108695652173913,0.024390243902439,0.0119047619047619,0.0272108843537414,0.0357142857142857,0.0083333333333333,0.0476190476190476,-0.0441176470588235,0.0226063829787234,0.2938561726904103,0.0
African,-0.0102887487553933,-0.0060625853858087,0.0005813953488371,0.0,0.4107558139534883,0.6380813953488372,0.1,0.0961538461538461,0.0526819923371647,0.0251937984496124,0.0763888888888889,0.046875,0.0108695652173913,-0.0060975609756097,0.0476190476190476,0.0331632653061224,0.0267857142857142,0.05,0.0595238095238095,0.0147058823529411,0.0465425531914893,0.6926009243016373,0.4820713260459998,-0.01,0.0192307692307692,0.0296934865900383,0.0193798449612403,0.0179398148148148,0.03125,-0.0434782608695652,-0.0060975609756097,0.0119047619047619,0.0272108843537414,0.0267857142857142,-0.0166666666666666,0.0476190476190476,0.0147058823529411,0.0106382978723404,0.3326009924972507,0.2949020195930312
African American,0.0104849279161205,0.0062086622573074,-0.0063953488372092,-0.0017441860465116,0.4078488372093023,0.6712209302325581,0.14,0.073076923076923,0.0613026819923371,0.0465116279069767,0.0515046296296296,0.03125,-0.0326086956521739,0.0121951219512195,0.0476190476190476,0.042517006802721,0.0178571428571428,0.0583333333333333,0.0595238095238095,0.0294117647058823,0.0465425531914893,0.7502543382426856,0.47751315284411433,0.0,0.0,0.0162835249042145,0.0106589147286821,0.0167824074074074,0.0,0.0652173913043478,0.048780487804878,0.0357142857142857,0.0212585034013605,0.0357142857142857,0.0083333333333333,0.0238095238095238,-0.0294117647058823,0.0199468085106383,0.3319112313388394,0.19250309191237253
Arab,-0.0010043521928355,-0.0006008595386208,0.0122093023255813,0.0037790697674418,0.4017441860465116,0.6409883720930233,0.02,0.0038461538461538,0.0459770114942528,0.0455426356589147,0.0405092592592592,0.046875,-0.0434782608695652,-0.0121951219512195,0.0357142857142857,0.0331632653061224,0.0803571428571428,-0.0333333333333333,0.0238095238095238,0.0147058823529411,0.0638297872340425,0.5433366636867568,0.3941073739649825,0.02,-0.0192307692307692,0.0201149425287356,0.0087209302325581,0.0185185185185185,0.046875,0.0108695652173913,0.0365853658536585,0.0119047619047619,0.0348639455782312,0.0446428571428571,-0.0166666666666666,0.0952380952380952,-0.0147058823529411,0.0199468085106383,0.4188841089758227,0.2564671262612542
Asian,0.0154656136887134,0.0090365940448587,0.011627906976744,-0.007267441860465,0.4156976744186046,0.6674418604651163,0.05,0.0423076923076923,0.0478927203065134,0.0872093023255814,0.0324074074074074,0.046875,0.0652173913043478,0.0121951219512195,0.0595238095238095,0.0306122448979591,0.0178571428571428,0.0333333333333333,0.0119047619047619,0.0147058823529411,0.0252659574468085,0.577307767919518,0.4350053630285245,0.02,0.0038461538461538,0.0153256704980842,0.001937984496124,0.0179398148148148,0.03125,0.0326086956521739,0.0060975609756097,0.0595238095238095,0.0280612244897959,0.0267857142857142,0.025,0.0714285714285714,0.0441176470588235,0.0159574468085106,0.39988029387818547,0.3415506757321076
Black,0.0010159160176093,0.0005711574354815,0.0267441860465116,-0.0122093023255814,0.4377906976744186,0.6360465116279069,0.04,0.0653846153846153,0.0354406130268199,0.0348837209302325,0.0561342592592592,0.0625,-0.0108695652173913,-0.0182926829268292,0.0119047619047619,0.0518707482993197,0.0446428571428571,0.0416666666666666,0.0595238095238095,0.0588235294117647,0.0452127659574468,0.6371505956517738,0.40523818320045224,-0.01,0.0153846153846153,0.0325670498084291,0.0184108527131782,0.0092592592592592,0.03125,0.0108695652173913,0.0426829268292682,0.0119047619047619,0.0280612244897959,0.0357142857142857,0.0333333333333333,0.0,-0.0147058823529411,0.0292553191489361,0.3233990761561953,0.2225468358079526
Caucasian,0.0049904030710172,0.0025213141097174,-0.0145348837209302,0.0174418604651162,0.4947674418604651,0.5427325581395349,-0.01,-0.0076923076923076,0.0296934865900383,0.0251937984496124,0.0086805555555555,0.09375,-0.0217391304347826,0.024390243902439,0.0238095238095238,0.0246598639455782,0.0178571428571428,0.0083333333333333,0.0238095238095238,-0.0147058823529411,0.0611702127659574,0.3954850054987358,0.3962247440824891,0.0,0.0076923076923076,0.0,0.0164728682170542,0.021412037037037,0.0625,0.0434782608695652,0.0121951219512195,0.0476190476190476,0.0153061224489795,0.0267857142857142,0.0083333333333333,0.0476190476190476,-0.0294117647058823,0.0159574468085106,0.3547830725876986,0.25082590044246833
European,0.0209745079057761,0.0126456771501685,0.0290697674418605,0.0090116279069767,0.3970930232558139,0.6755813953488372,0.02,-0.0115384615384615,0.0526819923371647,0.0436046511627907,0.0381944444444444,0.046875,0.1195652173913043,0.0121951219512195,0.0,0.0544217687074829,0.0089285714285714,-0.0166666666666666,0.0119047619047619,0.0735294117647058,0.0545212765957446,0.5646273458933183,0.46644016483326456,0.0,0.0115384615384615,0.0210727969348659,0.0213178294573643,0.0017361111111111,0.03125,0.0108695652173913,0.024390243902439,0.0238095238095238,0.0272108843537414,0.0446428571428571,0.0416666666666666,0.0119047619047619,-0.0588235294117647,0.0279255319148936,0.35815876336584224,0.1793030994259405
Hispanic,0.0048590864917394,0.0030651795601961,0.0151162790697674,-0.0052325581395348,0.3691860465116279,0.6651162790697674,0.06,0.0192307692307692,0.0565134099616858,0.0251937984496124,0.0532407407407407,0.078125,0.0,0.0914634146341463,0.0714285714285714,0.096938775510204,-0.0089285714285714,0.0333333333333333,0.0833333333333333,0.0147058823529411,0.0412234042553191,0.7336590046592281,0.5971533024176264,-0.02,-0.0153846153846153,0.0134099616858237,0.0135658914728682,0.0173611111111111,0.0,0.0326086956521739,0.0609756097560975,0.0595238095238095,0.026360544217687,0.0625,0.0166666666666666,0.0952380952380952,0.0147058823529411,0.0372340425531914,0.4855349256150806,0.3340489026686092
Jewish,-0.0114416475972539,-0.0062995582991857,0.0215116279069766,0.001453488372093,0.4494186046511628,0.665406976744186,0.04,0.0346153846153846,0.0584291187739463,0.0358527131782945,0.0289351851851851,0.03125,0.0217391304347826,0.0426829268292682,0.1547619047619047,0.0399659863945578,0.0178571428571428,-0.025,0.0476190476190476,0.0441176470588235,0.0518617021276595,0.6746878898359973,0.49089290572627986,0.02,-0.023076923076923,0.0344827586206896,0.0213178294573643,0.021412037037037,0.0,0.0108695652173913,0.0121951219512195,0.0595238095238095,0.0399659863945578,0.0178571428571428,-0.0166666666666666,0.0357142857142857,0.0,0.0172872340425531,0.3303693605596402,0.2672174999521327
Latino,0.0032258064516128,0.0019382970742685,0.0081395348837209,-0.0229651162790697,0.3991279069767441,0.6604651162790698,0.0,0.0307692307692307,0.0450191570881226,0.0242248062015503,0.0572916666666666,0.046875,-0.0108695652173913,0.0426829268292682,0.0357142857142857,0.1045918367346938,0.0267857142857142,0.0666666666666666,0.0714285714285714,0.1176470588235294,0.0452127659574468,0.7257792523831377,0.4952891990059051,-0.01,-0.0115384615384615,0.0124521072796934,0.0116279069767441,0.0109953703703703,0.0625,0.0108695652173913,0.0426829268292682,0.0476190476190476,0.0348639455782312,0.0178571428571428,0.0083333333333333,0.0714285714285714,-0.088235294117647,0.0159574468085106,0.45696111995441263,0.27034295847740575
