,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,African_ambig,African American_ambig,Black_ambig,Caucasian_ambig,White_ambig,European_ambig,Roma_ambig,Native American_ambig,South American_ambig,Hispanic_ambig,Latino_ambig,Jewish_ambig,Arab_ambig,Middle Eastern_ambig,Asian_ambig,TB_ambig,PB_ambig,diff_TB_ambig,African_disambig,African American_disambig,Black_disambig,Caucasian_disambig,White_disambig,European_disambig,Roma_disambig,Native American_disambig,South American_disambig,Hispanic_disambig,Latino_disambig,Jewish_disambig,Arab_disambig,Middle Eastern_disambig,Asian_disambig,TB_disambig,PB_disambig,diff_TB_disambig
Baseline,0.0085765405058523,0.0125974805038993,0.0066860465116279,0.0401162790697674,0.751453488372093,0.3191860465116279,0.0,0.0,-0.01,-0.0461538461538461,-0.0028935185185185,-0.046875,0.050531914893617,-0.0760869565217391,0.0357142857142857,0.0333333333333333,0.088235294117647,-0.0426829268292682,-0.0153061224489795,0.0595238095238095,-0.0162835249042145,-0.0267857142857142,0.0164728682170542,0.5668791154620267,0.0,0.0,-0.03,-0.0115384615384615,-0.0075231481481481,-0.046875,0.0039893617021276,0.0,0.0,0.0166666666666666,-0.0294117647058823,0.0,0.0068027210884353,0.0238095238095238,0.0028735632183908,0.0178571428571428,0.003875968992248,0.2012233227270268,0.0,0.0
African,-0.0060625853858087,-0.0102887487553933,0.0,0.0005813953488371,0.6380813953488372,0.4107558139534883,-0.014639125891661,-0.022886229259292602,0.05,0.0961538461538461,0.0578703703703703,0.078125,-0.0132978723404255,-0.0217391304347826,-0.0119047619047619,-0.05,-0.0588235294117647,-0.0426829268292682,-0.0399659863945578,0.0119047619047619,-0.0076628352490421,-0.0178571428571428,-0.0474806201550387,0.6054687840057627,0.938042060019835,0.03858966854373591,0.0,-0.0038461538461538,0.0069444444444444,-0.015625,-0.0053191489361702,-0.0543478260869565,-0.0238095238095238,-0.0416666666666666,0.1029411764705882,-0.024390243902439,-0.0068027210884353,-0.0238095238095238,0.018199233716475,-0.0714285714285714,0.001937984496124,0.40106821870207193,0.5537261383077616,0.19984489597504512
African American,0.0062086622573074,0.0104849279161205,-0.0017441860465116,-0.0063953488372092,0.6712209302325581,0.4078488372093023,-0.0023678782485448994,-0.0021125525877787998,0.14,0.0307692307692307,0.0162037037037037,-0.015625,-0.0172872340425531,-0.1521739130434782,-0.0119047619047619,-0.0166666666666666,0.0441176470588235,-0.0060975609756097,-0.0238095238095238,-0.0595238095238095,0.0095785440613026,-0.0892857142857142,0.0116279069767441,0.6446712168219216,0.8202565157487282,0.0777921013598949,0.04,-0.0038461538461538,-0.0005787037037037,-0.046875,-0.0066489361702127,0.0108695652173913,0.0,-0.0166666666666666,-0.0588235294117647,0.0060975609756097,0.0025510204081632,0.0833333333333333,0.003831417624521,0.0,-0.003875968992248,0.28399785634976804,0.2653297196931596,0.08277453362274123
Black,0.0005711574354815,0.0010159160176093,-0.0122093023255814,0.0267441860465116,0.6360465116279069,0.4377906976744186,-0.008005383070370799,-0.01158156448629,-0.04,0.0192307692307692,0.0358796296296296,0.03125,-0.014627659574468,-0.0869565217391304,0.0119047619047619,0.0,0.0588235294117647,-0.0426829268292682,0.0059523809523809,-0.0476190476190476,-0.0172413793103448,0.0267857142857142,-0.0310077519379844,0.4699620724252639,0.6052777887437939,-0.09691704303676285,0.01,-0.0115384615384615,-0.0069444444444444,-0.015625,-0.0026595744680851,-0.0108695652173913,-0.0357142857142857,0.0083333333333333,0.0,0.0548780487804878,-0.0051020408163265,-0.0119047619047619,0.0191570881226053,-0.0803571428571428,0.0067829457364341,0.2798666929337597,0.3827084726070305,0.0786433702067329
Caucasian,0.0025213141097174,0.0049904030710172,0.0174418604651162,-0.0145348837209302,0.5427325581395349,0.4947674418604651,-0.0060552263961348995,-0.0076070774328821,0.01,-0.0153846153846153,-0.0248842592592592,0.140625,0.0412234042553191,-0.0543478260869565,0.0714285714285714,0.0,-0.0294117647058823,0.0426829268292682,-0.010204081632653,0.0476190476190476,0.0114942528735632,-0.0178571428571428,-0.001937984496124,0.5191008774284027,0.6354921487533524,-0.04777823803362402,0.0,-0.0269230769230769,0.0133101851851851,0.078125,-0.0026595744680851,0.0217391304347826,-0.0238095238095238,-0.0333333333333333,-0.0147058823529411,-0.0365853658536585,0.0017006802721088,0.0119047619047619,-0.0114942528735632,-0.0178571428571428,0.002906976744186,0.2970548870123491,0.41276468411445727,0.0958315642853223
White,-0.0096193684362221,-0.0185902401239349,0.0055232558139534,-0.0470930232558139,0.5270348837209302,0.4825581395348837,-0.0181959089420744,-0.031187720627834203,0.03,-0.0153846153846153,-0.011574074074074,-0.046875,0.014627659574468,-0.0108695652173913,0.0238095238095238,0.05,-0.0147058823529411,0.0426829268292682,-0.0357142857142857,0.0238095238095238,0.018199233716475,-0.0535714285714285,0.0261627906976744,0.4179865097516691,0.524530736015452,-0.14889260571035762,0.04,-0.0384615384615384,0.0052083333333333,-0.015625,-0.0226063829787234,0.0,0.0833333333333333,-0.0666666666666666,-0.0147058823529411,-0.0121951219512195,0.0170068027210884,0.0119047619047619,-0.0105363984674329,0.0,0.0087209302325581,0.34697115240359694,0.4192888833769281,0.14574782967657013
European,0.0126456771501685,0.0209745079057761,0.0090116279069767,0.0290697674418605,0.6755813953488372,0.3970930232558139,0.0040691366443162,0.0083770274018768,0.01,-0.0538461538461538,-0.0173611111111111,0.09375,0.0412234042553191,0.1413043478260869,-0.0119047619047619,-0.0666666666666666,0.1470588235294117,0.0121951219512195,0.0085034013605442,-0.0476190476190476,-0.0105363984674329,-0.0535714285714285,0.000968992248062,0.7165096593572458,0.849794438726193,0.14963054389521901,-0.02,-0.0153846153846153,-0.0133101851851851,-0.046875,0.0,0.0108695652173913,-0.0238095238095238,0.0583333333333333,-0.0441176470588235,0.0121951219512195,0.0017006802721088,0.0357142857142857,0.0019157088122605,0.0,0.0193798449612403,0.30360551169998706,0.1781949885364147,0.10238218897296025
Roma,0.014336447306494,0.0240925152585929,0.0122093023255813,0.0267441860465116,0.688953488372093,0.4049418604651162,0.005759906800641701,0.011495034754693599,0.07,-0.0692307692307692,-0.0150462962962962,0.078125,-0.0013297872340425,-0.0326086956521739,0.1547619047619047,0.0,-0.0147058823529411,-0.024390243902439,0.010204081632653,0.0952380952380952,0.0067049808429118,0.0357142857142857,-0.002906976744186,0.6109669996026984,0.7752773161345797,0.04408788414067166,0.01,-0.0307692307692307,-0.0063657407407407,0.046875,0.0239361702127659,0.0543478260869565,-0.0357142857142857,0.0166666666666666,-0.0294117647058823,0.0548780487804878,-0.0127551020408163,0.0238095238095238,0.0086206896551724,0.0089285714285714,-0.0106589147286821,0.37373753533978216,0.3677935504460796,0.17251421261275535
Native American,0.0136588849707628,0.0217530390275111,0.0061046511627906,0.0290697674418605,0.7034883720930233,0.3720930232558139,0.0050823444649105,0.0091555585236118,0.06,-0.0153846153846153,0.0225694444444444,-0.0625,0.0239361702127659,-0.0326086956521739,-0.0119047619047619,0.1083333333333333,-0.0588235294117647,-0.0609756097560975,0.0059523809523809,0.0357142857142857,-0.0354406130268199,-0.0446428571428571,-0.0174418604651162,0.5962281574014167,0.6158987402307015,0.02934904193938992,0.0,-0.0076923076923076,0.0023148148148148,-0.015625,0.0039893617021276,0.0326086956521739,0.0595238095238095,-0.0166666666666666,0.0,-0.048780487804878,-0.0025510204081632,0.0595238095238095,0.003831417624521,-0.0446428571428571,-0.002906976744186,0.30065722530031486,0.393901035182642,0.09943390257328805
South American,0.000609120056218,0.0009442870632672,-0.0162790697674418,0.0459302325581395,0.7061046511627908,0.3549418604651163,-0.0079674204496343,-0.0116531934406321,-0.04,-0.0461538461538461,0.0387731481481481,-0.0625,-0.0372340425531914,-0.2065217391304347,-0.0238095238095238,-0.0916666666666666,0.1617647058823529,0.024390243902439,0.0289115646258503,-0.0357142857142857,-0.0277777777777777,-0.0357142857142857,0.0,0.860931830078802,0.8069702735745069,0.2940527146167753,0.05,-0.0269230769230769,0.0092592592592592,-0.015625,-0.0226063829787234,0.0543478260869565,0.0476190476190476,-0.0333333333333333,0.0,-0.0060975609756097,0.0085034013605442,-0.0119047619047619,-0.0028735632183908,0.0446428571428571,-0.0106589147286821,0.3443949855312427,0.4419716572901903,0.1431716628042159
Hispanic,0.0030651795601961,0.0048590864917394,-0.0052325581395348,0.0151162790697674,0.6651162790697674,0.3691860465116279,-0.0055113609456562,-0.0077383940121599,0.02,-0.023076923076923,0.0,0.046875,-0.0226063829787234,-0.0978260869565217,0.0357142857142857,-0.025,0.0294117647058823,0.073170731707317,0.0748299319727891,0.0238095238095238,-0.0057471264367816,-0.0892857142857142,-0.0591085271317829,0.6264619987762448,0.7520765251365721,0.059582883314218016,-0.04,-0.05,-0.0028935185185185,0.03125,-0.0079787234042553,0.0108695652173913,0.0952380952380952,0.0333333333333333,0.0735294117647058,0.048780487804878,-0.0017006802721088,0.0238095238095238,0.003831417624521,-0.0357142857142857,0.0,0.4589290427016166,0.4845888979255211,0.2577057199745898
Latino,0.0019382970742685,0.0032258064516128,-0.0229651162790697,0.0081395348837209,0.6604651162790698,0.3991279069767441,-0.0066382434315838,-0.0093716740522865,-0.05,-0.023076923076923,0.0098379629629629,0.015625,-0.0252659574468085,-0.0869565217391304,-0.0357142857142857,0.0583333333333333,0.1617647058823529,0.0304878048780487,0.0663265306122449,0.0,-0.0191570881226053,-0.0625,-0.0494186046511627,0.6944647184198582,0.713740341402743,0.1275856029578315,0.01,-0.0461538461538461,-0.0046296296296296,0.015625,-0.0039893617021276,0.0326086956521739,0.0595238095238095,0.0583333333333333,-0.088235294117647,0.0365853658536585,0.0110544217687074,0.0238095238095238,-0.003831417624521,-0.0089285714285714,-0.003875968992248,0.4071842395897971,0.4226900274396258,0.2059609168627703
Jewish,-0.0062995582991857,-0.0114416475972539,0.001453488372093,0.0215116279069766,0.665406976744186,0.4494186046511628,-0.014876098805037999,-0.0240391281011532,-0.01,0.0,-0.0162037037037037,0.046875,0.038563829787234,-0.0108695652173913,0.0119047619047619,-0.0916666666666666,0.0294117647058823,0.0365853658536585,-0.0221088435374149,0.1309523809523809,0.0153256704980842,-0.0714285714285714,0.0067829457364341,0.5386790699921838,0.6814741211967599,-0.028200045469842894,0.03,-0.0576923076923076,-0.0017361111111111,0.0,-0.0159574468085106,-0.0108695652173913,0.0119047619047619,-0.025,0.0441176470588235,0.0060975609756097,0.0170068027210884,0.0595238095238095,0.0067049808429118,0.0267857142857142,-0.0087209302325581,0.32211763837459767,0.3941059138554939,0.12089431564757086
Arab,-0.0006008595386208,-0.0010043521928355,0.0037790697674418,0.0122093023255813,0.6409883720930233,0.4017441860465116,-0.0091774000444731,-0.0136018326967348,0.06,-0.073076923076923,0.0011574074074074,0.0625,0.0226063829787234,-0.0760869565217391,-0.0357142857142857,-0.075,0.0147058823529411,-0.0365853658536585,-0.0306122448979591,0.0,0.0268199233716475,0.0714285714285714,0.0135658914728682,0.5998598350767245,0.7167180549732394,0.03298071961469773,0.01,-0.0807692307692307,0.0040509259259259,0.03125,-0.0093085106382978,-0.0326086956521739,0.0952380952380952,-0.0333333333333333,-0.0147058823529411,0.0060975609756097,0.0093537414965986,-0.0238095238095238,0.0076628352490421,0.0178571428571428,-0.001937984496124,0.3779834627940389,0.4716512434103227,0.17676014006701207
Middle Eastern,-0.0007925336597306,-0.0013157894736841,0.002906976744186,0.0145348837209302,0.6700581395348837,0.3976744186046511,-0.0093690741655829,-0.0139132699775834,0.09,0.0153846153846153,-0.0167824074074074,-0.015625,-0.0106382978723404,-0.0978260869565217,-0.0595238095238095,-0.0416666666666666,-0.0294117647058823,0.0121951219512195,-0.0544217687074829,0.0595238095238095,0.092911877394636,0.1160714285714285,-0.0067829457364341,0.7187656004022538,0.9467739018381873,0.15188648494022705,-0.09,0.0076923076923076,-0.0104166666666666,-0.0625,-0.0106382978723404,-0.0108695652173913,-0.0357142857142857,-0.0166666666666666,0.0735294117647058,0.048780487804878,0.0238095238095238,0.0357142857142857,0.0047892720306513,0.0178571428571428,-0.0077519379844961,0.45672985179534165,0.3864709762790869,0.25550652906831484
Asian,0.0090365940448587,0.0154656136887134,-0.007267441860465,0.011627906976744,0.6674418604651163,0.4156976744186046,0.0004600535390064005,0.0028681331848141,0.01,0.023076923076923,-0.0144675925925925,0.03125,-0.0305851063829787,0.0760869565217391,-0.0476190476190476,0.0,-0.0294117647058823,-0.0304878048780487,-0.0306122448979591,0.0238095238095238,-0.0009578544061302,-0.0446428571428571,0.0804263565891472,0.4734340326228293,0.8068863349569179,-0.09344508283919745,0.03,-0.0346153846153846,0.0104166666666666,0.015625,-0.0026595744680851,0.0108695652173913,0.0119047619047619,-0.0166666666666666,0.0588235294117647,-0.0304878048780487,0.0059523809523809,0.0476190476190476,-0.0019157088122605,-0.0267857142857142,-0.0155038759689922,0.3198456814671649,0.43846827159345925,0.1186223587401381
