,BS_d,BS_a,Diff_Bias_d,Diff_Bias_a,Acc_d,Acc_a,Atheist_ambig,Buddhist_ambig,Catholic_ambig,Christian_ambig,Hindu_ambig,Jewish_ambig,Mormon_ambig,Muslim_ambig,Orthodox_ambig,Protestant_ambig,Sikh_ambig,TB_ambig,PB_ambig,Atheist_disambig,Buddhist_disambig,Catholic_disambig,Christian_disambig,Hindu_disambig,Jewish_disambig,Mormon_disambig,Muslim_disambig,Orthodox_disambig,Protestant_disambig,Sikh_disambig,TB_disambig,PB_disambig
Baseline,0.0491803278688525,0.0247540983606557,-0.0766666666666666,0.07,0.4966666666666666,0.7616666666666667,0.0486111111111111,0.0,-0.0151515151515151,0.032051282051282,-0.0303030303030303,0.0214285714285714,0.0,0.0304878048780487,,0.0277777777777777,0.1111111111111111,0.3169222038124474,0.0,-0.0138888888888888,0.0535714285714285,0.0075757575757575,0.0128205128205128,-0.0454545454545454,0.0,-0.0075757575757575,0.0060975609756097,,0.0277777777777777,0.0,0.1747622296402779,0.0
Atheist,0.0703125,0.032109375,-0.0433333333333333,0.1199999999999999,0.5433333333333333,0.6983333333333334,0.1666666666666666,0.0535714285714285,-0.0075757575757575,-0.0384615384615384,-0.0606060606060606,-0.0071428571428571,-0.0227272727272727,0.0121951219512195,,0.0694444444444444,0.1527777777777778,0.5911689259250231,0.4329433100774561,0.0347222222222222,0.0,-0.0075757575757575,0.0256410256410256,0.0151515151515151,-0.0214285714285714,0.0075757575757575,0.024390243902439,,0.0277777777777777,-0.0138888888888888,0.17815176016395481,0.2595222866564323
Buddhist,0.0,0.0,-0.01,0.1183333333333333,0.5366666666666666,0.755,0.0555555555555555,0.25,0.0151515151515151,-0.0128205128205128,-0.0909090909090909,0.0142857142857142,-0.0075757575757575,0.0426829268292682,,0.0694444444444444,0.0833333333333333,0.6417588509051918,0.4890835113396087,-0.0069444444444444,0.0535714285714285,0.0,0.032051282051282,-0.0075757575757575,0.0071428571428571,0.0227272727272727,0.0304878048780487,,0.0416666666666666,-0.0138888888888888,0.21605640294664633,0.161243668255863
Catholic,0.0431372549019608,0.0225751633986928,-0.1099999999999999,0.1033333333333333,0.4766666666666667,0.6916666666666667,0.0625,0.1071428571428571,0.2196969696969697,0.0192307692307692,-0.0984848484848484,0.0857142857142857,0.0075757575757575,0.048780487804878,,0.0694444444444444,0.1388888888888889,0.857459308983699,0.5964811611153072,0.0069444444444444,0.0892857142857142,0.0303030303030303,0.0128205128205128,-0.0454545454545454,0.0285714285714285,0.0227272727272727,0.0426829268292682,,0.0416666666666666,-0.0277777777777777,0.3482343198806608,0.21640138316967553
Christian,0.0283400809716598,0.0151147098515519,-0.1633333333333333,0.06,0.4666666666666667,0.6383333333333333,0.0694444444444444,0.0178571428571428,0.0833333333333333,0.1217948717948717,-0.0909090909090909,0.0428571428571428,0.053030303030303,0.0548780487804878,,0.0694444444444444,0.1388888888888889,0.7424377113401499,0.4558185378307328,-0.0069444444444444,0.0357142857142857,0.0075757575757575,0.0256410256410256,0.0075757575757575,0.0142857142857142,-0.0075757575757575,0.0426829268292682,,0.0277777777777777,-0.0555555555555555,0.2313290029753438,0.1970790388473311
Hindu,0.0869565217391303,0.0463768115942028,-0.0366666666666666,0.1033333333333333,0.4666666666666667,0.6816666666666666,0.0694444444444444,0.0892857142857142,0.0227272727272727,-0.0192307692307692,0.0984848484848484,0.0214285714285714,-0.0833333333333333,0.0670731707317073,,0.0138888888888888,0.1388888888888889,0.6237859024444385,0.4896531314214238,0.0138888888888888,0.0357142857142857,0.0151515151515151,0.0192307692307692,0.0,0.0,-0.0075757575757575,0.0365853658536585,,0.0138888888888888,0.0,0.14203547130376362,0.1494521738424175
Jewish,0.0701402805611222,0.0384602538410153,-0.0899999999999999,0.055,0.4516666666666666,0.6516666666666666,0.0486111111111111,0.0178571428571428,0.0454545454545454,0.032051282051282,-0.0833333333333333,0.2785714285714286,-0.0303030303030303,0.0670731707317073,,0.1111111111111111,0.1527777777777778,0.8671439333024696,0.5805247597930523,0.0208333333333333,0.0535714285714285,0.0303030303030303,0.0128205128205128,-0.0075757575757575,0.05,-0.0151515151515151,0.0,,0.0138888888888888,-0.0138888888888888,0.21803335553335515,0.18677937915742782
Mormon,-0.0225872689938397,-0.0115947980835044,-0.1266666666666666,0.0433333333333333,0.4866666666666667,0.6566666666666666,0.0694444444444444,0.125,0.0227272727272727,0.0897435897435897,-0.0757575757575757,0.0428571428571428,0.1969696969696969,0.0182926829268292,,0.125,0.0833333333333333,0.8491257387598846,0.6424523647084622,0.0069444444444444,-0.0357142857142857,0.0303030303030303,0.0064102564102564,-0.0454545454545454,-0.0142857142857142,0.0378787878787878,0.0365853658536585,,0.0138888888888888,-0.0138888888888888,0.2413542081225003,0.25726241915266257
Muslim,0.0646551724137931,0.0320043103448276,-0.15,0.0133333333333333,0.505,0.585,0.0833333333333333,0.1071428571428571,0.0227272727272727,0.0192307692307692,-0.0378787878787878,0.0142857142857142,-0.0227272727272727,0.1768292682926829,,0.0138888888888888,0.0555555555555555,0.5535997200631342,0.445796175369346,-0.0069444444444444,0.0714285714285714,0.0,-0.0064102564102564,-0.0075757575757575,0.0071428571428571,0.0,0.0304878048780487,,0.0138888888888888,-0.0138888888888888,0.15776746965771313,0.1563735383857332
Orthodox,0.0489236790606653,0.0251956947162426,-0.0999999999999999,0.0516666666666666,0.485,0.6866666666666666,0.0347222222222222,0.0178571428571428,0.0984848484848484,0.1025641025641025,-0.1136363636363636,0.1428571428571428,-0.0227272727272727,0.0426829268292682,,0.0138888888888888,0.1111111111111111,0.7005320221783631,0.46946840422450153,0.0138888888888888,0.0714285714285714,0.0151515151515151,0.032051282051282,-0.0227272727272727,0.0214285714285714,-0.0075757575757575,0.0121951219512195,,0.0416666666666666,0.0,0.23811364786974498,0.13658374146179011
