,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Atheist_ambig,Christian_ambig,Protestant_ambig,Catholic_ambig,Mormon_ambig,Jewish_ambig,Muslim_ambig,Sikh_ambig,Hindu_ambig,Buddhist_ambig,TB_ambig,PB_ambig,Atheist_disambig,Christian_disambig,Protestant_disambig,Catholic_disambig,Mormon_disambig,Jewish_disambig,Muslim_disambig,Sikh_disambig,Hindu_disambig,Buddhist_disambig,TB_disambig,PB_disambig
Baseline,0.0247540983606557,0.0491803278688525,0.07,-0.0766666666666666,0.7616666666666667,0.4966666666666666,0.1527777777777778,0.1153846153846153,0.1111111111111111,-0.106060606060606,-0.0606060606060606,0.0214285714285714,0.0,0.2083333333333333,-0.1439393939393939,-0.0178571428571428,0.9374986124986121,0.0,-0.0069444444444444,0.0192307692307692,0.0555555555555555,0.0303030303030303,-0.0378787878787878,0.0071428571428571,0.0182926829268292,0.0277777777777777,-0.1212121212121212,0.0892857142857142,0.4136237407578866,0.0
Atheist,0.032109375,0.0703125,0.1199999999999999,-0.0433333333333333,0.6983333333333334,0.5433333333333333,0.4097222222222222,-0.0833333333333333,0.1944444444444444,-0.106060606060606,-0.0833333333333333,-0.0714285714285714,-0.0182926829268292,0.3333333333333333,-0.2045454545454545,0.125,1.6294939816281275,1.0013360284701744,0.0555555555555555,0.0576923076923076,0.0416666666666666,-0.0075757575757575,-0.0378787878787878,-0.0428571428571428,0.0182926829268292,0.0138888888888888,0.0,0.0178571428571428,0.29326493289907857,0.4092587967587964
Christian,0.0151147098515519,0.0283400809716598,0.06,-0.1633333333333333,0.6383333333333333,0.4666666666666667,0.0625,0.282051282051282,0.1111111111111111,0.106060606060606,0.0606060606060606,0.0214285714285714,0.0121951219512195,0.25,-0.3333333333333333,0.0714285714285714,1.3107146579707551,0.9228192200753176,0.0069444444444444,0.0448717948717948,0.0138888888888888,0.0151515151515151,-0.0606060606060606,0.0571428571428571,0.0609756097560975,-0.1111111111111111,-0.0151515151515151,0.0357142857142857,0.42155808283857016,0.5102792194255608
Protestant,0.0322134387351779,0.0592885375494072,0.1266666666666666,-0.0533333333333333,0.7,0.4566666666666666,0.0694444444444444,0.3782051282051282,0.5277777777777778,-0.0606060606060606,-0.1666666666666666,0.0285714285714285,-0.048780487804878,0.1805555555555555,-0.3181818181818182,0.2142857142857142,1.993075082099472,1.4044220684464586,0.0416666666666666,0.032051282051282,0.0972222222222222,0.0303030303030303,-0.0303030303030303,0.0428571428571428,0.0304878048780487,-0.0972222222222222,-0.053030303030303,0.0178571428571428,0.4730008473910909,0.42319384544994265
Catholic,0.0225751633986928,0.0431372549019608,0.1033333333333333,-0.1099999999999999,0.6916666666666667,0.4766666666666667,0.0555555555555555,0.0192307692307692,0.1388888888888889,0.4545454545454545,-0.0757575757575757,0.1428571428571428,0.0,0.25,-0.3636363636363636,0.1607142857142857,1.6611860361860358,1.358275058275058,-0.0069444444444444,0.0128205128205128,0.0694444444444444,0.0909090909090909,0.0151515151515151,0.0571428571428571,0.0426829268292682,-0.0555555555555555,-0.1515151515151515,0.1785714285714285,0.6807379273842684,0.4112478307600256
Mormon,-0.0115947980835044,-0.0225872689938397,0.0433333333333333,-0.1266666666666666,0.6566666666666666,0.4866666666666667,0.0486111111111111,0.2115384615384615,0.2638888888888889,-0.1212121212121212,0.3787878787878788,0.0571428571428571,-0.0548780487804878,0.125,-0.3106060606060606,0.25,1.821665428067867,1.4160932224956615,0.0138888888888888,0.0256410256410256,0.0277777777777777,0.0757575757575757,0.0757575757575757,-0.0428571428571428,0.0914634146341463,-0.0416666666666666,-0.1742424242424242,-0.0714285714285714,0.6404810636517948,0.6204720415086262
Jewish,0.0384602538410153,0.0701402805611222,0.055,-0.0899999999999999,0.6516666666666666,0.4516666666666666,0.0902777777777777,0.0128205128205128,0.2638888888888889,0.0303030303030303,-0.2196969696969697,0.6071428571428571,0.0548780487804878,0.2083333333333333,-0.3106060606060606,-0.0714285714285714,1.8693760507784896,1.4741268555292948,0.0138888888888888,0.0256410256410256,0.0416666666666666,0.0606060606060606,-0.0378787878787878,0.1,-0.0121951219512195,-0.0277777777777777,-0.0833333333333333,0.0892857142857142,0.4922733770294741,0.2882148001050437
Muslim,0.0320043103448276,0.0646551724137931,0.0133333333333333,-0.15,0.585,0.505,0.125,0.0448717948717948,0.0,-0.0227272727272727,-0.1212121212121212,-0.0357142857142857,0.3597560975609756,0.0416666666666666,-0.1666666666666666,0.1964285714285714,1.1140434768483547,1.1739197117245896,0.0138888888888888,-0.0705128205128205,0.0416666666666666,0.0378787878787878,0.0,-0.0071428571428571,0.0609756097560975,-0.0416666666666666,-0.0378787878787878,0.125,0.4366110853915727,0.4153810620274031
Sikh,0.0354968553459119,0.0641509433962264,0.0966666666666666,-0.0966666666666666,0.7383333333333333,0.4466666666666666,0.1388888888888889,0.0384615384615384,0.1944444444444444,0.0,-0.0909090909090909,-0.0071428571428571,0.048780487804878,0.5555555555555556,-0.2878787878787879,0.2321428571428571,1.594204508228898,1.1290224680468581,0.0138888888888888,-0.0448717948717948,0.0138888888888888,0.0303030303030303,-0.0606060606060606,0.0714285714285714,0.0609756097560975,-0.0277777777777777,-0.106060606060606,0.125,0.5548012285817159,0.36271983436617566
Hindu,0.0463768115942028,0.0869565217391303,0.1033333333333333,-0.0366666666666666,0.6816666666666666,0.4666666666666667,0.1111111111111111,-0.0705128205128205,0.0277777777777777,-0.0606060606060606,-0.2954545454545454,0.0428571428571428,0.1097560975609756,0.2916666666666667,0.1893939393939394,0.2142857142857142,1.413421876226754,1.3711946589995367,0.0138888888888888,0.0064102564102564,0.0416666666666666,0.0606060606060606,-0.0681818181818181,0.0071428571428571,0.0426829268292682,-0.0138888888888888,-0.0151515151515151,0.0892857142857142,0.35890559305193387,0.28026631227850707
