,BS_d,BS_a,Diff_Bias_d,Diff_Bias_a,Acc_d,Acc_a,highSES_ambig,lowSES_ambig,TB_ambig,PB_ambig,highSES_disambig,lowSES_disambig,TB_disambig,PB_disambig
Baseline,0.0266627600351596,0.0220558204370099,0.0052447552447552,0.2319347319347319,0.1727855477855477,0.9227855477855478,0.1494755244755244,-0.0824592074592074,0.2319347319347318,0.0,0.0043706293706293,0.0014568764568764,0.0058275058275056996,0.0
bartender,0.035314891112419,0.0284618265783656,0.0075757575757575,0.1771561771561771,0.194055944055944,0.9227855477855478,0.122086247086247,-0.05506993006993,0.177156177156177,0.05477855477855479,0.0069930069930069,-0.0014568764568764,0.0084498834498833,0.005536130536130401
cashier,0.0317979197622586,0.0240708028969545,-0.0046620046620046,0.1978438228438228,0.243006993006993,0.9073426573426572,0.1386946386946387,-0.0591491841491841,0.1978438228438228,0.034090909090909005,0.0072843822843822,0.0011655011655011,0.008449883449883299,0.0032051282051282
chemical engineer,0.0482352941176471,0.0391841491841492,0.0168997668997669,0.2068764568764568,0.1876456876456876,0.9006410256410257,0.1384032634032634,-0.0684731934731934,0.20687645687645678,0.025058275058275,0.0113636363636363,-0.0017482517482517,0.013111888111888,0.0101981351981351
chemist,0.0430678466076697,0.0352749757617015,0.0116550116550117,0.2173659673659674,0.1809440559440559,0.8980186480186481,0.1433566433566433,-0.074009324009324,0.2173659673659673,0.014568764568764492,0.0104895104895104,0.0005827505827505,0.0110722610722609,0.006993006993007
construction worker,0.0347467608951708,0.0286012819140027,0.0069930069930069,0.1972610722610722,0.1768648018648018,0.9248251748251748,0.1223776223776223,-0.0748834498834498,0.1972610722610721,0.03467365967365969,0.0064102564102564,-0.0005827505827505,0.006993006993006899,0.004079254079254
dentist,0.035682689472132,0.0290389719392962,0.0198135198135198,0.2007575757575757,0.1861888111888112,0.9108391608391608,0.1293706293706293,-0.0713869463869463,0.20075757575757558,0.031177156177156204,0.0113636363636363,0.0034965034965034,0.0148601398601397,0.009032634032634
farm worker,0.0392909896602657,0.0311626089321804,0.0023310023310023,0.171037296037296,0.2068764568764568,0.9201631701631702,0.1133449883449883,-0.0576923076923076,0.1710372960372959,0.0608974358974359,0.0061188811188811,-0.0011655011655011,0.0072843822843822,0.0043706293706293
janitor,0.0566706021251475,0.0428166874447865,0.0145687645687645,0.1978438228438228,0.2444638694638694,0.9198717948717948,0.131993006993007,-0.0658508158508158,0.1978438228438228,0.03409090909090899,0.0116550116550116,-0.0043706293706293,0.0160256410256409,0.013111888111888001
judge,0.0316606929510154,0.0256089987272782,0.0017482517482516,0.2135780885780886,0.1911421911421911,0.8918997668997669,0.1372377622377622,-0.0763403263403263,0.21357808857808852,0.01835664335664329,0.0078671328671328,0.0017482517482517,0.0096153846153845,0.0037878787878788
lawyer,0.0318547186662696,0.0244943480653512,0.0227272727272728,0.1832750582750583,0.231060606060606,0.8703379953379954,0.1215034965034965,-0.0617715617715617,0.1832750582750582,0.0486596736596736,0.011072261072261,0.0058275058275058,0.0168997668997668,0.0110722610722611
line cook,0.036470588235294,0.0296482928835869,0.0104895104895105,0.1786130536130536,0.187062937062937,0.9213286713286714,0.1209207459207459,-0.0576923076923076,0.17861305361305352,0.05332167832167829,0.0078671328671328,-0.0002913752913752,0.008158508158508,0.0052447552447551
optometrist,0.039152193111569,0.0308814063965668,0.0198135198135198,0.2147435897435897,0.2112470862470862,0.9015151515151516,0.1407342657342657,-0.074009324009324,0.2147435897435897,0.017191142191142095,0.0099067599067599,0.0002913752913752,0.0101981351981351,0.006701631701631799
parking attendant,0.0393840687000295,0.0293314917241478,-0.0005827505827505,0.1663752913752914,0.2552447552447552,0.9117132867132868,0.1255827505827506,-0.0407925407925407,0.16637529137529128,0.0655594405594405,0.0072843822843822,-0.002039627039627,0.009324009324009199,0.0064102564102563
pharmacist,0.030446349394029,0.0249017781902795,0.0099067599067598,0.233100233100233,0.1821095571095571,0.902972027972028,0.1486013986013986,-0.0844988344988345,0.2331002331002331,0.0029137529137528984,0.0087412587412587,0.0034965034965034,0.012237762237762101,0.0064102564102564005
physician,0.0331557134399052,0.0270887588827197,0.0227272727272728,0.2307692307692307,0.1829836829836829,0.8866550116550117,0.1486013986013986,-0.0821678321678321,0.2307692307692307,0.0011655011655010983,0.0131118881118881,0.0058275058275058,0.018939393939393902,0.013111888111888199
physics teacher,0.0384615384615385,0.0297538999462077,0.0186480186480186,0.1873543123543123,0.2263986013986014,0.8951048951048951,0.1317016317016317,-0.0556526806526806,0.18735431235431232,0.044580419580419486,0.0096153846153846,0.0008741258741258,0.0104895104895104,0.005827505827505901
professor,0.0272028385570668,0.0220032283899818,0.0192307692307691,0.2164918414918414,0.1911421911421911,0.8913170163170163,0.134032634032634,-0.0824592074592074,0.2164918414918414,0.015442890442890406,0.0064102564102564,0.0049533799533799,0.0113636363636363,0.0055361305361306
psychologist,0.0341145060812815,0.0263015684997292,0.0303030303030303,0.1590909090909091,0.229020979020979,0.8583916083916084,0.1081002331002331,-0.0509906759906759,0.159090909090909,0.07284382284382279,0.0107808857808857,0.0023310023310023,0.013111888111888001,0.0072843822843823005
receptionist,0.0390532544378698,0.0298247610377788,-0.0029137529137529,0.217074592074592,0.2363053613053613,0.916958041958042,0.1544289044289044,-0.0626456876456876,0.217074592074592,0.02476689976689979,0.0078671328671328,-0.0017482517482517,0.0096153846153845,0.0067016317016316005
sales clerk,0.020870602265951,0.0161090400356947,0.0116550116550117,0.1952214452214452,0.2281468531468531,0.9067599067599068,0.1381118881118881,-0.0571095571095571,0.1952214452214452,0.0367132867132866,0.0072843822843822,0.0067016317016317,0.013986013986013901,0.008158508158508201
scientist,0.0410714285714286,0.031677176989677,0.0192307692307691,0.2170745920745921,0.2287296037296037,0.8825757575757576,0.1555944055944056,-0.0614801864801864,0.217074592074592,0.027097902097902207,0.0104895104895104,0.002039627039627,0.0125291375291374,0.0067016317016317
server,0.0270109824873849,0.0206753645088462,0.0087412587412587,0.201048951048951,0.2345571095571095,0.9117132867132868,0.145979020979021,-0.05506993006993,0.20104895104895099,0.030885780885780804,0.0061188811188811,0.0055361305361305,0.0116550116550116,0.0058275058275059
taxi driver,0.0421207658321061,0.0336647029945999,-0.0005827505827505,0.2103729603729603,0.2007575757575757,0.9216200466200466,0.1395687645687645,-0.0708041958041958,0.21037296037296027,0.02156177156177151,0.0081585081585081,-0.0029137529137529,0.011072261072261001,0.0081585081585081
truck driver,0.0537760799294739,0.0432778358872981,0.0157342657342657,0.1564685314685314,0.1952214452214452,0.9256993006993008,0.1078088578088578,-0.0486596736596736,0.1564685314685314,0.0754662004662004,0.0119463869463869,-0.0049533799533799,0.0168997668997668,0.0139860139860139
