,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,African_ambig,African American_ambig,Black_ambig,Caucasian_ambig,White_ambig,European_ambig,Roma_ambig,Native American_ambig,South American_ambig,Hispanic_ambig,Latino_ambig,Jewish_ambig,Arab_ambig,Middle Eastern_ambig,Asian_ambig,TB_ambig,PB_ambig,diff_TB_ambig,African_disambig,African American_disambig,Black_disambig,Caucasian_disambig,White_disambig,European_disambig,Roma_disambig,Native American_disambig,South American_disambig,Hispanic_disambig,Latino_disambig,Jewish_disambig,Arab_disambig,Middle Eastern_disambig,Asian_disambig,TB_disambig,PB_disambig,diff_TB_disambig
Baseline,0.0086781577838153,0.0241725774665431,0.0241279069767441,0.0103488372093022,0.943779069767442,0.6419186046511628,0.0,0.0,0.006,-0.0276923076923076,-0.0042824074074073,-0.003125,0.0422872340425531,0.0326086956521739,0.0119047619047619,-0.0466666666666666,-0.026470588235294,-0.0195121951219511,0.0176870748299319,0.0452380952380952,0.0151340996168581,-0.0446428571428571,0.042829457364341,0.38608144091519875,0.0,0.0,0.0168672723704413,-0.0048746484441412,-0.0016711451953235,-0.0130232886628881,0.006605168557311,0.0231631493189569,-0.0050974025974025,-0.0156995326277243,0.003076923076923,0.0012475419188315,0.0031723793462833,0.0072891125736654,0.0035227303592383,0.0,0.0057801109372678,0.11109040598639809,0.0,0.0
African,0.0067566305075347,0.0143088833579675,0.0034302325581395,-0.0041860465116279,0.8733720930232558,0.4163953488372093,-0.0019215272762806,-0.0098636941085756,0.044,0.0669230769230768,0.0484953703703703,0.01875,0.0460106382978722,0.0260869565217391,0.0333333333333333,-0.0133333333333333,0.0088235294117646,-0.0280487804878048,0.0343537414965986,0.0309523809523809,0.028927203065134,-0.0142857142857142,0.0344961240310077,0.4768201825101298,0.399541874144866,0.09073874159493106,0.0218670527763672,0.0085062611438477,0.0090530694262547,-0.0074281010443998,0.0113265759681599,0.0382557939283107,-0.0024213180671982,-0.0016030797968333,0.0002990314104159,0.0105990719102221,0.0048416436942789,0.0352828698833582,-0.0004229496584665,-0.0080100250626566,0.0073507397701577,0.16726758354092744,0.12660545884411673,0.05617717755452935
African American,0.0104621286263451,0.021464600951445,0.0018023255813953,-0.0141860465116278,0.8612790697674418,0.4923255813953487,0.0017839708425298004,-0.0027079765150981004,0.128,0.0338461538461538,0.0328703703703703,0.0,0.027659574468085,0.017391304347826,0.0476190476190476,0.0066666666666666,-0.0029411764705882,0.0121951219512194,0.0272108843537414,0.0333333333333333,0.0358237547892719,-0.0178571428571428,0.0343023255813953,0.4577168566548417,0.4753767107501953,0.07163541573964294,0.0209453555857656,0.00625177487303,0.0049213944176365,0.0133972461554897,0.007474445502316,0.0311918827538918,0.008555938198064,-0.009853331592462,-0.0179309242085065,0.010246178664064,0.0038423065948184,0.0085800085800085,0.0038503408666308,-0.0001033591731265,0.00688568194665,0.1540301691124603,0.1101189811499434,0.04293976312606222
Black,0.0100024556851545,0.0170379745281042,0.0252906976744185,0.0288372093023255,0.871860465116279,0.3966279069767442,0.0013242979013391998,-0.0071346029384389,0.0019999999999999,0.0384615384615384,0.0020833333333333,0.00625,0.0273936170212765,0.0195652173913043,0.0357142857142857,-0.0149999999999999,0.0147058823529411,-0.0012195121951219,-0.001360544217687,0.0261904761904761,-0.0059386973180076,-0.0321428571428571,0.0259689922480619,0.2539949535868907,0.3173055263143705,-0.13208648732830802,0.0248797392659841,0.0132170313766324,0.0058517194330096,-0.0035282651072124,0.0099592334292718,0.0305380532325199,-0.0007338103100348,0.0068590705299319,-0.0031534557396626,0.0125296521848017,0.0084915615249951,0.0187629436702824,0.0056106792729366,0.0038424429177611,0.0116553876209073,0.15961304561594367,0.12688437000385638,0.048522639629545575
Caucasian,0.0172806183976221,0.0322321673923652,0.0454651162790697,-0.0336046511627906,0.8568023255813954,0.4723255813953488,0.0086024606138068,0.008059589925822102,-0.006,-0.0299999999999999,0.0112268518518518,0.2,0.0909574468085106,0.1347826086956521,0.0071428571428571,-0.0233333333333333,0.0088235294117646,0.0024390243902439,0.0346938775510203,0.0738095238095238,0.0134099616858237,-0.0107142857142856,0.0593023255813953,0.7066356259762618,0.5668304615000561,0.3205541850610631,0.0110134603046282,-0.0182665824236673,-0.0105356575505162,0.0195652832857612,0.0045432563623793,0.0447844453249999,0.005475656763328,0.0025179957657021,-0.0198526596035667,0.0079579256711047,-0.0055915435363925,0.0139917334596114,-0.0026180209477313,-0.0085996451803666,0.0010133269213338,0.1763271931010892,0.1777863170089677,0.06523678711469112
White,0.016734996323022,0.031681054952443,0.0317441860465115,-0.0394186046511627,0.8730813953488372,0.483313953488372,0.0080568385392067,0.0075084774858999,0.008,-0.0107692307692307,0.011574074074074,0.075,0.0853723404255318,0.1152173913043477,0.038095238095238,-0.0049999999999999,-0.0147058823529411,0.0036585365853658,0.0418367346938775,0.0666666666666666,0.0153256704980842,0.0232142857142856,0.0465116279069767,0.5609476790866197,0.4587000564600448,0.17486623817142094,0.0157701544428226,-0.0143703609212787,-0.01070362473549,0.0174735563864122,0.0088127412833212,0.0333273183344173,-0.0247880967240234,0.0016941906545866,-0.0237562098188193,0.0032072647282251,0.0025238380020485,0.0128789418263102,-0.0024343259779651,-0.0084715374271627,0.0039637871844772,0.1841759484473601,0.1508544579637976,0.07308554246096201
European,0.0149629703082114,0.029355293211083,0.0344186046511627,-0.0452325581395348,0.8715697674418605,0.4991279069767441,0.0062848125243961,0.005182715744539899,0.0199999999999999,-0.0092307692307692,0.0030092592592592,0.0625,0.0734042553191488,0.167391304347826,0.0476190476190476,0.0016666666666666,0.0235294117647058,0.0048780487804877,0.0404761904761904,0.0785714285714285,0.0362068965517241,-0.0071428571428571,0.0476744186046511,0.6233005543347621,0.5492559052052781,0.2372191134195633,0.0232222032178245,-0.0169893520721882,-0.0099447828406707,0.0059663865546218,0.0041939255063724,0.056738615382611,-0.0052215818759936,-0.0023604542002306,-0.0248832138590203,-0.0037727773788062,-0.0036362851622777,0.0285976441858794,-0.0026267527965425,-0.0145476504172156,-0.0005109517245231,0.2032125771747776,0.18326876274810805,0.0921221711883795
Roma,0.0128882384918395,0.0261601146380353,0.0159302325581395,-0.0196511627906976,0.8630813953488371,0.5091279069767441,0.0042100807080242,0.0019875371714922,0.018,-0.0146153846153845,0.0085648148148147,0.025,0.0289893617021275,0.0347826086956521,0.1142857142857142,-0.0083333333333333,0.0058823529411764,0.0048780487804878,0.0204081632653061,0.038095238095238,0.025478927203065,-0.0357142857142856,0.0405038759689922,0.4235321094155774,0.3104413274646024,0.03745066850037865,-0.0024700415749572,-0.0122230501881029,-0.0017164096287285,3.75629178874598e-05,0.0088775272205964,0.0190216092040626,0.0091876775241396,-0.0092985527544351,-0.0112179150838457,0.0078243839217709,0.0076067170028902,-0.000440911499735,0.0022042658880028,-0.0023693806495546,0.0064860425221715,0.10098204758088046,0.10432160907596096,-0.010108358405517631
Native American,0.0078926526727715,0.0215420829172726,0.0016279069767441,-0.0917441860465116,0.7992441860465116,0.6430813953488372,-0.0007855051110437997,-0.002630494549270501,0.0039999999999999,-0.003076923076923,0.0219907407407406,0.0125,0.0308510638297872,0.0152173913043478,0.019047619047619,0.1066666666666666,-0.0235294117647058,0.0109756097560975,0.0403061224489795,0.0333333333333333,0.0375478927203064,-0.0017857142857142,0.02984496124031,0.3906734502155308,0.4040254207573835,0.004592009300332045,0.0038575273610297,-0.0009931887684181,-0.0020146043222004,0.0083333333333333,0.0049762271987091,0.0081924427198817,0.0242516210813709,0.0251347653022302,-0.0130079597821533,0.0104438501752663,0.0059089634648364,0.0229496573340124,-0.0033291375646356,0.0034392832033485,0.0002900624984938,0.1371226241099197,0.18483377493504557,0.02603221812352162
South American,0.0130661709573024,0.0231387618973321,0.0119186046511627,-0.0103488372093022,0.8742441860465118,0.4083139534883721,0.004388013173487101,-0.0010338155692109982,0.026,-0.0069230769230769,0.0063657407407407,0.00625,0.0356382978723403,0.0478260869565217,0.0571428571428571,0.0066666666666666,0.126470588235294,0.0695121951219511,0.0795918367346938,0.0309523809523809,0.0218390804597701,-2.0122792321330962e-17,0.0257751937984495,0.5469540016047427,0.5677882794199947,0.16087256068954398,0.0050383184169262,-0.0081180448198737,-0.001660382342877,-0.0033898305084745,0.0091336964534013,0.0334850300367541,0.0046548994469709,-0.0055230104845506,0.021096681096681,0.0067207207207207,0.006363957856785,0.0194203549311556,0.0007141701798696,-0.0039368951594015,0.0086456855457234,0.1379016780001651,0.1059225917744072,0.026811272013767
Hispanic,0.0132376450101404,0.0215411840397187,0.0051744186046511,-0.0077906976744186,0.8819186046511629,0.4033720930232558,0.0045594872263251,-0.0026313934268244014,0.016,0.003076923076923,0.0103009259259259,0.0125,0.0470744680851063,0.0021739130434782,0.019047619047619,-0.0116666666666666,0.0352941176470588,0.0999999999999999,0.076360544217687,0.0571428571428571,0.0275862068965517,0.0017857142857142,0.0304263565891472,0.450436312624735,0.4714813496769493,0.06435487170953624,0.0132802312621166,-0.0057383307752618,-0.0001575187582209,-0.00728704408407,0.0098753314669607,0.0236450743533494,-0.0035008469791078,0.0019289062724684,-0.0040159597536646,0.0325336871247844,0.0061983898467204,-0.0027769941690886,0.0025401243698309,-0.0041208791208791,0.0053090077684558,0.1229083261049794,0.09172341047672569,0.011817920118581307
