,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,Atheist_ambig,Christian_ambig,Protestant_ambig,Catholic_ambig,Mormon_ambig,Jewish_ambig,Muslim_ambig,Sikh_ambig,Hindu_ambig,Buddhist_ambig,TB_ambig,PB_ambig,diff_TB_ambig,Atheist_disambig,Christian_disambig,Protestant_disambig,Catholic_disambig,Mormon_disambig,Jewish_disambig,Muslim_disambig,Sikh_disambig,Hindu_disambig,Buddhist_disambig,TB_disambig,PB_disambig,diff_TB_disambig
Baseline,0.027743569385404,0.0938739006946511,0.0719999999999999,0.0633333333333332,0.8416666666666666,0.7046666666666667,0.0,0.0,0.0652777777777777,0.0961538461538461,0.1249999999999999,0.0606060606060605,-0.0166666666666666,0.0485714285714285,0.0195121951219511,0.2472222222222222,-0.3196969696969697,0.1928571428571428,1.1915643096740651,0.0,0.0,0.0217699190496265,0.0054969638862256,0.0697641574112162,0.0490166632202922,-0.0544333856379675,0.0424599268841394,4.571260045711997e-05,0.0836240975263344,-0.0923339773767911,0.0662778730703259,0.48522267666337593,0.0,0.0
Atheist,0.0189234200345894,0.0967907297995578,0.0559999999999999,0.0179999999999999,0.5863333333333334,0.7926666666666666,-0.008820149350814599,0.002916829104906704,0.1430555555555555,0.0,0.0944444444444444,-0.0151515151515151,-0.1045454545454544,0.0099999999999999,0.0365853658536585,0.1249999999999999,-0.1787878787878787,0.1142857142857142,0.8218559286242206,0.7654708841294207,-0.3697083810498445,0.1219368505859934,0.006880766873748,0.0811948051948051,0.068288639990028,-0.0574077809408212,0.0402047364834166,0.029146289440407,0.0644718872025698,-0.0765723576406223,0.0426790181363352,0.5887831324887466,0.2250962066146645,0.10356045582537066
Christian,0.0428178223748115,0.093509330307799,0.0553333333333332,0.0346666666666666,0.7713333333333334,0.5269999999999999,0.0150742529894075,-0.0003645703868521005,-0.1069444444444444,0.3564102564102563,0.111111111111111,0.2606060606060606,-0.0393939393939394,0.1457142857142856,-0.0158536585365853,0.1388888888888889,-0.296969696969697,0.1357142857142857,1.6076066277895542,0.9898069680996506,0.4160423181154891,0.0159210048020815,0.0815806745232962,0.0486011500936873,0.0406554854902358,-0.0576331755782214,0.0157431992073075,0.0135952026491269,0.0818637307837868,-0.0662426113347718,0.0538167789529835,0.47565301341549865,0.19523564449986577,-0.00956966324787728
Protestant,0.0468596927765231,0.0957314013659175,0.1069999999999999,0.012,0.7553333333333333,0.4986666666666666,0.019116123391119098,0.0018575006712664016,-0.0847222222222221,0.2243589743589743,0.5194444444444445,0.0999999999999999,0.0015151515151515,0.0642857142857142,-0.0463414634146341,0.1527777777777777,-0.2939393939393939,0.075,1.5623851419583121,1.0498524375353642,0.370820832284247,0.0065988539445629,0.0799348985398038,0.1272284693826038,0.0686826235353879,-0.0533102007261423,0.027522494398392,-0.013127640143787,0.0239846018774903,-0.0808048492998266,0.0183338171262699,0.49952844897426646,0.3150859218568064,0.01430577231089053
Catholic,0.0424038612592761,0.0894847115559809,0.0459999999999999,-0.0366666666666666,0.7323333333333334,0.52,0.014660291873872102,-0.004389189138670202,-0.1430555555555555,0.2205128205128204,0.0749999999999999,0.5575757575757575,-0.0318181818181818,0.1142857142857142,0.0439024390243902,0.0666666666666666,-0.3,0.0821428571428571,1.6349599925819431,1.2958848603970556,0.443395682907878,0.0028765658116629,0.0726455139777049,0.0108388355007784,0.1014305407853795,-0.0672538544106166,0.0272518687495892,-0.0033246919901297,0.0568221871969997,-0.0979620247228305,0.0447366259105933,0.4851427090562847,0.2827512391378608,-7.996760709122475e-05
Mormon,0.045111469188345,0.1022954777047478,0.0223333333333333,-0.0433333333333333,0.7176666666666667,0.5613333333333334,0.017367899802941,0.0084215770100967,-0.1374999999999999,0.1102564102564102,0.0666666666666666,0.2545454545454545,0.4,0.1442857142857142,0.0219512195121951,0.0333333333333333,-0.2984848484848484,0.0928571428571428,1.5598807899417648,1.3190740560252758,0.3683164802676997,0.0202262103987535,0.0024628315737892,0.0504263047283866,0.0201070806060384,-0.0129533142703831,0.0349253103303176,0.0050164151682178,0.0808203818039883,-0.056336412256153,0.0449829931972788,0.3282572543333063,0.16690682746559096,-0.1569654223300696
Jewish,0.0294815470019331,0.0775959826653009,0.0703333333333332,-0.036,0.7146666666666667,0.6003333333333334,0.0017379776165291003,-0.01627791802935019,-0.0472222222222222,0.064102564102564,0.1638888888888889,0.1954545454545454,-0.1015151515151514,0.2914285714285713,0.0158536585365853,0.1388888888888888,-0.2333333333333333,0.1964285714285713,1.4481163957993222,0.8479212183480478,0.25655208612525704,0.0152624240486088,0.0173031293166276,0.0697290640394088,0.0560243636158652,-0.0659214889485656,0.0644958740854216,0.0064586878140276,0.0678094298516052,-0.0633539243775463,0.0787418300653594,0.505100216163036,0.12255215759325835,0.01987753949966009
Muslim,0.0296259008519865,0.0815052285317208,0.0396666666666666,-0.0493333333333332,0.6839999999999999,0.5996666666666667,0.0018823314665824993,-0.012368672162930291,-0.075,-0.0102564102564102,0.0805555555555555,0.1575757575757575,-0.0833333333333333,0.0899999999999999,0.325609756097561,0.2527777777777777,-0.2469696969696969,0.1535714285714285,1.4756497161375206,0.9198635172415661,0.2840854064634555,0.0453358377971446,0.0397076022571305,0.0838092479713481,0.0464017320391151,-0.0722854416820518,0.0455600887248091,0.1011653604309944,0.0290813326323577,-0.1172885034886995,0.0078101164191087,0.5884452634427594,0.33447349223212564,0.10322258677938345
Sikh,0.0394082959654406,0.1115607466401033,0.0806666666666666,-0.0753333333333333,0.7036666666666667,0.635,0.011664726580036599,0.01768684594545221,-0.0277777777777777,0.0179487179487179,0.0999999999999999,0.0893939393939393,-0.0969696969696969,0.0714285714285713,0.1170731707317072,0.6611111111111111,-0.2424242424242423,0.2392857142857142,1.6634129420714778,0.9633598989086792,0.4718486323974127,0.0021465438945323,0.024494929853369,0.0937542110980007,0.0485671773856097,-0.0801346219744348,0.0294228498773953,0.0079115987926907,0.137844303247529,-0.0941508501327459,0.0045848015034061,0.5230118877597135,0.2273952302232188,0.037789211096337594
Hindu,0.0422680753104064,0.0945198941703227,0.0749999999999999,-0.0286666666666666,0.7089999999999999,0.5613333333333334,0.014524505925002398,0.0006459934756715968,-0.1263888888888888,0.0282051282051281,0.0944444444444444,0.1136363636363636,-0.0575757575757575,0.0828571428571428,0.023170731707317,0.2638888888888889,0.1499999999999999,0.1857142857142856,1.1258816319182166,0.9155610784879077,-0.06568267775584857,0.0039894923258559,0.0312531855322552,0.0534436074853532,0.0776262946869653,-0.0613108119769261,-0.0246987168573558,0.0103201432717404,0.0455882352941176,-0.0557208184968902,0.0886210131332082,0.4525723190606679,0.2697694916890734,-0.03265035760270801
